Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
GRACELYNN RESIDENTIAL CARE FACILITY,203 JEWEL ST N,NEW ELLENTON,SC,29809-2942,Aiken,803-761-2045,"SIMMONS, MONTAVIA PH#: 803-761-2045",ADULTANDSENIORSERVICES@GMAIL.COM,ADULTANDSENIORSERVICES@GMAIL.COM,CRC-1609 / 11/30/2021,Aiken / Limited Liability Company (single member),203 JEWEL ST N,NEW ELLENTON,SC,29853,GRACELYNN RESIDENTIAL CARE FACILITY LLC,N,N,6,,-81.68776331,33.41973844,HLRESIDENTIALCARE,436057.3459,3698032.134
GREENVILLE COMMUNITY RESIDENCE,158 CAVALIER DR,GREENVILLE,SC,29607-4262,Greenville,864-277-9656,"BELLEW, DAVID PH#: 864-277-9656; WOJACK, DAVID C. PH#: 864-277-9656",DAVID.BELLEW@THRIVEUPSTATE.ORG,,CRC-0073 / 03/31/2022,Greenville / State,1700 RIDGE RD,GREENVILLE,SC,29607-4730,GREENVILLE COUNTY DISABILITIES & SPECIAL NEEDS BOARD,N,N,12,12,-82.35241353,34.79343826,HLRESIDENTIALCARE,376276.6595,3850969.846
GREENVILLE GLEN ASSISTED LIVING,1101 GARLINGTON RD,GREENVILLE,SC,29615-5446,Greenville,864-627-8700, PH#: ,ED@GREENVILLEGLEN.COM,,CRC-2069 / 08/31/2021,Greenville / Limited Liability,PO BOX 6384,SPARTANBURG,SC,29304-6384,ML GREENVILLE GLEN LLC,Y,Y,51,,-82.26459,34.850229,HLRESIDENTIALCARE,384391.0514,3857163.377
GREENVILLE PLACE,2006 PELHAM RD,GREENVILLE,SC,29615-4005,Greenville,864-288-3331,"KIRK, CATHERINE R. PH#: 864-288-3331",TERRI.BAKER@JEASENIORLIVING.COM,,CRC-1402 / 11/30/2021,Greenville / Corporation,2006 PELHAM RD,GREENVILLE,SC,29615-4005,CSL LEASECO INC,Y,Y,153,153,-82.28389583,34.86175355,HLRESIDENTIALCARE,382642.2433,3858463.896
GREER COMMUNITY RESIDENCE,112 S BEVERLY LN,GREER,SC,29651-1738,Greenville,864-449-5982, PH#: ,SHELETHA.MAYS@THRIVEUPSTATE.ORG,,CRC-0237 / 09/30/2021,Greenville / State,1700 RIDGE RD,GREENVILLE,SC,29607-4730,GREENVILLE COUNTY DISABILITIES & SPECIAL NEEDS BOARD,N,N,12,12,-82.24401411,34.94031453,HLRESIDENTIALCARE,386396.1903,3867130.605
GUARDIAN ANGELS RESIDENTIAL CARE,2126 SUCCESS ST,NORTH CHARLESTON,SC,29405-7992,Charleston,843-744-0448,"JANKE, BONIFACIA E. PH#: 843-744-0448",GUARDIANANGELSRCF@YAHOO.COM,BONIFACIA.JANKE@YAHOO.COM,CRC-1049 / 11/30/2021,Charleston / Corporation,3204 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7968,GUARDIAN ANGELS ASSISTED LIVING INC,N,N,18,20,-79.97206793,32.8518404,HLRESIDENTIALCARE,596187.4426,3635330.246
HAMMOND PLACE,128 WALNUT LN,NORTH AUGUSTA,SC,29860-9206,Aiken,803-441-8441,"RANDALL, DORENE ANTINETTE PH#: 803-441-8441",DRANDALL@ENLIVANT.COM,DRANDALL@ENLIVANT.COM,CRC-1405 / 11/30/2021,Aiken / ,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,HAMMOND AID OPCO LLC,N,N,44,44,-81.94392484,33.57270425,HLRESIDENTIALCARE,412395.0015,3715178.995
HAMPTON STREET COMMUNITY RESIDENCE,425 HAMPTON ST,DENMARK,SC,29042-1368,Bamberg,803-793-4093, PH#: ,TDAVIS@BCDSNB.ORG,,CRC-1296 / 06/30/2021,Bamberg / ,"16553 HERITAGE HWY, BAMBERG COUNTY DSNB",DENMARK,SC,29042,BAMBERG COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-81.13521893,33.32453911,HLRESIDENTIALCARE,487414.8539,3687274.478
HANNAH RESIDENTIAL MANOR,3750 SHEMINALLY RD,PAMPLICO,SC,29583-5700,Florence,843-493-0001,"HART, PATRICIA W. PH#: 843-493-2752",PATRICIAHART0910@GMAIL.COM,HRM1993@YAHOO.COM,CRC-0712 / 05/31/2022,Florence / Partnership,3750 SHEMINALLY RD,PAMPLICO,SC,29583-5700,PATRICIA W HART & RONALD E HART SR,N,N,48,48,-79.56819309,33.8818065,HLRESIDENTIALCARE,632412.3726,3749973.497
HARBISON SHORES,990 COLUMBIA AVE,IRMO,SC,29063-2854,Lexington,803-749-7889,"TILL, ELAINE PH#: 803-531-5743",NSHANNON@TARANTINO.COM,,CRC-2180 / 05/31/2022,Lexington / Limited Liability Company (multiple member),,,,,TARANTINO SENIOR LIVING COMMUNITIES LLC,Y,Y,82,,-81.173122,34.087204,HLRESIDENTIALCARE,484028.9851,3771838.61
HARBOR COVE MEMORY CARE,48 MAIN ST,HILTON HEAD ISLAND,SC,29926-1647,Beaufort,843-342-7122,"LATHAM, K'LEE PH#: 843-815-2555",KLEE.LATHAM@NAVIONSL.COM,KLEE.LATHAM@NAVIONSL.COM,CRC-2099 / 09/30/2021,Beaufort / Limited Liability,,,,,NAVION BKE HILTON HEAD COURT LLC,Y,Y,36,,-80.717136,32.219457,HLRESIDENTIALCARE,526654.3522,3564796.319
HARBORCHASE OF AIKEN,1385 SILVER BLUFF RD,AIKEN,SC,29803-8860,Aiken,803-721-4639,"GILLIAM, KATHERINE N. PH#: 803-642-8444",NGILLIAM@HRAONLINE.NET,NGILLIAM@HRAONLINE.NET,CRC-1316 / 11/30/2021,Aiken / Corporation,1385 SILVER BLUFF RD,AIKEN,SC,29803-8860,TWENTY TWO PACK MANAGEMENT CORPORATION,Y,Y,110,110,-81.74049678,33.50515409,HLRESIDENTIALCARE,431222.002,3707535.998
HARBORCHASE OF COLUMBIA,120 FAIRFOREST RD,COLUMBIA,SC,29212-2308,Richland,803-615-5735,"CALDWELL, MATTHEW A. PH#: ",MCALDWELL@HRAONLINE.NET,,CRC-1315 / 11/30/2021,Richland / Corporation,120 FAIRFOREST RD,COLUMBIA,SC,29212-2343,TWENTY TWO PACK MANAGEMENT CORPORATION,Y,Y,66,66,-81.14665978,34.07764698,HLRESIDENTIALCARE,486468.6177,3770775.079
HARBORCHASE OF RIVERWALK,749 DUNKINS FERRY RD,ROCK HILL,SC,29730,York,803-393-2983, PH#: ,SJUSTICE@HRAONLINE.NET,,CRC-2033 / 01/31/2022,York / Limited Liability,,,,,RB ROCKHILL PROPERTY LLC,Y,Y,97,,-80.973661,34.97406,HLRESIDENTIALCARE,502404.3045,3870166.7
HARBORCHASE OF ROCK HILL,1611 CONSTITUTION BLVD,ROCK HILL,SC,29732-3047,York,803-981-6855,"PRESSLEY, DEBRIN LEANNE PH#: ",LPRESSLEY@HRAONLINE.NET,LPRESSLEY@HRAOLINE.NET,CRC-1290 / 11/30/2021,York / Corporation,1611 CONSTITUTION BLVD,ROCK HILL,SC,29732-3047,TWENTY TWO PACK MANAGEMENT CORPORATION,Y,Y,110,110,-81.04961696,34.95299469,HLRESIDENTIALCARE,495469.7825,3867831.498
HARMONY AT FIVE FORKS,345 FIVE FORKS RD,SIMPSONVILLE,SC,29681,Greenville,864-412-4700,"LAUGAVITZ, PATRICIA PH#: ",PLAUGAVITZ@HARMONYATFIVEFORKS.COM,,CRC-1960 / 08/31/2021,Greenville / Limited Liability,345 FIVE FORKS RD,SIMPSONVILLE,SC,29681,GREENVILLE OPERATIONS LLC,Y,Y,92,,-82.23225956,34.80452107,HLRESIDENTIALCARE,387284.4632,3852057.439
HARMONY AT WESCOTT PLANTATION,5130 WESCOTT BLVD,SUMMERVILLE,SC,29485,Dorchester,843-486-2712,"PATTERSON, KALEY PH#: 843-486-2712",KPATTERSON@HARMONYARATWESCOTTPLANTATION,,CRC-1596 / 06/30/2021,Dorchester / Limited Liability,5130 WESCOTT BLVD,SUMMERVILLE,SC,29485,CHARLESTON OPERATIONS LLC,Y,Y,105,,-80.14226931,32.94464128,HLRESIDENTIALCARE,580176.8608,3645476.282
HARMONY AT WEST ASHLEY,1925 ESSEX FARMS DR,CHARLESTON,SC,29414,Charleston,843-804-8850,"GRUBER, JEFFREY SCOTT PH#: 843-804-8850",CCURE@HARMONYATWESTASHLEY.COM,,CRC-1899 / 10/31/2021,Charleston / Limited Liability,1925 ESSEX FARMS DR,CHARLESTON,SC,29414,WEST ASHLEY OPERATIONS LLC,Y,Y,105,,-80.05137543,32.80859732,HLRESIDENTIALCARE,588809.0867,3630466.723
HARMONY COLLECTION AT COLUMBIA (AL/MC),2300 CLEMSON RD,COLUMBIA,SC,29229-8029,Richland,803-223-9560,"CUNNINGHAM, BECKIE PH#: ",BCUNNINGHAM@HARMONYATCOLUMBIA.COM,BCUNNINGHAM@HARMONYSENIORSERVICES.COM,CRC-1544 / 03/31/2022,Richland / Limited Liability,2300 CLEMSON RD,COLUMBIA,SC,29229-8029,COLUMBIA AL OPERATIONS LLC,Y,Y,110,,-80.92132461,34.13849901,HLRESIDENTIALCARE,507253.6896,3777515.441
HARMONY COLLECTION AT COLUMBIA (IL),2304 CLEMSON RD,COLUMBIA,SC,29229,Richland,803-451-0653,"CUNNINGHAM, REBECCA W. PH#: 803-451-0653",BCUNNINGHAM@HARMONYATCOLUMBIA.COM,,CRC-1980 / 07/31/2021,Richland / Limited Liability,2304 CLEMSON RD,COLUMBIA,SC,29229,COLUMBIA IL INVESTORS LLC,Y,Y,25,,-80.920752,34.139155,HLRESIDENTIALCARE,507306.5363,3777588.184
HARMONY HOUSE RESIDENTIAL CARE,704 ANDERSON ST,CALHOUN FALLS,SC,29628-1034,Abbeville,864-418-9277,"HERRON, MICHELLE A. PH#: 864-418-9277",HARMONYHOUSERCF@ATT.NET,HARMONYHOUSERCF@ATT.NET,CRC-1511 / 05/31/2022,Abbeville / Limited Liability,704 ANDERSON ST,CALHOUN FALLS,SC,29628-1034,HERRON CARE LLC,N,N,16,,-82.59141235,34.09902162,HLRESIDENTIALCARE,353200.1989,3774278.515
HAVEN IN THE VILLAGE AT CHANTICLEER,355 BERKMANS LN,GREENVILLE,SC,29605-5606,Greenville,864-467-0031, PH#: ,LNEWCOMB@5SSL.COM,,CRC-2125 / 01/31/2022,Greenville / Limited Liability,,,,,SNH SC TENANT LLC,Y,Y,60,,-82.412531,34.812892,HLRESIDENTIALCARE,370807.0195,3853203.145
HEARTLAND HEALTH CARE CENTER-UNION (RESIDENTIAL CARE),709 RICE AVE EXT,UNION,SC,29379-9023,Union,864-427-0306, PH#: ,4031ADMIN@HCR-MANORCARE.COM,,CRC-0576 / 12/31/2021,Union / Limited Liability,709 RICE AVE EXT,UNION,SC,29379-9023,OAKMONT OF UNION SC LLC,N,N,40,40,-81.64648159,34.71875053,HLRESIDENTIALCARE,440805.9017,3842044.496
HEATH SPRINGS RESIDENTIAL CARE CENTER,614 HART ST,HEATH SPRINGS,SC,29058-8411,Lancaster,803-273-3227,"CASSANOVA, CATHY PH#: ; WILLIAMS, SUSAN S. PH#: 803-273-3227",SFBARNES11@GMAIL.COM,,CRC-1903 / 12/31/2021,Lancaster / Corporation,PO BOX 8118,SADDLE BROOK,NJ,07663-8118,HSRCC PARTNERS LLC,N,N,64,,-80.67038419,34.59388799,HLRESIDENTIALCARE,530225.8967,3828057.656
HELENA PLACE,1624 PARIS AVE,PORT ROYAL,SC,29935-2041,Beaufort,843-982-0233,"KESLER, LORIE A. PH#: 843-982-0233",LKESLER@ENLIVANT.COM,LKESLER@ENLIVANT.COM,CRC-1409 / 11/30/2021,Beaufort / ,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,HELENA AID OPCO LLC,N,N,44,44,-80.692194,32.382022,HLRESIDENTIALCARE,528952.838,3582822.904
HELMS-GORDON RESIDENTIAL CARE HOME,714 FUNDERBURKE RD,FORT LAWN,SC,29714-8593,Chester,803-872-4253,"GORDON, MELISSA K. PH#: 803-872-4253",MKGORDON@COMPORIUM.NET,MKGORDON@COMPORIUM.NET,CRC-0527 / 07/31/2021,Chester / Sole Proprietorship,PO BOX 188,FORT LAWN,SC,29714-0188,HELMS-GORDON RESIDENTIAL CARE HOME LLC,N,N,32,32,-80.91152851,34.68903933,HLRESIDENTIALCARE,508103.5934,3838563.153
HERITAGE AT LOWMAN RESIDENTIAL CARE,2101 DUTCH FORK RD,CHAPIN,SC,29036,Richland,803-732-8800,"HYMAN, ASHLEY PH#: 803-732-8800",AHYMAN@THEHERITAGEATLOWMAN.ORG,AHYMAN@THEHERITAGEATLOWMAN.ORG,CRC-0840 / 09/30/2021,Richland / Non-Profit Corporation,PO BOX 444,WHITE ROCK,SC,29177-0444,LUTHERAN HOMES OF SOUTH CAROLINA INC,Y,Y,132,132,-81.2755918,34.14337327,HLRESIDENTIALCARE,474592.4959,3778087.403
HERRIOTT'S RESIDENTIAL CARE FACILITY,114 LIME LN,SUMTER,SC,29150-6630,Sumter,803-773-6882,"YORK-HERRIOTT, LUCINDA PH#: 803-773-6882",LUCINDAHERRIOTT@GMAIL.COM,LUCINDAHERRIOTT@GMAIL.COM,CRC-1013 / 06/30/2022,Sumter / Partnership,1685 REEDROMAN RD,SUMTER,SC,29153-8497,JOHN & LUCINDA HERRIOTT,N,N,14,14,-80.33770786,33.90247351,HLRESIDENTIALCARE,561231.5709,3751539.92
HILLS OF CUMBERLAND VILLAGE,3215 WISE CREEK LN,AIKEN,SC,29801-2534,Aiken,803-641-8444,"CHEATHAM, MELISSA PH#: 803-641-8444",MCHEATHAM@MARRINSON.COM,MCHEATHAM@MARRINSON.COM,CRC-1121 / 09/30/2021,Aiken / Corporation,3215 WISE CREEK LN,AIKEN,SC,29801-2534,MARRINSON GROUP INC,N,N,34,34,-81.77381704,33.55816745,HLRESIDENTIALCARE,428170.9672,3713436.356
HILLTOP OF GREENVILLE MEMORY CARE,352 PELHAM RD,GREENVILLE,SC,29615,Greenville,864-558-0383,"HOWARD, KAYLA PH#: 864-558-0383; JASMON, JOSEPH PH#: ",ED@MEMORYCAREOFGREENVILLECOM,,CRC-1947 / 04/30/2022,Greenville / Limited Liability,545 E JOHN CARPENTER FREEWAY STE 500,IRVING,TX,75062,GREENVILLE MEMORY CARE LLC,Y,Y,54,,-82.340055,34.860755,HLRESIDENTIALCARE,377507.1376,3858420.394
HITCHCOCK PLACE,102 CREPE MYRTLE DR OFC,AIKEN,SC,29803-7552,Aiken,803-649-6439,"FAIRCHILD, JAMES KEVIN PH#: 803-649-6439",LEGALHELP@ENLIVANT.COM,JFAIRFIELD@ENLIVANT.COM,CRC-1412 / 11/30/2021,Aiken / ,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,HITCHCOCK AID OPCO LLC,N,N,44,44,-81.73733846,33.51359869,HLRESIDENTIALCARE,431522.0082,3708470.185
IDA LANE I CRCF,120 IDA LN,COLUMBIA,SC,29203-9234,Richland,803-786-7522,"PRIVETTE-HOLMES, CYNTHIA D. PH#: ",RWROTEN@BABCOCKCENTER.ORG,,CRC-1520 / 03/31/2022,Richland / Corporation,2725 BANNY JONES AVE,WEST COLUMBIA,SC,29170-2109,BABCOCK CENTER INC,N,N,8,,-80.98035325,34.11219588,HLRESIDENTIALCARE,501811.9461,3774596.322
IDA LANE II CRCF,124 IDA LN,COLUMBIA,SC,29203-9234,Richland,803-786-7522,"PRIVETTE-HOLMES, CYNTHIA D. PH#: ",AGASS@BABCOCKCENTER.ORG,,CRC-1518 / 12/31/2021,Richland / Corporation,2725 BANNY JONES AVE,WEST COLUMBIA,SC,29170-2109,BABCOCK CENTER INC,N,N,8,,-80.97957166,34.11218648,HLRESIDENTIALCARE,501884.0292,3774595.294
INDIGO HALL,509 STANDARD WAY,CHARLESTON,SC,29412,Charleston,843-406-4747,"DRINKARD, KRISTY L. PH#: ",ADMINISTRATION@INDIGOHALL.COM,ADMINISTRATION@INDIGOHALL.COM,CRC-1922 / 11/30/2021,Charleston / Limited Liability,,,,,INDIGO HALL OPERATING CO LLC,Y,Y,179,,-79.980562,32.761207,HLRESIDENTIALCARE,595489.5812,3625274.547
INLET COASTAL RESORT,5087 HWY 17 N BP,MURRELLS INLET,SC,29576,Georgetown,843-405-2005, PH#: ,ADMINISTRATOR@INLETCOASTAL.COM,,CRC-1549 / 08/31/2021,Georgetown / Limited Liability,5087 OCEAN HWY 17 N BYPASS,MURRELL'S INLET,SC,29576,INLET COASTAL RESORT LLC,Y,Y,62,,-79.05792714,33.53534178,HLRESIDENTIALCARE,680330.3884,3712326.332
INLET OAKS ASSISTED LIVING COMMUNITY,12287 HWY 707,MURRELLS INLET,SC,29576-9739,Horry,843-357-0317,"GRAHAM, DENISE PH#: ",DENISE@SCSENIORCARE.NET,DENISE@SCSENIORCARE.NET,CRC-1560 / 12/31/2021,Horry / Corporation,12287 HWY 707,MURRELLS INLET,SC,29576-9739,PARTNERS IN HOPE INC,N,N,60,,-79.03949091,33.58037547,HLRESIDENTIALCARE,681948.0404,3717352.591
INVERNESS AT SPARTANBURG,2720 COUNTRY CLUB RD,SPARTANBURG,SC,29302-4473,Spartanburg,864-591-1116, PH#: ,MDEATON@AFFINITYLIVINGGROUP.COM,,CRC-1351 / 07/31/2021,Spartanburg / Limited Liability,PO BOX 2568,HICKORY,NC,28603-2568,DSJ AL HOLDINGS LLC,Y,Y,100,100,-81.8585992,34.93906297,HLRESIDENTIALCARE,421592.3445,3866621.884
IVORYS LOVING CARE II,4108 S RHETT AVE,N CHARLESTON,SC,29405,Charleston,843-554-0733,"SANDERS, JUANITA PH#: 843-654-0733",SISTERSANDERS@COMCAST.NET,SISTERSANDERS@COMCAST.NET,CRC-2092 / 07/31/2021,Charleston / Sole Proprietorship,2827 SPRUILL AVE,NORTH CHARLESTON,SC,29405-8050,"SANDERS, JUANITA",N,Y,10,,-79.98495582,32.86924445,HLRESIDENTIALCARE,594962.8724,3637248.078
IVORY'S LOVING CARE RESIDENTIAL FACILITY,2827 SPRUILL AVE,NORTH CHARLESTON,SC,29405-8050,Charleston,843-745-2339,"SANDERS, JUANITA PH#: 843-745-2339",SISTERSANDERS@COMCAST.NET,SISTERSANDERS@COMCAST.NET,CRC-1383 / 04/30/2022,Charleston / Partnership,2827 SPRUILL AVE,NORTH CHARLESTON,SC,29405-8050,JUANITA SANDERS & GENEVA NELSON,N,N,7,7,-79.96296938,32.85046586,HLRESIDENTIALCARE,597040.3629,3635186.181
IVY GROVE RESIDENTIAL CARE CENTER,483 LOCKHART LN,GAFFNEY,SC,29341-2841,Cherokee,864-487-0869,"MELEKWE, OBIAJULU E. PH#: 864-487-0869",OSKARMANI@AOL.COM,OSKARMANI@AOL.COM,CRC-1458 / 10/31/2021,Cherokee / Ltd. Liability,483 LOCKHART LN,GAFFNEY,SC,29341-2841,HARMONY RESIDENTIAL CARE CENTER LLC,N,Y,62,62,-81.64778595,35.09846898,HLRESIDENTIALCARE,440958.9315,3884154.899
J & T RESIDENTIAL CARE FACILITY,604 WAGON WHEEL RD,HAMPTON,SC,29924-5346,Hampton,803-943-7177,"HAMILTON, DA'ASIA S. PH#: 803-943-7177",JTRESIDENTIALCARE@GMAIL.COM,JTRESIDENTIALCARE@GMAIL.COM,CRC-1094 / 05/31/2022,Hampton / Sole Proprietorship,604 WAGON WHEEL RD,HAMPTON,SC,29924-5346,"MYERS, THELMA S.",N,Y,10,13,-81.05295755,32.89372831,HLRESIDENTIALCARE,495047.0034,3639506.998
J C LARAES SOUTHWINDS ASSISTED LIVING COMMUNITY,308 HUMPHRIES RD,RIDGEWAY,SC,29130-9648,Kershaw,803-438-4052,"OWENS, JUDY W. PH#: 803-438-4052",JUDYOWENS53@YAHOO.COM,"JUDYOWENS53@YAHOO.COM",CRC-1181 / 09/30/2021,Kershaw / Sole Proprietorship,PO BOX 1382,LUGOFF,SC,29078-1382,ANNA L OWENS,N,N,5,7,-80.79773634,34.28765449,HLRESIDENTIALCARE,518615.4282,3794069.796
J J RESIDENTIAL CARE,748 GREEN ST,ORANGEBURG,SC,29115-4805,Orangeburg,803-539-2604,"BLACK, EMILY PH#: 803-539-2604",EYBLACK52@MAIL.COM,,CRC-0831 / 09/30/2021,Orangeburg / Sole Proprietorship,PO BOX 204,ORANGEBURG,SC,29116-0204,BARBARA W IRICK,N,N,10,11,-80.86824853,33.49701153,HLRESIDENTIALCARE,512238.2097,3706395.658
JENNI-LYNN ASSISTED LIVING COMMUNITY,915 HOOK AVE,WEST COLUMBIA,SC,29169-5332,Lexington,803-926-8600,"CARLSON, PAULA PH#: ",GTHOMPSON@PREMIERSL.COM,,CRC-1248 / 09/30/2021,Lexington / Ltd. Liability,915 HOOK AVE,WEST COLUMBIA,SC,29169-5332,JENNI-LYNN ASSISTED LIVING LLC,N,N,63,63,-81.10063518,33.99628156,HLRESIDENTIALCARE,490706.1526,3761748.248
JESSAMINE COMMUNITY RESIDENCE,143 JESSAMINE AVE,GEORGETOWN,SC,29440-5837,Georgetown,843-527-1390,"RANDOLPH, STACEY PH#: 843-527-1390",EKRAUSS@GCBDSN.COM,SANTLEY@GCBDSN.COM,CRC-1445 / 06/30/2022,Georgetown / County,"95 ACADEMY AVE, GEORGETOWN COUNTY DSNB",GEORGETOWN,SC,29440,GEORGETOWN COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,N,N,8,8,-79.28888158,33.40975181,HLRESIDENTIALCARE,659111.9924,3698022.032
JOANNE'S COMMUNITY CARE HOME #1,5048 PERCIVAL RD,ELGIN,SC,29045-9156,Richland,803-736-3860,"CALDWELL, JOANNE M. PH#: 803-736-3860",TOWANA_HAYES@ATT.NET,JOANNESCCH@AOL.COM,CRC-0932 / 06/30/2021,Richland / Sole Proprietorship,PO BOX 23494,COLUMBIA,SC,29224-3494,"CALDWELL, JOANNE M.",N,N,10,10,-80.80785852,34.10872984,HLRESIDENTIALCARE,517721.2217,3774228.496
JOANNE'S COMMUNITY CARE HOME II,756 FARROWOOD DR,COLUMBIA,SC,29223-7801,Richland,803-736-3094,"CALDWELL, JOANNE M. PH#: 803-736-3094",JOANNESCCH@AOL.COM,JOANNESCCH@AOL.COM,CRC-0030 / 03/31/2022,Richland / Sole Proprietorship,PO BOX 23494,COLUMBIA,SC,29224-3494,"CALDWELL, JOANNE M.",N,N,9,9,-80.93897259,34.11109484,HLRESIDENTIALCARE,505628.4023,3774475.746
JOHNSONVILLE ADULT CARE SERVICES,351 S MIDWAY HWY,JOHNSONVILLE,SC,29555-6242,Florence,843-380-0777,"ROBINSON, RHONDA H. PH#: 843-380-0777",JADC2011@YAHOO.COM,JADC2011@YAHOO.COM,CRC-1530 / 11/30/2021,Florence / Ltd. Liability,PO BOX 1118,JOHNSONVILLE,SC,29555-1118,JOHNSONVILLE ADULT CARE SERVICES LLC,N,N,22,,-79.472263,33.80814129,HLRESIDENTIALCARE,641406.0275,3741932.512
JOSHUAS FOUNDATION,388 ELBOW CIR,RIDGEWAY,SC,29130,Fairfield,803-337-8701,"HAYES, TOWANA PH#: 803-337-8701",MBERNARDEZ@JOSHUASFOUNDATION.ORG,TOWANA_HAYSE@ATT.NET,CRC-0659 / 02/28/2022,Fairfield / Non-Profit Corporation,"388 ELBOW CIR, PO BOX 35",RIDGEWAY,SC,29130,JOSHUA'S FOUNDATION INC,N,N,20,20,-80.94217531,34.30077594,HLRESIDENTIALCARE,505321.091,3795507.748
JOSIE DRIVE COMMUNITY RESIDENCE,210 JOSIE DR,WALTERBORO,SC,29488-2791,Colleton,843-549-6979,"FARMER, THERESA L. PH#: 843-549-6979",TFARMER@COLLETONDSN.ORG,TFARMER@COLLETONDSN.ORG,CRC-1528 / 09/30/2021,Colleton / State,210 JOSIE DR,WALTERBORO,SC,29488-2791,COLLETON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,N,N,8,,-80.67194037,32.9161129,HLRESIDENTIALCARE,530675.0011,3642034.997
JOY COMMUNITY CARE HOME,6800 DOBY DR,COLUMBIA,SC,29203-5133,Richland,803-754-3157,"DOUGLAS, JONATHAN PH#: 803-754-3157",JDQCSI@AOL.COM,JDQCSI@AOL.COM,CRC-0961 / 11/30/2021,Richland / Sole Proprietorship,PO BOX 25215,COLUMBIA,SC,29224-5215,"SCOTT, DEBORAH A.",N,N,10,11,-80.98674285,34.06559776,HLRESIDENTIALCARE,501223.3269,3769429.445
KEMPTON OF GREENVILLE,1560 THORNBLADE BLVD,GREER,SC,29650-4520,Greenville,864-968-1277,"FREEMAN, LEIGHA M. PH#: 864-601-1440",LEFREEMAN@LIBERTYSENIORLIVING.COM,LEIGHA.FREEMAN@QUILLENMANORLIVING.COM,CRC-2021 / 09/30/2021,Greenville / Limited Liability,ONE TOWN CENTER RD STE 300,BOCA RATON,FL,33486,GREENVILLE SENIOR HOUSING I OPCO LLC,Y,Y,100,,-82.256996,34.869968,HLRESIDENTIALCARE,385112.7649,3859343.767
KENSINGTON I,100 KENSINGTON RD,COLUMBIA,SC,29203-5451,Richland,803-931-3263, PH#: ,C.WRIGHT@CHESCOSERVICES.ORG,,CRC-1532 / 06/30/2022,Richland / Sole Proprietorship,"110 PONTIAC BUSINESS CENTER DR STE C, CHESCO SERVICES",ELGIN,SC,29045,CHESCO SERVICES,N,N,8,,-81.05749915,34.03091253,HLRESIDENTIALCARE,494692.0021,3765584.997
KENSINGTON II GROUP HOME,120 KENSINGTON RD,COLUMBIA,SC,29203-5451,Richland,803-252-0848,"TURNER, SUSAN PH#: 803-252-0848",C.WRIGHT@CHESCOSERVICES.ORG,S.TURNER@CHESCOSERVICES.ORG,CRC-1536 / 11/30/2021,Richland / Sole Proprietorship,,,,,CHESCO SERVICES,N,N,8,,-81.10957555,33.97542385,HLRESIDENTIALCARE,489878.0195,3759436.437
KEOWEE PLACE,475 ROCHESTER HWY,SENECA,SC,29672,Oconee,864-886-0070, PH#: ,LEGALHELP@ENLIVANT.COM,,CRC-1460 / 12/31/2021,Oconee / Ltd. Liability,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,INN AT SENECA AID OPCO LLC,N,N,50,50,-82.92747218,34.71052328,HLRESIDENTIALCARE,323486.0027,3842632.998
KIVA LODGE,200 CLAUDE BUNDRICK RD,BLYTHEWOOD,SC,29016-9420,Richland,803-764-2761, PH#: ,JJAY@MHA-SC.ORG,,CRC-1092 / 07/31/2021,Richland / Corporation,1823 GADSDEN ST,COLUMBIA,SC,29201-2344,MENTAL HEALTH AMERICA OF SOUTH CAROLINA,N,N,5,5,-80.91849826,34.21360099,HLRESIDENTIALCARE,507507.619,3785843.046
L & B CARE HOME,924 BARR WOODS RD,SALUDA,SC,29138-8191,Saluda,864-993-3072,"GOLDMAN, LESA L. PH#: 864-993-3072",JWLONG@EMBARQMAIL.COM,JWLONG@EMBARQMAIL.COM,CRC-0530 / 07/31/2014,Saluda / Partnership,PO BOX 384,SALUDA,SC,29138-0384,LESA L GOLDMAN & FAYE LONG,N,N,24,27,-81.70457386,34.04673837,HLRESIDENTIALCARE,434969.1717,3767562.123
LADIES COMMUNITY RESIDENCE,408 WEBB ST,CONWAY,SC,29527-5842,Horry,843-349-7271,"CORNELL, TERRY PH#: 843-349-7271",JBROMELL@HCDSN.ORG,ACORNELL@HCDSN.ORG,CRC-1449 / 07/31/2021,Horry / County,408 WEBB ST,CONWAY,SC,29527-5842,HORRY COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-79.08003558,33.81729794,HLRESIDENTIALCARE,677696.0012,3743555.998
