Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,License / Expiration,Ownership Type,Licensee,Capacity,Longitude,Latitude
MIDWAY RESIDENTIAL CARE FACILITY #5,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0616 / 12/31/2021,Spartanburg / Corporation,MIDWAY RESIDENTIAL CARE FACILITY INC,12,-82.06385528,34.88468572
MILL CREEK MANOR,651 POLO RD,COLUMBIA,SC,29223-2905,Richland,803-788-9555,GILLES.OUELLETTE@MAINSTAYFINANCIAL.COM,CRC-2174 / 10/31/2021,Richland / Limited Liability,MAINSTAY HEALTHCARE MILL CREEK LLC,59,-80.891944,34.092572
MILL STREET COMMUNITY RESIDENCE,415 MILL ST,LAURENS,SC,29360-1905,Laurens,864-984-3506,KMCGOWAN@LCDSNB.ORG,CRC-1419 / 12/31/2021,Laurens / Non-Profit Corporation,LAURENS COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-82.00547124,34.50656456
MILLER PLACE RESIDENTIAL CARE,140 COX ST,SPARTANBURG,SC,29306-4807,Spartanburg,864-573-7008,LAMAR@MILLERPLACESC.COM,CRC-2166 / 02/28/2022,Spartanburg / Partnership,FRANK HENDERSON & EDWARD HARRISON,19,-81.930064,34.917964
MIRCI GROUP HOME I,581 BECKMAN RD,COLUMBIA,SC,29203-3207,Richland,803-754-4221,JAVIN@MIRCI.ORG,CRC-1443 / 06/30/2021,Richland / Corporation,MENTAL ILLNESS RECOVERY CENTER INC,6,-80.99371764,34.08179543
MIRCI GROUP HOME II,611 BECKMAN RD,COLUMBIA,SC,29203-3282,Richland,803-754-8894,TCOLLINS@MIRCI.ORG,CRC-1444 / 06/30/2021,Richland / Corporation,MENTAL ILLNESS RECOVERY CENTER INC,6,-80.99487706,34.08112215
MORNINGSIDE OF ANDERSON,1304 MCLEES RD,ANDERSON,SC,29621-3345,Anderson,864-964-9088,LICENSING@5SSL.COM,CRC-2132 / 01/31/2022,Anderson / Limited Liability,SNH SC TENANT LLC,88,-82.630424,34.525972
MORNINGSIDE OF BEAUFORT,109 OLD SALEM RD,BEAUFORT,SC,29902-5113,Beaufort,843-982-0220,TSIEGNER@5SSL.COM,CRC-2130 / 01/31/2022,Beaufort / Limited Liability,SNH SC TENANT LLC,49,-80.713423,32.426299
MORNINGSIDE OF CAMDEN,715 KERSHAW HWY,CAMDEN,SC,29020-1634,Kershaw,803-713-8668,CJHOWELL@5SSL.COM,CRC-2133 / 01/31/2022,Kershaw / Limited Liability,SNH SC TENANT LLC,49,-80.611492,34.29149
MORNINGSIDE OF GREENWOOD,116 ENTERPRISE CT,GREENWOOD,SC,29649-1666,Greenwood,864-388-9433,LICENSING@5SSL.COM,CRC-2131 / 01/31/2022,Greenwood / Limited Liability,SNH SC TENANT LLC,49,-82.16408,34.215145
MORNINGSIDE OF HARTSVILLE,1901 W CAROLINA AVE,HARTSVILLE,SC,29550-4701,Darlington,843-857-0159,JFLICK@5SSL.COM,CRC-2128 / 01/31/2022,Darlington / Limited Liability,SNH SC TENANT LLC,54,-80.123997,34.364772
MORNINGSIDE OF LANCASTER,1004 HARDIN ST,LANCASTER,SC,29720-1609,Lancaster,803-801-1288,LICENSING@5SSL.COM,CRC-1146 / 03/31/2021,Lancaster / Limited Liability Limited Partnership,MORNINGSIDE OF SOUTH CAROLINA LP,65,-80.78661668,34.74418965
MORNINGSIDE OF LEXINGTON,218 OLD CHAPIN RD,LEXINGTON,SC,29072-2030,Lexington,803-957-3600,LICENSING@5SSL.COM,CRC-2126 / 01/31/2022,Lexington / Limited Liability,SNH SC TENANT LLC,49,-81.247121,33.993301
MORNINGSIDE OF ORANGEBURG,2306 RIVERBANK DR,ORANGEBURG,SC,29118-4046,Orangeburg,803-539-2911,RMBRUNSON@5SSL.COM,CRC-2129 / 01/31/2022,Orangeburg / Limited Liability,SNH SC TENANT LLC,49,-80.895706,33.511908
MORNINGSIDE OF ROCK HILL,1830 W MAIN ST,ROCK HILL,SC,29732-8965,York,803-980-4100,WLONG@5SSL.COM,CRC-1114 / 08/31/2021,York / Limited Liability Limited Partnership,MORNINGSIDE OF SOUTH CAROLINA LP,60,-81.06294681,34.94277616
MORNINGSIDE OF SENECA,15855 WELLS HWY,SENECA,SC,29678-1078,Oconee,864-888-8886,LICENSING@5SSL.COM,CRC-2127 / 01/31/2022,Oconee / Limited Liability,SNH SC TENANT LLC,59,-82.990543,34.682958
MORNINGSIDE OF SUMTER,2500 LIN-DO CT,SUMTER,SC,29150-1832,Sumter,803-469-4490,LICENSING@5SSL.COM,CRC-1079 / 04/30/2021,Sumter / Limited Liability Limited Partnership,MORNINGSIDE OF SOUTH CAROLINA LP,55,-80.397983,33.95341
MOUNT PLEASANT GARDENS,1025 HUNGRYNECK BLVD,MOUNT PLEASANT,SC,29464,Charleston,843-216-1001,MOUNTPLEASANTGARDENS-ADM@JEASENIORLIVING,CRC-1984 / 06/30/2021,Charleston / Limited Liability,MOUNT PLEASANT MANAGEMENT LLC,71,-79.83753789,32.81968335
MY FATHER'S HOUSE,22 LARNES ST,CHARLESTON,SC,29403-2636,Charleston,843-723-7889,EMCCREA@BELLSOUTH.NET,CRC-0459 / 02/28/2022,Charleston / Partnership,JOSEPHINE STENT & ELOISE CHESTNUT,10,-79.95038129,32.79532755
MY MOTHER'S KEEPER,1609 HWY 41,MOUNT PLEASANT,SC,29464,Charleston,843-884-8867,MYMOTHERSKEEPER1@AOL.COM,CRC-1840 / 02/28/2022,Charleston / Sole Proprietorship,MY MOTHERS KEEPER LLC,8,-79.810259,32.881611
MYERS RESIDENTIAL CARE FACILITY,365 CALDON RD,SWANSEA,SC,29160-9541,Calhoun,803-568-3582,MYERSRCF@PBTCOMM.NET,CRC-0644 / 08/31/2021,Calhoun / Partnership,LOUISE AND DAVID MYERS JR,5,-81.03829662,33.7052714
MYERS RESIDENTIAL CARE FACILITY II,365 CALDON RD,SWANSEA,SC,29160-9541,Calhoun,803-568-3582,MYERSRCF@PBTCOMM.NET,CRC-0851 / 01/31/2022,Calhoun / Partnership,LOUISE AND DAVID MYERS JR,7,-81.03829565,33.70526237
MYRTLE BEACH ESTATES,3620 HAPPY WOODS CT,MYRTLE BEACH,SC,29588-2925,Horry,843-293-8888,TERRI.BAKER@JEASENIORLIVING.COM,CRC-1403 / 11/30/2021,Horry / Corporation,CSL LEASECO INC,142,-78.97096118,33.67066638
MYRTLE BEACH MANOR RETIREMENT COMMUNITY,9547 HWY 17 N,MYRTLE BEACH,SC,29572-0000,Horry,843-449-5283,LICENSING@5SSL.COM,CRC-2123 / 01/31/2022,Horry / Limited Liability,SNH SC TENANT LLC,111,-78.798224,33.775337
NEW BEGINNINGS OF PINEVILLE,212 MITCHELLBAY LN,PINEVILLE,SC,29468-3200,Berkeley,843-351-2240,NEW.BEGINNINGS@TDS.NET,CRC-1521 / 04/30/2022,Berkeley / Corporation,NEW BEGININGS RESIDENTIAL CARE FACILITY,4,-80.04276054,33.42092291
NEW HAVEN,2585 HWY 179,LITTLE RIVER,SC,29566,Horry,843-491-9290,BGODARD@COMPASSRE.COM,CRC-2039 / 02/28/2022,Horry / ,BFG COMPASS LITTLE RIVER PROPCO IV LLC,90,-78.587687,33.890729
NEW LIGHT COMMUNITY CARE,120 ADDY LN,LEXINGTON,SC,29072-3405,Lexington,803-490-1428,NEWLIGHTCRF@YAHOO.COM,CRC-1958 / 03/31/2022,Lexington / Non-Profit Corporation,NEW LIGHT COMMUNITY RESOURCE FOUNDATION,14,-81.237385,33.978203
NORTH HAVEN RESIDENTIAL CARE HOME,4326 LESLIE ST,NORTH CHARLESTON,SC,29418-5441,Charleston,843-767-2541,NORAALFLLC@YAHOO.COM,CRC-0877 / 08/31/2021,Charleston / Corporation,NORTH HAVEN RESIDENTIAL CARE HOME INC,16,-80.05199993,32.865
NORTH PINES COMMUNITY RESIDENCE,313 N PINES RD,BLYTHEWOOD,SC,29016-8788,Richland,803-754-6213,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1504 / 04/30/2022,Richland / Sole Proprietorship,CHESCO SERVICES,8,-80.97881946,34.14871628
NORTH POINTE ASSISTED LIVING,701 SIMPSON RD,ANDERSON,SC,29621-3077,Anderson,864-226-5505,JPRESTON@CAPITALSENIORLIVING.NET,CRC-1454 / 10/31/2021,Anderson / Limited Liability,CSL NORTH POINTE SC LLC,70,-82.61267366,34.53521388
OAKBRIDGE TERRACE AT PARK POINTE VILLAGE,3025 CHESBROUGH BLVD,ROCK HILL,SC,29732-8078,York,803-327-4723,STEVEN.ROBISON@ACTSLIFE.ORG,CRC-2030 / 09/30/2021,York / Corporation,ACTS RETIREMENT-LIFE COMMUNITIES INC,20,-81.099979,34.955434
OAKLEAF VILLAGE OF LEXINGTON,800 N LAKE DR,LEXINGTON,SC,29072-2903,Lexington,803-808-3477,AELLIOTT@LIBERTYSENIORLIVING.COM,CRC-2014 / 09/30/2021,Lexington / Limited Liability,LEXINGTON SENIOR HOUSING I OPCO LLC,100,-81.231367,33.992086
OAKRIDGE COMMUNITY CARE HOME #1,2470 OLD MILL RD,INMAN,SC,29349-9276,Spartanburg,864-472-6979,OAKRIDGEONE@GMAIL.COM,CRC-0241 / 08/31/2021,Spartanburg / Corporation,OAKRIDGE COMMUNITY CARE HOME INC,38,-82.09751909,35.08569759
OAKRIDGE COMMUNITY CARE HOME #2,35 S HOWARD ST,INMAN,SC,29349-1339,Spartanburg,864-621-4958,OAKRIDGEONE@GMAIL.COM,CRC-0429 / 04/30/2021,Spartanburg / Corporation,OAKRIDGE COMMUNITY CARE HOME INC,10,-82.08604006,35.04638856
OAKS ASSISTED LIVING,1000 METHODIST OAKS DR,ORANGEBURG,SC,29115-1813,Orangeburg,803-534-1212,CLAY.FOWLERHEALTHCAREENTERPRISE@GMAIL.CO,CRC-2190 / 03/31/2022,Orangeburg / Limited Liability,OAKS HEALTHCARE LLC,40,-80.86264,33.492052
OAKS OF LORIS,260 WATSON HERITAGE RD,LORIS,SC,29569,Horry,843-716-4673,JOANN@SCSENIORCARE.NET,CRC-1547 / 06/30/2021,Horry / Corporation,PARNERS IN HOPE INC,60,-78.8805054,34.01858633
OAKVIEW BOARDING HOME,1818 S LIVE OAK DR,MONCKS CORNER,SC,29461-7216,Berkeley,843-761-3273,BIASCANA@YAHOO.COM,CRC-1153 / 04/30/2022,Berkeley / Corporation,OAKVIEW BOARDING HOME INC,10,-80.06215812,33.14452406
OAKVIEW PARK ASSISTED LIVING,110 HOOD RD,GREENVILLE,SC,29611,Anderson,864-412-8990,ASURLS@ATLASSENIORLIVING.COM,CRC-2064 / 02/28/2022,Anderson / Limited Liability,AFF18 OAKVIEW PARK ALF LLC,90,-82.48555862,34.79202844
OASIS RESIDENTIAL HOME,2317 PRINCE ST,GEORGETOWN,SC,29440-2925,Georgetown,843-527-4848,OASISINC2001@YAHOO.COM,CRC-1219 / 08/31/2021,Georgetown / Corporation,OASIS RESIDENTIAL HOME INC,22,-79.30419427,33.37975413
OLIVER'S CARE HOME,1200 LAWHORN RD,BLYTHEWOOD,SC,29016-8975,Richland,803-754-3585,OLIVERCAREHOME1941@GMAIL.COM,CRC-1480 / 08/31/2021,Richland / Limited Liability,OLIVER CARE HOME LLC,5,-80.90022306,34.2295243
PACIFICA SENIOR LIVING SKYLYN,1705 SKYLN DR,SPARTANBURG,SC,29307,Spartanburg,864-582-6838,ED.SKYLYN@PACIFICASENIORLIVING.COM,CRC-1950 / 12/31/2021,Spartanburg / Limited Liability,PACIFICA SKYLYN LLC,169,-81.891758,34.97971
PADD-WREN HOME,2350 REGIONAL RD,FLORENCE,SC,29501-7028,Florence,843-673-1005,KTUMBLESON@PADDSC.ORG,CRC-1451 / 07/31/2021,Florence / Non-Profit Corporation,PRESBYTERIAN AGENCY FOR THE DEVELOPMENTALLY DISABLED INC,6,-79.81264491,34.23637751
PAGELAND CARE FACILITY,206 S GUM ST,PAGELAND,SC,29728-2304,Chesterfield,843-672-5930,PAGECARE@SHTC.NET,CRC-0999 / 04/30/2022,Chesterfield / Corporation,FUNDERBURK ASSOCIATES INC,58,-80.3851908,34.77186153
PALMETTO GARDENS,425 S WHEELER AVE,PROSPERITY,SC,29127,Newberry,803-364-9113,PALMETTOGARDENSRESIDENTIAL@GMAIL.COM,CRC-1916 / 04/30/2022,Newberry / Sole Proprietorship,YVONNE HARRISON,30,-81.519725,34.213567
PALMETTO RESIDENTIAL CARE OF NORTH CHARLESTON,2834 SPRUILL AVE,NORTH CHARLESTON,SC,29405-8051,Charleston,843-566-1509,PATCH29311@HOTMAIL.COM,CRC-1322 / 08/31/2021,Charleston / Corporation,EVERGREEN RESIDENTIAL CARE INC,12,-79.96270728,32.85075893
PALMETTO RIDGE ASSISTED LIVING & MEMORY CARE,840 MANOR RD,CHERAW,SC,29520-4035,Chesterfield,843-537-4197,PALMETTORIDGE@YAHOO.COM,CRC-1393 / 03/31/2022,Chesterfield / Limited Liability,PALMETTO RIDGE ASSISTED LIVING AND MEMORY CARE LLC,106,-79.91543182,34.67660369
PALMETTO VILLAGE OF CHESTER,570 CENTER ST,CHESTER,SC,29706-1342,Chester,803-581-7319,ATKAZER@GMAIL.COM,CRC-1399 / 06/30/2022,Chester / Ltd. Liability,BHM OF CHESTER LLC,100,-81.22661155,34.71957419
PALMETTOS OF BLUFFTON,3035 OAKATIE HWY,OKATIE,SC,29909-5101,Beaufort,843-707-9400,STACY.FLOYD@NHCCARE.COM,CRC-1648 / 03/31/2022,Beaufort / Limited Liability Company (multiple member),PALMETTOS OF BLUFFTON LLC,88,-80.947212,32.275101
PALMETTOS OF CHARLESTON,1900 ASHLEY CROSSING DR,CHARLESTON,SC,29414-5751,Charleston,843-852-0505,MEGAN.MARTIN@NHCCARE.COM,CRC-1263 / 07/31/2021,Charleston / Limited Liability,NHC PLACE-CHARLESTON LLC,60,-80.03699674,32.81596346
PALMETTOS OF GARDEN CITY,9415 HWY 17 BYPASS,MURRELLS INLET,SC,29576,Horry,843-668-2500,TERI.CRONIN@NHCCARE.COM,CRC-1649 / 06/30/2022,Horry / Limited Liability Company (multiple member),PALMETTOS OF GARDEN CITY LLC,90,-79.01918531,33.59863024
PALMETTOS OF MAULDIN,810 E BUTLER RD,GREENVILLE,SC,29607-5842,Greenville,864-627-0803,KATHRYN.DAVIS@NHCCARE.COM,CRC-1503 / 03/31/2022,Greenville / Ltd. Liability,NHC HEALTHCARE/MAULDIN LLC,60,-82.28498821,34.80184752
PALMETTOS OF PARKLANE,7811 PARKLANE RD,COLUMBIA,SC,29223-5620,Richland,803-741-7233,KIMBERLY.DAVILA@NHCCARE.COM,CRC-1513 / 04/30/2022,Richland / Limited Liability,PALMETTOS OF PARKLANE LLC,85,-80.95909494,34.08311083
PALMS ON MAIN ASSISTED LIVING FACILITY,1267 N MAIN ST,SUMTER,SC,29153-2138,Sumter,803-774-5700,HRMHCW@YAHOO.COM,CRC-1442 / 05/31/2022,Sumter / Non-Profit Corporation,EMPOWERED PERSONAL CARE HOME HEALTH ALLIANCE INC,79,-80.34052954,33.95578737
PARK CIRCLE HOME 1,1133 BEXLEY ST,NORTH CHARLESTON,SC,29405-4726,Charleston,843-442-7173,EJC@GMAIL.COM,CRC-1992 / 11/30/2021,Charleston / Limited Liability,WINDSOR HILL RCF LLC,5,-79.981829,32.873666
PARK CIRCLE HOME 2,1131 BEXLEY ST,NORTH CHARLESTON,SC,29405-4726,Charleston,843-442-7173,EJC@GMAIL.COM,CRC-1993 / 11/30/2021,Charleston / Limited Liability,WINDSOR HILL RCF LLC,5,-79.981604,32.873895
PARKER,12 BOYCE AVE,GREENVILLE,SC,29601,Greenville,864-250-1188,DMCHARG@INSPIRITSENIORLIVING.COM,CRC-2136 / 01/31/2022,Greenville / Limited Liability,THE PARKER OPERATOR LLC,115,-82.386611,34.850065
PASSIONATE CARE COMMUNITY CENTER,2206 HERTFORD DR,COLUMBIA,SC,29210-6130,Richland,803-834-4544,MARTINDONALD49@YAHOO.COM,CRC-1500 / 12/31/2021,Richland / Sole Proprietorship,"MARTIN, DONALD E.",5,-81.09044813,34.05370486
PEARL AT FIVE FORKS,15 FIVE FORKS RD,SIMPSONVILLE,SC,29681,Greenville,864-568-3833,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,CRC-2003 / 01/31/2022,Greenville / Limited Liability,PSL SIMPSONVILLEE SUBTENANT LLC,64,-82.254521,34.795992
PEARL AT FORT MILL,1061 GOLD HILL RD,FORT MILL,SC,29708,York,803-548-3825,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,CRC-2147 / 10/31/2021,York / Limited Liability,PEARL AT FORT MILL LLC,54,-81.030873,33.999451
PEARL AT PORT ROYAL,1251 LADYS ISLAND DR,PORT ROYAL,SC,29935-1106,Beaufort,843-521-2298,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,CRC-0733 / 01/31/2022,Beaufort / ,CARE RSL PORT ROYAL OPCO LLC,62,-80.68313491,32.39451085
PEE DEE GARDENS,3117 W PALMETTO ST,FLORENCE,SC,29501,Florence,843-667-6699,TCOOKE-EVANS@DEPAUL.ORG,CRC-1391 / 05/31/2022,Florence / Corporation,DEPAUL ADULT CARE COMMUNITIES INC,80,-79.8418261,34.1707095
PENDLETON MANOR,414 SUMMIT DR,GREENVILLE,SC,29609-4821,Greenville,864-271-7562,REATHA@PENDLETONMANOR.COM,CRC-1455 / 08/31/2021,Greenville / Ltd. Liability,GREENVILLE RETIREMENT PROPERTIES LLC,65,-82.38308098,34.87421577
PETTIS ANGELS RESIDENTIAL CARE,2614 MADDEN DR,NORTH CHARLESTON,SC,29405-5529,Charleston,843-308-9413,SPETTIS@KNOLOGY.NET,CRC-0850 / 01/31/2022,Charleston / Sole Proprietorship,"PETTIS, ETHEL S.",5,-79.99272161,32.85225047
PHOENIX AT GREER,715 S BUNCOMBE RD,GREER,SC,29650-2208,Greenville,864-469-0409,JACKIE.MAGNES@PHOENIXSRLIVING.COM,CRC-2146 / 11/30/2021,Greenville / Limited Liability,PHOENIX AT GREER LLC,110,-82.241891,34.925248
PIEDMONT PATHWAYS COMMUNITY RESIDENTIAL CARE FACILITY,5640 LOWER RICHLAND BLVD,HOPKINS,SC,29061-9525,Richland,803-783-2273,GWENDOLYN.SCOTT@SCDMH.ORG,CRC-2134 / 06/30/2021,Richland / State,SC DEPARTMENT OF MENTAL HEALTH,15,-80.875187,33.918902
PINEDALE RESIDENTIAL CENTER,798 HERMITAGE POND RD,CAMDEN,SC,29020-9534,Kershaw,803-432-9900,PHUDSON83@YAHOO.COM,CRC-0460 / 02/28/2021,Kershaw / Corporation,SHARECARE CORPORATION,50,-80.5468209,34.24243419
PINEWOOD PLACE,101 CENTENNIAL BLVD,GOOSE CREEK,SC,29445-7079,Berkeley,843-569-2520,AKOVACH@ENLIVANT.COM,CRC-1406 / 11/30/2021,Berkeley / Limited Liability,PINEWOOD AID OPCO LLC,44,-80.06600002,33.01699997
PLACE AT SHADOW OAKS,108 GREGG AVE,AIKEN,SC,29801-6816,Aiken,803-643-0300,STEPHANIEFRISON@SHADOW-OAKS.COM,CRC-2175 / 01/31/2022,Aiken / Limited Liability,PLACE AT SHADOW OAKS LLC,56,-81.758844,33.565984
PONDVIEW RESIDENTIAL CARE HOME #1,5342 HARDSCRABBLE RD,BLYTHEWOOD,SC,29016-9171,Richland,803-735-0420,ADMIN@UNIVERSALCARESOLUTIONS.COM,CRC-0378 / 04/30/2022,Richland / Sole Proprietorship,"THOMAS, KATHERINE W.",12,-80.90617574,34.19125262
PONDVIEW RESIDENTIAL CARE HOME #2,5338 HARDSCRABBLE RD,BLYTHEWOOD,SC,29016-9171,Richland,803-735-0420,ADMIN@UNIVERSALCARESOLUTIONS.COM,CRC-1190 / 11/30/2021,Richland / Sole Proprietorship,"THOMAS, KATHERINE W.",5,-80.90618377,34.19122427
PORTSIDE AT GRANDE DUNES,901 PORTSIDE DR,MYRTLE BEACH,SC,29572,Horry,843-999-2494,ADMINISTRATOR@PORTSIDEGRANDEDUNES.COM,CRC-1995 / 02/28/2022,Horry / Limited Liability,PORTSIDE RESIDENCES LLC,120,-78.8030236,33.7596856
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-CLINTON,801 MUSGROVE ST,CLINTON,SC,29325-1796,Laurens,864-833-5190,PAUL.PRIDMORE@PRESCOMM.ORG,CRC-0014 / 04/30/2022,Laurens / Non-Profit Corporation,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,55,-81.87427782,34.48477046
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-COLUMBIA,700 DAVEGA DR,LEXINGTON,SC,29073-9698,Lexington,803-796-8700,JASON.BASILE@PRESCOMM.ORG,CRC-0387 / 06/30/2021,Lexington / Non-Profit Corporation,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,91,-81.12954037,34.02224697
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FLORENCE,2350 W LUCAS ST,FLORENCE,SC,29501-1201,Florence,843-665-2222,MEREDITH.SCOTT@PRESCOMM.ORG,CRC-0242 / 09/30/2021,Florence / Corporation,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,47,-79.80958455,34.23672235
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FOOTHILLS,205 BUD NALLEY DR,EASLEY,SC,29642,Pickens,864-859-3367,LESLIE.FRYAR@PRESCOMM.ORG,CRC-1030 / 07/31/2021,Pickens / Non-Profit Corporation,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,52,-82.54055426,34.79826092
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-SUMMERVILLE,201 W 9TH NORTH ST,SUMMERVILLE,SC,29483-6721,Dorchester,843-873-2550,TIM.BARRESI@PRESCOMM.ORG,CRC-0245 / 09/30/2021,Dorchester / Non-Profit Corporation,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,114,-80.16812989,33.03323019
PRESIDENTIAL COMMUNITY CARE HOME FACILITY,2019 HACKEMANN AVE,NORTH CHARLESTON,SC,29405-8323,Charleston,843-459-2149,PRESIDENTIALCRCF@GMAIL.COM,CRC-1869 / 02/28/2022,Charleston / Limited Liability,PRESIDENTIAL COMMUNITY CARE HOME FACILITY LLC,5,-79.960634,32.840862
QUALITY CARE RESIDENTIAL HOME,107 ETLING AVE,GOOSE CREEK,SC,29445-3001,Berkeley,843-863-0209,BRUCE@JONESMGTREALTY.COM,CRC-0715 / 01/31/2022,Berkeley / ,QUALITY CARE RESIDENTIAL HOME SC LLC,29,-80.04260762,32.99981334
QUIET ACRES RETIREMENT HOME,2968 OLD DOUGLAS MILL RD,HODGES,SC,29653-8930,Abbeville,864-446-2264,JOYMULL4@CS.COM,CRC-0588 / 05/31/2022,Abbeville / Limited Liability,PROMISES KEPT CUSTOMER SERVICE LLC,10,-82.32191099,34.26798662
QUILLEN MANOR,709 QUILLEN AVE,FOUNTAIN INN,SC,29644-9444,Greenville,864-601-1440,LOUISG@GARRARDINC.COM,CRC-1321 / 06/30/2022,Greenville / Limited Liability,QUILLEN MANOR LLC,78,-82.20011309,34.70782334
RAPHA RESIDENTIAL CARE INC,3959 FISH HATCHERY RD,GASTON,SC,29053-9038,Lexington,803-755-6541,RAPHAED@ATT.NET,CRC-1283 / 04/30/2022,Lexington / Limited Liability Limited Partnership,MASTERMIND LIMITED PARTNERSHIP LLP,92,-81.14900256,33.84168791
REESE'S COMMUNITY CARE HOME #1,1203 E MULLER AVE,COLUMBIA,SC,29203-5926,Richland,803-786-1843,SHARON12357@GMAIL.COM,CRC-0053 / 03/31/2022,Richland / Corporation,REESE'S COMMUNITY CARE HOME INC,8,-81.03369287,34.04519002
REESE'S COMMUNITY CARE HOME #2,717 CINDY DR,COLUMBIA,SC,29203-5205,Richland,803-609-2629,SHARON12357@GMAIL.COM,CRC-0054 / 03/31/2022,Richland / Sole Proprietorship,REESE'S COMMUNITY CARE HOME INC,5,-80.98559742,34.07162002
REFLECTIONS AT CAROLINA FOREST,219 MIDDLEBURG DR,MYRTLE BEACH,SC,29579-3409,Horry,843-903-0700,CHELSEA@REFLECTIONSASSISTEDLIVING.COM,CRC-1456 / 11/30/2021,Horry / Corporation,REFLECTIONS AT CAROLINA FOREST INC,42,-78.95798294,33.7625952
REID HOUSE,117 DODD ST,WELLFORD,SC,29385-9475,Spartanburg,864-949-5120,KDANIELS@THE-REIDHOUSE.COM,CRC-1463 / 03/31/2022,Spartanburg / Corporation,REID HOUSE,42,-82.10312949,34.94627611
REID'S RESIDENTIAL CARE FACILITY,726 OLD SPARTANBURG HWY,WELLFORD,SC,29385-9668,Spartanburg,864-439-9238,ADMIN@REIDSRCF.COM,CRC-0771 / 05/31/2022,Spartanburg / Sole Proprietorship,JUDY DANIELS,23,-82.10362168,34.94578194
RENAISSANCE,19 FRANK PRESSLEY DR,DUE WEST,SC,29639,Abbeville,864-379-2570,DLITTLE3@MINDSPRING.COM,CRC-1207 / 12/31/2021,Abbeville / Corporation,RENAISSANCE LLC,20,-82.396697,34.330066
RESIDENCES AT PARK PLACE,115 GILLESPIE RD,SENECA,SC,29678-1126,Oconee,864-882-0783,KHICKS@MSAHEALTHCARE.COM,CRC-1493 / 08/31/2021,Oconee / Corporation,AMERICAN SENIOR LIVING COMMUNITIES INC,100,-82.98719769,34.68523578
RESTING PLACE 2,207 E SHOCKLEY FERRY RD,ANDERSON,SC,29624-3731,Anderson,864-905-1768,0911BEAUTYJ@GMAIL.COM,CRC-2176 / 10/31/2021,Anderson / Limited Liability,RESTING PLACE 2 LLC,10,-82.64407,34.481302
RETREAT AT CAROLINA BAY,1340 CAROLINA BAY BLVD,HARTSVILLE,SC,29550,Darlington,843-845-1563,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,CRC-2043 / 02/28/2022,Darlington / Limited Liability,PINE TREE HILL AL LLC,60,-80.10641276,34.36623947
RETREAT AT EASLEY,123 COUCH LN,EASLEY,SC,29642-1916,Pickens,864-859-3303,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,CRC-1274 / 01/31/2022,Pickens / Limited Liability,CARE RSL EASLEY OPCO LP,56,-82.55887099,34.81856972
RETREAT AT GAFFNEY,101 PARK CT,GAFFNEY,SC,29341,Cherokee,864-206-0006,SHELLY.SMITH@PHOENIXSRLIVING.COM,CRC-1281 / 01/31/2022,Cherokee / Limited Liability Limited Partnership,CARE RSL GAFFNEY OPCO LP,90,-81.6574393,35.09200104
RETREAT AT LADYS ISLAND,9 SUNSET BLVD,BEAUFORT,SC,29907,Beaufort,843-379-9502,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,CRC-1898 / 05/31/2022,Beaufort / Limited Liability,FACTORY CREEK AL LLC,83,-80.6568186,32.41824722
RETREAT AT SUMMERVILLE,950 TRAVELERS BLVD,SUMMERVILLE,SC,29485-8213,Dorchester,843-832-8481,JACKIE.MAGNES@PHOENIXSRLIVING.COM,CRC-0859 / 01/31/2022,Dorchester / ,CARE RSL SUMMERVILLE OPCO LP,53,-80.16834349,32.9649049
RICE ESTATE - ASSISTED LIVING,100 FINLEY RD,COLUMBIA,SC,29203-9264,Richland,803-691-5720,DAMODIO@RICEESTATE.ORG,CRC-1075 / 03/31/2022,Richland / Non-Profit Corporation,LUTHERAN HOMES OF SOUTH CAROLINA INC,40,-80.96480344,34.10702486
RIDGEVIEW COMMUNITY CARE HOMES UNIT A,217 CHANDLER RD,GREER,SC,29651-1290,Greenville,864-877-8599,RIDGEVIEW1@MSN.COM,CRC-0559 / 01/31/2022,Greenville / Corporation,RIDGEVIEW COMMUNITY CARE HOMES INC,11,-82.23437161,34.95716095
