Facility Name,License Number,State Facility Type 2 Literal,Status,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity
DON AND BETH STRAUS THERAPEUTIC DAY PROGRAM,ADS2328,ADULT DAY SERVICES PROGRAM,ACTIVE,25 VILLAGE INN RD,BAR HARBOR,ME,04609-7451,HANCOCK,+1 (207) 288-8014,ASSISTED HOUSING,10
DR EUNICE NELSON-BAUMANN HOME,RCC39133,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2 SARAHS SPRING LN,INDIAN ISLAND,ME,04468-1270,PENOBSCOT,+1 (207) 827-0968,ASSISTED HOUSING,6
DRAKE'S EAST RIDGE RESIDENTIAL HOME,RCA1538,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1309 E RIDGE RD,CORNVILLE,ME,04976-6509,SOMERSET,+1 (207) 474-0776,ASSISTED HOUSING,2
DRUMMOND 1,RCA39042,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,49 DRUMMOND ST APT 1,AUBURN,ME,04210-5868,ANDROSCOGGIN,+1 (207) 795-0005,ASSISTED HOUSING,1
DRUMMOND 2,RCA39041,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,49 DRUMMOND ST APT 2,AUBURN,ME,04210-5868,ANDROSCOGGIN,+1 (207) 795-0005,ASSISTED HOUSING,1
DRUMMOND 3,RCA39040,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,49 DRUMMOND ST APT 3,AUBURN,ME,04210-5868,ANDROSCOGGIN,+1 (207) 795-0005,ASSISTED HOUSING,1
DRUMMOND 4,RCA39038,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,49 DRUMMOND ST APT 4,AUBURN,ME,04210-5868,ANDROSCOGGIN,+1 (207) 795-0005,ASSISTED HOUSING,1
DUBOIS DRIVE,RCC1604,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,4 DUBOIS DR,SANFORD,ME,04073-6134,YORK,+1 (207) 490-5701,ASSISTED HOUSING,3
DURANLEAU HOUSE,RCC923,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,81 ROWE AVE,PORTLAND,ME,04102-1421,CUMBERLAND,+1 (207) 899-1985,ASSISTED HOUSING,3
EAST POINT,PND665,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,96 STACKPOLE DR,MACHIAS,ME,04654-7001,WASHINGTON,+1 (207) 255-6611,ASSISTED HOUSING,37
EAST POND HOME,RCC38674,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1239 E POND RD,SMITHFIELD,ME,04978-3214,SOMERSET,+1 (207) 566-5766,ASSISTED HOUSING,3
EAST SIDE HOME,RCC2371,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1 JOSEPH ST,HOULTON,ME,04730-2359,AROOSTOOK,+1 (207) 532-9446,ASSISTED HOUSING,6
EASTERN AVENUE-MCIR,PNC38731,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,161 EASTERN AVE,BREWER,ME,04412-1335,PENOBSCOT,+1 (207) 989-2034,ASSISTED HOUSING,4
EASTPORT RESIDENTIAL CARE FACILITY,PND296,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,4 CLARK ST,EASTPORT,ME,04631-1036,WASHINGTON,+1 (207) 853-4540,ASSISTED HOUSING,14
EASTSIDE MANOR,RCD38663,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,51 EASTSIDE RD,HANCOCK,ME,04640-3958,HANCOCK,+1 (207) 442-0029,ASSISTED HOUSING,8
EASY CARE RESIDENTIAL LLC,RCA38885,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,62 LELAND ST UNIT 1,PORTLAND,ME,04103-2528,CUMBERLAND,+1 (207) 939-1009,ASSISTED HOUSING,2
"EASY CARE RESIDENTIAL, LLC II",RCA38936,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,254 BRADLEY ST UNIT 101,SACO,ME,04072-3181,YORK,+1 (207) 632-6240,ASSISTED HOUSING,2
EDGECOMB GREEN,RCD1846,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,31 CROSS POINT RD,EDGECOMB,ME,04556-3247,LINCOLN,+1 (207) 687-2164,ASSISTED HOUSING,7
EDGEWOOD REHABILITATION & L C,PND22461,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,221 FAIRBANKS RD,FARMINGTON,ME,04938-5723,FRANKLIN,+1 (207) 778-3386,ASSISTED HOUSING,22
EIGHT HUNDRED EIGHT HIGH STREET,PNC299,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,808 HIGH ST,BATH,ME,04530-2474,SAGADAHOC,+1 (207) 443-1133,ASSISTED HOUSING,6
EIGHT ROD ROAD,RCC38769,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,300 EIGHT ROD RD,AUGUSTA,ME,04330-8112,KENNEBEC,+1 (207) 423-0531,ASSISTED HOUSING,5
ELLSWORTH GROUP HOME,PNC305,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,849 RED BRIDGE RD,ELLSWORTH,ME,04605-3228,HANCOCK,+1 (207) 667-7216,ASSISTED HOUSING,4
ELM STREET,PNC2239,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,101 ELM ST,LEWISTON,ME,04240-6715,ANDROSCOGGIN,+1 (207) 241-0574,ASSISTED HOUSING,3
ELM STREET BOARDING HOME,RCC310,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,9 ELM ST,SANFORD,ME,04073-3001,YORK,+1 (207) 324-3535,ASSISTED HOUSING,6
ELM STREET HOUSE,PND311,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,14 ELM ST,AUGUSTA,ME,04330-5110,KENNEBEC,+1 (207) 626-3475,ASSISTED HOUSING,8
EMBDEN I,RCC38693,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,46 MOULTON HILL ROAD,EMBDEN,ME,4958,SOMERSET,+1 (207) 643-2230,ASSISTED HOUSING,4
EMBDEN II,RCC38694,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,46 MOULTON HILL ROAD,EMBDEN,ME,4958,SOMERSET,+1 (207) 643-3019,ASSISTED HOUSING,4
"EMILIO ESTATES, INC.",PND318,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,465 W CORINTH RD,CORINTH,ME,04427-3144,PENOBSCOT,+1 (207) 285-7798,ASSISTED HOUSING,18
"ENCLAVE OF SCARBOROUGH, THE",RCD38667,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,18 BLACK POINT RD,SCARBOROUGH,ME,04074-9816,CUMBERLAND,+1 (207) 883-3889,ASSISTED HOUSING,92
ENGEL PLACE,PND22618,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,758 BROADWAY,BANGOR,ME,04401-3224,PENOBSCOT,+1 (207) 945-5532,ASSISTED HOUSING,24
ESTES AVENUE WAIVER,RCA38909,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,271 ESTES AVE,PALMYRA,ME,04965-3830,SOMERSET,+1 (207) 938-2337,ASSISTED HOUSING,2
EUGENE HOUSE,RCA38989,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,249 MAIN RD S,HAMPDEN,ME,04444-1203,PENOBSCOT,+1 (207) 862-0076,ASSISTED HOUSING,2
F.A.R.E. HOUSE,RCC2096,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,659 LOWER ST,TURNER,ME,04282-3909,ANDROSCOGGIN,+1 (207) 225-5851,ASSISTED HOUSING,4
FALLBROOK WOODS,PND331,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,60 MERRYMEETING DR,PORTLAND,ME,04103-3960,CUMBERLAND,+1 (207) 878-0788,ASSISTED HOUSING,56
FALMOUTH HOUSE AT OCEANVIEW,ALP333,ASSISTED LIVING PROGRAM,ACTIVE,32 BLUEBERRY LN,FALMOUTH,ME,04105-2807,CUMBERLAND,+1 (207) 781-4621,ASSISTED HOUSING,48
FALMOUTH STREET,RCA39300,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,152 FALMOUTH ST,WESTBROOK,ME,04092-3016,CUMBERLAND,+1 (207) 939-1009,ASSISTED HOUSING,2
FARMINGTON CONGREGATE ASSOCIATES,ALP341,ASSISTED LIVING PROGRAM,ACTIVE,136 NORTH ST,FARMINGTON,ME,04938-5935,FRANKLIN,+1 (207) 778-4416,ASSISTED HOUSING,12
FARNHAM,RCA39163,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,67 FARNHAM ST,PORTLAND,ME,04103-1209,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
FARWELL MILLS,RCA38963,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,"244 LISBON ST APT 12G, FARWELL MILLS #2",LISBON,ME,04250-6877,ANDROSCOGGIN,+1 (207) 795-6737,ASSISTED HOUSING,2
FARWELL STREET,RCC38915,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,167 FARWELL ST,LEWISTON,ME,04240-4829,ANDROSCOGGIN,+1 (207) 333-3743,ASSISTED HOUSING,3
FDK,RCA38975,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,4 FIELDCREST DR,KENNEBUNK,ME,04043-6625,YORK,+1 (207) 878-9663,ASSISTED HOUSING,2
FENDERSON ROAD,RCD2372,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,15 FENDERSON RD,SACO,ME,04072-9628,YORK,+1 (207) 282-6626,ASSISTED HOUSING,8
FERN COTTAGE,RCC1694,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,597 QUAKER RIDGE RD,LEEDS,ME,04263-3606,ANDROSCOGGIN,+1 (207) 671-3565,ASSISTED HOUSING,6
FIELD STONE MANOR 1,RCC2027,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,489 S MAIN ST,BREWER,ME,04412-2428,PENOBSCOT,+1 (207) 460-9303,ASSISTED HOUSING,5
FIELDSTONE DRIVE GROUP HOME,PNC346,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,87 FIELDSTONE DR,BANGOR,ME,04401-3279,PENOBSCOT,+1 (207) 990-0459,ASSISTED HOUSING,6
FIFTY EIGHT SARGENT AVENUE,RCC351,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,58 SARGEANT ST,LEWISTON,ME,04240-3461,ANDROSCOGGIN,+1 (207) 795-1088,ASSISTED HOUSING,4
FINSON ROAD,PND352,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,726 FINSON RD,BANGOR,ME,04401-2414,PENOBSCOT,+1 (207) 945-3099,ASSISTED HOUSING,8
FIVE TWENTY NINE ROOSEVELT TRAIL,RCA39177,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,529 ROOSEVELT TRL,WINDHAM,ME,04062-4907,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
FLORIDA AVENUE,RCA39353,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,117 FLORIDA AVE,PORTLAND,ME,04103-3811,CUMBERLAND,+1 (207) 608-8000,ASSISTED HOUSING,2
FLOYD POWELL WAIVER HOME,RCC356,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,38 CARTER STREET,EAGLE LAKE,ME,4739,AROOSTOOK,+1 (207) 444-6224,ASSISTED HOUSING,4
FOGG AVENUE,RCC1543,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,4 FOGG AVE,BIDDEFORD,ME,04005-3106,YORK,+1 (207) 284-6977,ASSISTED HOUSING,3
FOGG ROAD,RCC357,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,61 FOGG RD,BUXTON,ME,04093-3614,YORK,+1 (207) 727-6783,ASSISTED HOUSING,6
FONTBONNE,PND39437,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,7 HIGHWOOD ST,WATERVILLE,ME,04901-5739,KENNEBEC,+1 (207) 873-0705,ASSISTED HOUSING,11
FORBES LANE,RCC2172,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,109 FORBES LN,WINDHAM,ME,04062-6114,CUMBERLAND,+1 (207) 892-0214,ASSISTED HOUSING,5
FORESIDE HARBOR,ALP22588,ASSISTED LIVING PROGRAM,ACTIVE,191 FORESIDE RD,FALMOUTH,ME,04105-1768,CUMBERLAND,+1 (207) 781-4714,ASSISTED HOUSING,36
FOREST AVE 1,RCA39147,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1410 FOREST AVE,PORTLAND,ME,04103-1737,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
FOREST AVE 2,RCA39148,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1410 FOREST AVE,PORTLAND,ME,04103-1737,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
FOREST AVENUE HOME,RCC361,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,5 FOREST AVENUE,ELLSWORTH,ME,4605,HANCOCK,+1 (207) 667-6065,ASSISTED HOUSING,4
FOREST STREET,RCC38623,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,77 FOREST ST,SACO,ME,04072-3110,YORK,+1 (207) 450-0306,ASSISTED HOUSING,3
FORTY SEVEN WOOD STREET,PNC363,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,47 WOOD ST,LEWISTON,ME,04240-6844,ANDROSCOGGIN,+1 (207) 784-6996,ASSISTED HOUSING,6
FOSS HOME,RCC2214,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,315 FOSS RD,LIMERICK,ME,04048-4306,YORK,+1 (207) 793-2224,ASSISTED HOUSING,3
FOSTER STREET HOME,RCC306,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,34 FOSTER ST,ELLSWORTH,ME,04605-2102,HANCOCK,+1 (207) 667-2444,ASSISTED HOUSING,6
FOURTH STREET HOME,RCC368,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,22 FOURTH ST,MEXICO,ME,04257-1738,OXFORD,+1 (207) 369-0678,ASSISTED HOUSING,4
FRANCISCAN HOME,PND22585,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,3400 AROOSTOOK RD,EAGLE LAKE,ME,4739,AROOSTOOK,+1 (207) 444-5152,ASSISTED HOUSING,16
FRANKFORT ASSISTED LIVING LLC-LEFT SIDE,RCD38669,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,112 N SEARSPORT RD,FRANKFORT,ME,04438-3204,WALDO,+1 (207) 952-0240,ASSISTED HOUSING,8
FRANKFORT ASSISTED LIVING LLC-RIGHT SIDE,RCD38670,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,112 N SEARSPORT RD,FRANKFORT,ME,04438-3204,WALDO,+1 (207) 952-0240,ASSISTED HOUSING,8
FRANKLIN HEIGHTS,RCC370,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,125 BELCHER RD,FARMINGTON,ME,04938-5713,FRANKLIN,+1 (207) 778-0484,ASSISTED HOUSING,4
FRANKLIN HOME,RCC38651,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,53 UNION ST,ELLSWORTH,ME,04605-1552,HANCOCK,+1 (207) 667-0254,ASSISTED HOUSING,3
"FRANKLIN HOUSE, THE",RCD2168,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,80 MAIN ST,FRANKLIN,ME,04634-3114,HANCOCK,+1 (207) 565-8991,ASSISTED HOUSING,8
FRANKLIN-GOLDEN ACRES,RCD2169,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,80 MAIN ST,FRANKLIN,ME,04634-3114,HANCOCK,+1 (207) 565-2352,ASSISTED HOUSING,8
FREDERICK AVENUE FOSTER HOME,RCC371,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,3 FREDERICK AVE,SOUTH PARIS,ME,04281-1402,OXFORD,+1 (207) 743-0556,ASSISTED HOUSING,4
FREEPORT PLACE,RCD22474,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,4 OLD COUNTY RD,FREEPORT,ME,04032-6231,CUMBERLAND,+1 (207) 865-3500,ASSISTED HOUSING,30
FREESE'S ASSISTED LIVING PROGRAM,ALP377,ASSISTED LIVING PROGRAM,ACTIVE,10 WATER ST STE 1,BANGOR,ME,04401-6394,PENOBSCOT,+1 (207) 973-3500,ASSISTED HOUSING,39
FREMONT MANOR,RCD38735,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,5 FREEMONTS COR,SULLIVAN,ME,04664-3628,HANCOCK,+1 (207) 422-0029,ASSISTED HOUSING,8
FRIENDSHIP COTTAGE,ADS1969,ADULT DAY SERVICES PROGRAM,ACTIVE,118 ELLSWORTH ROAD,BLUE HILL,ME,4614,HANCOCK,+1 (207) 374-5612,ASSISTED HOUSING,30
FRIENDSHIP COVE,ALP2227,ASSISTED LIVING PROGRAM,ACTIVE,30 GOVERNORS WAY,TOPSHAM,ME,04086-1680,SAGADAHOC,+1 (207) 725-2650,ASSISTED HOUSING,44
FRIENDSHIP HOUSE,PNC38684,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,75 FRANKLIN ST,BUCKSPORT,ME,04416-4033,HANCOCK,+1 (207) 469-6090,ASSISTED HOUSING,6
FROST STREET,RCA39105,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,109 FROST ST,PORTLAND,ME,04102-2211,CUMBERLAND,+1 (207) 747-4937,ASSISTED HOUSING,2
FRUIT STREET,RCC1806,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,155 FRUIT ST,BANGOR,ME,04401-4141,PENOBSCOT,+1 (207) 307-7757,ASSISTED HOUSING,3
FULLER CORNER WAIVER,RCC2072,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,471 FULLER CORNER RD,HARTLAND,ME,04943-3605,SOMERSET,+1 (207) 938-4615,ASSISTED HOUSING,3
GALLAGHER COTTAGE WAIVER,RCC2028,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,9 PRATT ROAD,HINCKLEY,ME,4944,SOMERSET,+1 (207) 453-7329,ASSISTED HOUSING,4
GALLANT WAY,PNA38720,PNMI LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1 GALLANT WAY,AUGUSTA,ME,04330-8327,KENNEBEC,+1 (207) 480-1021,ASSISTED HOUSING,2
GARDEN CIRCLE,RCA39329,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,185 GARDEN CIR,AUBURN,ME,04210-8843,ANDROSCOGGIN,+1 (207) 536-7016,ASSISTED HOUSING,2
"GARDEN, THE",RCD22590,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,58 BARIBEAU DR,BRUNSWICK,ME,04011-3218,CUMBERLAND,+1 (207) 373-3646,ASSISTED HOUSING,17
GARDINER HEALTH CARE FACILITY,RCD22468,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,8 HOLLAND ST,HOULTON,ME,04730-1706,AROOSTOOK,+1 (207) 532-3323,ASSISTED HOUSING,10
GARDNER STREET HOME,RCC1055,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,13 GARDNER ST,PATTEN,ME,04765-3078,PENOBSCOT,+1 (207) 463-2156,ASSISTED HOUSING,4
GARLAND ROAD,RCC38821,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,487 GARLAND RD,DEXTER,ME,04930-2652,PENOBSCOT,+1 (207) 564-8149,ASSISTED HOUSING,6
GARY AGENCY,RCA39298,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,26 ROCKRIDGE RD,DEDHAM,ME,04429-4806,HANCOCK,+1 (207) 944-1848,ASSISTED HOUSING,1
"GATHERING PLACE SOCIAL ADULT DAY CENTER, THE",ADS1981,ADULT DAY SERVICES PROGRAM,ACTIVE,518 US ROUTE 1,KITTERY,ME,03904-2500,YORK,+1 (207) 439-6111,ASSISTED HOUSING,20
GEORGE ROBISHAW HOME,RCC399,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,170A RANKIN ST,ROCKLAND,ME,04841-2318,KNOX,+1 (207) 594-0855,ASSISTED HOUSING,4
GEORGIA STREET RESIDENCE,RCC401,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,28 GEORGIA ST,PORTLAND,ME,04103-6016,CUMBERLAND,+1 (207) 797-9502,ASSISTED HOUSING,5
GERMAINE DOWN-SUPPORT SOLUTIONS,RCA39252,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,18 GERMAINE ST,LEWISTON,ME,04240-6449,ANDROSCOGGIN,+1 (207) 795-5091,ASSISTED HOUSING,2
GERMAINE UP-SUPPORT SOLUTIONS,RCA39253,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,18 GERMAINE ST,LEWISTON,ME,04240-6449,ANDROSCOGGIN,+1 (207) 376-3202,ASSISTED HOUSING,2
GETCHELL FOSTER HOMES,RCB1790,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,219 BRUCKOFF RD,CLIFTON,ME,04428-6038,PENOBSCOT,+1 (207) 852-7094,ASSISTED HOUSING,5
GILMAN STREET,PNC38805,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,98 GILMAN ST,PORTLAND,ME,04102-3034,CUMBERLAND,+1 (207) 773-1466,ASSISTED HOUSING,6
GLENYS CUSHMAN,RCA38958,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,247 MAIN ST,AUBURN,ME,04210-5726,ANDROSCOGGIN,+1 (207) 782-2726,ASSISTED HOUSING,1
GODIN HOUSE,RCC38748,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,445 MAIN ST STE A,BIDDEFORD,ME,04005-2142,YORK,+1 (207) 284-7456,ASSISTED HOUSING,3
"GOLDEN YEARS ADULT DAY CARE, THE",ADS38641,ADULT DAY SERVICES PROGRAM,ACTIVE,24 HOYT ST,SPRINGVALE,ME,04083-1710,YORK,+1 (207) 850-4793,ASSISTED HOUSING,10
GOLDENEYE RESIDENCE,RCC412,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,29 GOLDENEYE DR,TOPSHAM,ME,04086-1530,SAGADAHOC,+1 (207) 504-5806,ASSISTED HOUSING,4
GORDON GREEN,PND413,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,23 THIRD ST,SOUTH PORTLAND,ME,04106-2070,CUMBERLAND,+1 (207) 767-2238,ASSISTED HOUSING,8
GORHAM,RCA38897,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,22 NEWTON DR,GORHAM,ME,04038-1827,CUMBERLAND,+1 (207) 222-0727,ASSISTED HOUSING,2
GORHAM HOUSE,PND22470,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,50 NEW PORTLAND RD,GORHAM,ME,04038-1542,CUMBERLAND,+1 (207) 839-5757,ASSISTED HOUSING,35
GORHAM ROAD,RCA39169,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,16 GORHAM RD,WISCASSET,ME,04578-4664,LINCOLN,+1 (207) 882-6052,ASSISTED HOUSING,2
"GRACE HOME 2, THE",RCD2179,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,95 WILLEY DISTRICT RD,HARRINGTON,ME,04643-3228,WASHINGTON,+1 (207) 460-3825,ASSISTED HOUSING,8
GRACE STREET GROUP HOME,PNC38851,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,47 GRACE ST,ROCKLAND,ME,04841-2834,KNOX,+1 (207) 594-8960,ASSISTED HOUSING,3
GRACEWOODS LANE I,RCA39109,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,27A GRACEWOODS LN,GRAY,ME,04039-5500,CUMBERLAND,+1 (207) 714-9024,ASSISTED HOUSING,2
GRACEWOODS LANE II,RCA39110,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,27B GRACEWOODS LN,GRAY,ME,04039-5500,CUMBERLAND,+1 (207) 714-9106,ASSISTED HOUSING,2
GRACEWOODS LANE III,RCA39111,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,28A GRACEWOODS LN,GRAY,ME,04039-5500,CUMBERLAND,+1 (207) 714-9068,ASSISTED HOUSING,2
GRACEWOODS LANE IV,RCA39112,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,28B GRACEWOODS LN,GRAY,ME,04039-5500,CUMBERLAND,+1 (207) 714-9053,ASSISTED HOUSING,2
GRAFTON STREET,RCC2002,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,42 GRAFTON ST,PORTLAND,ME,04103-5008,CUMBERLAND,+1 (207) 775-2868,ASSISTED HOUSING,3
GRANGE WAIVER,RCC2037,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,13 PRATT ROAD,HINCKLEY,ME,4944,SOMERSET,+1 (207) 238-9260,ASSISTED HOUSING,6
GRANT MANOR,RCD2248,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,19 MILL ST,BREWER,ME,04412-2508,PENOBSCOT,+1 (207) 460-9303,ASSISTED HOUSING,8
GRAY,RCA39005,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,11 MCCONKEY RD,GRAY,ME,04039-9774,CUMBERLAND,+1 (207) 657-5939,ASSISTED HOUSING,2
GREAT EXPLORATIONS,ADS2332,ADULT DAY SERVICES PROGRAM,FAILED TO RENEW,,,,,,,ASSISTED HOUSING,20
GREENE HOME,PNC1956,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,119 MEADOW HILL RD,GREENE,ME,04236-3949,ANDROSCOGGIN,+1 (207) 946-3269,ASSISTED HOUSING,3
GROVE STREET GROUP HOME,PNC427,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,120 GROVE ST,BANGOR,ME,04401-5312,PENOBSCOT,+1 (207) 942-7669,ASSISTED HOUSING,4
GUINEA ROAD,RCC428,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,3 AJAC WAY,BIDDEFORD,ME,04005-9121,YORK,+1 (207) 282-2666,ASSISTED HOUSING,4
GUY STREET,RCC1900,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,41 GUY STREET,HOULTON,ME,4730,AROOSTOOK,+1 (207) 532-7150,ASSISTED HOUSING,5
H.E.L.P. ADULT RESPITE CARE,ADS38601,ADULT DAY SERVICES PROGRAM,ACTIVE,42 DALLAS HILL RD,RANGELEY,ME,04970-4032,FRANKLIN,+1 (207) 864-4397 x4,ASSISTED HOUSING,10
HALL-DALE MANOR,PND435,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,647 MAINE AVE,FARMINGDALE,ME,04344-1526,KENNEBEC,+1 (207) 622-7082,ASSISTED HOUSING,26
HAMLIN ROAD,RCC38999,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,14 HAMLIN RD,FALMOUTH,ME,04105-2206,CUMBERLAND,+1 (207) 632-6240,ASSISTED HOUSING,3
HAMPDEN MEADOWS,PND38685,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,1282 KENNEBEC RD,HAMPDEN,ME,04444-3118,PENOBSCOT,+1 (207) 862-4684,ASSISTED HOUSING,8
HAMPDEN WOODS MANOR,RCD39093,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,60 CARMEL RD S,HAMPDEN,ME,04444-3122,PENOBSCOT,+1 (207) 812-8131,ASSISTED HOUSING,8
