Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
Fenderson Road,RCD2372,LEVEL IV RESIDENTIAL CARE FACILITY,15 FENDERSON RD,Saco,ME,04072-9628,York,+1 (207) 282-6626,ASSISTED HOUSING,8,7/12/21
Fern Cottage,RCC1694,LEVEL III RESIDENTIAL CARE FACILITY,597 QUAKER RIDGE RD,Leeds,ME,04263-3606,Androscoggin,+1 (207) 671-3565,ASSISTED HOUSING,6,7/12/21
Field Stone Manor 1,RCC2027,LEVEL III RESIDENTIAL CARE FACILITY,489 S MAIN ST,Brewer,ME,04412-2428,Penobscot,+1 (207) 460-9303,ASSISTED HOUSING,5,7/12/21
Fieldstone Drive Group Home,PNC346,PNMI LEVEL III RESIDENTIAL CARE FACILITY,87 FIELDSTONE DR,Bangor,ME,04401-3279,Penobscot,+1 (207) 990-0459,ASSISTED HOUSING,6,7/12/21
Fifty Eight Sargent Avenue,RCC351,LEVEL III RESIDENTIAL CARE FACILITY,58 SARGEANT ST,Lewiston,ME,04240-3461,Androscoggin,+1 (207) 795-1088,ASSISTED HOUSING,4,7/12/21
Finson Road,PND352,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,726 FINSON RD,Bangor,ME,04401-2414,Penobscot,+1 (207) 945-3099,ASSISTED HOUSING,8,7/12/21
Five Twenty Nine Roosevelt Trail,RCA39177,LEVEL I RESIDENTIAL CARE FACILITY,529 ROOSEVELT TRL,Windham,ME,04062-4907,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Florida Avenue,RCA39353,LEVEL I RESIDENTIAL CARE FACILITY,117 FLORIDA AVE,Portland,ME,04103-3811,Cumberland,+1 (207) 608-8000,ASSISTED HOUSING,2,7/12/21
Floyd Powell Waiver Home,RCC356,LEVEL III RESIDENTIAL CARE FACILITY,38 CARTER STREET,Eagle Lake,ME,4739,Aroostook,+1 (207) 444-6224,ASSISTED HOUSING,4,7/12/21
Fogg Avenue,RCC1543,LEVEL III RESIDENTIAL CARE FACILITY,4 FOGG AVE,Biddeford,ME,04005-3106,York,+1 (207) 284-6977,ASSISTED HOUSING,3,7/12/21
Fogg Road,RCC357,LEVEL III RESIDENTIAL CARE FACILITY,61 FOGG RD,Buxton,ME,04093-3614,York,+1 (207) 727-6783,ASSISTED HOUSING,6,7/12/21
Fontbonne,PND39437,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,7 HIGHWOOD ST,Waterville,ME,04901-5739,Kennebec,+1 (207) 873-0705,ASSISTED HOUSING,11,7/12/21
Forbes Lane,RCC2172,LEVEL III RESIDENTIAL CARE FACILITY,109 FORBES LN,Windham,ME,04062-6114,Cumberland,+1 (207) 892-0214,ASSISTED HOUSING,5,7/12/21
Foreside Harbor,ALP22588,ASSISTED LIVING PROGRAM,191 FORESIDE RD,Falmouth,ME,04105-1768,Cumberland,+1 (207) 781-4714,ASSISTED HOUSING,36,7/12/21
Forest Ave 1,RCA39147,LEVEL I RESIDENTIAL CARE FACILITY,1410 FOREST AVE,Portland,ME,04103-1737,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Forest Ave 2,RCA39148,LEVEL I RESIDENTIAL CARE FACILITY,1410 FOREST AVE,Portland,ME,04103-1737,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Forest Avenue Home,RCC361,LEVEL III RESIDENTIAL CARE FACILITY,5 FOREST AVENUE,Ellsworth,ME,4605,Hancock,+1 (207) 667-6065,ASSISTED HOUSING,4,7/12/21
Forest Street,RCC38623,LEVEL III RESIDENTIAL CARE FACILITY,77 FOREST ST,Saco,ME,04072-3110,York,+1 (207) 450-0306,ASSISTED HOUSING,3,7/12/21
Forty Seven Wood Street,PNC363,PNMI LEVEL III RESIDENTIAL CARE FACILITY,47 WOOD ST,Lewiston,ME,04240-6844,Androscoggin,+1 (207) 784-6996,ASSISTED HOUSING,6,7/12/21
Foss Home,RCC2214,LEVEL III RESIDENTIAL CARE FACILITY,315 FOSS RD,Limerick,ME,04048-4306,York,+1 (207) 793-2224,ASSISTED HOUSING,3,7/12/21
Foster Street Home,RCC306,LEVEL III RESIDENTIAL CARE FACILITY,34 FOSTER ST,Ellsworth,ME,04605-2102,Hancock,+1 (207) 667-2444,ASSISTED HOUSING,6,7/12/21
Fourth Street Home,RCC368,LEVEL III RESIDENTIAL CARE FACILITY,22 FOURTH ST,Mexico,ME,04257-1738,Oxford,+1 (207) 369-0678,ASSISTED HOUSING,4,7/12/21
Franciscan Home,PND22585,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,3400 AROOSTOOK RD,Eagle Lake,ME,4739,Aroostook,+1 (207) 444-5152,ASSISTED HOUSING,16,7/12/21
Frankfort Assisted Living Llc-Left Side,RCD38669,LEVEL IV RESIDENTIAL CARE FACILITY,112 N SEARSPORT RD,Frankfort,ME,04438-3204,Waldo,+1 (207) 952-0240,ASSISTED HOUSING,8,7/12/21
Frankfort Assisted Living Llc-Right Side,RCD38670,LEVEL IV RESIDENTIAL CARE FACILITY,112 N SEARSPORT RD,Frankfort,ME,04438-3204,Waldo,+1 (207) 952-0240,ASSISTED HOUSING,8,7/12/21
Franklin Heights,RCC370,LEVEL III RESIDENTIAL CARE FACILITY,125 BELCHER RD,Farmington,ME,04938-5713,Franklin,+1 (207) 778-0484,ASSISTED HOUSING,4,7/12/21
Franklin Home,RCC38651,LEVEL III RESIDENTIAL CARE FACILITY,53 UNION ST,Ellsworth,ME,04605-1552,Hancock,+1 (207) 667-0254,ASSISTED HOUSING,3,7/12/21
"Franklin House, The",RCD2168,LEVEL IV RESIDENTIAL CARE FACILITY,80 MAIN ST,Franklin,ME,04634-3114,Hancock,+1 (207) 565-8991,ASSISTED HOUSING,8,7/12/21
Franklin-Golden Acres,RCD2169,LEVEL IV RESIDENTIAL CARE FACILITY,80 MAIN ST,Franklin,ME,04634-3114,Hancock,+1 (207) 565-2352,ASSISTED HOUSING,8,7/12/21
Frederick Avenue Foster Home,RCC371,LEVEL III RESIDENTIAL CARE FACILITY,3 FREDERICK AVE,South Paris,ME,04281-1402,Oxford,+1 (207) 743-0556,ASSISTED HOUSING,4,7/12/21
Freeport Place,RCD22474,LEVEL IV RESIDENTIAL CARE FACILITY,4 OLD COUNTY RD,Freeport,ME,04032-6231,Cumberland,+1 (207) 865-3500,ASSISTED HOUSING,30,7/12/21
Freese'S Assisted Living Program,ALP377,ASSISTED LIVING PROGRAM,10 WATER ST STE 1,Bangor,ME,04401-6394,Penobscot,+1 (207) 973-3500,ASSISTED HOUSING,39,7/12/21
Fremont Manor,RCD38735,LEVEL IV RESIDENTIAL CARE FACILITY,5 FREEMONTS COR,Sullivan,ME,04664-3628,Hancock,+1 (207) 422-0029,ASSISTED HOUSING,8,7/12/21
Friendship Cottage,ADS1969,ADULT DAY SERVICES PROGRAM,118 ELLSWORTH ROAD,Blue Hill,ME,4614,Hancock,+1 (207) 374-5612,ASSISTED HOUSING,30,7/12/21
Friendship Cove,ALP2227,ASSISTED LIVING PROGRAM,30 GOVERNORS WAY,Topsham,ME,04086-1680,Sagadahoc,+1 (207) 725-2650,ASSISTED HOUSING,44,7/12/21
Friendship House,PNC38684,PNMI LEVEL III RESIDENTIAL CARE FACILITY,75 FRANKLIN ST,Bucksport,ME,04416-4033,Hancock,+1 (207) 469-6090,ASSISTED HOUSING,6,7/12/21
Frost Street,RCA39105,LEVEL I RESIDENTIAL CARE FACILITY,109 FROST ST,Portland,ME,04102-2211,Cumberland,+1 (207) 747-4937,ASSISTED HOUSING,2,7/12/21
Fruit Street,RCC1806,LEVEL III RESIDENTIAL CARE FACILITY,155 FRUIT ST,Bangor,ME,04401-4141,Penobscot,+1 (207) 307-7757,ASSISTED HOUSING,3,7/12/21
Fuller Corner Waiver,RCC2072,LEVEL III RESIDENTIAL CARE FACILITY,471 FULLER CORNER RD,Hartland,ME,04943-3605,Somerset,+1 (207) 938-4615,ASSISTED HOUSING,3,7/12/21
Gallagher Cottage Waiver,RCC2028,LEVEL III RESIDENTIAL CARE FACILITY,9 PRATT ROAD,Hinckley,ME,4944,Somerset,+1 (207) 453-7329,ASSISTED HOUSING,4,7/12/21
Gallant Way,PNA38720,PNMI LEVEL I RESIDENTIAL CARE FACILITY,1 GALLANT WAY,Augusta,ME,04330-8327,Kennebec,+1 (207) 480-1021,ASSISTED HOUSING,2,7/12/21
Garden Circle,RCA39329,LEVEL I RESIDENTIAL CARE FACILITY,185 GARDEN CIR,Auburn,ME,04210-8843,Androscoggin,+1 (207) 536-7016,ASSISTED HOUSING,2,7/12/21
"Garden, The",RCD22590,LEVEL IV RESIDENTIAL CARE FACILITY,58 BARIBEAU DR,Brunswick,ME,04011-3218,Cumberland,+1 (207) 373-3646,ASSISTED HOUSING,17,7/12/21
Gardiner Health Care Facility,RCD22468,LEVEL IV RESIDENTIAL CARE FACILITY,8 HOLLAND ST,Houlton,ME,04730-1706,Aroostook,+1 (207) 532-3323,ASSISTED HOUSING,10,7/12/21
Gardner Street Home,RCC1055,LEVEL III RESIDENTIAL CARE FACILITY,13 GARDNER ST,Patten,ME,04765-3078,Penobscot,+1 (207) 463-2156,ASSISTED HOUSING,4,7/12/21
Garland Road,RCC38821,LEVEL III RESIDENTIAL CARE FACILITY,487 GARLAND RD,Dexter,ME,04930-2652,Penobscot,+1 (207) 564-8149,ASSISTED HOUSING,6,7/12/21
Gary Agency,RCA39298,LEVEL I RESIDENTIAL CARE FACILITY,26 ROCKRIDGE RD,Dedham,ME,04429-4806,Hancock,+1 (207) 944-1848,ASSISTED HOUSING,1,7/12/21
"Gathering Place Social Adult Day Center, The",ADS1981,ADULT DAY SERVICES PROGRAM,518 US ROUTE 1,Kittery,ME,03904-2500,York,+1 (207) 439-6111,ASSISTED HOUSING,20,7/12/21
George Robishaw Home,RCC399,LEVEL III RESIDENTIAL CARE FACILITY,170A RANKIN ST,Rockland,ME,04841-2318,Knox,+1 (207) 594-0855,ASSISTED HOUSING,4,7/12/21
Georgia Street Residence,RCC401,LEVEL III RESIDENTIAL CARE FACILITY,28 GEORGIA ST,Portland,ME,04103-6016,Cumberland,+1 (207) 797-9502,ASSISTED HOUSING,5,7/12/21
Germaine Down-Support Solutions,RCA39252,LEVEL I RESIDENTIAL CARE FACILITY,18 GERMAINE ST,Lewiston,ME,04240-6449,Androscoggin,+1 (207) 795-5091,ASSISTED HOUSING,2,7/12/21
Germaine Up-Support Solutions,RCA39253,LEVEL I RESIDENTIAL CARE FACILITY,18 GERMAINE ST,Lewiston,ME,04240-6449,Androscoggin,+1 (207) 376-3202,ASSISTED HOUSING,2,7/12/21
Getchell Foster Homes,RCB1790,LEVEL II RESIDENTIAL CARE FACILITY,219 BRUCKOFF RD,Clifton,ME,04428-6038,Penobscot,+1 (207) 852-7094,ASSISTED HOUSING,5,7/12/21
Gilman Street,PNC38805,PNMI LEVEL III RESIDENTIAL CARE FACILITY,98 GILMAN ST,Portland,ME,04102-3034,Cumberland,+1 (207) 773-1466,ASSISTED HOUSING,6,7/12/21
Glenys Cushman,RCA38958,LEVEL I RESIDENTIAL CARE FACILITY,247 MAIN ST,Auburn,ME,04210-5726,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,1,7/12/21
Godin House,RCC38748,LEVEL III RESIDENTIAL CARE FACILITY,445 MAIN ST STE A,Biddeford,ME,04005-2142,York,+1 (207) 284-7456,ASSISTED HOUSING,3,7/12/21
"Golden Years Adult Day Care, The",ADS38641,ADULT DAY SERVICES PROGRAM,24 HOYT ST,Springvale,ME,04083-1710,York,+1 (207) 850-4793,ASSISTED HOUSING,10,7/12/21
Goldeneye Residence,RCC412,LEVEL III RESIDENTIAL CARE FACILITY,29 GOLDENEYE DR,Topsham,ME,04086-1530,Sagadahoc,+1 (207) 504-5806,ASSISTED HOUSING,4,7/12/21
Gordon Green,PND413,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,23 THIRD ST,South Portland,ME,04106-2070,Cumberland,+1 (207) 767-2238,ASSISTED HOUSING,8,7/12/21
Gorham,RCA38897,LEVEL I RESIDENTIAL CARE FACILITY,22 NEWTON DR,Gorham,ME,04038-1827,Cumberland,+1 (207) 222-0727,ASSISTED HOUSING,2,7/12/21
Gorham House,PND22470,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,50 NEW PORTLAND RD,Gorham,ME,04038-1542,Cumberland,+1 (207) 839-5757,ASSISTED HOUSING,35,7/12/21
Gorham Road,RCA39169,LEVEL I RESIDENTIAL CARE FACILITY,16 GORHAM RD,Wiscasset,ME,04578-4664,Lincoln,+1 (207) 882-6052,ASSISTED HOUSING,2,7/12/21
"Grace Home 2, The",RCD2179,LEVEL IV RESIDENTIAL CARE FACILITY,95 WILLEY DISTRICT RD,Harrington,ME,04643-3228,Washington,+1 (207) 460-3825,ASSISTED HOUSING,8,7/12/21
Grace Street Group Home,PNC38851,PNMI LEVEL III RESIDENTIAL CARE FACILITY,47 GRACE ST,Rockland,ME,04841-2834,Knox,+1 (207) 594-8960,ASSISTED HOUSING,3,7/12/21
Gracewoods Lane I,RCA39109,LEVEL I RESIDENTIAL CARE FACILITY,27A GRACEWOODS LN,Gray,ME,04039-5500,Cumberland,+1 (207) 714-9024,ASSISTED HOUSING,2,7/12/21
Gracewoods Lane Ii,RCA39110,LEVEL I RESIDENTIAL CARE FACILITY,27B GRACEWOODS LN,Gray,ME,04039-5500,Cumberland,+1 (207) 714-9106,ASSISTED HOUSING,2,7/12/21
Gracewoods Lane Iii,RCA39111,LEVEL I RESIDENTIAL CARE FACILITY,28A GRACEWOODS LN,Gray,ME,04039-5500,Cumberland,+1 (207) 714-9068,ASSISTED HOUSING,2,7/12/21
Gracewoods Lane Iv,RCA39112,LEVEL I RESIDENTIAL CARE FACILITY,28B GRACEWOODS LN,Gray,ME,04039-5500,Cumberland,+1 (207) 714-9053,ASSISTED HOUSING,2,7/12/21
Grafton Street,RCC2002,LEVEL III RESIDENTIAL CARE FACILITY,42 GRAFTON ST,Portland,ME,04103-5008,Cumberland,+1 (207) 775-2868,ASSISTED HOUSING,3,7/12/21
Grange Waiver,RCC2037,LEVEL III RESIDENTIAL CARE FACILITY,13 PRATT ROAD,Hinckley,ME,4944,Somerset,+1 (207) 238-9260,ASSISTED HOUSING,6,7/12/21
Grant Manor,RCD2248,LEVEL IV RESIDENTIAL CARE FACILITY,19 MILL ST,Brewer,ME,04412-2508,Penobscot,+1 (207) 460-9303,ASSISTED HOUSING,8,7/12/21
Gray,RCA39005,LEVEL I RESIDENTIAL CARE FACILITY,11 MCCONKEY RD,Gray,ME,04039-9774,Cumberland,+1 (207) 657-5939,ASSISTED HOUSING,2,7/12/21
Greene Home,PNC1956,PNMI LEVEL III RESIDENTIAL CARE FACILITY,119 MEADOW HILL RD,Greene,ME,04236-3949,Androscoggin,+1 (207) 946-3269,ASSISTED HOUSING,3,7/12/21
Grove Street Group Home,PNC427,PNMI LEVEL III RESIDENTIAL CARE FACILITY,120 GROVE ST,Bangor,ME,04401-5312,Penobscot,+1 (207) 942-7669,ASSISTED HOUSING,4,7/12/21
Guinea Road,RCC428,LEVEL III RESIDENTIAL CARE FACILITY,3 AJAC WAY,Biddeford,ME,04005-9121,York,+1 (207) 282-2666,ASSISTED HOUSING,4,7/12/21
Guy Street,RCC1900,LEVEL III RESIDENTIAL CARE FACILITY,41 GUY STREET,Houlton,ME,4730,Aroostook,+1 (207) 532-7150,ASSISTED HOUSING,5,7/12/21
H.E.L.P. Adult Respite Care,ADS38601,ADULT DAY SERVICES PROGRAM,42 DALLAS HILL RD,Rangeley,ME,04970-4032,Franklin,+1 (207) 864-4397 x4,ASSISTED HOUSING,10,7/12/21
Hall-Dale Manor,PND435,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,647 MAINE AVE,Farmingdale,ME,04344-1526,Kennebec,+1 (207) 622-7082,ASSISTED HOUSING,26,7/12/21
Hamlin Road,RCC38999,LEVEL III RESIDENTIAL CARE FACILITY,14 HAMLIN RD,Falmouth,ME,04105-2206,Cumberland,+1 (207) 632-6240,ASSISTED HOUSING,3,7/12/21
Hampden Meadows,PND38685,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,1282 KENNEBEC RD,Hampden,ME,04444-3118,Penobscot,+1 (207) 862-4684,ASSISTED HOUSING,8,7/12/21
Hampden Woods Manor,RCD39093,LEVEL IV RESIDENTIAL CARE FACILITY,60 CARMEL RD S,Hampden,ME,04444-3122,Penobscot,+1 (207) 812-8131,ASSISTED HOUSING,8,7/12/21
Hancock Golden Acres,RCD2152,LEVEL IV RESIDENTIAL CARE FACILITY,1421 US HWY 1,Hancock,ME,04640-3462,Hancock,+1 (207) 460-3825,ASSISTED HOUSING,8,7/12/21
"Hancock Home 1, The",RCC1802,LEVEL III RESIDENTIAL CARE FACILITY,203 EASTSIDE RD,Hancock,ME,04640-3906,Hancock,+1 (207) 422-3777,ASSISTED HOUSING,3,7/12/21
"Hancock Home 2, The",RCA39274,LEVEL I RESIDENTIAL CARE FACILITY,145 OLD ROUTE 1,Hancock,ME,04640-3442,Hancock,+1 (207) 422-9112,ASSISTED HOUSING,2,7/12/21
"Hancock House, The",RCD2153,LEVEL IV RESIDENTIAL CARE FACILITY,1421 US HWY 1,Hancock,ME,04640-3462,Hancock,+1 (207) 425-2522,ASSISTED HOUSING,8,7/12/21
Hancock House-Dehi,RCC38703,LEVEL III RESIDENTIAL CARE FACILITY,493 US ROUTE 1,Hancock,ME,4840,Hancock,+1 (207) 412-2440,ASSISTED HOUSING,3,7/12/21
Hannah Drive,RCC1626,LEVEL III RESIDENTIAL CARE FACILITY,15 HANNAH DR,Gorham,ME,04038-5863,Cumberland,+1 (207) 828-0048,ASSISTED HOUSING,3,7/12/21
Harbor Hill Center,RCD22472,LEVEL IV RESIDENTIAL CARE FACILITY,2 FOOTBRIDGE RD,Belfast,ME,04915-7206,Waldo,+1 (207) 338-1129,ASSISTED HOUSING,45,7/12/21
Harbor View Cottage,RCD2043,LEVEL IV RESIDENTIAL CARE FACILITY,34 MAIN ST,Newcastle,ME,04553-3819,Lincoln,+1 (207) 563-3305,ASSISTED HOUSING,12,7/12/21
Harmony Lane,RCA1674,LEVEL I RESIDENTIAL CARE FACILITY,1 HARMONY LN,Biddeford,ME,04005-9389,York,+1 (207) 284-5156,ASSISTED HOUSING,2,7/12/21
"Harrington House, The",RCD2216,LEVEL IV RESIDENTIAL CARE FACILITY,95 WILLEY DISTRICT RD,Harrington,ME,04643-3228,Washington,+1 (207) 483-2247,ASSISTED HOUSING,8,7/12/21
Harris Road,RCC452,LEVEL III RESIDENTIAL CARE FACILITY,10 HARRIS RD,Minot,ME,04258-4240,Androscoggin,+1 (207) 345-0956,ASSISTED HOUSING,4,7/12/21
Hartland Rd Waiver,RCC2010,LEVEL III RESIDENTIAL CARE FACILITY,362 ESTES AVE,Palmyra,ME,04965-3837,Somerset,+1 (207) 938-0206,ASSISTED HOUSING,3,7/12/21
Haskell Street Assisted Living Facility,RCC2023,LEVEL III RESIDENTIAL CARE FACILITY,99 HASKELL ST,Westbrook,ME,04092-4217,Cumberland,+1 (207) 854-9367,ASSISTED HOUSING,3,7/12/21
Hathaway House,RCA38986,LEVEL I RESIDENTIAL CARE FACILITY,96 FOREST AVE,Bangor,ME,04401-5985,Penobscot,+1 (207) 307-7626,ASSISTED HOUSING,2,7/12/21
Heartwood Cottage,RCA39039,LEVEL I RESIDENTIAL CARE FACILITY,61 BARROWS DR,Topsham,ME,04086-1327,Sagadahoc,+1 (207) 798-6706,ASSISTED HOUSING,2,7/12/21
Heath House,RCC38746,LEVEL III RESIDENTIAL CARE FACILITY,45 HEATH RD,Saco,ME,04072-9335,York,+1 (207) 286-3481,ASSISTED HOUSING,5,7/12/21
Hebert,RCA39176,LEVEL I RESIDENTIAL CARE FACILITY,5 HEBERT WAY,Gorham,ME,04038-2359,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Helen Winslow Ray House,PND38904,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,705 WESTBROOK ST,South Portland,ME,04106-1930,Cumberland,,ASSISTED HOUSING,8,7/12/21
Helen'S Family Home,RCB1530,LEVEL II RESIDENTIAL CARE FACILITY,516 GREENWOOD RD,Norway,ME,04268-4412,Oxford,+1 (207) 527-2760,ASSISTED HOUSING,3,7/12/21
Helms Way,RCC2275,LEVEL III RESIDENTIAL CARE FACILITY,43 HELMS WAY,Gorham,ME,04038-1892,Cumberland,+1 (207) 839-7002,ASSISTED HOUSING,3,7/12/21
Henry'S Place,RCA38988,LEVEL I RESIDENTIAL CARE FACILITY,3 MAIN RD,Eddington,ME,04428-3000,Penobscot,+1 (207) 307-7729,ASSISTED HOUSING,2,7/12/21
Heritage Rehabilitation And Living Center,PND22487,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,457 OLD LEWISTON RD,Winthrop,ME,04364-4111,Kennebec,+1 (207) 377-9965,ASSISTED HOUSING,24,7/12/21
Hidden Lake Home,RCC38820,LEVEL III RESIDENTIAL CARE FACILITY,151 HIDDEN LAKE RD,Otisfield,ME,04270-6021,Oxford,+1 (207) 539-4261,ASSISTED HOUSING,4,7/12/21
High Street,PND38847,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,5 HIGH ST,Sanford,ME,04073-2769,York,+1 (207) 490-4960,ASSISTED HOUSING,10,7/12/21
High Street Foster Home,RCC472,LEVEL III RESIDENTIAL CARE FACILITY,89 HIGH ST,Houlton,ME,04730-1941,Aroostook,+1 (207) 532-9001,ASSISTED HOUSING,6,7/12/21
Highland Avenue,RCC1830,LEVEL III RESIDENTIAL CARE FACILITY,56 HIGHLAND AVE,Scarborough,ME,04074-9346,Cumberland,+1 (207) 883-4696,ASSISTED HOUSING,3,7/12/21
"Hillhouse, Inc.",RCD485,LEVEL IV RESIDENTIAL CARE FACILITY,166 WHISKEAG RD,Bath,ME,04530-4135,Sagadahoc,+1 (207) 443-6301,ASSISTED HOUSING,56,7/12/21
Hillside,RCC38822,LEVEL III RESIDENTIAL CARE FACILITY,1172 DEXTER RD,Dover Foxcroft,ME,04426-3600,Piscataquis,+1 (207) 564-3091,ASSISTED HOUSING,3,7/12/21
Hillside- Support Solutions,RCA39254,LEVEL I RESIDENTIAL CARE FACILITY,18 HILLSIDE AVE,Minot,ME,04258-4449,Androscoggin,+1 (207) 345-7135,ASSISTED HOUSING,2,7/12/21
"Hillside Terrace Of Hallowell, Llc",PND486,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,21 WARREN ST,Hallowell,ME,04347-1247,Kennebec,+1 (207) 622-5644,ASSISTED HOUSING,21,7/12/21
Hillside Waiver Home,RCB39212,LEVEL II RESIDENTIAL CARE FACILITY,3 HILLSIDE ST,Presque Isle,ME,04769-2425,Aroostook,+1 (207) 764-2818,ASSISTED HOUSING,3,7/12/21
Hilltop Home,RCC2383,LEVEL III RESIDENTIAL CARE FACILITY,47 BEALS AVE,Ellsworth,ME,04605-1701,Hancock,+1 (207) 667-0344,ASSISTED HOUSING,4,7/12/21
Hilltop Manor,PND487,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,462 ESSEX ST,Dover Foxcroft,ME,04426-1311,Piscataquis,+1 (207) 564-3049,ASSISTED HOUSING,32,7/12/21
Hodgdon Green Boarding Home,PND488,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,6 HODGDON ST,Damariscotta,ME,04543-4638,Lincoln,+1 (207) 563-2148,ASSISTED HOUSING,16,7/12/21
Holbrook Assisted Living At Piper Shores,PND27486,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,15 PIPER RD,Scarborough,ME,04074-9473,Cumberland,+1 (207) 883-8700,ASSISTED HOUSING,54,7/12/21
Holden House,PNC38712,PNMI LEVEL III RESIDENTIAL CARE FACILITY,505 MAIN RD,Holden,ME,04429-7136,Penobscot,+1 (207) 989-9680,ASSISTED HOUSING,4,7/12/21
Hollis House,RCC38880,LEVEL III RESIDENTIAL CARE FACILITY,310 CAPE RD,Hollis Center,ME,04042-3711,York,+1 (207) 369-1202,ASSISTED HOUSING,3,7/12/21
Hollis House Ii,RCA38879,LEVEL I RESIDENTIAL CARE FACILITY,304 CAPE RD,Hollis Center,ME,04042-3711,York,+1 (207) 369-1202,ASSISTED HOUSING,2,7/12/21
Holmes House,RCC490,LEVEL III RESIDENTIAL CARE FACILITY,55 TIMBER LN,Newcastle,ME,04553-3320,Lincoln,+1 (207) 563-2473,ASSISTED HOUSING,5,7/12/21
"Home At Pleasant Street, The",RCA38887,LEVEL I RESIDENTIAL CARE FACILITY,95 PLEASANT ST,Oxford,ME,4270,,+1 (207) 743-8049 x202,ASSISTED HOUSING,2,7/12/21
Homeport At Island Nursing Home,RCD22494,LEVEL IV RESIDENTIAL CARE FACILITY,587 N DEER ISLE RD,Deer Isle,ME,04627-3438,Hancock,+1 (207) 348-2351,ASSISTED HOUSING,32,7/12/21
Homewood Blvd,RCA39068,LEVEL I RESIDENTIAL CARE FACILITY,33 HOMEWOOD BLVD,Old Orchard Beach,ME,04064-1164,York,+1 (207) 937-8260,ASSISTED HOUSING,2,7/12/21
Hope Springs Haven,RCC38868,LEVEL III RESIDENTIAL CARE FACILITY,195 MILES RD,Newburgh,ME,04444-4733,Penobscot,+1 (207) 234-7727,ASSISTED HOUSING,3,7/12/21
Horizons Unlimited,PND497,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,319 SWAIN RD,Rumford,ME,04276-3803,Oxford,+1 (207) 364-8842,ASSISTED HOUSING,7,7/12/21
Hotel Road,RCC498,LEVEL III RESIDENTIAL CARE FACILITY,1092 HOTEL RD,Auburn,ME,04210-8980,Androscoggin,+1 (207) 784-3951,ASSISTED HOUSING,4,7/12/21
Houghton House,RCC38695,LEVEL III RESIDENTIAL CARE FACILITY,3 E HOUGHTON ST,Madison,ME,04950-1304,Somerset,+1 (207) 696-8529,ASSISTED HOUSING,5,7/12/21
House In Shawmut,PNC502,PNMI LEVEL III RESIDENTIAL CARE FACILITY,81 BRAY AVENUE,Shawmut,ME,4975,Somerset,+1 (207) 453-7638,ASSISTED HOUSING,6,7/12/21
Huntington Common,ALP1824,ASSISTED LIVING PROGRAM,1 HUNTINGTON COMMON DR,Kennebunk,ME,04043-6558,York,+1 (207) 985-2810,ASSISTED HOUSING,82,7/12/21
Huntington Hill,RCC1946,LEVEL III RESIDENTIAL CARE FACILITY,70 HUNTINGTON HILL RD,Litchfield,ME,04350-3721,Kennebec,+1 (207) 268-3824,ASSISTED HOUSING,3,7/12/21
Husson Hollow Group Home,PND1797,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,107 HUSSON AVE,Bangor,ME,04401-3286,Penobscot,+1 (207) 941-8552,ASSISTED HOUSING,8,7/12/21
Ida W. Lockhart Residence,RCC1274,LEVEL III RESIDENTIAL CARE FACILITY,76 PARK ST,Ellsworth,ME,04605-1631,Hancock,+1 (207) 667-6129,ASSISTED HOUSING,6,7/12/21
Independence House 1,PNC1785,PNMI LEVEL III RESIDENTIAL CARE FACILITY,31 SCHOOL ST,Freeport,ME,04032-1326,Cumberland,+1 (207) 504-5820,ASSISTED HOUSING,6,7/12/21
Industry Road,RCC38662,LEVEL III RESIDENTIAL CARE FACILITY,777 INDUSTRY RD,New Sharon,ME,04955-3038,Franklin,+1 (207) 893-6083,ASSISTED HOUSING,3,7/12/21
Ingraham House,PNC513,PNMI LEVEL III RESIDENTIAL CARE FACILITY,79 HIGH ST,Portland,ME,04101-3844,Cumberland,+1 (207) 761-8450,ASSISTED HOUSING,4,7/12/21
