State Facility Type 2 Literal,Medicaid,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,1999,39340,SESSIONS RESIDENTIAL CARE INC,22 N ADAMS RD,SPOKANE VALLEY,WA,99216,Spokane,(509) 999-2538,26,Assisted Living Facility
Assisted Living SOW,Yes,2480,45240,"South Hill Village, Assisted Living & Memory Care",3117 E Chaser Lane,Spokane,WA,99223,Spokane,(509) 433-8500,170,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2478,45246,"South Hill Village, Assisted Living & Memory Care",5925 S Hailee Lane,Spokane,WA,99223,Spokane,(509) 433-8500,40,Assisted Living Facility
Assisted Living SOW,Yes,1612,30797,SULLIVAN PARK ASSISTED LIVING COMMUNITY,S 421 ADAMS,SPOKANE,WA,99216,Spokane,(509) 924-5555,53,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,950,30272,SUNSHINE TERRACE,10412 E 9th Ave,Spokane Valley,WA,99206,Spokane,(509) 892-4342,88,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2127,41272,THE BLAIR HOUSE,W 2718 SINTO AVE,SPOKANE,WA,99201,Spokane,(509) 327-6133,12,Assisted Living Facility
No Contract,Yes,1004,30310,TOUCHMARK ON SOUTH HILL,S 2999 WATERFORD DR,SPOKANE,WA,99203,Spokane,(509) 536-2929,105,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2151,41811,VALLEY HOUSE,401 S Eastern Rd,Spokane Valley,WA,99212,Spokane,(509) 953-8199,37,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2379,44079,Valley Residential Care Inc,14106 E 3rd Ave,Spokane Valley,WA,99216,Spokane,(509) 590-5581,28,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2431,44552,Whitehouse Inc,1534 N Cedar St,Spokane,WA,99201,Spokane,(509) 328-0700,33,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care",Yes,2399,44286,Willow Grove,1620 E Mead St,Spokane,WA,99218,Spokane,(509) 467-1135,20,Assisted Living Facility
No Contract,Yes,2184,42045,Windriver Place,7310 N Pine Rock St,Spokane,WA,99208,Spokane,(509) 325-1242,49,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2175,41945,Allegiance Supported Living,N 413 Kruger St,Chewelah,WA,99109,Stevens,(509) 935-8233,21,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,2534,45972,Buena Vista Healthcare,151 Buena Vista Dr,Colville,WA,99114,Stevens,(509) 684-4539,22,Assisted Living Facility
Assisted Living SOW,Yes,2495,45200,Parkview Retirement & Assisted Living Residence,240 South Silke Road,Colville,WA,99114,Stevens,(509) 684-5677,58,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2556,46402,Sycamore Glen at Quail Hollow,506 N Ehorn Lane,Chewelah,WA,99109,Stevens,(509) 332-9152,18,Assisted Living Facility
Assisted Living SOW,Yes,2542,46071,Artesian Place,828 McPhee Rd SW,Olympia,WA,98502,Thurston,,65,Assisted Living Facility
No Contract,Yes,2036,40005,Bonaventure of Lacey,4528 Intelco Loop SE,Lacey,WA,98503,Thurston,(360) 455-8500,126,Assisted Living Facility
Assisted Living SOW,Yes,2275,42376,Brookdale Olympia East,616 LILLY RD NE,OLYMPIA,WA,98506,Thurston,(360) 456-0601,75,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2497,45336,Brookdale Olympia West,420 YAUGER WAY SW,OLYMPIA,WA,985028660,Thurston,,64,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2144,41743,Easthaven Villa,311 Cullens St NW,Yelm,WA,98597,Thurston,(360) 458-2800,93,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2504,45294,Fieldstone Cooper Point,810 Fieldstone Dr SW,Olympia,WA,98502,Thurston,(360) 915-5764,120,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2485,45091,Fieldstone Memory Care of Olympia,710 Fieldstone Dr SW,Olympia,WA,98502,Thurston,(360) 915-5737,57,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,1111,30405,GARDEN COURTE ALZHEIMER COMMUNITY,626 LILLY RD NE,OLYMPIA,WA,98506,Thurston,(360) 491-4435,93,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,1579,30775,HAMPTON SPECIAL CARE - TUMWATER,1400 Trosper Rd SW,Tumwater,WA,98512,Thurston,(360) 786-6062,56,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care",Yes,1168,30461,Memory Care At The Lodges,1530 CARPENTER RD SE,LACEY,WA,98503,Thurston,(360) 455-9159,64,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2494,45383,Olympics West Retirement Inn,929 Trosper Rd SW,Tumwater,WA,98512,Thurston,(360) 943-9900,100,Assisted Living Facility
No Contract,Yes,1161,30454,PANORAMA CITY,1751 Circle Ln SE,Lacey,WA,98503,Thurston,(360) 438-7539,50,Assisted Living Facility
Assisted Living SOW,Yes,2236,42169,Prestige Senior Living Rosemont,215 Killion Rd NW,Yelm,WA,98597,Thurston,(360) 458-1800,70,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2571,46462,Sequoia Village,825 Lilly Rd NE,Olympia,WA,98506,Thurston,(360) 491-0491,97,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2443,44622,The Cottages at Lacey,8570 Martin Way E,Lacey,WA,98516,Thurston,(360) 489-1128,40,Assisted Living Facility
Assisted Living SOW,Yes,1709,30860,Woodland Retirement & Assisted Living Community,4532 INTELCO LOOP SE,LACEY,WA,98503,Thurston,(360) 528-3253,114,Assisted Living Facility
Assisted Living SOW,Yes,2322,42393,Brookdale College Place,550 E WHITMAN DRIVE,COLLEGE PLACE,WA,99324,Walla Walla,(509) 526-7007,95,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2498,45335,Brookdale Walla Walla,1460 DALLES MILITARY RD,WALLA WALLA,WA,99362,Walla Walla,(509) 525-2990,90,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2400,44305,Eagle Springs Senior Alzheimers Community,20 SE Larch Ave,College Place,WA,99324,Walla Walla,(509) 525-6335,54,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,125,30004,WASHINGTON ODD FELLOWS HOME,534 Boyer Ave,Walla Walla,WA,99362,Walla Walla,(509) 525-6463,123,Assisted Living Facility
No Contract,Yes,1640,30817,WHEATLAND VILLAGE,1500 CATHERINE STREET,WALLA WALLA,WA,99362,Walla Walla,(509) 527-9600,113,Assisted Living Facility
No Contract,Yes,2354,43757,Whitman Place,1018 Whitman St,Walla Walla,WA,99362,Walla Walla,(509) 522-4630,44,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2244,41758,ALABAMA HOUSE,3630 Alabama St,Bellingham,WA,98229,Whatcom,(360) 676-6000,12,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2525,45657,Brookdale Fairhaven,2600 Old Fairhaven Parkway,Bellingham,WA,98225,Whatcom,(360) 647-1254,60,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2451,44519,Columbia Place,2315 Williams St,Bellingham,WA,98225,Whatcom,(360) 671-3631,35,Assisted Living Facility
Assisted Living SOW,Yes,2481,45245,"Cordata Court, Assisted Living & Memory Care",4415 Columbine Dr,Bellingham,WA,98226,Whatcom,,115,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1722,30871,GRACE RETIREMENT HOME LLC,2543 MOUNTAIN VIEW RD,FERNDALE,WA,98248,Whatcom,(360) 384-4050,12,Assisted Living Facility
No Contract,Yes,2097,40889,HIGHGATE SENIOR LIVING,155 E KELLOGG RD,BELLINGHAM,WA,98226,Whatcom,(360) 671-1459,77,Assisted Living Facility
No Contract,Yes,601,30094,LAKE WHATCOM RESIDENTIAL & TREATMENT CENTER,3400 AGATE HEIGHTS RD,BELLINGHAM,WA,982269472,Whatcom,(360) 676-7530,67,Assisted Living Facility
No Contract,Yes,2191,42012,Louisa Place,2240 Main St,Ferndale,WA,98248,Whatcom,(360) 384-9017,47,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1148,30441,LYNDEN MANOR,905 AARON DR,LYNDEN,WA,98264,Whatcom,(360) 354-5985,115,Assisted Living Facility
Assisted Living SOW,Yes,1504,30719,MEADOW GREENS,301 HOMESTEAD BLVD,LYNDEN,WA,98264,Whatcom,(360) 354-8200,35,Assisted Living Facility
Assisted Living SOW,Yes,1350,30615,ORCHARD PARK ASSISTED LIVING,844 W ORCHARD DRIVE,BELLINGHAM,WA,98225,Whatcom,(360) 647-3708,96,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2441,44780,Rosewood Villa Assisted Living Community,702 32ND ST,BELLINGHAM,WA,98225,Whatcom,(360) 676-9193,70,Assisted Living Facility
No Contract,Yes,2517,45726,Silverado Bellingham,4400 Columbine Dr,Bellingham,WA,98226,Whatcom,(360) 746-6675,85,Assisted Living Facility
No Contract,Yes,1913,30975,SPRING CREEK RETIREMENT & ASSISTED LIVING COMMUNITY,223 EAST BAKERVIEW ROAD,BELLINGHAM,WA,98226,Whatcom,(360) 756-2301,122,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1606,30792,SUMMIT PLACE ASSISTED LIVING,2905   CONNELLY   AVE   ,BELLINGHAM,WA,98225,Whatcom,(360) 738-8447,47,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2576,46738,The Bellingham at Orchard,848 West Orchard Dr,Bellingham,WA,98225,Whatcom,(360) 715-1338,76,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,2563,46697,Woodway Senior Living,1712 E Maplewood Ave,Bellingham,WA,98225,Whatcom,(360) 647-1095,72,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2330,42465,BISHOP PLACE SENIOR LIVING,815 SE Klemgard St,Pullman,WA,99163,Whitman,(509) 334-9488,121,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2370,43994,COMMUNITY PRIDE LLC,102 S Bryant Blvd,Saint John,WA,99171,Whitman,(509) 648-4214,21,Assisted Living Facility
Assisted Living SOW,Yes,1707,30859,LA DOW COURT ASSISTED LIVING,308 W California St,Garfield,WA,99130,Whitman,(509) 635-1240,16,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2226,41990,Paul's Place,907 S Mill Street,Colfax,WA,99111,Whitman,(509) 397-3433,35,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2060,40751,Regency Pullman,1285 SW Center St,Pullman,WA,99163,Whitman,(509) 332-2629,84,Assisted Living Facility
No Contract,Yes,2468,45082,Tekoa Care Center,330 N Madison St,Tekoa,WA,99033,Whitman,(509) 284-4501,59,Assisted Living Facility
Assisted Living SOW,Yes,1624,30804,THE COURTYARD AT COLFAX,300 S Main St,Colfax,WA,99111,Whitman,(509) 397-6123,50,Assisted Living Facility
Assisted Living SOW,Yes,2460,45017,Avamere at Englewood Heights,3710 Kern Way,Yakima,WA,98902,Yakima,(509) 452-5822,88,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2462,45018,Avamere at Englewood Heights Memory Care,3706 Kern Way,Yakima,WA,98902,Yakima,(509) 452-5822,20,Assisted Living Facility
No Contract,Yes,2190,42008,Blossom Place,5100 W Nob Hill Blvd,Yakima,WA,98908,Yakima,(509) 972-7862,55,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,1695,30847,Brookdale Yakima,4100 Englewood Ave,Yakima,WA,98908,Yakima,(509) 965-0111,82,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2156,41718,Chandler House,701 N 39th Ave,Yakima,WA,98902,Yakima,(509) 248-1007,36,Assisted Living Facility
No Contract,Yes,375,30041,COMPREHENSIVE HEALTHCARE,202 N 7TH ST,YAKIMA,WA,98901,Yakima,(509) 575-4084,12,Assisted Living Facility
Assisted Living SOW,Yes,2465,45151,Elmcroft of Chesterley,1100 N 35th Ave,Yakima,WA,98902,Yakima,,96,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care",Yes,2346,43745,Fieldstone Memory Care,4120 Englewood Ave,Yakima,WA,98908,Yakima,(509) 965-5282,58,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2404,44248,Fieldstone OrchardWest,4130 Englewood Ave,Yakima,WA,98908,Yakima,(509) 571-1640,92,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1916,30972,GLEED ORCHARD MANOR,30 LINK RD,GLEED,WA,98908,Yakima,(509) 966-5880,30,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2502,45025,Grandview Assisted Living,912 Hillcrest St,Grandview,WA,98930,Yakima,(509) 402-9040,45,Assisted Living Facility
No Contract,Yes,2224,42147,HIGHGATE SENIOR LIVING,5605 W CHESTNUT AVE,YAKIMA,WA,98908,Yakima,(509) 972-4141,64,Assisted Living Facility
No Contract,Yes,998,30305,HILLCREST AT SUMMITVIEW,3801 SUMMITVIEW AVE,YAKIMA,WA,98902,Yakima,(509) 966-6240,50,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care",Yes,1292,30567,JUST LIKE HOME RESIDENT CARE INC,906 NORTH AVE,SUNNYSIDE,WA,98944,Yakima,(509) 839-4663,13,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,804,30175,PONDEROSA RETIREMENT CENTER,3300 ENGLEWOOD AVE,YAKIMA,WA,98902,Yakima,(509) 453-1366,85,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2136,41675,RIVERVIEW MANOR,555 E Goodlander Rd,Selah,WA,98942,Yakima,(509) 697-3333,60,Assisted Living Facility
"Assisted Living SOW, Adult Residential Care",Yes,2440,44615,Sunnyside Assisted Living,907 Ida Belle St,Sunnyside,WA,98944,Yakima,(509) 839-0579,96,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2503,45441,The Orchards at Grandview ,2001 W 5th St,Grandview,WA,98930,Yakima,(509) 203-6182,72,Assisted Living Facility
