State Facility Type 2 Literal,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed
ENHANCED ADULT RESIDENTIAL CARE,2426,44561,Mukilteo Memory Care,4686 POINTES DR,Mukilteo,WA,98275,Snohomish,(425) 267-0808,60,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1995,39233,North Creek Retirement & Assisted Living Community,1907 201ST PLACE SE,Bothell,WA,98012,Snohomish,(425) 483-8927,102,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1712,30863,Olympic Place Retirement And Assisted Living Community,20909 OLYMPIC PL NE,Arlington,WA,98223,Snohomish,(360) 435-8440,81,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2371,44099,Pacifica Senior Living Lynnwood,18625 60TH AVE W,Lynnwood,WA,98037,Snohomish,(425) 771-7700,72,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2372,44098,Pacifica Senior Living Snohomish,1124 PINE AVE,Snohomish,WA,98290,Snohomish,(360) 568-1900,84,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2416,44376,Quail Park At Lynnwood,4015 164TH ST SW,Lynnwood,WA,98087,Snohomish,(425) 640-8529,227,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1379,30637,Rosewood Courte Memory Care Community,728 EDMONDS WAY,Edmonds,WA,98020,Snohomish,(425) 673-2875,46,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2203,41939,Scriber Gardens Llc,6024 200TH ST SW,Lynnwood,WA,98036,Snohomish,(425) 673-7111,39,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2253,42265,South Pointe Assisted Living,10330 4TH AVE W,Everett,WA,98204,Snohomish,(425) 513-5645,38,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2162,41859,Sunrise Of Edmonds,750 EDMONDS WAY,Edmonds,WA,98020,Snohomish,(425) 673-9700,76,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2343,43884,Sunrise Of Lynnwood,21500 72ND AVE W,Edmonds,WA,98026,Snohomish,(425) 776-3600,70,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,792,30170,Sunrise View Retirement Villa,2520 MADISON ST,Everett,WA,98203,Snohomish,(425) 353-4040,65,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2149,41525,The Cottages At Marysville,1216 GROVE STREET,Marysville,WA,98270,Snohomish,(360) 322-7561,50,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1977,39366,The Cottages At Mill Creek,13200  10TH DRIVE SE,Mill Creek,WA,98012,Snohomish,(425) 379-8276,40,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2476,45244,"The Gardens At Marysville, Independent Living & Assisted Liv",9802 48TH DR NE,Marysville,WA,98270,Snohomish,(360) 659-1279,80,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2411,43944,The Legacy Of Bothell,305 240TH ST SW,Bothell,WA,98021,Snohomish,(425) 761-7739,15,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2569,46739,The Terrace At Beverly Lake,524 75TH ST SE,Everett,WA,98203,Snohomish,(425) 348-8800,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2499,44646,The Village At Granite Falls,302 N ALDER AVE,Granite Falls,WA,98252,Snohomish,(360) 691-1777,30,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,956,30275,Tulalip Tribes Boarding Home,7300 TOTEM BEACH RD,Tulalip,WA,98271,Snohomish,(360) 716-4675,9,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ASSISTED LIVING SOW",2335,42285,Vineyard Park At Mountlake Terrace,23008 56TH AVE W,Mountlake Terrace,WA,98043,Snohomish,(425) 678-6008,123,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,362,30039,Warm Beach Health Care Center,20420 MARINE DR NW,Stanwood,WA,98292,Snohomish,(360) 652-7585,36,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1535,30740,Washington Oakes,1717 ROCKEFELLER AVENUE,Everett,WA,98201,Snohomish,(425) 339-3300,40,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2307,42323,Aspen Quality Care Inc,9626 N COLFAX RD,Spokane,WA,99218,Spokane,(509) 464-9486,21,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2461,45019,Avamere At South Hill,3708 E 57TH AVE,Spokane,WA,99223,Spokane,(509) 443-0401,95,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1552,30753,Bethany Place Inc,9111 E UPRIVER DR,Spokane,WA,99206,Spokane,(509) 924-0580,70,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,841,30194,Brighton Court,1308 N VERCLER RD,Spokane Valley,WA,99216,Spokane,(509) 926-4533,55,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",1698,30850,Brookdale Nine Mile,5329 WEST RIFLE CLUB COURT,Spokane,WA,99208,Spokane,(509) 323-1400,60,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",1759,30892,Brookdale Park Place,601 S PARK RD,Spokane Valley,WA,99212,Spokane,(509) 922-7224,110,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",2530,45056,Cataldo Community Residental Inc,11916 E CATALDO AVE,Spokane Valley,WA,99206,Spokane,(509) 939-7218,59,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1326,30594,Cheney Assisted Living,2229 N 6TH ST,Cheney,WA,99004,Spokane,(509) 235-6196,32,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2572,46837,Cherrywood Place,100 E DALKE AVE,Spokane,WA,99208,Spokane,(509) 484-3553,52,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1029,30329,Colonial Court,12016 E CATALDO AVE,Spokane Valley,WA,99206,Spokane,(509) 921-5473,51,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",2243,42116,Cornerstone Court Llc,12322 W RUBY RD,Spokane,WA,99218,Spokane,(509) 467-2688,40,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1992,38757,Evergreen Fountains Senior Living Community,1201 NORTH EVERGREEN ROAD,Spokane Valley,WA,99216,Spokane,(509) 922-3100,124,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2138,41463,Evergreen Residential Care,14120 E 3RD,Spokane Valley,WA,99037,Spokane,(509) 999-2538,47,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2128,41050,Fairfield Care,503 SOUTH HILLTOP LANE,Fairfield,WA,99012,Spokane,(509) 283-2232,50,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",1146,30439,Fairview Assisted Living Inc,1617 N CALISPEL,Spokane,WA,99205,Spokane,(509) 325-7339,64,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1455,30688,Fairwinds - Spokane,520 EAST HOLLAND AVE,Spokane,WA,99218,Spokane,(509) 468-1000,90,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",1989,39582,Fairwood Northridge Llc,312 W HASTINGS RD,Spokane,WA,99218,Spokane,(509) 468-0457,100,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2516,45610,Fieldstone Memory Care Of Spokane,4503 S FREYA STREET,Spokane,WA,99223,Spokane,,60,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2489,45289,Good Samaritan Society - Spokane Valley,17121 E 8TH AVE,Spokane Valley,WA,990168556,Spokane,(509) 924-6161,14,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1472,30700,Grande Manor,1718 W 9TH AVE,Spokane,WA,99204,Spokane,(509) 747-7233,12,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2035,40227,Guardian Angel Homes Liberty Lake,23102 E MISSION AVE,Liberty Lake,WA,99019,Spokane,(509) 893-9300,104,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2066,40589,Home Is Where The Heart Is,11010 E 4TH AVE,Spokane Valley,WA,99206,Spokane,(509) 891-2717,21,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2242,42016,Home Is Where The Heart Is (2),14805 E MISSION AVE,Spokane Valley,WA,99216,Spokane,(509) 939-7218,27,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1906,38697,Magnolia Care Enhanced Living,1707 E ROWAN AVE,Spokane,WA,99207,Spokane,(509) 482-6290,53,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1017,30320,Mallon Place Inc,1724 W MALLON AVE,Spokane,WA,99201,Spokane,(509) 327-5945,71,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2470,45152,Maplewood Gardens Assisted Living,1100 NORTH SUPERIOR STREET,Spokane,WA,99202,Spokane,(509) 489-9510,220,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2207,42023,Milford House,2208 W MATT MILFORD PL,Spokane,WA,99201,Spokane,(509) 327-5683,15,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2446,44727,Moore'S Assisted Living Inc,1803 W PACIFIC AVE,Spokane,WA,99201,Spokane,(509) 747-1745,18,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2562,46696,Moran Vista Senior Living,3319 E 57TH AVE,Spokane,WA,99223,Spokane,(509) 443-1944,101,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2479,45242,"North Point Village, Assisted Living & Memory Care",1110 E WESTVIEW CT,Spokane,WA,99218,Spokane,(509) 465-8440,126,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1538,30743,Orchard Crest Llc,222 S EVERGREEN ROAD,Spokane Valley,WA,99216,Spokane,(509) 928-2222,120,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2513,45602,Pine Ridge Alzheimer'S Special Care Center,12009 E MISSION AVE,Spokane Valley,WA,99206,Spokane,(509) 924-4388,66,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2021,40075,Providence Emilie Court Assisted Living,34 E 8TH AVE,Spokane,WA,99202,Spokane,(509) 474-2550,60,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2438,44779,Ridgeview Place,12903 E MISSION AVE,Spokane Valley,WA,99216,Spokane,(509) 927-7176,67,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2469,45141,Riverview Retirement Community,1952 N GRANITE ST,Spokane,WA,99207,Spokane,(509) 482-9586,24,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2405,44126,Riverview Terrace,1801 E UPRIVER DR,Spokane,WA,99207,Spokane,(509) 483-6483,90,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2577,47149,Rockwood At Whitworth,10331 N MAYBERRY DRIVE,Spokane,WA,99218,Spokane,(509) 466-0411,77,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,155,30009,Rockwood South Hill,2903 E 25TH AVE,Spokane,WA,992234963,Spokane,(509) 536-6650,90,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2452,44941,Rose Pointe Assisted Living,13013 E MISSION AVE,Spokane Valley,WA,99216,Spokane,,95,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2533,45969,Royal Park Retirement Center,302 E WEDGEWOOD AVE,Spokane,WA,99208,Spokane,(509) 483-7136,95,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1999,39340,Sessions Residential Care Inc,22 N ADAMS RD,Spokane Valley,WA,99216,Spokane,(509) 999-2538,26,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2480,45240,"South Hill Village, Assisted Living & Memory Care",3117 E CHASER LANE,Spokane,WA,99223,Spokane,(509) 433-8500,170,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2478,45246,"South Hill Village, Assisted Living & Memory Care",5925 S HAILEE LANE,Spokane,WA,99223,Spokane,(509) 433-8500,40,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1612,30797,Sullivan Park Assisted Living Community,S 421 ADAMS,Spokane,WA,99216,Spokane,(509) 924-5555,53,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",950,30272,Sunshine Terrace,10412 E 9TH AVE,Spokane Valley,WA,99206,Spokane,(509) 892-4342,88,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2127,41272,The Blair House,W 2718 SINTO AVE,Spokane,WA,99201,Spokane,(509) 327-6133,12,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1004,30310,Touchmark On South Hill,S 2999 WATERFORD DR,Spokane,WA,99203,Spokane,(509) 536-2929,105,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2151,41811,Valley House,401 S EASTERN RD,Spokane Valley,WA,99212,Spokane,(509) 953-8199,37,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2379,44079,Valley Residential Care Inc,14106 E 3RD AVE,Spokane Valley,WA,99216,Spokane,(509) 590-5581,28,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2431,44552,Whitehouse Inc,1534 N CEDAR ST,Spokane,WA,99201,Spokane,(509) 328-0700,33,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE",2399,44286,Willow Grove,1620 E MEAD ST,Spokane,WA,99218,Spokane,(509) 467-1135,20,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2184,42045,Windriver Place,7310 N PINE ROCK ST,Spokane,WA,99208,Spokane,(509) 325-1242,49,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2175,41945,Allegiance Supported Living,N 413 KRUGER ST,Chewelah,WA,99109,Stevens,(509) 935-8233,21,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2534,45972,Buena Vista Healthcare,151 BUENA VISTA DR,Colville,WA,99114,Stevens,(509) 684-4539,22,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2495,45200,Parkview Retirement & Assisted Living Residence,240 SOUTH SILKE ROAD,Colville,WA,99114,Stevens,(509) 684-5677,58,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2556,46402,Sycamore Glen At Quail Hollow,506 N EHORN LANE,Chewelah,WA,99109,Stevens,(509) 332-9152,18,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2542,46071,Artesian Place,828 MCPHEE RD SW,Olympia,WA,98502,Thurston,,65,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2036,40005,Bonaventure Of Lacey,4528 INTELCO LOOP SE,Lacey,WA,98503,Thurston,(360) 455-8500,126,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2275,42376,Brookdale Olympia East,616 LILLY RD NE,Olympia,WA,98506,Thurston,(360) 456-0601,75,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2497,45336,Brookdale Olympia West,420 YAUGER WAY SW,Olympia,WA,985028660,Thurston,,64,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2144,41743,Easthaven Villa,311 CULLENS ST NW,Yelm,WA,98597,Thurston,(360) 458-2800,93,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2504,45294,Fieldstone Cooper Point,810 FIELDSTONE DR SW,Olympia,WA,98502,Thurston,(360) 915-5764,120,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2485,45091,Fieldstone Memory Care Of Olympia,710 FIELDSTONE DR SW,Olympia,WA,98502,Thurston,(360) 915-5737,57,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",1111,30405,Garden Courte Alzheimer Community,626 LILLY RD NE,Olympia,WA,98506,Thurston,(360) 491-4435,93,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1579,30775,Hampton Special Care - Tumwater,1400 TROSPER RD SW,Tumwater,WA,98512,Thurston,(360) 786-6062,56,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",1168,30461,Memory Care At The Lodges,1530 CARPENTER RD SE,Lacey,WA,98503,Thurston,(360) 455-9159,64,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2494,45383,Olympics West Retirement Inn,929 TROSPER RD SW,Tumwater,WA,98512,Thurston,(360) 943-9900,100,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1161,30454,Panorama City,1751 CIRCLE LN SE,Lacey,WA,98503,Thurston,(360) 438-7539,50,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2236,42169,Prestige Senior Living Rosemont,215 KILLION RD NW,Yelm,WA,98597,Thurston,(360) 458-1800,70,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2571,46462,Sequoia Village,825 LILLY RD NE,Olympia,WA,98506,Thurston,(360) 491-0491,97,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2443,44622,The Cottages At Lacey,8570 MARTIN WAY E,Lacey,WA,98516,Thurston,(360) 489-1128,40,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1709,30860,Woodland Retirement & Assisted Living Community,4532 INTELCO LOOP SE,Lacey,WA,98503,Thurston,(360) 528-3253,114,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2322,42393,Brookdale College Place,550 E WHITMAN DRIVE,College Place,WA,99324,Walla Walla,(509) 526-7007,95,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2498,45335,Brookdale Walla Walla,1460 DALLES MILITARY RD,Walla Walla,WA,99362,Walla Walla,(509) 525-2990,90,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2400,44305,Eagle Springs Senior Alzheimers Community,20 SE LARCH AVE,College Place,WA,99324,Walla Walla,(509) 525-6335,54,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",125,30004,Washington Odd Fellows Home,534 BOYER AVE,Walla Walla,WA,99362,Walla Walla,(509) 525-6463,123,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1640,30817,Wheatland Village,1500 CATHERINE STREET,Walla Walla,WA,99362,Walla Walla,(509) 527-9600,113,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2354,43757,Whitman Place,1018 WHITMAN ST,Walla Walla,WA,99362,Walla Walla,(509) 522-4630,44,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2244,41758,Alabama House,3630 ALABAMA ST,Bellingham,WA,98229,Whatcom,(360) 676-6000,12,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2525,45657,Brookdale Fairhaven,2600 OLD FAIRHAVEN PARKWAY,Bellingham,WA,98225,Whatcom,(360) 647-1254,60,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2451,44519,Columbia Place,2315 WILLIAMS ST,Bellingham,WA,98225,Whatcom,(360) 671-3631,35,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2481,45245,"Cordata Court, Assisted Living & Memory Care",4415 COLUMBINE DR,Bellingham,WA,98226,Whatcom,,115,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1722,30871,Grace Retirement Home Llc,2543 MOUNTAIN VIEW RD,Ferndale,WA,98248,Whatcom,(360) 384-4050,12,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2097,40889,Highgate Senior Living,155 E KELLOGG RD,Bellingham,WA,98226,Whatcom,(360) 671-1459,77,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,601,30094,Lake Whatcom Residential & Treatment Center,3400 AGATE HEIGHTS RD,Bellingham,WA,982269472,Whatcom,(360) 676-7530,67,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2191,42012,Louisa Place,2240 MAIN ST,Ferndale,WA,98248,Whatcom,(360) 384-9017,47,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1148,30441,Lynden Manor,905 AARON DR,Lynden,WA,98264,Whatcom,(360) 354-5985,115,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1504,30719,Meadow Greens,301 HOMESTEAD BLVD,Lynden,WA,98264,Whatcom,(360) 354-8200,35,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1350,30615,Orchard Park Assisted Living,844 W ORCHARD DRIVE,Bellingham,WA,98225,Whatcom,(360) 647-3708,96,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2441,44780,Rosewood Villa Assisted Living Community,702 32ND ST,Bellingham,WA,98225,Whatcom,(360) 676-9193,70,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2517,45726,Silverado Bellingham,4400 COLUMBINE DR,Bellingham,WA,98226,Whatcom,(360) 746-6675,85,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,1913,30975,Spring Creek Retirement & Assisted Living Community,223 EAST BAKERVIEW ROAD,Bellingham,WA,98226,Whatcom,(360) 756-2301,122,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1606,30792,Summit Place Assisted Living,2905   CONNELLY   AVE   ,Bellingham,WA,98225,Whatcom,(360) 738-8447,47,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2576,46738,The Bellingham At Orchard,848 WEST ORCHARD DR,Bellingham,WA,98225,Whatcom,(360) 715-1338,76,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2563,46697,Woodway Senior Living,1712 E MAPLEWOOD AVE,Bellingham,WA,98225,Whatcom,(360) 647-1095,72,ASSISTED LIVING FACILITY,7/6/21
