Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,2569,60008710,46739,BH  ,The Terrace at Beverly Lake,OP    ,524 75th St SE,Everett,WA,98203,Snohomish,524 75th St SE,Everett,WA,98203,(425) 348-8800,,(425) 348-0424,2A,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Croney, Harold ",60,8/31/21 0:00,,,No, 
None,No Contract,,2499,60009616,44646,BH  ,The Village at Granite Falls,OP    ,302 N Alder Ave,Granite Falls,WA,98252,Snohomish,302 N Alder Ave,Granite Falls,WA,98252,(360) 691-1777,,(360) 691-3405,2A,,,"Williams, Laura ",30,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2499
None,Enhanced Adult Residential Care,,956,60000905,30275,BH  ,TULALIP TRIBES BOARDING HOME,OP    ,7300 Totem Beach Rd,Tulalip,WA,98271,Snohomish,7300 Totem Beach Rd,Tulalip,WA,98271,(360) 716-4675,(360) 716-0704,,2A,,1006NP-62 ,"Hurd, Kathy K. ",9,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=956
None,"Specialized Dementia Care, Assisted Living SOW",,2335,60009574,42285,BH  ,Vineyard Park at Mountlake Terrace,OP    ,23008 56th Ave W,Mountlake Terrace,WA,98043,Snohomish,23008 56th Ave W,Mountlake Terrace,WA,98043,(425) 678-6008,,(425) 967-6931,2J,,"1027XS-12 , 1002XP-12 ","MONTZINGO, JAKE ",123,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2335
None,No Contract,,362,60000923,30039,BH  ,WARM BEACH HEALTH CARE CENTER,OP    ,20420 Marine Dr NW,Stanwood,WA,98292,Snohomish,20420 Marine Dr ,Stanwood,WA,98292,(360) 652-7585,,(360) 652-4594,2A,,,"Nunn, Allison ",36,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=362
None,No Contract,,1535,60008730,30740,BH  ,WASHINGTON OAKES,OP    ,1717 ROCKEFELLER AVENUE,EVERETT,WA,98201,Snohomish,1717 ROCKEFELLER AVENUE,EVERETT,WA,98201,(425) 339-3300,,(425) 297-4596,2A,,,"Kasuya, Tad T. ",40,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1535
None,Enhanced Adult Residential Care,,2307,60009575,42323,BH  ,Aspen Quality Care Inc,OP    ,9626 N Colfax Rd,Spokane,WA,99218,Spokane,9626 N Colfax Rd,Spokane,WA,99218,(509) 464-9486,,(509) 465-4041,1B,,1006XP-12 ,"Bess, Melanie D. ",21,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2307
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2461,60008888,45019,BH  ,Avamere at South Hill,OP    ,3708 E 57th Ave,Spokane,WA,99223,Spokane,3708 E 57th Ave,Spokane,WA,99223,(509) 443-0401,,,1B,,"1006XP-12 , 1002XP-12 ","Alexander, Ken S. ",95,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2461
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1552,60000620,30753,BH  ,BETHANY PLACE INC,OP    ,9111 E Upriver Dr,Spokane,WA,99206,Spokane,9111 E Upriver Dr,Spokane,WA,99206,(509) 924-0580,(509) 924-2900,(509) 290-6385,1B,,"1036XP-12 , 1007XP-12 ","Crogan, Benjamin ",70,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1552
None,Assisted Living SOW,,841,60000628,30194,BH  ,BRIGHTON COURT,OP    ,1308 N Vercler Rd,Spokane Valley,WA,99216,Spokane,N 1308 VERCLER RD,SPOKANE,WA,99216,(509) 926-4533,,(509) 926-9091,1B,,1002XP-12 ,"Sells, Julie ",55,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=841
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,1698,60008717,30850,BH  ,Brookdale Nine Mile,OP    ,5329 WEST RIFLE CLUB COURT,SPOKANE,WA,99208,Spokane,5329 WEST RIFLE CLUB COURT,SPOKANE,WA,99208,(509) 323-1400,,(509) 323-1500,1B,,"1027XS-12 , 1006XP-12 ","Dawson, Josephine ",60,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1698
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,1759,60001083,30892,BH  ,Brookdale Park Place,OP    ,601 S Park Rd,Spokane Valley,WA,99212,Spokane,601 SOUTH PARK ROAD,SPOKANE,WA,99212,(509) 922-7224,,(509) 922-1389,1B,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Johnson, Patricia ",110,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1759
None,"Expanded Community Services, Enhanced Adult Residential Care",,2530,60009623,45056,BH  ,Cataldo Community Residental Inc,OP    ,11916 E Cataldo Ave,Spokane Valley,WA,99206,Spokane,PO Box 1629,Veradale,WA,99037,(509) 939-7218,,(509) 443-4202,1B,,1036XP-12 ,"Andrews, Ashley ",59,12/31/21 0:00,,,No, 
None,Assisted Living SOW,,1326,60008752,30594,BH  ,CHENEY ASSISTED LIVING,OP    ,2229 N 6TH ST,CHENEY,WA,99004,Spokane,2219 N 6TH ST,CHENEY,WA,99004,(509) 235-6196,,(509) 235-2044,1B,,1002XP-12 ,"Fauerso, Keith A. ",32,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1326
None,"Assisted Living SOW, Adult Residential Care",,2572,60000707,46837,BH  ,Cherrywood Place,OP    ,100 E Dalke Ave,Spokane,WA,99208,Spokane,100 E Dalke Ave,Spokane,WA,99208,(509) 484-3553,,(509) 484-3585,1B,,"1002XP-12 , 1007XP-12 ","Yates, Teresa ",52,3/31/22 0:00,,,No, 
None,Assisted Living SOW,,1029,60006987,30329,BH  ,COLONIAL COURT,OP    ,12016 E Cataldo Ave,Spokane Valley,WA,99206,Spokane,13505 E Broadway Avenue,SPOKANE VALLEY,WA,99216,(509) 921-5473,(509) 924-4250,,1B,,1002XP-12 ,"Hauck, Brenda ",51,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1029
None,"Expanded Community Services, Enhanced Adult Residential Care",,2243,60008967,42116,BH  ,Cornerstone Court LLC,OP    ,12322 W Ruby Rd,Spokane,WA,99218,Spokane,12322 W Ruby Rd,Spokane,WA,99218,(509) 467-2688,,(509) 466-2819,1B,,1036XP-12 ,"Rogers, Cynthia D. ",40,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2243
None,No Contract,,1992,60009501,38757,BH  ,Evergreen Fountains Senior Living Community,OP    ,1201 North Evergreen Road,Spokane Valley,WA,99216,Spokane,1201 North Evergreen Road,Spokane Valley,WA,99216,(509) 922-3100,(509) 252-9825,,1B,,,"Arger, Prokey G. ",124,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1992
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2138,60009557,41463,BH  ,EVERGREEN RESIDENTIAL CARE,OP    ,14120 E 3RD,SPOKANE VALLEY,WA,99037,Spokane,PO BOX 1469,VERADALE,WA,99037,(509) 999-2538,,(509) 926-6407,1B,,"1036XP-12 , 1006XP-12 , 1002XP-12 , 1007XP-12 ","Sessions, Adam Y. ",47,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2138
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",,2128,60009553,41050,BH  ,FAIRFIELD CARE,OP    ,503 SOUTH HILLTOP LANE,FAIRFIELD,WA,99012,Spokane,503 SOUTH HILLTOP LANE,FAIRFIELD,WA,99012,(509) 283-2232,,(509) 283-2067,1B,,"1036XP-12 , 1002XP-12 ","Fross, Jared ",50,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2128
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",,1146,60001146,30439,BH  ,FAIRVIEW ASSISTED LIVING INC,OP    ,1617 N CALISPEL,SPOKANE,WA,99205,Spokane,1617 N CALISPEL,SPOKANE,WA,99205,(509) 325-7339,,(509) 325-7178,1B,,"1027XS-12 , 1036XP-12 , 1002XP-12 ","Bozett, Heidi R. ",64,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1146
None,No Contract,,1455,60008829,30688,BH  ,FAIRWINDS - SPOKANE,OP    ,520 EAST HOLLAND AVE,SPOKANE,WA,99218,Spokane,520 EAST HOLLAND AVE,SPOKANE,WA,99218,(509) 468-1000,,(509) 468-1961,1B,,,"Bravato, Jamie ",90,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1455
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",,1989,60001294,39582,BH  ,FAIRWOOD NORTHRIDGE LLC,OP    ,312 W HASTINGS RD,SPOKANE,WA,99218,Spokane,312 W HASTINGS RD,SPOKANE,WA,99218,(509) 468-0457,,(509) 868-0741,1B,,"1027XS-12 , 1036XP-12 , 1002XP-12 ","Knutson, Riley ",100,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1989
None,No Contract,,2516,60009645,45610,BH  ,Fieldstone Memory Care of Spokane,OP    ,4503 S Freya Street,Spokane,WA,99223,Spokane,4503 S Freya Street,Spokane,WA,99223,,,,1B,,,"Conley, Heidi ",60,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2516
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2489,60008084,45289,BH  ,Good Samaritan Society - Spokane Valley,OP    ,17121 E 8th Ave,Spokane Valley,WA,990168556,Spokane,17121 E 8th Ave,Spokane Valley,WA,99016-8556,(509) 924-6161,,(509) 924-6166,1B,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Gannon, John ",14,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2489
None,No Contract,,1472,60000719,30700,BH  ,GRANDE MANOR,OP    ,1718 W 9th Ave,Spokane,WA,99204,Spokane,12402 Osprey Rd,Nine Mile Falls,WA,99026,(509) 747-7233,(509) 465-1813,,1B,,,"Rodriguez, Penny L. ",12,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1472
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2035,60009542,40227,BH  ,GUARDIAN ANGEL HOMES LIBERTY LAKE,OP    ,23102 E MISSION AVE,LIBERTY LAKE,WA,99019,Spokane,23102 E MISSION AVE,LIBERTY LAKE,WA,99019,(509) 893-9300,,(509) 893-2504,1B,,"1027XS-12 , 1036XP-12 , 1007XP-12 ","ESTUDILLO, JOAN ",104,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2035
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2066,60009548,40589,BH  ,HOME IS WHERE THE HEART IS,OP    ,11010 E 4th Ave,Spokane Valley,WA,99206,Spokane,PO Box 1629,Veradale,WA,99037,(509) 891-2717,,(509) 893-3601,1B,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Andrews, Ashley ",21,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2066
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2242,60009569,42016,BH  ,Home is Where the Heart Is (2),OP    ,14805 E Mission Ave,Spokane Valley,WA,99216,Spokane,PO Box 1629,Veradale,WA,99037,(509) 939-7218,,(509) 893-3601,1B,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Andrews, Ashley ",27,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2242
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,1906,60001179,38697,BH  ,Magnolia Care Enhanced Living,OP    ,1707 E Rowan Ave,Spokane,WA,99207,Spokane,1707 E Rowan Ave,Spokane,WA,99207,(509) 482-6290,,(509) 487-8124,1B,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Beaty, Britney ",53,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1906
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1017,60000897,30320,BH  ,MALLON PLACE INC,OP    ,1724 W Mallon Ave,Spokane,WA,99201,Spokane,1724 W Mallon Ave,Spokane,WA,99201,(509) 327-5945,,(509) 808-2455,1B,,"1036XP-12 , 1007XP-12 ","Crogan, Benjamin ",71,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1017
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2470,60000795,45152,BH  ,Maplewood Gardens Assisted Living,OP    ,1100 North Superior Street,Spokane,WA,99202,Spokane,1100 North Superior Street,Spokane,WA,99202,(509) 489-9510,,(509) 489-2031,1B,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Alexander, Devon ",220,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2470
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2207,60000802,42023,BH  ,Milford House,OP    ,2208 W Matt Milford Pl,Spokane,WA,99201,Spokane,2208 W Matt Milford Pl,Spokane,WA,99201,(509) 327-5683,,(509) 795-5451,1B,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Parker, Brandon ",15,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2207
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2446,60000804,44727,BH  ,Moore's Assisted Living Inc,OP    ,1803 W Pacific Ave,Spokane,WA,99201,Spokane,1803 W Pacific Ave,Spokane,WA,99201,(509) 747-1745,,(509) 458-0806,1B,,"1036XP-12 , 1007XP-12 ","Wilkerson, Betsy L. ",18,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2446
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2562,60001132,46696,BH  ,Moran Vista Senior Living,OP    ,3319 E 57th Ave,Spokane,WA,99223,Spokane,3319 E 57th Ave,Spokane,WA,99223,(509) 443-1944,,(509) 343-1881,1B,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Steighner, Andrew ",101,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2562
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2479,60008788,45242,BH  ,"North Point Village, Assisted Living & Memory Care",OP    ,1110 E Westview Ct,Spokane,WA,99218,Spokane,1110 E Westview Ct,Spokane,WA,99218,(509) 465-8440,,(509) 464-3358,1B,,"1006XP-12 , 1002XP-12 ","Aguirre, JoAnn ",126,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2479
None,No Contract,,1538,60008874,30743,BH  ,ORCHARD CREST LLC,OP    ,222 S EVERGREEN ROAD,SPOKANE VALLEY,WA,99216,Spokane,222 S EVERGREEN ROAD,SPOKANE VALLEY,WA,99216,(509) 928-2222,,(509) 921-5887,1B,,,"LUNT, SUSAN L. ",120,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1538
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2513,60009540,45602,BH  ,Pine Ridge Alzheimer's Special Care Center,OP    ,12009 E Mission Ave,Spokane Valley,WA,99206,Spokane,12009 E Mission Ave,Spokane Valley,WA,99206,(509) 924-4388,,(509) 926-4028,1B,,"1027XS-12 , 1006XP-12 ","James, Gay L. ",66,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2513
None,Assisted Living SOW,,2021,60008811,40075,BH  ,Providence Emilie Court Assisted Living,OP    ,34 E 8th Ave,Spokane,WA,99202,Spokane,34 E 8th Ave,Spokane,WA,99202,(509) 474-2550,,(509) 474-4532,1B,,1002XP-12 ,"Longworth, Charlene D. ",60,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2021
None,No Contract,,2438,60009596,44779,BH  ,Ridgeview Place,OP    ,12903 E Mission Ave,Spokane Valley,WA,99216,Spokane,12903 E Mission Ave,Spokane Valley,WA,99216,(509) 927-7176,(509) 927-8219,(847) 259-0283,1B,,,"Newman, Rita ",67,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2438
None,No Contract,,2469,60009628,45141,BH  ,Riverview Retirement Community,OP    ,1952 N Granite St,Spokane,WA,99207,Spokane,1952 N Granite St,Spokane,WA,99207,(509) 482-9586,(509) 482-8176,,1B,,,"Moua, Chuethoa ",24,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2469
None,Assisted Living SOW,,2405,60000132,44126,BH  ,Riverview Terrace,OP    ,1801 E Upriver Dr,Spokane,WA,99207,Spokane,1801 E Upriver Dr,Spokane,WA,99207,(509) 483-6483,,(509) 482-8176,1B,,1002XP-12 ,"Simien, Nancy ",90,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2405
None,No Contract,,2577,60009677,47149,BH  ,Rockwood at Whitworth,OP    ,10331 N Mayberry Drive,Spokane,WA,99218,Spokane,10331 N Mayberry Drive,Spokane,WA,99218,(509) 466-0411,(509) 468-0532,,1B,,,"Collette, Stephen A. ",77,4/30/22 0:00,,,No, 
None,No Contract,,155,60000864,30009,BH  ,ROCKWOOD SOUTH HILL,OP    ,2903 E 25TH AVE,SPOKANE,WA,992234963,Spokane,2903 E 25TH AVE STE OFC,SPOKANE,WA,99223-4963,(509) 536-6650,,(509) 536-6662,1B,,,"DeBoise, Dan ",90,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=155
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",,2452,60008913,44941,BH  ,Rose Pointe Assisted Living,OP    ,13013 E Mission Ave,Spokane Valley,WA,99216,Spokane,13013 E Mission Ave,Spokane Valley,WA,99216,,,(509) 232-5760,1B,,"1036XP-12 , 1002XP-12 ","CHAMBERLAIN, TRUDIE J. ",95,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2452
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2533,60000856,45969,BH  ,Royal Park Retirement Center,OP    ,302 E Wedgewood Ave,Spokane,WA,99208,Spokane,4601 NE 77th Ave Suite 300,Vancouver,WA,98662,(509) 483-7136,,(509) 483-5161,1B,,"1006XP-12 , 1002XP-12 ","Salter, Aleshia ",95,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2533
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,1999,60009514,39340,BH  ,SESSIONS RESIDENTIAL CARE INC,OP    ,22 N ADAMS RD,SPOKANE VALLEY,WA,99216,Spokane,22 N ADAMS RD,SPOKANE VALLEY,WA,99216,(509) 999-2538,,(509) 926-5299,1B,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Sessions, Adam Y. ",26,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1999
None,Assisted Living SOW,,2480,60008904,45240,BH  ,"South Hill Village, Assisted Living & Memory Care",OP    ,3117 E Chaser Lane,Spokane,WA,99223,Spokane,17330 Preston Rd Ste 240B,Dallas,Tx,75252,(509) 433-8500,,(509) 433-6582,1B,,1002XP-12 ,"Rios, Emiley ",170,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2480
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2478,60008879,45246,BH  ,"South Hill Village, Assisted Living & Memory Care",OP    ,5925 S Hailee Lane,Spokane,WA,99223,Spokane,17330 Preston Rd Ste 240B,Dallas,Tx,75252,(509) 433-8500,,(509) 443-6582,1B,,"1006XP-12 , 1002XP-12 ","Rios, Emiley ",40,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2478
None,Assisted Living SOW,,1612,60001124,30797,BH  ,SULLIVAN PARK ASSISTED LIVING COMMUNITY,OP    ,S 421 ADAMS,SPOKANE,WA,99216,Spokane,S 421 ADAMS,SPOKANE,WA,99216,(509) 924-5555,,(509) 924-8890,1B,,1002XP-12 ,"Steely, Mary B. ",53,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1612
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,950,60000898,30272,BH  ,SUNSHINE TERRACE,OP    ,10412 E 9th Ave,Spokane Valley,WA,99206,Spokane,1102 S Raymond Rd,Spokane Valley,WA,99206,(509) 892-4342,,(509) 891-1062,1B,,"1027XS-12 , 1036XP-12 , 1007XP-12 ","Simpson, Ron L. ",88,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=950
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2127,60000622,41272,BH  ,THE BLAIR HOUSE,OP    ,W 2718 SINTO AVE,SPOKANE,WA,99201,Spokane,W 2718 SINTO AVE,SPOKANE,WA,99201,(509) 327-6133,,(509) 795-5451,1B,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Parker, Brandon ",12,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2127
None,No Contract,,1004,60001330,30310,BH  ,TOUCHMARK ON SOUTH HILL,OP    ,S 2999 WATERFORD DR,SPOKANE,WA,99203,Spokane,2929 S Waterford Dr,SPOKANE,WA,99203,(509) 536-2929,(509) 536-3999,,1B,,,"McGaughey, Meagan ",105,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1004
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2151,60000909,41811,BH  ,VALLEY HOUSE,OP    ,401 S Eastern Rd,Spokane Valley,WA,99212,Spokane,PO Box 2167,Spokane,WA,99210,(509) 953-8199,,(509) 464-0320,1B,,"1036XP-12 , 1007XP-12 ","Reillo, Vincent J. ",37,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2151
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2379,60009593,44079,BH  ,Valley Residential Care Inc,OP    ,14106 E 3rd Ave,Spokane Valley,WA,99216,Spokane,14106 E 3rd Ave,Spokane Valley,WA,99216,(509) 590-5581,(509) 267-0935,,1B,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","Watt, Daniel ",28,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2379
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2431,60000933,44552,BH  ,Whitehouse Inc,OP    ,1534 N Cedar St,Spokane,WA,99201,Spokane,1534 N Cedar St,Spokane,WA,99201,(509) 328-0700,,(509) 323-0760,1B,,"1036XP-12 , 1007XP-12 ","Reillo, Vincent J. ",33,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2431
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care",,2399,60008738,44286,BH  ,Willow Grove,OP    ,1620 E Mead St,Spokane,WA,99218,Spokane,1620 E Mead St,Spokane,WA,99218,(509) 467-1135,,(509) 468-7906,1B,,"1036XP-12 , 1006XP-12 ","Knudson, Rachel ",20,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2399
None,No Contract,,2184,60001156,42045,BH  ,Windriver Place,OP    ,7310 N Pine Rock St,Spokane,WA,99208,Spokane,7310 N Pine Rock St,Spokane,WA,99208,(509) 325-1242,,(847) 259-0283,1B,,,"Hays, Kassi ",49,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2184
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2175,60000653,41945,BH  ,Allegiance Supported Living,OP    ,N 413 Kruger St,Chewelah,WA,99109,Stevens,PO Box 379,Chewelah,WA,99109,(509) 935-8233,,(509) 685-0108,1B,,"1036XP-12 , 1007XP-12 ","Nelson, Jackie ",21,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2175
None,"Assisted Living SOW, Adult Residential Care",,2534,60003871,45972,BH  ,Buena Vista Healthcare,OP    ,151 Buena Vista Dr,Colville,WA,99114,Stevens,4601 NE 77th Ave Suite 300,Vancouver,WA,98662,(509) 684-4539,,(509) 685-0582,1B,,"1002XP-12 , 1007XP-12 ","Luu, Tyson G. ",22,1/31/22 0:00,,,No, 
None,Assisted Living SOW,,2495,60008758,45200,BH  ,Parkview Retirement & Assisted Living Residence,OP    ,240 South Silke Road,Colville,WA,99114,Stevens,240 South Silke Road,Colville,WA,99114,(509) 684-5677,,(509) 684-9700,1B,,1002XP-12 ,"Nelson, Jackie ",58,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2495
