State Facility Type 2 Literal,License Number,Facility Name,City,State,Zip Code,Phone Number,Capacity,Licensee,Date Accessed,State Facility Type 1 Literal,Address
LARGE GROUP,AL060380538,Eden Fields  Memory Care,Standish,MI,48658,9897183117.0,20,EDEN FIELDS ASSISTED LIVING AND MEMORY CARE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3567 DEEP RIVER RD.
SMALL GROUP,AS810405342,Memory Lane Stoneham,Ypsilanti,MI,48197,7347074039.0,6,MEMORY LANE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8253 STONEHAM DRIVE
SMALL GROUP,AS820390308,Rosetta'S Bella Casa,Riverview,MI,48193,7342507199.0,6,ROSE OF SHARON LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,18213 YORKSHIRE
FAMILY HOME,AF830385277,"Beam Of Hope, Llc",Cadillac,MI,49601,2319202096.0,6,"SMITH, BRENDA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8376 S 27 RD
LARGE GROUP,AL250387323,Maple Place,Flint,MI,48507,8105693673.0,18,LISA LOWELL,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1132 EAST MAPLE AVENUE
HOME FOR THE AGED,AH380381401,Brightside Assisted Living & Memory Care,Jackson,MI,49203,5177874150.0,38,BRIGHTSIDE ASSISTED LIVING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2388 ROBINSON ROAD
FAMILY HOME,AF820389964,Kim'S Comforts Of Home,Livonia,MI,48152,3139520945.0,4,KIMBERLY BISHOP,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,32477 SIX MILE RD
FAMILY HOME,AF250382605,Yenglin Home,Clio,MI,48420,8105643460.0,6,"YENGLIN, LISA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3252 FIELD ROAD
LARGE GROUP,AL250382511,Hampton Manor Davison 2,Davison,MI,48423,8107775050.0,20,INVESTORS LANDS HOLDING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10222 LAPEER ROAD
SMALL GROUP,AS250385628,Pal'S Place,Burton,MI,48509,8109380018.0,6,"PAL'S PLACE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5336 E COURT ST S
LARGE GROUP,AL500382676,The Villages Community,Armada,MI,48005,5864733227.0,20,"RHEMA-ARMADA VILLAGE OPERATING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22570 MAIN STREET
SMALL GROUP,AS630390815,Essence Memory Care Llc,Northville,MI,48167,2483089607.0,6,COLLEEN CASSIDY AND CAROLINE ANDERSON,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,20800 CHIGWIDDEN ST
SMALL GROUP,AS390401226,Rosediri Care Facility,Portage,MI,49024,2694148013.0,6,"PRECIOUS CARE ASSISTED LIVING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1223 COBBLESTONE LN
MEDIUM GROUP,AM380392461,Victorian Rose Assisted Living,Jackson,MI,49201,5177644163.0,8,WESTGATE HOLDINGS LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5585 BROOKLYN RD
HOME FOR THE AGED,AH290406205,Arbor Grove Assisted Living & Memory Care,Alma,MI,48801,9894633074.0,62,"SENIOR LIVING ARBOR GROVE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1320 PINE AVENUE
LARGE GROUP,AL700397734,Ahsl Holland Lighthouse,Holland,MI,49423,6163932174.0,20,AH HOLLAND SUBTENANT LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11905 JAMES STREET
LARGE GROUP,AL700397742,Ahsl Spring Lake Timberbrook,Spring Lake,MI,49456,6168442880.0,20,AH SPRING LAKE SUBTENANT LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17383 OAK CREST PARKWAY
SMALL GROUP,AS570399781,Magnolia Care East Afc,Manton,MI,49663,2318782770.0,6,MAGNOLIA CARE EAST AFC LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,9200 W WALKER ROAD
LARGE GROUP,AL730398402,"Pine Haven Assisted Living Llc, Afc",Hemlock,MI,48626,9896425761.0,15,PAULA DANVILLE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,515 N BRENNAN
SMALL GROUP,AS630396401,Rochester Hills Manor,Rochester Hills,MI,48307,2489319009.0,6,ADORED LIVING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,185 S BOULEVARD E
SMALL GROUP,AS820396402,Helping Others Live Together Group Home,Detroit,MI,48228,3132088812.0,4,ARLISHA HILL,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,9948 VAUGHAN ST
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH500402080,Presbyterian Village East,Chesterfield,MI,48047,5867256030.0,22,PRESBYTERIAN VILLAGE EAST,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,33875 KIELY DRIVE
FAMILY HOME,AF730393298,K & M Residential Services,Saginaw,MI,48602,9894019000.0,2,"RICKY WEEMS, JR.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1628 N. CHARLES ST.
LARGE GROUP,AL120405135,Grand Vista Properties Ii,Coldwater,MI,49036,5172275225.0,20,"GRAND VISTA PROPERTIES, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,300 VISTA DRIVE
LARGE GROUP,AL410400135,Vista Springs The Lodge,Grand Rapids,MI,49525,6163644690.0,20,"VISTA SPRINGS NORTHVIEW, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3736 VISTA SPRINGS AVE NE
SMALL GROUP,AS730403466,Trinity Blessings,Saginaw,MI,48607,9895013882.0,6,TRINITY BLESSINGS LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,650 WEADOCK
LARGE GROUP,AL790406035,Vassar Comfort Care,Vassar,MI,48768,9896070001.0,20,COMFORT CARE SENIOR LIVING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5830 FRANKENMUTH
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH710402557,The Brook Of Rogers City,Rogers City,MI,49779,9897456500.0,84,"THE BROOK OF ROGERS CITY, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,715 THIRD STREET
MEDIUM GROUP,AM410406102,Dignified Care 44Th. Street,Kentwood,MI,49512,6162266442.0,12,DIGNIFIED CARE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2720 44TH ST. SE
MEDIUM GROUP,AM640397153,Rose Care Llc,Shelby,MI,49455,2316709475.0,12,"ROSE ADULT FOSTER CARE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1318 S OCEANA DR
HOME FOR THE AGED,AH820400729,Plymouth Inn,Plymouth,MI,48170,7344510700.0,75,"WRE PLYMOUTH HOLDINGS, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,205 N. HAGGERTY
HOME FOR THE AGED,AH820391698,Sunrise On Vernier,Grosse Pointe Woods,MI,48236,3136422000.0,54,WELLTOWER OPCO GROUP LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1850 VERNIER ROAD
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH090406609,Colonnades Assisted Living,Bay City,MI,48706,9896847060.0,50,"COLONNADES OPCO, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2448 MIDLAND ROAD
LARGE GROUP,AL580396860,Hampton Manor Of Dundee 4,Dundee,MI,48131,7348269191.0,20,HAMPTON MANOR OF DUNDEE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,123 WATERSTRADT COMMERCE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH720394158,The Brook Of Houghton Lake,Houghton Lake,MI,48629,9894227200.0,84,"THE BROOK OF HOUGHTON LAKE, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8815 KNAPP ROAD
SMALL GROUP,AS780402783,Welcome Home Sunshine,Owosso,MI,48867,9897233807.0,6,WELCOME HOME ASSISTED LIVING - OWOSSO,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1609 VANDEKARR RD
SMALL GROUP,AS630403549,Vicky'S Place,West Bloomfield,MI,48322,7348340423.0,6,VICKY'S PLACE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6674 E KNOLLWOOD CIR
LARGE GROUP,AL330404951,Divine Life Assisted Living Center  2 Llc,Haslett,MI,48840,5173393677.0,16,DIVINE LIFE ASSISTED LIVING CENTER 2 LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5905 EDSON STREET
FAMILY HOME,AF820406252,Rosebrook Family Home,Detroit,MI,48219,3132822422.0,3,JENNIFER KENYON AND TERRELL KENYON,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,19499 WESTBROOK
LARGE GROUP,AL190404601,Addington Place Of Dewitt 3,Dewitt,MI,48820,5174846980.0,20,"MCAP DEWITT OPCO, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"1177 W. SOLON RD, STE 3"
HOME FOR THE AGED,AH500399165,Hampton Manor Of Shelby,Shelby Township,MI,48315,5863334940.0,77,HAMPTON MANOR OF SHELBY LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,51831 VAN DYKE AVENUE
FAMILY HOME,AF700403448,Synthia Afc Care,Holland,MI,49424,3134551930.0,6,SWEETY ROZARIO AND SUBIR CROZE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,13069 BLUEBERRY LANE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH250396405,Genesee Gardens,Flint Township,MI,48532,8107204167.0,119,SNR 27 GENESEE GARDENS OWNER LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4495 CLAKINS RD.
FAMILY HOME,AF590402055,Lake House Assisted Living,Lakeview,MI,48850,6169202050.0,4,CHELSEA SACK,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,531 S. LINCOLN AVENUE
HOME FOR THE AGED,AH500397563,American House Roseville,Roseville,MI,48066,5869331593.0,50,AH ROSEVILLE MC SUBTENTANT LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17267 COMMON ROAD
MEDIUM GROUP,AM190394424,Pathway Home Of Elsie,Elsie,MI,48831,5172812729.0,11,"PATHWAY HOME OF ELSIE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,133 W MAIN STREET
SMALL GROUP,AS630396006,Serenity Elderly Care,Farmington Hills,MI,48334,2482512711.0,6,"SERENITY ELDERLY CARE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,27816 KENDALWOOD DRIVE
LARGE GROUP,AL500404616,Prestige Commons I,Chesterfield Twp,MI,48047,5867259300.0,18,"MCAP CHESTERFIELD TOWNSHIP OPCO, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,33503 23 MILE ROAD
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH240402280,Perry Farm Village,West Traverse,MI,49740,2315261500.0,65,PERRY FARM VILLAGE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4241 VILLAGE CIRCLE
SMALL GROUP,AS030394330,Trinity House,Allegan,MI,49010,2696800732.0,6,TRINITY HOME HEALTH AGENCY LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3407 125TH AVENUE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH280396005,County Pleasures Assisted Living,Traverse City,MI,49696,2314213091.0,21,DEBRA BANTON,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1818 RIVER RIDGE DR.
SMALL GROUP,AS280401994,Traverse Neuro Rehabilitation,Traverse City,MI,49686,2312522485.0,6,"TRAVERSE NEURO REHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,654 HASTINGS ST.
MEDIUM GROUP,AM410401224,Visel Hilltop Afc,Alto,MI,49302,6168687478.0,12,"VISEL AFC, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6565 WHITNEYVILLE AVE. SE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH820398204,American House Southgate,Southgate,MI,48195,7347209285.0,81,AH SOUTHGATE SUBTENANT LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,16333 ALLEN ROAD
HOME FOR THE AGED,AH730401359,Community Village,Saginaw,MI,48603,9897925442.0,90,A&D CHARITABLE FOUNDATION INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3200 HOSPITAL RD
LARGE GROUP,AL500402696,Randall Residence Of Sterling Heights Iii,Sterling Heights,MI,48313,2486065664.0,20,"RANDALL RESIDENCE OF STERLING HEIGHTS, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,13400 19 MILE ROAD
FAMILY HOME,AF700404018,Creekview Afc Home,Zeeland,MI,49464,6165106696.0,1,HEATHER NORTHUIS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2696 GAY PAREE DR
LARGE GROUP,AL540402190,Big Rapids Fields Assisted Living,Big Rapids,MI,49703,9894508323.0,20,BIG RAPIDS FIELDS ASSISTED LIVING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,18900 16 MILE ROAD
FAMILY HOME,AF670391967,Quick'S Afc,Sears,MI,49679,2317346026.0,6,CHARITY QUICK,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6517 20TH AVE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH810402234,Chelsea Retirement Community,Chelsea,MI,48118,7344331000.0,344,UNITED METHODIST RETIREMENT COMMUNITIES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,801 W. MIDDLE STREET
LARGE GROUP,AL180404676,Prestige Place I,Clare,MI,48617,9893867524.0,20,"MCAP CLARE OPCO, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,684 ANN ARBOR TRAIL
LARGE GROUP,AL180404678,Prestige Place Ii,Clare,MI,48617,9893867524.0,20,"MCAP CLARE OPCO, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,690 ANN ARBOR TRAIL
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH500406136,Pine Ridge Of Hayes,Sterling Heights,MI,48313,5862470901.0,170,"HAYES ROAD HOLDING, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,43707 HAYES ROAD
SMALL GROUP,AS630404863,Loyal Care Assisted Living Inc,Southfield,MI,48075,3132081685.0,6,LOYAL CARE ASSISTED LIVING INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,20998 WESTHAVEN
LARGE GROUP,AL110405928,A Place Called Home In Stevensville Llc,Stevensville,MI,49127,2698766523.0,20,A PLACE CALLED HOME IN STEVENSVILLE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4167 N. ROOSEVELT RD
SMALL GROUP,AS810399293,Sasse Brooks House,Ypsilanti,MI,48197,7344768781.0,5,SASSE AFC LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7368 E BROOKS
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH470397995,Vista Springs Howell,Howell,MI,48855,5175401926.0,50,"VISTA SPRINGS HOWELL, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,605 PERE MARQUETTE
FAMILY HOME,AF210392110,Hartman'S Adult Care,Escanaba,MI,49829,9062337008.0,3,"HARTMAN, BARBARA",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3214 LAKESHORE DR
SMALL GROUP,AS500395750,Our Place Senior Assisted Living Ulrich,Clinton Twp,MI,48036,5866252231.0,6,STAY AT HOME SENIOR CARE1 LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,21725 ULRICH
SMALL GROUP,AS780408017,Umbrellex 4,Owosso,MI,48867,5867654342.0,5,"UMBRELLEX BEHAVIORAL HEALTH SERVICES, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2023 KILBOURN AVE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH630397711,American House The Village,Rochester Hills,MI,48309,2483273554.0,272,"AH ROCHESTER HILLS SUBTENANT, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3617 S. ADAMS ROAD
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH630397714,American House Troy,Troy,MI,48083,2484364621.0,147,"AH TROY SUBTENANT, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2300 GRAND HAVEN DR.
SMALL GROUP,AS500394497,The Charlton Home,Macomb Township,MI,48044,5864598679.0,5,TRUE TENDER LOVING CARE ADULT FOSTERING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,45492 LONE PINE LANE
FAMILY HOME,AF250407205,Hendricks House,Flint,MI,48507,8108938649.0,5,"YEAGER, KORI",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2471 W. MAPLE RD
SMALL GROUP,AS630401982,Nothing But Us Care,West Bloomfield,MI,48323,2486672164.0,6,NOTHING BUT US CARE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5887 N COURSE PLACE
SMALL GROUP,AS730392610,House Of Serenity,Saginaw,MI,48602,9899925695.0,5,"PONCE-KEMP, LESLIE",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2521 N MASON ST
SMALL GROUP,AS810407919,Resilient - Birchwood,Ypsilanti,MI,48197,7346461603.0,6,"RESILIENT LIFE CARE, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7160 TEXTILE
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH410396647,Samaritas Gr Terraces,Grand Rapids,MI,49508,6164525900.0,287,SAMARITAS GR TERRACES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2000 32ND ST. SE
SMALL GROUP,AS330403577,Loving Care & Comfort (Mjb) Llc,Lansing,MI,48915,5173914572.0,5,LOVING CARE & COMFORT MJB LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1611 WILLIAM STREET
MEDIUM GROUP,AM190404916,Divine Life Assisted Living Center 1 Llc,Dewitt,MI,48820,5172770544.0,11,"DIVINE LIFE ASSISTED LIVING CENTER 1, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,607 TURNER STREET
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH740402723,The Village Of Lake Huron Woods,Fort Gratiot Twp,MI,48059,8103859516.0,232,LAKE HURON WOODS ASSOC LDHA LP,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5221 LAKESHORE ROAD
SMALL GROUP,AS820407475,Cottage Residential Center,Belleville,MI,48111,7346990754.0,6,"RESILIRE NEUROREHABILITATION, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,175 EAST HURON RIVER DR.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH470406294,Oakhaven Manor,Howell,MI,48843,5175489870.0,112,OAKHAVEN MANOR LDHA LP,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1320 ASHEBURY LANE
SMALL GROUP,AS130391844,Suji Home 2,Marshall,MI,49068,2692075965.0,6,SUJI HOME LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,14605 19 MILE ROAD
SMALL GROUP,AS330395428,Brighter Horizons Assisted Living Center,Lansing,MI,48911,5176435097.0,6,G&O ENTERPRISE LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5455 S. MLK BLVD.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH720394192,The Brook Of Roscommon,Roscommon,MI,48653,9892754000.0,84,"THE BROOK RETIREMENT COMMUNITIES OF ROSCOMMON, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,195 STATE STREET
SMALL GROUP,AS820396207,Nehemiah House,Highland Park,MI,48203,3137070934.0,4,COMMUNITY VETERANS SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,163 TENNYSON
HOME FOR THE AGED,AH410397993,Vista Springs Riverside Gardens,Grand Rapids,MI,49505,6163655564.0,70,VISTA SPRINGS RIVERSIDE GARDENS LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2420 COIT AVE. NE
SMALL GROUP,AS250397054,Porter Place Afc,Grand Blanc,MI,48439,8106031393.0,6,"PORTER PLACE AFC, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6191 PORTER RD
SMALL GROUP,AS250397086,Taylor Lodge,Clio,MI,48420,8105477122.0,6,TAMMY TAYLOR AND KERIGAN TAYLOR,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11381 LIBERTY ST.
HOME FOR THE AGED,AH410391902,Azpira Place Of Breton,Kentwood,MI,49512,3128370704.0,103,"PATHWAY OPERATIONS KENTWOOD, LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4352 BRETON RD. SE
MEDIUM GROUP,AM830393244,Ohana Afc Ii,Manton,MI,49663,2319201621.0,12,SHEPLER'S SENIOR CONNECTION,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11530 E 16 RD
SMALL GROUP,AS820399975,Ellis Assisted Living,Dearborn Heights,MI,48125,3133633948.0,6,ELLIS ASSISTED LIVING,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4623 CLIPPERT ST
SMALL GROUP,AS630402169,Green Hill Manor,Farmington Hills,MI,48335,3137997889.0,6,GREEN HILL MANOR,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,21940 CRESCENT CT
SMALL GROUP,AS820398615,Best Kept Home Care,Detroit,MI,48212,3138040334.0,5,BEST KEPT HOME CARE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7207 BUHR
LARGE GROUP,AL730398655,Close To Home Assisted Living Saginaw Side 1,Saginaw,MI,48603,9897782575.0,20,"CLOSE TO HOME ASSISTED LIVING, SAGINAW LLC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2142 N CENTER.
SMALL GROUP,AS630400562,Family 1St (Sunnypoint),Southfield,MI,48033,2484702663.0,4,"FAMILY 1ST RESIDENTIAL REHAB, L.L.C.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,24340 SUNNYPOINT DR.
XH (COULDN'T FIND DOCUMENTATION ON WHAT THIS IS),XH630395020,American House Hazel Park,Hazel Park,MI,48030,2483970114.0,250,HP LDHA LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,777 EAST WOODWARD HGTS.
SMALL GROUP,AS390304501,Centerpointe Recovery Center I,Kalamazoo,MI,49008,2693823865.0,5,PINE REST CHRISTIAN MENTAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1145 OAKLAND DR.
MEDIUM GROUP,AM410008656,Pine Rest Eastwood Cottage,Grand Rapids,MI,495487707,6162816333.0,12,PINE REST CHRISTIAN MENTAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"7041 MADISON AVENUE, SE"
MEDIUM GROUP,AM410406726,Special Care Afc,Grand Rapids,MI,49548,6164555000.0,10,PINE REST CHRISTIAN MENTAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,300 68TH STREET SE
SMALL GROUP,AS410263219,Kendall Crossing,Grand Rapids,MI,495083747,6164867287.0,6,SPECTRUM HEALTH WORTH RESIDENTIAL SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"1726 KENDALL STREET, SE"
SMALL GROUP,AS790309069,Maple Ridge Home,Caro,MI,48723,9896728098.0,6,TUSCOLA BEHAVIORAL HEALTH SYSTEM,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1851 DIXON RD.
SMALL GROUP,AS180086170,Mcbride #10,Farwell,MI,48622,9893867230.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1140 KAPPLINGER
SMALL GROUP,AS590084032,Mcbride Todd'S Place,Edmore,MI,48829,9894272844.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,107 CHARLOTTE ST.
SMALL GROUP,AS370016147,Mcbride #8,Mount Pleasant,MI,48858,9897727803.0,4,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8365 E PICKARD
SMALL GROUP,AS370088019,Mcbride #1,Mount  Pleasant,MI,48858,9897737058.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,235 S. BAMBER ROAD
SMALL GROUP,AS370011303,Mcbride #7,Weidman,MI,48893,9896443627.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,501 N. COLDWATER
SMALL GROUP,AS190396493,Mcbride Turner Rd. Afc,Dewitt,MI,48820,5174870105.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,14354 TURNER ROAD
SMALL GROUP,AS340397979,Mcbride Pearl Street Afc,Lake Odessa,MI,48849,9897721261.0,6,"MCBRIDE QUALITY CARE SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,13332 PEARL STREET
MEDIUM GROUP,AM790273025,Shepherds Crossing,Caro,MI,48723,9896733261.0,12,"THE LIGHTHOUSE, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1860 HOPE DR
MEDIUM GROUP,AM790311143,Southern Cross,Caro,MI,48723,9896734004.0,12,"THE LIGHTHOUSE, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1770 HOPE DRIVE
SMALL GROUP,AS610015816,Samaritas --Mararebecah Lane,Muskegon,MI,494421577,2317775767.0,3,SAMARITAS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2760 MARAREBACAH LANE
