Facility Number,Level of Care Code,Level of Care,Facility Name,Address,City,Zip Code,County,First Name Administrator,Last Name Administrator,Certification,Certification,Capacity,Alzheimer's SCU,DMH Licensed,Facility Phone Number,Facility Fax Number,Region,Facility Mailing Address,Facility Mailing City,Facility Mailing Zip,Operator Name,Operator Type
23643,A,SNF,LUTHERAN SENIOR SERVICES AT MERAMEC BLUFFS,50 MERAMEC TRAIL DR,BALLWIN,63021-3303,SAINT LOUIS COUNTY,AMY,HAYDEN,Medicare/Medicaid,265805,128,Yes,FALSE,(636) 861-0600,(636) 861-0600,7,50 MERAMEC TRAIL DR,BALLWIN,63021-3303,LUTHERAN SENIOR SERVICES,NOT FOR PROFIT CORPORATION
23643,N,ALF**,LUTHERAN SENIOR SERVICES AT MERAMEC BLUFFS,50 MERAMEC TRAIL DR,BALLWIN,63021-3303,SAINT LOUIS COUNTY,ANGELA,PETTIS,,,100,Yes,FALSE,(636) 861-0600,(636) 861-0600,7,50 MERAMEC TRAIL DR,BALLWIN,63021-3303,LUTHERAN SENIOR SERVICES,NOT FOR PROFIT CORPORATION
23683,D,RCF,MORNINGSIDE OF BRANSON,5351 GRETNA ROAD,BRANSON,65616-7298,TANEY,JEAN,WILLIAMS,,,104,No,FALSE,(417) 334-3336,(417) 334-4426,1,5351 GRETNA RD,BRANSON,65616-7298,"SNH AL AIMO TENANT, INC",PROFIT CORPORATION
23712,A,SNF,SEASONS CARE CENTER,15600 WOODS CHAPEL RD,KANSAS CITY,64139-1261,JACKSON,ANGELA,GROGAN,Medicare/Medicaid,265850,78,Yes,FALSE,(816) 478-4757,8164788338,3,15600 WOODS CHAPEL RD,KANSAS CITY,64139-1261,"SEASONS CARE CENTER, LLC",LIMITED LIABILITY COMPANY
23732,D,RCF,MORNINGSIDE OF NEVADA,640 EAST HIGHLAND,NEVADA,64772-1091,VERNON,DEBORAH,GILBERT,,,37,No,FALSE,(417) 667-3883,(417) 667-5943,1,640 EAST HIGHLAND,NEVADA,64772-1091,"SNH AL AIMO TENANT II, INC",PROFIT CORPORATION
23767,B,ICF,SUNRISE OF CHESTERFIELD,1880 CLARKSON RD,CHESTERFIELD,63017-5000,SAINT LOUIS COUNTY,JAMI,JACKSON,,,95,Yes,FALSE,(636) 536-3800,(636) 536-3733,7,1880 CLARKSON RD,CHESTERFIELD,63017-5000,WELLTOWER OPCO GROUP LLC,LIMITED LIABILITY COMPANY
23767,N,ALF**,SUNRISE OF CHESTERFIELD,1880 CLARKSON RD,CHESTERFIELD,63017-5000,SAINT LOUIS COUNTY,JAMI,JACKSON,,,3,No,FALSE,(636) 536-3800,(636) 536-3733,7,1880 CLARKSON RD,CHESTERFIELD,63017-5000,WELLTOWER OPCO GROUP LLC,LIMITED LIABILITY COMPANY
23774,M,ALF,"GARDENS AT BARRY ROAD, THE",8300 NW BARRY ROAD,KANSAS CITY,64153-1634,PLATTE,RANDY,SPARKS,,,100,No,FALSE,(816) 584-3200,8165843201,4,8300 NW BARRY RD,KANSAS CITY,64153-1634,BSLC II,NOT FOR PROFIT CORPORATION
23774,N,ALF**,"GARDENS AT BARRY ROAD, THE",8300 NW BARRY RD,KANSAS CITY,64153-1634,PLATTE,RANDY,SPARKS,,,40,Yes,FALSE,(816) 584-3200,8165843201,4,8300 NW BARRY RD,KANSAS CITY,64153-1634,BSLC II,NOT FOR PROFIT CORPORATION
23805,N,ALF**,DOLAN MEMORY CARE AT SCHUETZ,1706 SCHUETZ RD,SAINT LOUIS,63146-4931,SAINT LOUIS COUNTY,TRACEY,RAY,,,10,Yes,FALSE,(314) 989-1762,3149891746,7,1706 SCHUETZ RD,SAINT LOUIS,63146-4931,"CURA, INC",PROFIT CORPORATION
23894,D,RCF,ASHBURY HEIGHTS OF FAYETTE,200 GROCE ST,FAYETTE,65248-9813,HOWARD,MARY,JOHNSON,,,12,No,FALSE,(660) 248-3603,6602483603,5,200 GROCE ST,FAYETTE,65248-9813,"BRISTOL CARE, INC",PROFIT CORPORATION
23909,D,RCF,ASHBURY HEIGHTS OF CHILLICOTHE,603 ST LOUIS ST,CHILLICOTHE,64601-2438,LIVINGSTON,BRIANNA,HEAD,,,12,No,TRUE,(660) 707-1270,6607071270,4,603 ST LOUIS ST,CHILLICOTHE,64601-2438,"BRISTOL CARE, INC",PROFIT CORPORATION
23915,D,RCF,ASHBURY HEIGHTS OF LAURIE,299 HIGHWAY RA,LAURIE,65038-6024,MORGAN,SAMUEL,RIGGS,,,12,No,FALSE,(573) 374-0076,5733740076,6,299 HWY RA,LAURIE,65038-6024,"BRISTOL CARE, INC",PROFIT CORPORATION
23923,D,RCF,ASHBURY HEIGHTS OF FULTON,704 WEST CHESTNUT,FULTON,65251-1254,CALLAWAY,CHARLES,ROSSITER,,,12,No,FALSE,(573) 642-2015,5736422015,6,704 WEST CHESTNUT,FULTON,65251-1254,"BRISTOL CARE, INC",PROFIT CORPORATION
23936,D,RCF,ASHBURY HEIGHTS OF JEFFERSON CITY,834 WEATHERED ROCK COURT,JEFFERSON CITY,65101-1824,COLE,AMANDA,HOPKINS,,,12,No,FALSE,(573) 634-7402,5736347402,6,834 WEATHERED ROCK CT,JEFFERSON CITY,65101-1824,"BRISTOL CARE, INC",PROFIT CORPORATION
23940,D,RCF,DIANA'S BOARDING HOME 2,"HC 64, BOX 4677",MARBLE HILL,63764-9408,BOLLINGER,TERRY,WAGNER,,,40,No,TRUE,(573) 238-3344,(573) 238-3361,2,"HC 64, BOX 4677",MARBLE HILL,63764-9408,"DIANA'S BOARDING HOME 2, INC",PROFIT CORPORATION
23989,N,ALF**,CAPETOWN ASSISTED LIVING,2857 CAPE LACROIX RD,CAPE GIRARDEAU,63701-8588,CAPE GIRARDEAU,COLBY,SIMPKINS,,,48,Yes,FALSE,(573) 334-4855,5733344897,2,2857 CAPE LACROIX RD,CAPE GIRARDEAU,63701-8588,"CAPETOWN RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY
24122,A,SNF,PARC PROVENCE,605 COEUR DE VILLE DR,SAINT LOUIS,63141-6603,SAINT LOUIS COUNTY,KATHY,ARAGON,,,140,Yes,FALSE,(314) 542-2500,3144537840,7,605 COEUR DE VILLE DR,SAINT LOUIS,63141-6603,"PARC PROVENCE MANAGEMENT, LLC",LIMITED LIABILITY COMPANY
24133,D,RCF,"VICTORIAN PLACE OF OWENSVILLE, RESIDENTIAL CARE BY AMERICARE",301 NORTH 7TH ST,OWENSVILLE,65066-1075,GASCONADE,CHRISTOPHER,SHAUL,,,48,No,FALSE,(573) 437-5396,5734375427,6,301 NORTH 7TH ST,OWENSVILLE,65066-1075,"AMERICARE AT VICTORIAN MANOR OF OWENSVILLE, LLC",LIMITED LIABILITY COMPANY
24149,B,ICF,SUNRISE ON CLAYTON,7920 CLAYTON ROAD,RICHMOND HEIGHTS,63117-1327,SAINT LOUIS COUNTY,THERESIA,METZ,,,90,Yes,FALSE,(314) 646-7600,3146467602,7,7920 CLAYTON RD,RICHMOND HEIGHTS,63117-1327,SJV 1 CLAYTON OPCO LLC,LIMITED LIABILITY COMPANY
24179,M,ALF,LIVING COMMUNITY OF ST JOSEPH,1202 HEARTLAND RD,SAINT JOSEPH,64506-3200,BUCHANAN,ROBIN,WILSEY,,,35,No,FALSE,(816) 671-8500,8166718571,4,1202 HEARTLAND RD,SAINT JOSEPH,64506-3200,LIVING COMMUNITY OF ST JOSEPH,NOT FOR PROFIT CORPORATION
24179,A,SNF,LIVING COMMUNITY OF ST JOSEPH,1202 HEARTLAND RD,SAINT JOSEPH,64506-3200,BUCHANAN,ROBIN,WILSEY,Medicare/Medicaid,265784,96,No,FALSE,(816) 671-8500,8166718571,4,1202 HEARTLAND RD,SAINT JOSEPH,64506-3200,LIVING COMMUNITY OF ST JOSEPH,NOT FOR PROFIT CORPORATION
24227,N,ALF**,RAYTOWN BICKFORD HOUSE,9110 EAST 63RD ST,RAYTOWN,64133-4893,JACKSON,ANNA,CIZERLE,,,85,No,FALSE,(816) 353-3400,8163535905,3,9110 EAST 63RD ST,RAYTOWN,64133-4893,"RAYTOWN BICKFORD HOUSE, LLC",LIMITED LIABILITY COMPANY
24242,B,ICF,SUNRISE OF DES PERES,13460 MANCHESTER RD,DES PERES,63131-1734,SAINT LOUIS COUNTY,BEN,ANDERSON,,,102,Yes,FALSE,(314) 965-3800,3149653809,7,13460 MANCHESTER RD,DES PERES,63131-1734,SJV 1 DES PERES OPCO LLC,LIMITED LIABILITY COMPANY
24257,D,RCF,"ESSEX OF LEBANON, THE",1316 DEADRA DR,LEBANON,65536-4609,LACLEDE,SHANNA (SHANE),VAN FLEET,,,12,No,FALSE,(417) 532-4863,4175324863,1,1316 DEADRA DR,LEBANON,65536-4609,"BRISTOL CARE, INC",PROFIT CORPORATION
24279,D,RCF,COUNTRY OAK VILLAGE,101 CROSS CREEK DR,GRAIN VALLEY,64029-9561,JACKSON,ALICIA,BOWLIN,,,32,No,FALSE,(816) 224-2700,8162243335,3,101 CROSS CREEK DR,GRAIN VALLEY,64029-9561,"COUNTRY OAK MANOR, LLC",LIMITED LIABILITY COMPANY
24291,A,SNF,DELMAR GARDENS OF O'FALLON,7068 SOUTH OUTER 364,O'FALLON,63368-7757,SAINT CHARLES,TERESA,REITER,Medicare/Medicaid,265792,240,Yes,FALSE,(636) 240-6100,6362401182,5,7068 SOUTH OUTER 364,O'FALLON,63368-7757,"DELMAR GARDENS OF O'FALLON, LLC",LIMITED LIABILITY COMPANY
24302,C,RCF*,LICKING RESIDENTIAL CARE,225 WEST HIGHWAY 32,LICKING,65542-9832,TEXAS,PAMELA,NASH,,,34,No,FALSE,(573) 674-2207,5736742239,1,225 WEST HIGHWAY 32,LICKING,65542-9832,"COMMUNITY RESIDENCE, INC",PROFIT CORPORATION
24318,D,RCF,"ESSEX OF OZARK, THE",5173 NORTH 22ND,OZARK,65721-7637,CHRISTIAN,AMBER,PANGBORN,,,12,No,FALSE,(417) 485-4185,4174854185,1,5173 NORTH 22ND,OZARK,65721-7637,"BRISTOL CARE, INC",PROFIT CORPORATION
24336,C,RCF*,SOUTHAVEN,612 SOUTH BYPASS EAST,KENNETT,63857-3240,DUNKLIN,GINA,STOVERINK,,,36,No,FALSE,(573) 888-9213,5738889218,2,612 SOUTH BYPASS EAST,KENNETT,63857-3240,"SOUTHAVEN, INC",PROFIT CORPORATION
24341,A,SNF,"NEIGHBORHOODS REHABILITATION & SKILLED NURSING BY TIGERPLACE, THE",3003 FALLING LEAF COURT,COLUMBIA,65201-3549,BOONE,BRIAN,DONNER,Medicare/Medicaid,265840,120,No,FALSE,(573) 256-4620,(573) 256-4621,6,3003 FALLING LEAF COURT,COLUMBIA,65201-3549,"TIGER PLACE, LLC",LIMITED LIABILITY COMPANY
24341,B,ICF,TIGER PLACE,2910 BLUFF CREEK DR,COLUMBIA,65201-3522,BOONE,AMY,BYERGO,,,112,No,FALSE,(573) 256-4620,(573) 256-4621,6,2910 BLUFF CREEK DR,COLUMBIA,65201-3522,"TIGER PLACE, LLC",LIMITED LIABILITY COMPANY
24395,N,ALF**,CRAB APPLE VILLAGE SENIOR ESTATES,"214 HARTMAN PL, SUITE 100",SAINT CLAIR,63077-2458,FRANKLIN,JACKIE,HARTMAN,,,65,Yes,FALSE,(636) 629-6161,6366290101,6,"214 HARTMAN PL, SUITE 100",SAINT CLAIR,63077-2458,"HARTMAN INVESTMENT PROPERTIES, INC",PROFIT CORPORATION
24408,N,ALF**,"VICTORIAN PLACE OF UNION, ASSISTED LIVING  BY AMERICARE",1320 W MAIN,UNION,63084-1084,FRANKLIN,CASSANDRA,CREWS,,,48,No,FALSE,(636) 584-0085,6365840433,6,1320 W MAIN,UNION,63084-1084,"AMERICARE AT VICTORIAN MANOR OF UNION, LLC",LIMITED LIABILITY COMPANY
24425,D,RCF,"ESSEX OF MEXICO, THE",1109 OLD FARM RD WEST,MEXICO,65265-3250,AUDRAIN,STEPHANIE,PHILLIPS,,,12,No,FALSE,(573) 581-5223,5735815223,5,1109 OLD FARM RD WEST,MEXICO,65265-3250,"BRISTOL CARE, INC",PROFIT CORPORATION
24461,D,RCF,"ESSEX OF CONCORDIA, THE",402 REDBUD,CONCORDIA,64020-8358,LAFAYETTE,AARON,HEYER,,,12,No,FALSE,(660) 463-0200,6604630200,3,402 REDBUD,CONCORDIA,64020-8358,"BRISTOL CARE, INC",PROFIT CORPORATION
24475,D,RCF,"ESSEX OF GRAIN VALLEY, THE",401 SOUTHWEST ROCK CREEK LN,GRAIN VALLEY,64029-8460,JACKSON,BRANDON,WORTHINGTON,,,12,No,FALSE,(816) 443-3992,8164433992,3,401 SOUTHWEST ROCK CREEK LN,GRAIN VALLEY,64029-8460,"BRISTOL CARE, INC",PROFIT CORPORATION
24668,M,ALF,PINEVIEW HEIGHTS ALF,515 GARST,CABOOL,65689-9139,TEXAS,DEBRA,DOTSON,,,16,No,TRUE,(417) 962-3713,4179624947,1,515 GARST,CABOOL,65689-9139,"KABUL NURSING HOMES, INC",NOT FOR PROFIT CORPORATION
24698,C,RCF*,BLUE CASTLE LLC,1830 E LAVERNE ST,BOLIVAR,65613-1488,POLK,MICHELLE R,MINCKS,,,30,No,TRUE,(417) 777-2583,4173262584,1,1830 E LAVERNE ST,BOLIVAR,65613-1488,BLUE CASTLE LLC,LIMITED LIABILITY COMPANY
24701,A,SNF,"NEIGHBORHOODS AT QUAIL CREEK, THE",1514 WEST LARK,SPRINGFIELD,65810-2270,GREENE,ERIC,WINDHAM,Medicare/Medicaid,265799,120,Yes,FALSE,(417) 889-1275,4178810657,1,1514 WEST LARK,SPRINGFIELD,65810-2270,"RH MONTGOMERY PROPERTIES, INC",PROFIT CORPORATION
24731,C,RCF*,ALBANY PLACE LLC,520 S ALBANY,BOLIVAR,65613-2116,POLK,RICKA,MATHEWS,,,16,No,TRUE,(417) 777-8040,4177773084,1,PO BOX 176,BOLIVAR,65613-0176,"ALBANY PLACE, LLC",LIMITED LIABILITY COMPANY
24748,N,ALF**,LEONA HOUSE,5000 NW OLD TRAIL ROAD,KANSAS CITY,64151-1946,PLATTE,JEFFREY,BROWN,,,7,Yes,FALSE,(816) 584-1033,8165841716,4,5000 NW OLD TRAIL RD,KANSAS CITY,64151-1946,"GALWAY HOMES OF KANSAS, INC",PROFIT CORPORATION
24912,C,RCF*,"WINCHESTER RESIDENTIAL CARE, INC",404 WINCHESTER ROAD,BERNIE,63822-0000,STODDARD,BENJAMIN,SELLS,,,26,No,FALSE,(573) 293-6705,5732936710,2,PO BOX 760,BERNIE,63822-0760,"WINCHESTER RESIDENTIAL CARE, INC",PROFIT CORPORATION
24959,C,RCF*,MINGO RESIDENTIAL CARE OF PUXICO LLC,24080 STATE HWY 51,PUXICO,63960-8114,STODDARD,DIANE,BROSHUIS,,,36,No,TRUE,(573) 222-3086,5732223028,2,24080 STATE HWY 51,PUXICO,63960-8114,"MINGO RESIDENTIAL CARE OF PUXICO, LLC",LIMITED LIABILITY COMPANY
24982,D,RCF,"VICTORIAN PLACE OF HERMANN, RESIDENTIAL CARE BY AMERICARE",2120 VILLAGE LN,HERMANN,65041-1600,GASCONADE,JANNA,SCHULTE,,,48,No,FALSE,(573) 486-5060,5734865080,6,2120 VILLAGE LANE,HERMANN,65041-1600,"AMERICARE AT VICTORIAN MANOR OF HERMANN, LLC",LIMITED LIABILITY COMPANY
25045,N,ALF**,OAK POINTE OF WARRENTON,700 FORREST AVE,WARRENTON,63383-7040,WARREN,KRISTIE,NUNN,,,71,Yes,FALSE,(636) 456-6464,6364564185,6,700 FORREST AVE,WARRENTON,63383-7040,"GAHC4 WARRENTON MO TRS SUB, LLC",LIMITED LIABILITY COMPANY
25162,N,ALF**,DOLAN MEMORY CARE AT FRONTIER,11566 FRONTIER DR,SAINT LOUIS,63146-4873,SAINT LOUIS COUNTY,TRACEY,RAY,,,20,Yes,FALSE,(314) 995-5331,3149955332,7,PO BOX 4082,CHESTERFIELD,63006-4082,"CURA, INC",PROFIT CORPORATION
25245,D,RCF,CASTLEPARKE,319 PIONEER TRAIL DR,JEFFERSON CITY,65109-1508,COLE,DARLENE,HAMM,,,36,No,FALSE,(573) 636-5300,5736362211,6,319 PIONEER TRAIL DR,JEFFERSON CITY,65109-1508,"CASTLEPARKE PROPERTIES, INC",PROFIT CORPORATION
25266,D,RCF,SUNSHINE HOME CARE - WINFIELD,499 WALNUT ST,WINFIELD,63389-1138,LINCOLN,FARIDA,AHSAN,,,49,No,TRUE,(636) 668-8500,(636) 668-8503,5,PO BOX 185,WINFIELD,63389-0185,"SUNSHINE HOME CARE, LLC",LIMITED LIABILITY COMPANY
25358,N,ALF**,PLEASANT VIEW,641 EUCLID AVE,HANNIBAL,63401-2959,MARION,TISHA,JOHNSTON,,,41,No,FALSE,(573) 406-1090,5734060509,5,641 EUCLID AVE,HANNIBAL,63401-2959,"MENNONITE HOME ASSOCIATION, INC",NOT FOR PROFIT CORPORATION
25379,N,ALF**,PARK PLACE,2004 BOARDWALK PLACE DR,O'FALLON,63368-3900,SAINT CHARLES,KATHLEEN,STEGE,,,44,Yes,FALSE,(636) 625-2900,(636) 561-5304,5,2004 BOARDWALK PLACE DR,O'FALLON,63368-3900,CHP O'FALLON MO TENANT CORP,PROFIT CORPORATION
25428,N,ALF**,FOXBERRY TERRACE - ASSISTED LIVING BY AMERICARE,4316 NORTH ST LOUIS AVE,WEBB CITY,64870-9550,JASPER,STEPHANIE,MILLER,,,46,No,FALSE,(417) 625-1000,4176251555,1,4316 NORTH ST LOUIS AVE,WEBB CITY,64870-9550,"CARTHAGE ASSISTED LIVING, LLC",LIMITED LIABILITY COMPANY
25446,N,ALF**,CHESTNUT GLENN - ASSISTED LIVING BY AMERICARE,121 KLONDIKE CROSSING,SAINT PETERS,63376-5394,SAINT CHARLES,COLLEEN,HANNIBAL,,,74,Yes,FALSE,(636) 928-4200,6369399972,5,121 KLONDIKE CROSSING,SAINT PETERS,63376-5394,"ST CHARLES ASSISTED LIVING, LLC",LIMITED LIABILITY COMPANY
25463,D,RCF,"VICTORIAN PLACE OF CUBA, RESIDENTIAL CARE BY AMERICARE",901 HIGHWAY DD,CUBA,65453-8089,CRAWFORD,CHRISTINE,YOUNG,,,48,No,FALSE,(573) 885-0551,5738850901,6,901 HWY DD,CUBA,65453-8089,"AMERICARE AT VICTORIAN MANOR OF CUBA, LLC",LIMITED LIABILITY COMPANY
25482,N,ALF**,CARNEGIE VILLAGE SENIOR LIVING COMMUNITY,103 BERNARD DR,BELTON,64012-6182,CASS,DEANN,MCHATTON-MABE,,,85,No,FALSE,(816) 322-8444,8163228555,3,103 BERNARD DR,BELTON,64012-6182,"TI-CARNEGIE VILLAGE, LLC",LIMITED LIABILITY COMPANY
25563,D,RCF,PINE LODGE RESIDENTIAL CARE,967 N MAPLE ST,BUFFALO,65622-7568,DALLAS,PAULINE (SUE),GUNTER,,,20,No,FALSE,(417) 345-0310,4173450311,1,967 N MAPLE ST,BUFFALO,65622-7568,"PREMIER RESIDENTIAL CARE, LLC",LIMITED LIABILITY COMPANY
25709,N,ALF**,"VILLAGES OF JACKSON CREEK, THE",3980 SOUTH JACKSON DR,INDEPENDENCE,64057-2205,JACKSON,KARIN,SHELLEY,,,62,No,FALSE,(816) 795-1433,8167951766,3,3980 S JACKSON DR,INDEPENDENCE,64057-2205,"VILLAGES OF JACKSON CREEK, LLC",LIMITED LIABILITY COMPANY
25709,A,SNF,"VILLAGES OF JACKSON CREEK, THE",3980 SOUTH JACKSON DR,INDEPENDENCE,64057-2205,JACKSON,KARIN,SHELLEY,Medicare/Medicaid,265820,120,No,FALSE,(816) 795-1433,8167951766,3,3980 S JACKSON DR,INDEPENDENCE,64057-2205,"VILLAGES OF JACKSON CREEK, LLC",LIMITED LIABILITY COMPANY
25731,D,RCF,BLUEGRASS TERRACE,102 REDTAIL DR,ASHLAND,65010-1179,BOONE,LYNETTE,YAEGER,,,16,No,FALSE,(573) 657-0899,5736570160,6,102 REDTAIL DR,ASHLAND,65010-1179,"TERRACE GROUP, INC, THE",PROFIT CORPORATION
25894,B,ICF,"VILLAGES OF JACKSON CREEK MEMORY CARE, THE",19400 EAST 40TH ST COURT SOUTH,INDEPENDENCE,64057-1548,JACKSON,SCOTT,JACKSON,,,70,Yes,FALSE,(816) 478-5689,(816) 478-7060,3,19400 EAST 40TH ST COURT SOUTH,INDEPENDENCE,64057-1548,"VILLAGES OF JACKSON CREEK MEMORY CARE, LLC",LIMITED LIABILITY COMPANY
25934,M,ALF,COUNTRY PLACE,28601 US HIGHWAY 61,SCOTT CITY,63780-9143,SCOTT,ASHLEY,HEISSERER WHEELER,,,24,No,FALSE,(573) 264-1555,5732641556,2,28601 US HWY 61,SCOTT CITY,63780-9143,"SCOTT NO. 1, INC",PROFIT CORPORATION
25967,N,ALF**,CEDARHURST OF SEDALIA,3761 WEST 10TH ST,SEDALIA,65301-2524,PETTIS,ERIKA,EZZELL,,,90,No,FALSE,(660) 827-8900,(660) 596-7750,6,3761 WEST 10TH ST,SEDALIA,65301-2524,WM SEDALIA MANAGEMENT MO LLC,LIMITED LIABILITY COMPANY
26005,N,ALF**,"VICTORIAN PLACE OF ST CLAIR, ASSISTED LIVING BY AMERICARE",160 CHARLES DR,SAINT CLAIR,63077-1936,FRANKLIN,KIMBERLY,WILSON,,,48,No,FALSE,(636) 322-0003,6363220006,6,160 CHARLES DR,SAINT CLAIR,63077-1936,"AMERICARE AT VICTORIAN MANOR OF ST CLAIR, LLC",LIMITED LIABILITY COMPANY
26014,A,SNF,"VILLAGES OF ST PETERS, THE",5400 EXECUTIVE CENTRE PKWY,SAINT PETERS,63376-2594,SAINT CHARLES,JACKI,PUDLOWSKI,Medicare/Medicaid,265824,130,Yes,FALSE,(636) 922-7600,6369227677,5,5400 EXECUTIVE CENTRE PKWY,SAINT PETERS,63376-2594,"VILLAGES OF ST PETERS, LLC",LIMITED LIABILITY COMPANY
26014,N,ALF**,"VILLAGES OF ST PETERS, THE",5400 EXECUTIVE CENTRE PKWY,SAINT PETERS,63376-2594,SAINT CHARLES,JACKI,PUDLOWSKI,,,62,No,FALSE,(636) 922-7600,6369227677,5,5400 EXECUTIVE CENTRE PKWY,SAINT PETERS,63376-2594,"VILLAGES OF ST PETERS, LLC",LIMITED LIABILITY COMPANY
26026,N,ALF**,HARTMANN VILLAGE - ASSISTED LIVING BY AMERICARE,615 RANKIN MILL LN,BOONVILLE,65233-2873,COOPER,JESSICA,BANKHEAD,,,42,No,FALSE,(660) 882-9933,6608827817,6,615 RANKIN MILL LN,BOONVILLE,65233-2873,"BOONVILLE RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY
26178,N,ALF**,BROOKDALE CREVE COEUR,ONE NEW BALLAS PLACE,CREVE COEUR,63146-8700,SAINT LOUIS COUNTY,JESSICA,MUELLER,,,46,No,FALSE,(314) 432-5200,(314) 432-5222,7,ONE NEW BALLAS PLACE,CREVE COEUR,63146-8700,"BROOKDALE LIVING COMMUNITIES OF MISSOURI - CC, LLC",LIMITED LIABILITY COMPANY
26313,D,RCF,AMBROSE PARK RESIDENTIAL CARE,517 NORTH OAK,COLE CAMP,65325-1264,BENTON,REXANNA KAY,KREISEL,,,30,No,FALSE,(660) 668-3140,6606680108,6,PO BOX 252,COLE CAMP,65325-0252,"AMBROSE PARK, LLC",LIMITED LIABILITY COMPANY
26324,N,ALF**,"VICTORIAN PLACE OF SULLIVAN, ASSISTED LIVING  BY AMERICARE",1250 EAST SPRINGFIELD RD,SULLIVAN,63080-1358,FRANKLIN,TRACY,OWENS,,,48,No,FALSE,(573) 468-5217,5734685219,6,1250 EAST SPRINGFIELD RD,SULLIVAN,63080-1358,"AMERICARE AT VICTORIAN MANOR OF SULLIVAN, LLC",LIMITED LIABILITY COMPANY
26349,N,ALF**,SUGAR CREEK - ASSISTED LIVING BY AMERICARE,161 PROFESSIONAL PARKWAY,TROY,63379-2829,LINCOLN,KERRI,OTH,,,60,Yes,FALSE,(636) 528-3136,(636) 528-3147,5,161 PROFESSIONAL PRKWY,TROY,63379-2829,"TROY RESIDENTIAL, LLC",LIMITED LIABILITY COMPANY
26475,N,ALF**,ASSISTED LIVING AT THE MEADOWLANDS,135 MEADOWLANDS ESTATES LN,O'FALLON,63366-4591,SAINT CHARLES,KELLY,THOMAS,,,86,Yes,FALSE,(636) 978-3600,6369783601,5,135 MEADOWLANDS ESTATES LN,O'FALLON,63366-4591,"WP-ARC O'FALLON HOLDINGS, LLC",LIMITED LIABILITY COMPANY
26726,A,SNF,"QUARTERS AT DES PERES, THE",13230 MANCHESTER RD,DES PERES,63131-1706,SAINT LOUIS COUNTY,ANTHONY,ALTOBELLA,Medicare/Medicaid,265834,147,No,FALSE,(314) 821-2886,3148217511,7,13230 MANCHESTER RD,DES PERES,63131-1706,"DES PERES HEALTHCARE, LLC",LIMITED LIABILITY COMPANY
26877,N,ALF**,TWIN OAKS AT HERITAGE POINTE,228 SAVANNAH TERRACE,WENTZVILLE,63385-3741,SAINT CHARLES,JUSTIN,BLATTEL,,,70,Yes,FALSE,(636) 542-5400,(636) 542-5520,5,228 SAVANNAH TERRACE,WENTZVILLE,63385-3741,"HERITAGE POINTE PARTNERS, LLC",LIMITED LIABILITY COMPANY
26902,N,ALF**,BARATHAVEN ALZHEIMER'S SPECIAL CARE CENTER,1030 BARATHAVEN DR,DARDENNE PRAIRIE,63368-8606,SAINT CHARLES,SPENCER,NASH,,,66,Yes,FALSE,(636) 329-9160,6363299950,5,1030 BARATHAVEN DR,DARDENNE PRAIRIE,63368-8606,"O'FALLON CARE GROUP, LLC",LIMITED LIABILITY COMPANY
26939,D,RCF,ROSEWOOD MANOR,101 EAST PULASKI ST,RICHLAND,65556-7404,PULASKI,LADONNA,BARTON,,,12,No,FALSE,(573) 765-4200,5737654400,6,101 EAST PULASKI ST,RICHLAND,65556-7404,"ROSEWOOD MANOR, LLC",LIMITED LIABILITY COMPANY
27071,N,ALF**,"ARBORS AT VICTORIAN PLACE OF CUBA, MEMORY CARE ASSISTED LIVING BY AMERICARE, THE",903 HWY DD,CUBA,65453-8089,CRAWFORD,CHRISTINE,YOUNG,,,32,Yes,FALSE,(573) 885-0379,5738850439,6,903 HWY DD,CUBA,65453-8089,"AMERICARE AT VICTORIAN MANOR OF CUBA, LLC",LIMITED LIABILITY COMPANY
27122,N,ALF**,LUTHERAN GOOD SHEPHERD HOME,202 S WEST ST,CONCORDIA,64020-9643,LAFAYETTE,PATRICK,BRITTON,,,53,No,FALSE,(660) 463-2267,6604637116,3,PO BOX 849,CONCORDIA,64020-0849,LUTHERAN GOOD SHEPHERD HOME,NOT FOR PROFIT CORPORATION
27122,B,ICF,LUTHERAN GOOD SHEPHERD HOME,202 S WEST ST,CONCORDIA,64020-9643,LAFAYETTE,PATRICK,BRITTON,,,36,No,FALSE,(660) 463-2267,6604637116,3,PO BOX 849,CONCORDIA,64020-0849,LUTHERAN GOOD SHEPHERD HOME,NOT FOR PROFIT CORPORATION
27146,A,SNF,HEALTHBRIDGE ST LOUIS,1201 GARDEN PLAZA DR,FLORISSANT,63033-2230,SAINT LOUIS COUNTY,TASANYA,JOHNSON,Medicare/Medicaid,265838,90,No,FALSE,(314) 831-3752,3148313129,7,1201 GARDEN PLAZA DR,FLORISSANT,63033-2230,"FLORISSANT MEDICAL INVESTORS, LLC",LIMITED LIABILITY COMPANY
27175,D,RCF,BLESSED HOMES,305 E 63RD ST,KANSAS CITY,64113-2225,JACKSON,MUSUDEEN,HARRELL,,,11,No,FALSE,(816) 678-8061,(816) 766-0672,3,305 E 63RD ST,KANSAS CITY,64113-2225,BLESSED HOMES,NOT FOR PROFIT CORPORATION
