State Facility Type 1 Literal,Facility ID,Facility Name,Licensee,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity,Date Accessed
RESIDENTIAL CARE ELDERLY,565800345,Sally'S Residential Care Home,SALLY MOJABI,kayhan@sallyscarehome.com,(805) 389-3328,940 CARISSA COURT,Camarillo,CA,93012,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,565800706,"Sally'S Residential Care Home, Inc.","SALLY'S RESIDENTIAL CARE HOME, INC.",kayhan@sallyscarehome.com,(805) 389-0922,953 ANDANTE CT.,Camarillo,CA,93012,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,366423695,Salverey Care,MARIA V. SALE,mariavsale@yahoo.com,(909) 947-6153,939 E. BANYAN STREET,Ontario,CA,91761,San Bernardino,6,7/13/21
RESIDENTIAL CARE ELDERLY,306004176,Sam'S Homecare,"D & D HOMES, INC",haynad821@gmail.com,(714) 312-0054,18900 SEABISCUIT RUN,Yorba Linda,CA,92886,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,216801666,Sam'S House North,"JMB HOLDING, INC.",rosemarybarry@aol.com,(707) 878-2283,39 CARRIE ST.,Tomales,CA,94971,Marin,6,7/13/21
RESIDENTIAL CARE ELDERLY,507002396,Samaritan Village,HUGHSON SAMARITAN VILLAGE,rikki.perezchica@svliving.org,(209) 883-3000,7700 FOX ROAD,Hughson,CA,95326,Stanislaus,277,7/13/21
RESIDENTIAL CARE ELDERLY,306004744,San Andres,"MOUSSA, KAMEL",kkkfaik@yahoo.com,(949) 529-6095,24666 SAN ANDRES LN.,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,197608255,San Antonio Residential Facility,"CASA DE SORIANO, INC.",caregiverla@gmail.com,(323) 733-2835,3013 S. VICTORIA AVENUE,Los Angeles,CA,90016,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,415600841,San Bruno Care Home,"SBCH, LLC",janice@sanbrunocarehome.com,(650) 827-1382,1382 WILLIAMS AVENUE,San Bruno,CA,94066,San Mateo,6,7/13/21
RESIDENTIAL CARE ELDERLY,374601985,San Carlos Chateau,REDENTOR P. & MARIA VICTORIA J. SESE,redensese@gmail.com,(619) 463-5757,6915 GLENFLORA AVE,San Diego,CA,92119,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,415600135,San Carlos Elms,SAN CARLOS DEVELOPMENT CORPORATION,sevans@scelms.com,(650) 595-1500,707 ELM STREET,San Carlos,CA,94070,San Mateo,130,7/13/21
RESIDENTIAL CARE ELDERLY,306005174,San Clemente Care Home,LUISITO CASTEN AND JOANNE R CASTEN,joanne.casten@yahoo.com,(310) 975-5634,2927 BONANZA,San Clemente,CA,92673,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306001485,San Clemente Villas By The Sea,"SAN CLEMENTE VILLAS BY THE SEA,LTD;WEST BAY SRLVG",laura@sanclementevillas.com,(949) 489-3400,660 CAMINO DE LOS MARES,San Clemente,CA,92673,Orange,190,7/13/21
RESIDENTIAL CARE ELDERLY,197606747,San Dimas Adventist Home Care,SAN DIMAS ADVENTIST HOME CARE,tuz.ga@juno.com,(909) 971-9769,1136 N. SAN DIMAS AVENUE,San Dimas,CA,91773,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,191500609,San Dimas Retirement Center,"SAN DIMAS RETIREMENT CENTER, INC",fac60admin@longwoodmgmt.com,(909) 599-8441,834 WEST ARROW HIGHWAY,San Dimas,CA,91773,Los Angeles,343,7/13/21
RESIDENTIAL CARE ELDERLY,385600399,San Francisco Rcfe,SAN FRANCISCO DEPARTMENT OF PUBLIC HEALTH,adela.morales@sfdph.org,(628) 206-6436,887 POTRERO AVENUE,San Francisco,CA,94110,San Francisco,59,7/13/21
RESIDENTIAL CARE ELDERLY,197803078,San Gabriel Valley Training Center,SGVTCRF,resfac1@netzero.net,(626) 369-3398,339 S. COVINA BLVD.,La Puente,CA,91746,Los Angeles,12,7/13/21
RESIDENTIAL CARE ELDERLY,306005570,San Giovanni Bosco Residential Care,JATO MANAGEMENT INC,giannp@yahoo.com,(949) 583-9143,24596 DARDANIA AVE,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,374601655,San Marcos Cottage,"RIBICH, BILJANA",dribich@roadrunner.com,(760) 891-0328,1326 GRANITE ROAD,San Marcos,CA,92069,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374602870,San Marcos Villa,"LUKE CORTEZ, CELIA",celiacortez83@yahoo.com,(760) 305-7669,3728 LINDA VISTA DRIVE,San Marcos,CA,92078,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,415600080,San Mateo Villa,"VIDUCICH, ELIZABETH & LONCAR, VIOLET",elividu@me.com,(650) 570-6475,1661 MCKINLEY STREET,San Mateo,CA,94402,San Mateo,6,7/13/21
RESIDENTIAL CARE ELDERLY,15600351,San Miguel'S Home For The Elderly,"SAN MIGUEL, PRECILLA & ROMEO",criiisjay@gmail.com,(510) 489-8082,35037 BEGONIA STREET,Union City,CA,94587,Alameda,6,7/13/21
RESIDENTIAL CARE ELDERLY,374602691,San Pasqual Villa,"RCF MANAGEMENT GROUP, LLC",mike@rcfmgmt.com,(760) 745-8455,2092 HEIGHTS COURT,Escondido,CA,92027,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,247209040,San Simeon Board And Care,"ST.ANTHONY'S SENIOR CARE,LLC",lina3878r@gmail.com,(209) 349-8302,1437 SAN SIMEON COURT,Merced,CA,95348,Merced,6,7/13/21
RESIDENTIAL CARE ELDERLY,198201977,"Sanctuary, The","RAYMUNDO, CATHERINE",sanctuary1046@gmail.com,(424) 558-3134,21410 MADRONA AVENUE,Torrance,CA,90503,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,361880589,Sandalwood Manor,CALIFORNIA HOME CARE PARTNERS INC,sandalwoodmanor@yahoo.com,(909) 600-7028,7602 PURPLE SAGE CIR,Fontana,CA,92336,San Bernardino,4,7/13/21
RESIDENTIAL CARE ELDERLY,415601030,Sandpiper Court,SUMMIT CAPTIAL SENIOR HOUSING INC,romy2769.ic@gmail.com,(415) 939-6103,233 SANDPIPER COURT,Foster City,CA,94404,San Mateo,6,7/13/21
RESIDENTIAL CARE ELDERLY,45002565,Sandy'S Helping Hands,JACOBIAN AND KIRK PARTNERS,residentialcaresandysgirls@gmail.com,(530) 693-4028,112 GRAND AVENUE,Oroville,CA,95965,Butte,6,7/13/21
RESIDENTIAL CARE ELDERLY,435200157,Sandy'S Residential Care Home,"ZIPAGAN, AZUCENA",sandyzip@garlic.com,(408) 472-2059,550 TUSCARORA DRIVE,San Jose,CA,95123,Santa Clara,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005293,Sandy Creek Care Home,JOWEE CORPORATION,mejiahome@cox.net,(949) 273-3799,26442 SANDY CREEK,Lake Forest,CA,92630,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005675,Sandy Creek Care Home Ii,JOWEE CORPORATION,mejiahome@cox.net,(562) 301-8265,21596 AUDUBON WAY,Lake Forest,CA,92630,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,336425841,Sandy Lodge Care Home,"CGJ HOME CARE, INC.",sandylodgecare@yahoo.com,(951) 301-0692,25703 SANDY LODGE RD,Sun City,CA,92586,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,336426420,Sandy Lodge Ii Care Home,"CGJ HOME CARE, INC.",sandylodgecare@yahoo.com,(951) 679-3492,25890 WHITMAN RD.,Sun City,CA,92586,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,75601574,Sans Souci,"K & J SENIOR CARE, LLC",sanssouciwc@gmail.com,(925) 949-8475,330 EL DIVISADERO AVENUE,Walnut Creek,CA,94598,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609033,Santa Anita House,SANTA ANITA HOUSE,ararat212@aol.com,(747) 283-1002,211 WEST SANTA ANITA AVE,Burbank,CA,91502,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,191504447,Santa Anita Retirement Center,"SANTA ANITA CONVAL. HOSPITAL & RETIRE. CTR., INC",wrivas@sarcemail.com,(626) 442-8410,5600 GRACEWOOD AVE. #84,Temple City,CA,91780,Los Angeles,150,7/13/21
RESIDENTIAL CARE ELDERLY,410508505,Santa Barbara Guest Home For The Elderly,"PRIMUS, OLIVIA AND PRIMUS, VALERIE LYNN",sbgh4theelderly@gmail.com,(650) 992-2159,420 SANTA BARBARA AVE.,Daly City,CA,94014,San Mateo,6,7/13/21
RESIDENTIAL CARE ELDERLY,198601675,Santa Barbara Guest Home #2,LILY MCCOLGAN,lilymccolgan@yahoo.com,(626) 796-6600,725 SANTA BARBARA ST.,Pasadena,CA,91101,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197602316,Santa Clarita Home For The Elderly #3,"FRASER, NENITA & DENNIS",dennisfraser@aol.com,(661) 296-7674,28000 TOTHILL DRIVE,Saugus,CA,91350,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197602960,Santa Clarita Homes For Elderly #5,NENITA P. FRASER & DENNIS M. FRASER,dennisfraser@aol.com,(661) 513-9798,21559 QUINN PLACE,Saugus,CA,91350,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198205144,Santa Fe Home Care Homes,"SANTA FE HOME CARE, INC.",santafehome@yahoo.com,(424) 488-2079,2340 SANTA FE AVENUE,Torrance,CA,90501,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198602152,Santa Fe Home Care Ii,"SANTA FE HOME CARE, INC.",santafehome@yahoo.com,(424) 558-8285,2255 SANTA FE AVENUE,Torrance,CA,90501,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198602162,Santa Fe Home Care Iii,"SANTA FE HOME CARE, INC.",asgcorp@yahoo.com,(310) 989-1941,23223 PRYOR PLACE,Harbor City,CA,90710,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198602274,Santa Fe Home Care Iv,"SANTA FE HOME CARE, INC.",santafehome@yahoo.com,(310) 316-0001,5010 TORRANCE BLVD,Torrance,CA,90503,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,425850025,Santa Maria Terrace,"OCEANO SENIOR LIVING, INC.",jenriquez@santamariaterrace.net,(805) 925-8713,1405 E MAIN ST,Santa Maria,CA,93454,Santa Barbara,140,7/13/21
RESIDENTIAL CARE ELDERLY,306005845,Santa Mariana Care,CARE GABRIELLE LLC,marian@careagape.com,(949) 349-8708,18676 SANTA MARIANA,Fountain Valley,CA,92708,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,374602164,Santa Martha Residential Iii,"KELLY, MARTHA",marthakellysmr@yahoo.com,(858) 642-0572,5706 TULANE ST,San Diego,CA,92122,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374604085,Santa Martha Residential Vi,"ALCARAZ, FLORA KELLY",santamartharesidential@yahoo.com,(858) 583-6431,3810 GOVERNOR DR,San Diego,CA,92122,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,197608867,Santa Monica Home & Care 1,"SANTA MONICA HOME & CARE, INC.",garystrathearn22@gmail.com,(310) 576-0044,912-10TH STREET FRONT AND B,Santa Monica,CA,90403,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609364,Santa Monica Home & Care 3,SANTA MONICA HOME & CARE INC,smhomecare1@gmail.com,(310) 576-0044,910 10TH ST UNIT B AND FRONT,Santa Monica,CA,90403,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,197609367,Santa Monica Home & Care 4,SANTA MONICA HOME & CARE INC,smhomecare1@gmail.com,(310) 576-0044,910 10TH ST UNIT A,Santa Monica,CA,90403,Los Angeles,4,7/13/21
RESIDENTIAL CARE ELDERLY,79200577,Santa Teresa Care Home,JOSHLI CORPORATION,marivel.calambro@yahoo.com,(925) 261-9397,10 SANTA TERESA CT,Pittsburg,CA,94565,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,374604271,Santee Elderly Care,"SANTEE ELDERLY CARE, LLC",santeeelderlycare@hotmail.com,(619) 929-9939,9069 INVERNESS RD,Santee,CA,92071,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374600275,Santee Golden Care,"BURGIN, MYRNA K.",santeegoldencare@gmail.com,(619) 562-5104,10111 LAFE DRIVE,Santee,CA,92071,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,275200750,Santo Nino Residential Care Home,"FONTEJON, RODRIGA CABERTO.",dominadorfontejon@yahoo.com,(831) 443-9573,965 HANCOCK ST.,Salinas,CA,93906,Monterey,6,7/13/21
RESIDENTIAL CARE ELDERLY,430708478,Santo Nino Residential Care Home #1,"SISON, TEODORA",santoninorcfe@gmail.com,(408) 295-4112,105 CLAYTON AVENUE,San Jose,CA,95110,Santa Clara,6,7/13/21
RESIDENTIAL CARE ELDERLY,430708479,Santo Nino Residential Care Home #2,"SISON, TEODORA RAYO",santoninorcfe@gmail.com,(408) 295-4112,91-93 CLAYTON AVENUE,San Jose,CA,95110,Santa Clara,4,7/13/21
RESIDENTIAL CARE ELDERLY,374603688,Sapphire Chardonnay,SAPPHIRE CHARDONNAY,westcoastali@gmail.com,(760) 539-7791,484 CHARDONNAY COURT,San Marcos,CA,92069,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374603671,Sapphire Escondido Estates,SAPPHIRE ESCONDIDO ESTATES,westcoastali@gmail.com,(760) 291-1202,262 SILVERCREEK GLEN,Escondido,CA,92029,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374603699,Sapphire Lake San Marcos,SAPPHIRE LAKE SAN MARCOS,westcoastali@gmail.com,(760) 471-1157,839 LA TIERRA DRIVE,San Marcos,CA,92078,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374604080,Sapphire Sunset,SAPPHIRE SUNSET,westcoastali@gmail.com,(714) 322-1910,1380 REES RD,Escondido,CA,92026,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,197608857,Sara'S Home Away From Home,"ATHENA SENIOR HOME, INC.",danwcho@hotmail.com,(661) 388-4464,23820 VIA JACARA,Valencia,CA,91355,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,331880757,Sarah'S Best Life,"OFA VALE, INC.",thomasuata@gmail.com,(951) 679-7454,33769 SALVIA LANE,Murrieta,CA,92563,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,197608040,Sarah'S Care Home,SARAH SHIRLEY,sarahscarehome@hotmail.com,(661) 946-0198,43861 RYCKEBOSCH LANE,Lancaster,CA,93535,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,496801248,Sarah'S Elderly Care,"LAWRENCE, SARAH",am_mcdnld@yahoo.com,(707) 838-7237,130 ANNA DR.,Windsor,CA,95492,Sonoma,6,7/13/21
RESIDENTIAL CARE ELDERLY,331880755,Sarah'S Good Life,"OFA VALE, INC",sarahsassistedliving@gmail.com,(951) 679-7454,26171 FOUNTAIN BLEU DRIVE,Sun City,CA,92586,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,331880756,Sarah'S Great Life,"OFA VALE, INC.",thomasuata@gmail.com,(951) 691-8152,35725 VERDE VISTA WAY,Wildomar,CA,92595,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,496803001,Sarah'S Retirement Home For Dd Seniors,"LAWRENCE, SARAH",saraharaya2@gmail.com,(707) 528-6623,791 MCCONNELL AVENUE,Santa Rosa,CA,95404,Sonoma,6,7/13/21
RESIDENTIAL CARE ELDERLY,496800937,Sarah'S Senior Residential Care,"LAWRENCE, SARAH",sarahsgrouphomes7801@gmail.com,(707) 542-4082,1601 CLOVER DRIVE,Santa Rosa,CA,95401,Sonoma,6,7/13/21
RESIDENTIAL CARE ELDERLY,331880971,Sarah Home,CREATING A LEGACY.INC,jgarcia@creatingalegacy.org,(760) 601-7307,48640 VIA CARISMA,Indio,CA,92201,Riverside,4,7/13/21
RESIDENTIAL CARE ELDERLY,366423587,Sarah Jane Guest Home,"MOLANO, NINA",sarahjaneguesthome@yahoo.com,(909) 799-7501,25488 NICKS AVENUE,Loma Linda,CA,92354,San Bernardino,6,7/13/21
RESIDENTIAL CARE ELDERLY,374602208,Sarasona Home Care,"CAMAGAY, ESTHER V.",evcamagay@yahoo.com,(619) 434-6998,3717 SARASONA WAY,Bonita,CA,91902,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,347005373,Satuki Care Home,"MIDORI-EN CARE HOME, INC.",sakukicarehome@yahoo.com,(916) 922-3098,6240 FENNWOOD COURT,Sacramento,CA,95831,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,198320115,"Sawtelle One, Llc","SAWTELLE ONE, LLC",lj@kalnel.com,(310) 301-8181,4626/4630 SAWTELLE BLVD,Los Angeles,CA,90230,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,374604456,Say You'Re Home,SAY YOU'RE HOME INC.,lisasayrern@cox.net,(619) 249-4114,5971 LAKE MURRAY BLVD.,La Mesa,CA,91942,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,347005578,Scandia Care For Elderly Ii,JIAN LIN HUANG & PO WAN LAU,zoe@reliancecommunity.net,(916) 515-8482,3920 PLAINSFIELD WAY,Sacramento,CA,95821,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,336409595,Scenic View Home Care,"E & M HOLMES GROUP, INC",customerservice@scenicviewhomecare.com,(951) 727-0175,7349 LIPPIZAN DR,Riverside,CA,92509,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,374603716,Schard'S House,SCHARD'S HOUSE LLC,vschard46@hotmail.com,(619) 334-8546,8701 MESA ROAD 70,Santee,CA,92071,San Diego,3,7/13/21
RESIDENTIAL CARE ELDERLY,236803731,Schmidt Care Community At Westhaven,WESTHAVEN ORLAND DEVELOPMENT,,(530) 865-5299,1373 EDITH CIRCLE,Orland,CA,95963,Mendocino,6,7/13/21
RESIDENTIAL CARE ELDERLY,115002666,Schmidt Care Community At Westhaven,WESTHAVEN ORLAND DEVELOPMENT,aelliott@westhavenorland.com,(530) 865-5299,1373 EDITH CIRCLE,Orland,CA,95963,Glenn,6,7/13/21
RESIDENTIAL CARE ELDERLY,210102881,Schon Hyme Rest Home,"SO, ANDREW T. & PAK-LIN",tina_batoon@yahoo.com,(415) 524-8058,25 VILLA AVENUE,San Rafael,CA,94901,Marin,12,7/13/21
RESIDENTIAL CARE ELDERLY,405801953,Schwed Adult Family Home 4,DOLLY SCHWED,lahicks1544@outlook.com,(805) 221-5635,411 APPALOOSA DRIVE,Paso Robles,CA,93446,San Luis Obispo,6,7/13/21
RESIDENTIAL CARE ELDERLY,19200711,Scott Residential Care Home,J AND J RESIDENTIAL CARE HOME INC,scottrch1127@gmail.com,(510) 397-1614,1127 SCOTT PLACE,Hayward,CA,94544,Alameda,6,7/13/21
RESIDENTIAL CARE ELDERLY,19200750,Scott Villa,SCOTT VILLAS CORPORATION,scottvillas@att.net,(510) 782-7833,1560 MIDDLE LANE,Hayward,CA,94545,Alameda,35,7/13/21
RESIDENTIAL CARE ELDERLY,197609629,Scv Senior Suite,SCV SENIOR SUITES INC,scvseniorsuitesinc@yahoo.com,(661) 309-6119,27209 CABRERA AVE,Santa Clarita,CA,91350,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,331881077,Sea Breeze Homes Of Eastvale Llc,SEA BREEZE HOMES OF EASTVALE LLC,mayachster@yahoo.com,(714) 299-9634,5897 SPRINGCREST ST,Eastvale,CA,92880,Riverside,6,7/13/21
RESIDENTIAL CARE ELDERLY,197803555,Sea Breeze Manor,"TABAYAN, TERESITA",tessie.tabayan@hotmail.com,(562) 997-0906,3240 PINE AVE,Long Beach,CA,90807,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,565801728,Sea Breeze Manor,"SEA BREEZE MANOR, INC.",seabreezemanorinc@gmail.com,(805) 985-5995,1511 OFFSHORE STREET,Oxnard,CA,93035,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,198601750,Sea Breeze Residential Care Corporation,SEA BREEZE RESIDENTIAL CARE CORPORATION,zamoramay@yahoo.com,(310) 200-0145,2900 S. ANCHOVY AVENUE,San Pedro,CA,90732,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,374603668,Sea Breeze Senior Living,"SEA BREEZE SENIOR LIVING, LLC",info@seabreezeseniorliving.com,(858) 272-3937,5403 AVENIDA FIESTA,La Jolla,CA,92037,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,306005604,Sea Cliff Assisted Living,BEACH CITY SENIOR LIVING LLC,mmarion@seacliffassistedliving.com,(714) 847-3999,18851 FLORIDA ST,Huntington Beach,CA,92648,Orange,84,7/13/21
RESIDENTIAL CARE ELDERLY,374604444,Sea Dragon Foundation Independent Residential,"LE, BONG LAI (LUCIE)",tn_92120@yahoo.com,(619) 916-6114,5711 BOUNTY STREET,San Diego,CA,92120,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,374604293,Seabright Assisted Living And Memory Care,ALARA HEALTH SERVICES INC,saherchoudry@gmail.com,(858) 302-1366,831 SANTA REGINA,Solana Beach,CA,92075,San Diego,6,7/13/21
RESIDENTIAL CARE ELDERLY,547206803,Searcy Home,SEARCY KIMBERLY AND SHAWN RAY,searcy.family@hotmail.com,(559) 781-0952,2482 CRICKELWOOD CT,Porterville,CA,93257,Tulare,4,7/13/21
RESIDENTIAL CARE ELDERLY,306004194,Seaside Cottage I,"SEASIDE COTTAGE, LLC",heather@theheatherssc.com,(714) 852-3991,1019 CHEYENNE STREET,Costa Mesa,CA,92626,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306003688,Seaside Terrace I,"SEVEN SEAS HOME CARE, LLC",seasideterrace@gmail.com,(949) 412-4808,32591 SEVEN SEAS,Dana Point,CA,92629,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306003702,Seaside Terrace Ii,LAGUNA HOME CARE LLC,seasideterrace@gmail.com,(949) 412-4808,28891 CALLE JUCA,Laguna Niguel,CA,92677,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306004414,Seaside Terrace Iii,"LAGUNA HOME CARE, LLC",seasideterrace@gmail.com,(949) 412-4808,25475 ADRIANA STREET,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306004415,Seaside Terrace Retirement Community,BROOKHURST RESIDENTIAL INC.,administrator@seasideterraceretirement.c,(714) 962-5531,9925 LA ALAMEDA AVENUE,Fountain Valley,CA,92708,Orange,250,7/13/21
RESIDENTIAL CARE ELDERLY,306005155,Seasons At Laguna-4,PERFECT CHOICE ENTERPRISES LLC,seasonsatlaguna.04@gmail.com,(949) 393-3120,24052 PLANT AVENUE,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306004793,Seasons At Laguna - 2,"BEST CHOICE ENTERPRISES, LLC",fez@seasonsatlaguna.com,(949) 340-6688,28961 PASEO DE OCASO,Laguna Niguel,CA,92677,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,306004769,Seasons At Laguna - 3,SEASONS AT O.C. LLC,seasonsatlaguna.03@gmail.com,(949) 482-7412,26291 AVENIDA CALIDAD,Mission Viejo,CA,92691,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,198320131,Seasons Memory Care At Rolling Hills,SEASONS MANAGEMENT LLC; ROLLING HILLS MEMORY CARE,ed@seasonsrollinghills.com,(424) 488-0593,2455 PACIFIC COAST HWY,Torrance,CA,90505,Los Angeles,68,7/13/21
RESIDENTIAL CARE ELDERLY,306001675,Seaview Care Home Ii,"LAFIGUERA, MARICRIS",mercy4237@yahoo.com,(949) 218-5719,2827 CALLE GUADALAJARA,San Clemente,CA,92673,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,440708739,Seaview Guest Home,"SULLIVAN, BRIAN & CECILIA",cece.sullivan@gmail.com,(831) 685-2428,7321 MESA DRIVE,Aptos,CA,95003,Santa Cruz,6,7/13/21
RESIDENTIAL CARE ELDERLY,198601627,Seaview Home,NAK INTERNATIONAL CORP,mitzi.email@yahoo.com,(310) 408-2528,4021 PALOS VERDES DRIVE SOUTH,Rancho Palos Verdes,CA,90275,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,374601847,Secure Seniors,KRASOVEC INC.,sandykrasovec@yahoo.com,(760) 746-5123,836 EAGLES NEST GLEN,Escondido,CA,92027,San Diego,16,7/13/21
RESIDENTIAL CARE ELDERLY,397001330,Sedgwick Manor Guest Home,BELLA FISCO,bfisco@gmail.com,(209) 952-1142,7337 HEMET AVENUE,Stockton,CA,95207,San Joaquin,6,7/13/21
RESIDENTIAL CARE ELDERLY,198204621,Sedona Guest Home,"SEDONA GUEST HOME, INC.",antoniolarboleda@gmail.com,(310) 792-9020,21635 HOWARD STREET,Torrance,CA,90503,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,366412436,Seegal Residential Care,JULIET SEE,seegal03@verizon.net,(760) 951-3575,12727 HICKORY AVE,Victorville,CA,92395,San Bernardino,6,7/13/21
RESIDENTIAL CARE ELDERLY,347004524,Sefora'S Home Care,SEFORA NICULAI,seforarn@yahoo.com,(916) 218-8355,6530 NOEMI LANE,Orangevale,CA,95662,Sacramento,6,7/13/21
RESIDENTIAL CARE ELDERLY,75601236,Seiko'S Place,SEIKO'S HOMES,seikomiya@aol.com,(925) 676-8963,4967 HAMES DRIVE,Concord,CA,94521,Contra Costa,6,7/13/21
RESIDENTIAL CARE ELDERLY,75601237,Seiko'S Place #2,SEIKO'S HOMES,spyglassvilla3@gmail.com,(925) 681-3229,5199 OLIVE DRIVE,Concord,CA,94521,Contra Costa,8,7/13/21
RESIDENTIAL CARE ELDERLY,306005505,Select Senior Care Llc,SELECT SENIOR CARE LLC,daniel.datcu@yahoo.com,(714) 695-9370,1221 N BIG SPRING ST,Anaheim,CA,92807,Orange,6,7/13/21
RESIDENTIAL CARE ELDERLY,565802430,Select Senior Living I,SELECT SENIOR LIVING LLC,dhull@selecthomecare.com,(805) 852-5059,1363 FEATHER AVE,Thousand Oaks,CA,91360,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,565802431,Select Senior Living Ii,SELECT SENIOR LIVING LLC,dhull@selecthomecare.com,(805) 852-8789,113 ERTEN STREET,Thousand Oaks,CA,91360,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,565802432,Select Senior Living Iii,SELECT SENIOR LIVING LLC,dhull@selecthomecare.com,(805) 852-8791,1959 HENDRIX AVE,Thousand Oaks,CA,91360,Ventura,6,7/13/21
RESIDENTIAL CARE ELDERLY,198602979,Self Evident Inc,SELF EVIDENT INCORPORATED,selfevidentinc@gmail.com,(323) 389-6432,1728 LEIGHTON AVE,Los Angeles,CA,90062,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,198603241,Self Evident Inc.,SELF EVIDENT INCORPORATED,selfevidentinc@gmail.com,(310) 528-8211,1726 LEIGHTON AVE,Los Angeles,CA,90062,Los Angeles,6,7/13/21
RESIDENTIAL CARE ELDERLY,342700570,Sen'S Caregiving,BABSIGA INC.,ekshaysen@yahoo.com,(916) 471-9145,5250 SHORTWAY DR,Sacramento,CA,95823,Sacramento,6,7/13/21
