HFR Facility Finder,,,,,,,,,,,,
 ,Name,Facility Type,Address,City,State,Zip,County,Bed Capacity,Telephone,Effective Date of License,Administrator,Email
,"RETREAT AT BUFORD, THE",PERSONAL CARE HOME,3177 GRAVEL SPRINGS ROAD,BUFORD,GA,30519,GWINNETT,90,7705739096,02/10/2020,Ms. WENDY ROBERTS,yolanda.hunter@phoenixsrliving.com
,RETREAT AT CANTON,ASSISTED LIVING COMMUNITY,3333 EAST CHEROKEE DRIVE,CANTON,GA,30115,CHEROKEE,90,6788809856,10/31/2019,Mr MATTHEW ARCHEVALD,yolanda.hunter@phoenixsrliving.com
,"RETREAT AT CONYERS, THE",PERSONAL CARE HOME,1504 RENAISSANCE DRIVE,CONYERS,GA,30012,ROCKDALE,68,7707614888,08/22/2019,Ms TRUNETTA REESE,yolanda.hunter@phoenixsrliving.com
,RETREAT AT JASPER,ASSISTED LIVING COMMUNITY,190 SAMMY MCGHEE BLVD,JASPER,GA,30143,PICKENS,80,7062537400,10/31/2019,Ms BONNIE GALLUCCIO,yolanda.hunter@phoenixsrliving.com
,"RETREAT AT LOGANVILLE, THE",PERSONAL CARE HOME,580 TOMMY LEE FULLER DRIVE,LOGANVILLE,GA,30052,WALTON,87,7704662273,08/22/2019,Mr DREW WILLIAMS,yolanda.hunter@phoenixsrliving.com
,"REYNOLDS HELPING HANDS, LLC",PERSONAL CARE HOME,237 MCCOY STREET,AMERICUS,GA,31719,SUMTER,5,2299303872,01/13/2021,Ms SANDRA REYNOLDS,reynoldssandrall@yahoo.com
,RIDGE MANOR PCH,PERSONAL CARE HOME,735 RIDGE ROAD,CANTON,GA,30114,CHEROKEE,6,7702134138,05/22/2019,Mrs ANNIE LUM,THISHELPINGHANDCARES@GMAIL.COM
,RIDGE MANOR RESIDENTIAL MEMORY CARE - CALHOUN,PERSONAL CARE HOME,411 EDMOND ST,CALHOUN,GA,30701,GORDON,3,7702134672,05/28/2020,Mr JASON LUM,info@ridgemanorpch.com
,RISE AND SHINE PCH,PERSONAL CARE HOME,4 MELODY COURT,COLUMBUS,GA,31907,MUSCOGEE,5,7624360926,06/28/2019,Ms SHARON HUGHES,nhughes411@yahoo.com
,RISING STAR PERSONAL CARE HOME,PERSONAL CARE HOME,5018 E PONCE DE LEON AVE,STONE MOUNTAIN,GA,30083,DEKALB,24,4042980150,09/12/2014,,RISINGSTARPCH@GMAIL.COM
,RITA'S PERSONAL CARE HOME,PERSONAL CARE HOME,2565 FIVE FORKS TRICKUM ROAD,LAWRENCEVILLE,GA,30044,GWINNETT,4,7709782877,03/17/2008,Ms RITA MAHEPAL,ritaspch@hotmail.com
,RITCHGLOW PERSONAL CARE HOME,PERSONAL CARE HOME,2717 RAINBOW FOREST DRIVE,DECATUR,GA,30034,DEKALB,6,4042882451,05/19/2008,Ms DAWN FREDERICKS,ritchglowpch@gmail.com
,RIVER PLACE,PERSONAL CARE HOME,3492 JOHNSTONVILLE ROAD,FORSYTH,GA,31029,MONROE,40,4789931246,06/28/2017,Ms KIM MOORE,kmoore@riverplacega.com
,RIVERSIDE PLACE PERSONAL CARE HOME,PERSONAL CARE HOME,1151 WEST COLLEGE STREET,BAINBRIDGE,GA,39819,DECATUR,24,2292481116,08/22/2019,,rpch.adm@algsenior.com
,RIVERSIDE PLACE PERSONAL CARE HOME,PERSONAL CARE HOME,1151 WEST COLLEGE STREET,BAINBRIDGE,GA,39819,DECATUR,24,2292481116,08/15/2014,Ms SHEREE HALL,RIVERSIDEPLACEII@BELLSOUTH.NET
,RIVERWOOD SENIOR LIVING,PERSONAL CARE HOME,511 WEST 10TH STREET,ROME,GA,30165,FLOYD,70,7062350807,05/01/2018,Ms REGINA WRIGHT,rwright@riverwoodretirement.com
,ROBERTS HOUSE,PERSONAL CARE HOME,4099 CHIMNEY RIDGE WAY,ELLENWOOD,GA,30294,DEKALB,3,4042129746,09/11/2003,Ms RACHEL ROBERTS,
,ROCK CREEK MANOR,PERSONAL CARE HOME,"50 CAGLE MILL ROAD, SOUTH",JASPER,GA,30143,PICKENS,30,6784542600,05/12/2011,Ms CHRISTINE VANDERWALT,c-vanderwalt@rockcreekjasper.com
,ROCK SPRINGS SENIOR CARE LLC,PERSONAL CARE HOME,1385 ROCK SPRINGS ROAD,BUFORD,GA,30519,GWINNETT,3,4046261099,01/29/2020,Ms CORINNE RATIU,rockspringsseniorcare@gmail.com
,ROOSEVELT PLACE PCH,PERSONAL CARE HOME,2524 WHITEHOUSE PKWY,WARM SPRINGS,GA,31830,MERIWETHER,24,7066552588,10/29/2019,Ms STACY PATTERSON,STACY@REVERENTHOUSING.COM
,ROSALEANA'S COMMUNITY CARE,PERSONAL CARE HOME,"350 SCHOEN STREET, SE",ATLANTA,GA,30315,FULTON,3,6789730760,05/07/2013,Ms ANNIE BARBER,anniebarber08@gmail.com
,ROSE HOUSE INTENSIVE TRAINING RESIDENCE,PERSONAL CARE HOME,701 JACKSON AVENUE,AMERICUS,GA,31709,SUMTER,6,2299312643,01/27/2016,Ms LAQUITA LEVERETTE,lesliew@mfbhc.org
,ROSE OF SHARON 2 PCH,PERSONAL CARE HOME,533 S MADISON AVE,MONROE,GA,30655,WALTON,6,6786356148,03/02/2021,,danielajaniz@gmail.com
,"ROSE OF SHARON SENIOR CARE HOME, 2",PERSONAL CARE HOME,533 SOUTH MADISON AVENUE,MONROE,GA,30655,WALTON,6,6786356148,02/10/2020,Ms KELLEY BROWN,THEMANORHOMES@YAHOO.COM
,ROSE PERSONAL CARE HOME,PERSONAL CARE HOME,804 SOUTH BROAD ST,MONROE,GA,30655,WALTON,5,7702077352,10/25/2018,Ms ENID DOUGLAS,eniddouglas1@aol.com
,ROSE PERSONAL CARE HOME 2,PERSONAL CARE HOME,2795 SCENIC HIGHWAY,SNELLVILLE,GA,30078,GWINNETT,6,4705450456,03/11/2020,Ms ENID DOUGLAS,ENIDDOUGLAS1@AOL.COM
,ROSE'S PREMIER PCH,PERSONAL CARE HOME,2420 WOOD BEND LANE,RIVERDALE,GA,30296,FULTON,5,7703079858,09/13/2012,Ms LORNA DRICKETTS,lornad133@aol.com
,ROSE'S PREMIER PERSONAL CARE HOME,PERSONAL CARE HOME,3905 PRICE ROAD,GAINESVILLE,GA,30506,HALL,5,6785935083,08/13/2020,Ms LORNA DRICKETTS,lornad133@aol.com
,ROSEDALE PERSONAL CARE HOME,PERSONAL CARE HOME,860 ROSEDALE DRIVE,MARIETTA,GA,30066,COBB,3,6788609556,10/31/2018,Ms ELIZABETH NDONGI,info@rosedalepch.com   endongi@hotmail.com
,ROSEMAUDE PERSONAL CARE HOME,PERSONAL CARE HOME,"642 ERIN AVENUE, S. W.",ATLANTA,GA,30310,FULTON,6,4047531289,10/24/2003,Ms RUBY NEWSOME,
,ROSEWOOD ASSISTED LIVING,ASSISTED LIVING COMMUNITY,14 FORT TOWN DRIVE,FORT OGLETHORPE,GA,30742,CATOOSA,75,7068664443,05/21/2014,Ms CONNOR OVERBEEK,gpfulg@rosewoodforto.com
,"ROSEWOOD AT FORT OGLETHORPE, THE",PERSONAL CARE HOME,14 FORT TOWN DRIVE,FORT OGLETHORPE,GA,30742,CATOOSA,60,7068664443,11/17/2004,Mr GREGORY PFLUG,gpflug@rosewoodforto.com
,ROYAL AT LOVEJOY PERSONAL CARE HOME,PERSONAL CARE HOME,11433 VINEA WAY,HAMPTON,GA,30228,CLAYTON,4,7704684197,07/09/2019,Mr JOYCE DWOMOH,adwoaonly@yahoo.com
,ROYAL CARE,PERSONAL CARE HOME,568 GA HWY 26E,COCHRAN,GA,31014,BLECKLEY,18,4789349266,03/23/2015,Ms CAROLYN MANSOUR,carolynmansour@gmail.com
,ROYAL COTTAGE PERSONAL CARE HOME,PERSONAL CARE HOME,65 STONEY POINT TERRACE,COVINGTON,GA,30014,NEWTON,6,6782618125,03/05/2010,Ms THERESA REID,theresareid37@yahoo.com
,ROYAL LIVING PCH,PERSONAL CARE HOME,2106 FRANK BRUCE ROAD,DAWSONVILLE,GA,30534,DAWSON,3,7062654750,04/07/2011,Ms DINA BIGAS,ROYALLIIVINGPCH@GMAIL.COM
,ROYAL OAKS,PERSONAL CARE HOME,"211 WEST COLLEGE STREET, P.O. BOX 7",ADRIAN,GA,31002,EMANUEL,15,4786684709,03/31/2004,Mr SARAH OVERSTREET,bstreet@pineland.net
,ROYAL PERSONAL CARE HOME,PERSONAL CARE HOME,34 THORNE BERRY DR,HAMPTON,GA,30228,HENRY,3,7709063573,11/28/2018,,adwoaonly@yahoo.com
,RUBY'S PERSONAL HOME CARE,PERSONAL CARE HOME,2117 FIELDSTONE VIEW COURT SE,CONYERS,GA,30013,ROCKDALE,15,7706795482,05/23/2011,Dr CHRISTINE LAWES,drlawesc@aol.com
,RUTHIES SOCIAL SERVICES 2,PERSONAL CARE HOME,1443 JEFFERSONVILLE RD,MACON,GA,31217,BIBB,11,4787435882,07/21/2014,,
,S DESHON MANOR,PERSONAL CARE HOME,856 S DESHON ROAD,LITHONIA,GA,30058,DEKALB,4,7706742643,11/28/2011,Ms NORMA BAKER,whitleynorma36@gmail.com
,SAFE HAVEN AT BROOKHAVEN,PERSONAL CARE HOME,1286 KENDRICK ROAD,ATLANTA,GA,30319,DEKALB,6,4048462932,08/17/2011,,safehavenpch@yahoo.com
,SAFE HAVEN AT LENOX PARK,PERSONAL CARE HOME,1137 LYNMOOR DRIVE NE,ATLANTA,GA,30319,DEKALB,9,4042357733,04/15/2009,Ms ARKADIY YAKUBOV,safehavenpch@gmail.com
,SAFE HAVEN HOME FOR ALL,PERSONAL CARE HOME,2362 LAWRENCEVILLE HIGHWAY,DECATUR,GA,30033,DEKALB,24,7706096037,10/13/2016,Ms SANJANE HARRIS,safehavenhomeinc@yahoo.com
,SAFE HAVEN HOME FOR ALL 2,PERSONAL CARE HOME,2362 LAWRENCEVILLE HIGHWAY,DECATUR,GA,30033,DEKALB,10,4046445508,10/13/2016,Ms SANJANE HARRIS,safehavenhomeinc@yahoo.com
,SAFE HAVEN PCH,PERSONAL CARE HOME,1245 AUGUSTA AVENUE,AUGUSTA,GA,30901,RICHMOND,6,7068363706,07/23/2015,Ms GLORIA WILLIAMS,gjwms56@gmail.com
,SAFEWAY PCH ELLENWOOD,PERSONAL CARE HOME,4007 SMITHFIELD TRAIL,ELLENWOOD,GA,30294,DEKALB,3,4048555866,08/15/2014,Ms BETTY JORDAN,jhealthcareservices@hotmail
,SAHELI PERSONAL CARE,PERSONAL CARE HOME,6193 REDAN RD,LITHONIA,GA,30058,DEKALB,3,4702425435,08/11/2014,Ms WILDA JOHNSON,bcoleman2178@yahoo.com
,SAMUDA'S PERSONAL CARE HOME,PERSONAL CARE HOME,2752 SKYLAND DRIVE,SNELLVILLE,GA,30078,GWINNETT,6,6786913676,03/17/2008,Ms BLOSSOM SAMUDA,madamsilverice7@yahoo.com
,SANDY SPRINGS PERSONAL CARE CENTER,PERSONAL CARE HOME,"300 JOHNSON FERRY ROAD, N.E.",ATLANTA,GA,30328,FULTON,28,4042553534,01/27/2014,Ms ANN PETERSON,mvt@mountvernontowers.com
,SANDY SPRINGS-MEMORY CARE,PERSONAL CARE HOME,1262 HIGHTOWER TRAIL,ATLANTA,GA,30350,FULTON,56,7706508800,09/29/2016,,laranda@enlivant.com
,SANGUINE REVERE,PERSONAL CARE HOME,7460 AMBASSADOR DR,RIVERDALE,GA,30296,CLAYTON,3,6789615220,04/12/2021,Ms KRISTI RICHARDSON,sanguinerevere@gmail.com
,SARA'S PERSONAL CARE HOME,PERSONAL CARE HOME,129 LEONARD LANE,SWAINSBORO,GA,30401,EMANUEL,6,4782899099,10/13/2004,Ms PAMELA ODOM,lizandnat13@yahoo.com
,SARAH'S PERSONAL CARE HOME LLC,PERSONAL CARE HOME,530 BRAND ROAD,LOGANVILLE,GA,30052,GWINNETT,5,6786918922,11/20/2019,,jeanleeharris@gmail.com
,SASSY SENIORS LIVING,PERSONAL CARE HOME,3290 STONEWALL TELL RD,COLLEGE PARK,GA,30349,FULTON,4,4045513028,01/07/2014,Ms MARILYN ALCENDOR,sassyseniorsliving@gmail.com
,SATILLA BLUFFS SENIOR CARE,PERSONAL CARE HOME,101 SATILLA BLUFFS DRIVE,BLACKSHEAR,GA,31516,PIERCE,65,9124894468,10/14/2020,Ms DANIELLE HARRIS,bwright@georgialivingseniorcare.com
,SAVANNAH COMMONS,ASSISTED LIVING COMMUNITY,1 PEACHTREE DRIVE,SAVANNAH,GA,31419,CHATHAM,73,9129270500,06/18/2019,,jennifer.mohler@thesocialatsavannah.com
,SAVANNAH COURT OF CAMILLA,PERSONAL CARE HOME,161 E BROAD STREET,CAMILLA,GA,31730,MITCHELL,40,2293360869,05/01/2014,Ms TINA EUBANKS,slmc@slm.net
,SAVANNAH COURT OF LAKE OCONEE,PERSONAL CARE HOME,1061 WILLOW RUN ROAD,GREENSBORO,GA,30642,GREENE,72,7064540980,09/15/2011,Ms. SHARON HADDEN,slmc@slm.net
,SAVANNAH COURT OF MILLEDGEVILLE,PERSONAL CARE HOME,61 MARSHALL ROAD,MILLEDGEVILLE,GA,31061,BALDWIN,48,4784522511,12/19/2011,Ms JANN BROWN,ed.scmilledgeville@slm.net
,SAVANNAH GRAND OF COLUMBUS,ASSISTED LIVING COMMUNITY,8301 FRANCISCAN WOODS DRIVE,COLUMBUS,GA,31909,MUSCOGEE,60,7066538100,08/17/2015,Ms. GINNY MANN,slmc@slm.net
,SAVANNAH PLANTATION,PERSONAL CARE HOME,102 LEVEL CREEK ROAD,BUFORD,GA,30518,GWINNETT,15,7702718723,07/01/2002,Mr EDWIN DUDA,savn@bellsouth.net
,SAVANNAH SQUARE,PERSONAL CARE HOME,167 MURROW ROAD,BLYTHE,GA,30805,RICHMOND,10,7067510411,08/07/2003,Mr CHUCK REEVES,ksmith@5ssl
,"SAXON'S, BETTY PCH",PERSONAL CARE HOME,1125 PINEY GROVE ROAD,AUGUSTA,GA,30906,RICHMOND,18,7067938242,05/24/2004,Ms BETTY SAXON,bsaxonpch@comcast.net
,SCENIC VIEW PCH,PERSONAL CARE HOME,5163 SCENIC VIEW ROAD,FLOWERY BRANCH,GA,30542,HALL,5,6788287188,03/14/2014,Ms CAROL SEAY,carolseay@rocketmail.com
,SEA BREEZE RETREAT 3,PERSONAL CARE HOME,1431 PROVIDENCE WAY,LAWRENCEVILLE,GA,30045,GWINNETT,4,7709628417,09/29/2017,Ms SHARIEMA HANIFF,cobblestonegh@aol.com
,SENIOR CITIZENS CARE CENTER ANNEX,PERSONAL CARE HOME,223 HARMON ROAD,SWAINSBORO,GA,30401,EMANUEL,6,4782378261,02/03/2005,Ms NATASHA BRINSON,
,SENIOR HOME #1 MISSION PCH,PERSONAL CARE HOME,1940 SPRING ROSE GLEN,LAWRENCEVILLE,GA,30043,GWINNETT,6,4045196281,01/27/2020,Mr IOAN BERAR,marietaberar@gmail.com
,SENIOR HOME MISSION PCH,PERSONAL CARE HOME,1974 JESTER CIRCLE,LAWRENCEVILLE,GA,30043,GWINNETT,6,7702378587,01/27/2020,Ms MARIETA BERAR,marietaberar@gmail.com
,SENIOR LIVING SUITES AT PARKSIDE,PERSONAL CARE HOME,3000 LENORA CHURCH ROAD,SNELLVILLE,GA,30078,GWINNETT,78,7709722040,09/01/2018,,sparker@wellhs.com    or  patrice.hurst@parksidepar.com
,SERENE HOUSE OF CARE LLC,PERSONAL CARE HOME,7392 SKYLANE DR,RIVERDALE,GA,30296,CLAYTON,4,4049551463,06/17/2021,,serenehouse2016@yahoo.com
,SERENITY,PERSONAL CARE HOME,206 PINE STREET,SPARKS,GA,31647,COOK,20,2295496620,12/20/2012,,jamespettis@hotmail.com
,"SERENITY BROOK PCH, LLC",PERSONAL CARE HOME,3070 HERSCU WAY,LITHONIA,GA,30038,DEKALB,3,6783087446,12/03/2019,Ms RASHIKA BRIGGS,rashika_briggs@comcast.net
,SERENITY EMPIRE,PERSONAL CARE HOME,2460 GREYTHORNE COMMONS,DOUGLASVILLE,GA,30135,DOUGLAS,6,7706358799,05/17/2019,Ms HENRIETTA ESSEL,henrietta.essel@serenityempire.org
,SERENITY EMPIRE,PERSONAL CARE HOME,7825 HOBGOOD ROAD,FAIRBURN,GA,30213,FULTON,16,4049663002,05/22/2019,Ms HENRIETTA ESSEL,henrietta.essel@serenityempire.org
,SERENITY HOME CARE,PERSONAL CARE HOME,69 DAVIS STREET,MACON,GA,31204,BIBB,4,4787456357,12/14/2015,Ms VONARICA GLOVER,gvonarica@yahoo.com
,SERENITY HOUSE,PERSONAL CARE HOME,8599 SHERIDAN DRIVE,JONESBORO,GA,30236,CLAYTON,3,7704723593,05/26/2010,,yodamey@aol.com
,SERENITY HOUSE 2,PERSONAL CARE HOME,119 AQUINNAH DRIVE,POOLER,GA,31322,CHATHAM,5,9125724724,12/12/2018,Ms TAMMIE KELLY,serenityhouse01@gmail.com
,SERENITY HOUSE OF ATLANTA MINISTRIES,PERSONAL CARE HOME,60 BETHEA WAY,COVINGTON,GA,30016,NEWTON,3,7708928005,12/14/2017,Ms PAMELA BETHEA,serenityhouseatl@yahoo.com
,SERENITY LIVING,PERSONAL CARE HOME,144 KNIGHT STREET,IRWINTON,GA,31042,WILKINSON,6,4789437037,09/30/2009,Ms MERILYN CHATMAN,merilynchatman1234@gmail.com
,SERENITY MANOR,PERSONAL CARE HOME,495 FORT HILL STREET,MACON,GA,31217,BIBB,6,4786214127,11/24/2014,Ms LATRELLE TRIPP,serenitymanorpch@aol.com
,SERENITY SPRINGS AT FREYDALE ROAD,PERSONAL CARE HOME,2462 FREYDALE ROAD,MARIETTA,GA,30067,COBB,3,6789340238,04/19/2016,Ms NATASHA KARANJA,jkaranja65@gmail.com
,SERENITY SPRINGS HOME CARE,PERSONAL CARE HOME,2708 LOWER ROSWELL RD,MARIETTA,GA,30068,COBB,3,6784016787,08/15/2013,Ms JANET KARANJA,jkaranja65@gmail.com
,SERENITY WAY,PERSONAL CARE HOME,15 VALLEYDALE WAY,SAVANNAH,GA,31405,CHATHAM,4,9123461755,07/21/2016,Ms TAMMIE RHODES KELLY,serenityhouseway15@gmail.com
,SEVEN HILLS PLACE,ASSISTED LIVING COMMUNITY,279 TECHNOLOGY PARKWAY,ROME,GA,30165,FLOYD,47,7062325244,03/22/2016,,kwade@enlivent.com
,"SEVEN STARS PERSONAL CARE HOME, LLC",PERSONAL CARE HOME,7690 THOMASTON ROAD,MACON,GA,31220,BIBB,4,4783450670,06/10/2021,Mr WARDELL PATTERSON,wpatterson876@gmail.com
,SEYMOUR SOUTHERN COMFORTS,PERSONAL CARE HOME,202 EAST MAIN STREET,BRONWOOD,GA,39826,TERRELL,24,2299956611,01/26/2004,,sscomforts@windstream.net
,SHA SHA'S LEISURE LIVING PERSO,PERSONAL CARE HOME,1465 TEAGLE ROAD,FORSYTH,GA,31029,MONROE,6,4789945515,04/08/2004,Ms CELESTINA WILKERSON,
,SHA-LYNDAS,PERSONAL CARE HOME,2313 CADDEN COURT,AUGUSTA,GA,30906,RICHMOND,3,7065600725,05/02/2007,Ms LINDA NICHOLS,
,SHADY BROOK PERSONAL CARE HOME,PERSONAL CARE HOME,808 SHADY BROOK DRIVE,MARIETTA,GA,30066,COBB,3,7706937319,05/15/2012,Ms JANE AUJA,janauja@yahoo.com
,SHADY GROVE MANOR,PERSONAL CARE HOME,1790 OLD HIGHWAY 41 NORTHWEST,KENNESAW,GA,30152,COBB,19,7704245475,04/23/2004,,
,SHADY PINES ESTATE,PERSONAL CARE HOME,124 AIRPORT ROAD,ABBEVILLE,GA,31001,WILCOX,22,2294672101,09/17/2008,Ms SHERRY BLOODWORTH,shadypinesestate@gmail.com
,SHADYBROOK AT MOZELLE PCH,PERSONAL CARE HOME,2000 MOZELLE DR,MARIETTA,GA,30062,COBB,3,6784988532,08/01/2014,Ms ADERINE OKWIRA,janauja@yahoo.com
,SHALOM HOUSES OF JOY,PERSONAL CARE HOME,10935 HONDAL COURT,HAMPTON,GA,30228,CLAYTON,3,4042079896,10/09/2019,Ms REJOICE NDLOVU,rejoice_ndlovu@yahoo.com
,SHALOM PERSONAL CARE HOME,PERSONAL CARE HOME,683 MEPHISTO CIRCLE,LAWRENCEVILLE,GA,30046,GWINNETT,6,7703391789,01/04/2010,Ms PATRICIA WILLIAMS,shalom_manor@yahoo.com
,SHARON'S PERSONAL CARE HOME,PERSONAL CARE HOME,605 E. FORCE STREET,VALDOSTA,GA,31601,LOWNDES,4,2292490581,12/11/2003,Ms SHARON LEWIS,sharonlewis400@yahoo.com
,SHED'S PERSONAL CARE HOME,PERSONAL CARE HOME,3570 SAWYER STREET,MACON,GA,31217,BIBB,6,4787417012,11/20/2003,Ms KAREN O'TEY,
,SHEILA HOSPITALITY PERSONAL CARE HOME LLC,PERSONAL CARE HOME,4594 PINE VALLEY DR,MACON,GA,31210,BIBB,3,4782594872,06/30/2021,Ms SHAMEKA DAVIS,sheilagibson521@gmail.com
,SHELTERING ARMS LLC,PERSONAL CARE HOME,206 S ZETTEROWER AVE,STATESBORO,GA,30458,BULLOCH,4,9122439247,01/04/2021,,victoriahoward1986@yahoo.com
,"SHEPHERD'S HOUSE OF CARE INC, THE",PERSONAL CARE HOME,110 GUM CREEK RD,OXFORD,GA,30054,NEWTON,3,6786587340,04/02/2020,Ms LAURA CREMENS,ManagementSHOC@gmail.com
,"SHERIDAN AT EASTSIDE, THE",ASSISTED LIVING COMMUNITY,1900 TREE LANE,SNELLVILLE,GA,30078,GWINNETT,118,6783468808,03/04/2020,Mr BRIAN JACKSON,bjackson@seniorlifestyle.com
,SHIRLEE CASA,PERSONAL CARE HOME,1927 TUBMAN HOME ROAD,AUGUSTA,GA,30906,RICHMOND,3,7064268174,03/05/2019,Ms YOLANDA AKPER,yjaneakper@yahoo.com
,SHIRLEY'S PERSONAL CARE HOME,PERSONAL CARE HOME,5813 BUXTON DRIVE,COLUMBUS,GA,31907,MUSCOGEE,6,7066105237,01/22/2015,Ms LAURA GRIFFIN,shirleyspersonalcarehome@gmail.com  or  mis.laura26@live.com
,SIBOR MANOR - ATLANTA,PERSONAL CARE HOME,2123 LAVISTA CIRCLE,TUCKER,GA,30084,DEKALB,6,6789370033,07/17/2007,Mr OSARENTIN ISIBOR,itohan58@yahoo.com
,SIBOR'S MANOR,PERSONAL CARE HOME,3890 WRIGHTSBORO ROAD,AUGUSTA,GA,30904,RICHMOND,11,7068687617,12/04/2003,Ms SHIRLEY KELLY,
,SILKWOOD GROUP HOME,PERSONAL CARE HOME,803 GENTILLY ROAD,STATESBORO,GA,30458,BULLOCH,4,9126819631,07/24/2017,Ms BRANDI NEWSOME,
,SILVER COMET VILLAGE,ASSISTED LIVING COMMUNITY,4900 RICHARD D SAILORS PKWY,POWDER SPRINGS,GA,30127,COBB,90,7702222775,04/07/2021,,kluczkowski@roosenterprises.com
,SILVER CRESCENT HOMES LLC,PERSONAL CARE HOME,327 PANOLA ROAD,ELLENWOOD,GA,30294,CLAYTON,4,6623921020,02/26/2021,,silvercrescenthomes@gmail.com
,SILVER HOMES,PERSONAL CARE HOME,5071 HUBERT DRIVE,POWDER SPRINGS,GA,30127,COBB,3,6789957049,05/15/2017,Ms OLIVIA BUTLER,oliviabutler03@yahoo.com
,SILVER HOMES 2,PERSONAL CARE HOME,5334 MEMORIAL LN,POWDER SPRINGS,GA,30127,COBB,3,7702722067,12/07/2020,Ms OLIVIA BUTLER,oliviabutler03@yahoo.com
,SILVER LININGS PERSONAL CARE HOME,PERSONAL CARE HOME,407 HARVEY STREET,STAPLETON,GA,30823,JEFFERSON,19,7065473060,07/25/2012,Ms KIM WILLINGHAM,silverliningsper@bellsouth.net
,SILVERLEAF ALZHEIMER'S CARE OF ATHENS,PERSONAL CARE HOME,705 WHITEHEAD ROAD,ATHENS,GA,30606,CLARKE,56,7065499800,09/20/2005,,Silverleaf.finance1932@gmail.com
,SILVERLEAF ALZHEIMER'S CARE OF SNELLVILLE,PERSONAL CARE HOME,2106 MCGEE ROAD,SNELLVILLE,GA,30078,GWINNETT,56,7709789595,03/22/2005,,angelavery.silverleaf@gmail.com
,SILVERLEAF PERSONAL CARE HOME,PERSONAL CARE HOME,136 PLAZA DRIVE,JENKINSBURG,GA,30234,BUTTS,3,4702515002,03/20/2017,Ms. DIANE SHANNON,silverleafpersonalcare@yahoo.com
,SILVERSANDS,PERSONAL CARE HOME,5748 WELLBORN CREEK DRIVE,LITHONIA,GA,30058,DEKALB,3,7706665458,04/15/2021,Ms JENNIFER MINCY,silversandsgrouphomes@gmail.com
,SIMPLE BLESSINGS,PERSONAL CARE HOME,2231 SULLIVAN ROAD,AUGUSTA,GA,30901,RICHMOND,14,7066676693,01/22/2015,Ms TAMEIKA MIMS,saraopenarms@bellsouth.net
,SIMPLY LIVING PERSONAL CARE HOME,PERSONAL CARE HOME,3 BERWICK COURT,SAVANNAH,GA,31406,CHATHAM,6,9123557426,04/16/2019,Ms CHANDRA HOUSTON-JENKINS,simply4living@gmail.com
,SKYLAND MANOR PCH,PERSONAL CARE HOME,3505 SKYLAND DRIVE,LOGANVILLE,GA,30052,GWINNETT,6,7709853400,08/04/2008,Mr HUGH GREENIDGE,skylandmanor@verizon.net
,SKYLAND TRAIL,PERSONAL CARE HOME,1709 CLAIRMONT ROAD,DECATUR,GA,30033,DEKALB,24,4043212000,01/15/2004,Ms DANIELLE GREEN,
,SKYLAND TRAIL ROLLINS CAMPUS,PERSONAL CARE HOME,2860 BUFORD HWY,BROOKHAVEN,GA,30329,DEKALB,32,4043158333,10/12/2016,Ms. NATOYA MCMURRAY,bfinnerty@skylandtrail.org
,SKYLINE PERSONAL CARE HOME,PERSONAL CARE HOME,1101 ANTIETAM COURT,COLUMBUS,GA,31907,MUSCOGEE,5,7625247677,12/24/2020,,skylinepersonalcarehomellc@gmail.com
,SLAPPEY HOME,PERSONAL CARE HOME,3718 AGAPE VILLAGE ROAD,MACON,GA,31210,BIBB,4,4783307080,04/27/2017,Ms JEANNIE MCKENZIE,jmckenzie@wesleyglen.org
,SLICE OF LIFE,PERSONAL CARE HOME,2940 HOSCH VALLEY RD,BUFORD,GA,30519,GWINNETT,4,6788049550,01/28/2013,Ms ANGELA ALEXA,nickranciu@yahoo.com
,SNAPFINGER HOME,PERSONAL CARE HOME,3887 SNAPFINGER ROAD,LITHONIA,GA,30038,DEKALB,4,7709816707,04/20/2017,Ms REXINE HOWARD,
,SNT COMFORTABLE LIVING 2,PERSONAL CARE HOME,4580 RYAN ROAD,CONLEY,GA,30288,CLAYTON,5,6789732925,12/20/2010,Ms SHEKELA SHERROD,
,SO FRESH N SO CLEAN PERSONAL CARE HOME 1,PERSONAL CARE HOME,1982 CONKLE ROAD,RIVERDALE,GA,30296,CLAYTON,5,7702560168,01/11/2017,Ms MAYMAY DIA,azkieh@usa.com
,"SOCIAL AT VININGS, THE",PERSONAL CARE HOME,"2401 CUMBERLAND PARKWAY, SE",ATLANTA,GA,30339,COBB,116,7704354477,10/29/2019,Ms. KELLEY BLOCKER,zorana.bradic@brookdale.com
,"SOCIAL GRACES PERSONAL CARE HOME, LLC",PERSONAL CARE HOME,5 WALKER DRIVE,STOCKBRIDGE,GA,30281,HENRY,3,4708786066,08/20/2020,Mr ANTHONY STEPHERSON,social_graces@yahoo.com
,SOH - HIDDENBROOK,PERSONAL CARE HOME,6580 HIDDENBROOK TRAIL,COLLEGE PARK,GA,30349,FULTON,4,7709641811,02/18/2008,Ms WENDY JOBITY,
,"SOLANA EAST COBB, THE",ASSISTED LIVING COMMUNITY,1032 JOHNSON FERRY ROAD,MARIETTA,GA,30068,COBB,120,7709999002,09/05/2019,Ms FREDA MEYER,fmeyer@arborcompany.com
