Licensee,Facility ID,State Facility Type 1 Literal,Address,City,County,State,Zip Code,Phone Number,Date Accessed,Facility Name
RESIDENCE BEGONIA HOME PLUS,B087205,HOME PLUS,8327 EAST ZIMMERLY STREET,Wichita,Sedgwick,KS,,316-312-3237,6/25/21,Residence Begonia Home Plus
RESIDENCE BEGONIA II AT CRESTVIEW,B087209,HOME PLUS,15 CRESTVIEW LAKE ESTATES,Wichita,Sedgwick,KS,,316-616-5306,6/25/21,Residence Begonia Ii At Crestview
REST WELL HOME PLUS,B044004,HOME PLUS,508 UNION ST,Oskaloosa,Jefferson,KS,,785-249-0800,6/25/21,Rest Well Home Plus
RL DODGE CITY I LLC,B029001,HOME PLUS,2800 6TH STREET,Dodge City,Ford,KS,,620-371-3839,6/25/21,Rl Dodge City I Llc
RL FOUNTAINWOOD 1,B040002,HOME PLUS,2004 FOUNTAINWOOD STREET,Hutchinson,Harvey,KS,,316-992-2119,6/25/21,Rl Fountainwood 1
RL FOUNTAINWOOD 2,B078031,HOME PLUS,2000 FOUNTAINWOOD,Hutchinson,Reno,KS,,316-992-2119,6/25/21,Rl Fountainwood 2
RL KANSAS CITY I LLC,B046072,HOME PLUS,7170 SILVERHEEL STREET,Shawnee,Johnson,KS,,816-588-3996,6/25/21,Reflection Living Shawnee Baum House
ROSEWOOD COTTAGE LLC,B087243,HOME PLUS,5516 POLO DR,Wichita,Sedgwick,KS,,316-300-7606,6/25/21,Rosewood Cottage Llc
RUBLE RANCH,B070004,HOME PLUS,509 WESTERN HEIGHTS,Overbrook,Osage,KS,,785-224-3453,6/25/21,Ruble Ranch
SENIORCARE HOMES NANTUCKET HOUSE,B046045,HOME PLUS,15100 ENGLAND ST,Overland Park,Johnson,KS,,913-236-0036,6/25/21,Seniorcare Homes Nantucket House
SENIORCARE HOMES NEWPORT HOUSE,B046042,HOME PLUS,10301 SAGAMORE ROAD,Leawood,Johnson,KS,,913-236-0036,6/25/21,Seniorcare Homes Newport House
SENIORCARE HOMES TED HERSEY HOUSE,B046063,HOME PLUS,10419 LEE BLVD.,Leawood,Johnson,KS,,913-236-0036,6/25/21,Seniorcare Homes Ted Hersey House
SENIORCARE HOMES VINEYARD HOUSE,B046054,HOME PLUS,7611 W 98TH TERRACE,Overland Park,Johnson,KS,,913-907-9468,6/25/21,Seniorcare Homes Vineyard House
SENIORCARE HOMES WAVENY PARK HOUSE,B046040,HOME PLUS,6918 W 68TH ST,Overland Park,Johnson,KS,,913-236-0036,6/25/21,Seniorcare Homes Waveny Park House
SERENITY SENIOR CARE LLC,B023022,HOME PLUS,1126 HILLTOP DR,Lawrence,Douglas,KS,,785-393-2689,6/25/21,Serenity Senior Care Llc
SHAWNEE HEALTH AND REHAB LLC,B046069,HOME PLUS,13509 W 67TH STREET,Shawnee,Johnson,KS,,913-268-2956,6/25/21,The Cottages At Shawnee
SLCG HOISINGTON LLC,B005002,HOME PLUS,520 N VINE STREET,Hoisington,Barton,KS,,620-653-4121,6/25/21,Country Place Memory Care Of Hoisington
SOUTH WIND HOME,B076002,HOME PLUS,496 YUCCA LANE,Pratt,Pratt,KS,,620-933-2060,6/25/21,South Wind Home
SPARKLING FOUNTAIN OF LOVE ADULT CARE HOMES LLC,B046068,HOME PLUS,8525 SWITZER RD,Overland Park,Johnson,KS,,913-963-6890,6/25/21,Sparkling Fountain Homes
STAR LIVING LLC,B023018,HOME PLUS,3911 W 13TH STREET,Lawrence,Douglas,KS,,785-691-8803,6/25/21,Star Living Llc
STRATFORD HOME,B087184,HOME PLUS,1425 N. STRATFORD LANE,Wichita,Sedgwick,KS,,316-425-5509,6/25/21,Stratford Home
SUNFLOWER CARE HOMES LLC,B056002,HOME PLUS,2301 DELANE DR,Emporia,Lyon,KS,,620-208-6670,6/25/21,Delane House
SUNFLOWER CARE HOMES LLC,B056001,HOME PLUS,424 MARKET ST,Emporia,Lyon,KS,,620-794-1945,6/25/21,Sunflower Care Homes Llc
TAMMY THE PRO LLC,B089073,HOME PLUS,4304 SW 17TH STREET,Topeka,Shawnee,KS,,785-783-8398,6/25/21,Tammy The Pro Llc
THE BOGART HOUSE LLC I,B089072,HOME PLUS,1902 SW LANE ST,Topeka,Shawnee,KS,,785-383-1152,6/25/21,The Bogart House Llc I
THE BOGART HOUSE LLC II,B089080,HOME PLUS,3535 SW 6TH ST,Topeka,Shawnee,KS,,785-969-3536,6/25/21,The Bogart House Llc Ii
THE FIELDS OF BROOKSIDE RETIREMENT COMMUNITY,B070002,HOME PLUS,402 ASH ST,Overbrook,Osage,KS,,785-224-9488,6/25/21,The Fields Of Brookside Retirement Community
THE LIGHTHOUSE,B058003,HOME PLUS,1189 HWY 77,Marysville,Marshall,KS,,785-562-7980,6/25/21,The Lighthouse
THE PINES INC,B043003,HOME PLUS,725 IOWA AVENUE,Holton,Jackson,KS,,785-364-3314,6/25/21,The Pines Inc
THE PINES OF HIAWATHA SOUTH,B007004,HOME PLUS,1480 230TH ST,Hiawatha,Brown,KS,,785-740-7463,6/25/21,The Pines Of Hiawatha South
THE PINES SOUTH,B043004,HOME PLUS,14005 214TH ROAD,Holton,Jackson,KS,,785-364-0106,6/25/21,The Pines South
THE PRAIRIE ELDER HOMES,B046056,HOME PLUS,15354 QUIVIRA,Overland Park,Johnson,KS,,913-257-5425,6/25/21,The Prairie Elder Homes
THE PRAIRIE FARMSTEAD EAST,B046064,HOME PLUS,12441 W. 151ST STREET,Overland Park,Johnson,KS,,913-257-5425,6/25/21,The Prairie Farmstead East
THE PRAIRIE FARMSTEAD WEST,B046065,HOME PLUS,12481 W. 151ST STREET,Overland Park,Johnson,KS,,913-257-5425,6/25/21,The Prairie Farmstead West
THE WILLOW HOUSE,B026002,HOME PLUS,2900 WILLOW STREET,Hays,Ellis,KS,,785-621-4959,6/25/21,The Willow House
TOPCARE HOME PLUS LLC,B046075,HOME PLUS,20687 W 125TH CT,Olathe,Johnson,KS,,908-938-9793,6/25/21,Topcare Home Plus Llc
TRUSTING HANDS CARE HOME LLC,B087253,HOME PLUS,303 N TYLER,Wichita,Sedgwick,KS,,316-650-7582,6/25/21,Trusting Hands Care Home Llc
TWO TIMBERS LLC,B022001,HOME PLUS,101 EAST VIRGINIA STREET,Highland,Doniphan,KS,,785-442-4444,6/25/21,Two Timbers Llc
ULTRA CARE HOME PLUS,B087220,HOME PLUS,11537 E. HARRY STREET,Wichita,Sedgwick,KS,,316-990-5476,6/25/21,Ultra Care Home Plus
ULTRA CARE HOME PLUS LLC 2,B087234,HOME PLUS,2355 S BEDFORD ST,Wichita,Sedgwick,KS,,316-990-5476,6/25/21,Ultra Care Home Plus Llc 2
ULTRA CARE HOME PLUS LLC 3,B087254,HOME PLUS,1532 S CREEKSIDE CT,Wichita,Sedgwick,KS,,316-990-5476,6/25/21,Ultra Care Home Plus Llc 3
UNIFIED CARE HOME INC,B087237,HOME PLUS,5705 E ROCKHILL,Wichita,Sedgwick,KS,,316-558-3605,6/25/21,Unified Care Home Inc
UNITED METHODIST HOME INC,N089068,ASSISTED LIVING FACILITYHOME PLUSADULT DAY CARE,7220 SW ASBURY DR,Topeka,Shawnee,KS,,785-478-9440,6/25/21,Aldersgate Village
WELLSPRINGS OF GARDEN PLAIN,B087185,HOME PLUS,101 W AVENUE C,Garden Plain,Sedgwick,KS,,316-867-4111,6/25/21,Wellsprings Of Garden Plain
WELLSPRINGS OF WICHITA #2,B087236,HOME PLUS,6403 E MARJORIE LN,Wichita,Sedgwick,KS,,316-390-3816,6/25/21,Wellsprings Of Wichita #2
WELLSPRINGS OF WICHITA LLC,B087137,HOME PLUS,6311 E MARJORIE ST,Wichita,Sedgwick,KS,,316-867-4111,6/25/21,Wellsprings Of Wichita Llc
WHEAT HAVEN HOME LLC,B077001,HOME PLUS,304 MARION AVE,Mcdonald,Rawlins,KS,,785-899-9009,6/25/21,Wheat Haven Home Llc
WILLOW,B022002,HOME PLUS,2125 HWY 36,Wathena,Doniphan,KS,,816-244-9233,6/25/21,Willow
WINTER MEADOW HOMES I,B089070,HOME PLUS,2832 SW MULVANE ST,Topeka,Shawnee,KS,,785-234-2989,6/25/21,Winter Meadow Homes I
WINTER MEADOW HOMES OF CARBONDALE,B070003,HOME PLUS,13450 S. TOPEKA AVENUE,Carbondale,Osage,KS,,785-836-7113,6/25/21,Winter Meadow Homes Of Carbondale
