PROGRAM_DESCRIPTION,FACILITY_NAME,GEOGRAPHIC_STREET,GEOGRAPHIC_CITY,GEOGRAPHIC_STATE,GEOGRAPHIC_ZIP_CODE,PARISH,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ORIGINAL_LICENSURE_DATE,LICENSURE_EXPIRATION_DATE,ADMINISTRATOR,EMAIL_ADDRESS,TELEPHONE_NUMBER,FAX_PHONE_NUMBER,LDH_REGION_CODE,LICENSURE_NUM
Intermediate Care Facility/Developmentally Delayed,East Morehouse Community Home,505 North 22nd Street ,MER ROUGE,LA,71261,MOREHOUSE,10640 LUCY HUDSON DRIVE,BASTROP,LA,71220,6/24/83,4/30/22,Lenard C Halley,morehousearc@suddenlinkmail.com,(318) 238-2338,(318) 283-2340,8,311
Intermediate Care Facility/Developmentally Delayed,East Nichols Street Community Home,301 East Nichols Street ,WELSH,LA,70591,JEFFERSON DAVIS,P. O. BOX 370,WELSH,LA,70591,7/17/89,5/31/22,James F Wright,jim@preferredliving.org,(337) 734-4337,(337) 734-7337,5,573
Intermediate Care Facility/Developmentally Delayed,East Ridge Community Home,443 East Ridge Trail ,PINEVILLE,LA,71360,RAPIDES,920 MAIN STREET ,PINEVILLE,LA,71360,2/24/88,1/31/22,Doug  Ryland,devans@evergreenls.org,(318) 445-4470,(318) 445-6503,6,502
Intermediate Care Facility/Developmentally Delayed,EB North Street Group Home,1601 East B North Street,RAYNE,LA,70578,ACADIA,203 LLAMA ROAD,RAYNE,LA,70578,6/27/19,5/31/22,Brandi  Stutes,joetta.richard@arcofacadiana.org,(337) 393-4106,(337) 393-4107,4,2203784325
Intermediate Care Facility/Developmentally Delayed,Eden Place,1903 Huie-Dellmon Avenue,BOYCE,LA,71409,RAPIDES,P.O. DRAWER 7768,ALEXANDRIA,LA,71306,9/2/20,8/31/21,Christi  Guillot,audrey.hopkins@stmarys-rts.org,(318) 445-6443,(318) 449-8520,6,2203784662
Intermediate Care Facility/Developmentally Delayed,Edgewood Community Home,600 Edgewood Drive ,PINEVILLE,LA,71360,RAPIDES,1111 MAIN STREET,PINEVILLE,LA,71360,3/3/06,4/30/22,James B Colwell,mtcolwell1114@yahoo.com,(318) 442-2284,(318) 448-1427,6,955
Intermediate Care Facility/Developmentally Delayed,Edna Marie Home,1020 Overton Brooks Road ,SHREVEPORT,LA,71106,CADDO,10450 ELLERBE ROAD,SHREVEPORT,LA,71106,7/1/03,6/30/22,Laurie  Boswell,tkennedy@laholyangels.org,(318) 797-8500,(318) 797-0801,7,915
Intermediate Care Facility/Developmentally Delayed,Edwin Drive Group Home,134 Habetz Loop ,RAYNE,LA,70578,ACADIA,P. O. BOX 810,VILLE PLATTE,LA,70586,5/16/89,6/30/21,Gary J Ortego,southern_comfort_homes@yahoo.com,(337) 235-9462,(337) 235-9546,4,917
Intermediate Care Facility/Developmentally Delayed,Edwin R. Lites Community Home,87 Wright Wages Road,MANY,LA,71449,SABINE,P. O. BOX 1150,MANY,LA,71449,10/19/87,7/31/21,Wayne  Martinez,sarcwm@suddenlinkmail.com,(318) 256-6995,(318) 256-0143,7,740
Intermediate Care Facility/Developmentally Delayed,Elaine Parr House,20238 Hwy 190 East,HAMMOND,LA,70401,TANGIPAHOA,219 EAST THOMAS STREET,HAMMOND,LA,70401,9/5/89,8/31/21,Marley  Marten,latwanda-mccoy1@att.net,(985) 542-9332,(985) 662-3662,9,583
Intermediate Care Facility/Developmentally Delayed,Electa Street Group Home,1900 Electa Street,RAYNE,LA,70578,ACADIA,608 LISA STREET,RAYNE,LA,70578,3/22/78,5/31/22,Brandi  Stutes,joetta.richard@arcofacadiana.org,(337) 384-6842,(337) 367-4043,4,2203784316
Intermediate Care Facility/Developmentally Delayed,Elissalde Group Home,419 South 21st Street ,BATON ROUGE,LA,70806,EAST BATON ROUGE,2736 FLORIDA BLVD. ,BATON ROUGE,LA,70802,4/21/87,12/31/21,MR Collis  Temple,ctemple@harmonycenter.org,(225) 336-5418,(225) 336-5409,2,476
Intermediate Care Facility/Developmentally Delayed,Elm Haven Group Home,429 South Elm ,HAUGHTON,LA,71037,BOSSIER,4400 VIKING ROAD ,BOSSIER CITY,LA,71111,12/10/91,8/31/21,MR William J Sadka,sandyw@evergreenls.org,(318) 949-5022,(318) 949-5022,7,713
Intermediate Care Facility/Developmentally Delayed,Elysian Fields Community Home,1241 Elysian Fields Avenue,NEW ORLEANS,LA,70117,ORLEANS,P. O. BOX 640009,KENNER,LA,70064,5/19/88,8/31/21,"Ifeanyi  Okpalobi, Jr.",anioma1@bellsouth.net,(504) 245-7991,(504) 324-0409,1,2203783860
Intermediate Care Facility/Developmentally Delayed,Enon Road Community Home,59415 Highway 60 ,BOGALUSA,LA,70427,WASHINGTON,"800 NORTH CAUSEWAY BLVD, SUITE 1C",MANDEVILLE,LA,70448,11/15/85,7/31/21,Jennifer  Vath,jennifer.vath@rescare.com,(985) 735-7606,(985) 735-7606,9,438
Intermediate Care Facility/Developmentally Delayed,Espanita Woods Community Home,203 Espanita Drive ,HAUGHTON,LA,71037,BOSSIER,4400 VIKING DRIVE ,BOSSIER CITY,LA,71111,3/10/87,12/31/21,MR William J Sadka,bsadka@evergreenls.org,(318) 949-3399,(318) 949-3399,7,472
Intermediate Care Facility/Developmentally Delayed,Fairway Community Home,602 Fairway Drive ,THIBODAUX,LA,70301,LAFOURCHE,800 N. CAUSEWAY BLVD. SUITE 1C,MANDEVILLE,LA,70448,3/11/08,10/31/21,Jennifer  Vath,jennifer.vath@rescare.com,(985) 447-1107,(985) 447-1107,3,2203783554
Intermediate Care Facility/Developmentally Delayed,Faith Manor,1803 Huie-Dellmon Avenue,BOYCE,LA,71409,RAPIDES,P.O. DRAWER 7768,ALEXANDRIA,LA,71306,10/30/19,9/30/21,Christi  Guillot,pauline.bordelon@stmarys-rts.org,(318) 445-6443,(318) 449-8520,6,2203784463
Intermediate Care Facility/Developmentally Delayed,Fancher Street Home,1223 Fancher Street ,VINTON,LA,70668,CALCASIEU,958 BEGLIS PARKWAY,SULPHUR,LA,70663,5/5/94,10/31/21,MS Hilda  Trahan,hilda.trahan@evergreenls.org,(337) 589-4866,(337) 589-4866,5,2203781165
Intermediate Care Facility/Developmentally Delayed,Fay Home,10430 Ellerbe Road,SHREVEPORT,LA,71106,CADDO,10450 ELLERBE ROAD,SHREVEPORT,LA,71106,7/1/03,6/30/22,Laurie  Boswell,tkennedy@laholyangels.org,(318) 797-8500,(318) 797-0801,7,913
Intermediate Care Facility/Developmentally Delayed,Fayette Group Home,2610 Fayette Street ,KENNER,LA,70065,JEFFERSON,2121 38TH STREET,KENNER,LA,70065,9/13/89,8/31/21,Roukayatou  Ousseyni,rouky@ddmsla.com,(504) 513-3159,(504) 405-5487,1,2203784087
Intermediate Care Facility/Developmentally Delayed,Fendler Parkway Community Home,739 Fendler Parkway ,PINEVILLE,LA,71360,RAPIDES,920 MAIN STREET ,PINEVILLE,LA,71360,2/24/88,1/31/22,Doug  Ryland,devans@evergreenls.org,(318) 473-2412,(318) 445-6503,6,501
Intermediate Care Facility/Developmentally Delayed,Fillmore Group Home,1155 Presidents Drive ,ALEXANDRIA,LA,71303,RAPIDES,P.O. BOX 7917,ALEXANDRIA,LA,71306,11/1/07,11/30/21,Isabel  Elliott,isabel.elliott@westsidehabcenter.com,(318) 561-0255,(318) 561-0265,6,1018
Intermediate Care Facility/Developmentally Delayed,Flint Drive Community Home,613 Flint Drive,HAUGHTON,LA,71037,BOSSIER,4400 VIKING DRIVE ,BOSSIER CITY,LA,71111,10/19/82,9/30/21,MR William J Sadka,sandyw@evergreenls.org,(318) 949-6715,(318) 747-1721,7,2203783516
Intermediate Care Facility/Developmentally Delayed,Florida Street Group Home,1244 Florida Boulevard,BATON ROUGE,LA,70802,EAST BATON ROUGE,2736 FLORIDA BOULEVARD,BATON ROUGE,LA,70802,6/21/95,5/31/22,"Collis B Temple, Jr.",ctemple@harmonycenter.org,(225) 389-1356,(225) 336-5409,2,794
Intermediate Care Facility/Developmentally Delayed,Fortenberry House,1100 North Oak Street ,HAMMOND,LA,70401,TANGIPAHOA,19362 W SHELTON ROAD,HAMMOND,LA,70401,5/21/85,3/31/22,Randall  Waguespack,admin@options4u.org,(985) 345-6269,(985) 345-0297,9,422
Intermediate Care Facility/Developmentally Delayed,Fourth Street Group Home,906 Fourth Street ,GRETNA,LA,70053,JEFFERSON,"800 NORTH CAUSEWAY BLVD, SUITE 1C",MANDEVILLE,LA,70448,8/30/84,3/31/22,Jennifer  Vath,jennifer.vath@rescare.com,(985) 237-4148,(504) 368-4616,1,398
Intermediate Care Facility/Developmentally Delayed,Fr August Thompson Home,19 Schoolhouse Rock Road ,ALEXANDRIA,LA,71306,RAPIDES,P. O. BOX 7768,ALEXANDRIA,LA,71306,5/4/09,4/30/22,Christina  Guillot,audrey.hopkins@stmarys-rts.org,(318) 445-6443,(318) 449-8529,6,1037
Intermediate Care Facility/Developmentally Delayed,Frank Marten House,46090 Milton Road ,HAMMOND,LA,70401,TANGIPAHOA,219 E. THOMAS STREET ,HAMMOND,LA,70401,1/20/92,1/31/22,Marley  Marten,parker9445@bellsouth.net,(225) 567-2330,(985) 662-3662,9,712
Intermediate Care Facility/Developmentally Delayed,Fulton Road Community Home,3207 Madonna Drive ,ALEXANDRIA,LA,71301,RAPIDES,920 MAIN STREET ,PINEVILLE,LA,71360,7/31/85,12/31/21,Doug  Ryland,devans@evergreenls.org,(318) 487-6500,(318) 445-6503,6,2912
Intermediate Care Facility/Developmentally Delayed,G B Cooley Beech Group Home,611 Cooley Circle ,WEST MONROE,LA,71291,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,2/3/09,2/28/22,MR Ben  Pitts,benpitts@gbcooley.org,(318) 855-3093,(318) 397-6618,8,1048
Intermediate Care Facility/Developmentally Delayed,G B Cooley Cedar Group Home,812 Cooley Court ,WEST MONROE,LA,71291,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,2/3/09,2/28/22,MR Ben  Pitts,benpitts@gbcooley.org,(318) 855-3956,(318) 397-6618,8,1045
Intermediate Care Facility/Developmentally Delayed,G B Cooley Emerson Community Home,1810 Emerson ,MONROE,LA,71201,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,2/3/09,2/28/22,MR Ben  Pitts,bpitts@gbc.la,(318) 654-7095,(318) 397-6618,8,1047
Intermediate Care Facility/Developmentally Delayed,G B Cooley Hillcrest Group Home,609 Cooley Circle ,WEST MONROE,LA,71291,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,8/17/84,3/31/22,MR Ben  Pitts,bpitts@gbc.la,(318) 537-9749,(318) 397-6618,8,527
Intermediate Care Facility/Developmentally Delayed,G B Cooley Magnolia Group Home,814 Cooley Court,WEST MONROE,LA,71291,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,1/5/88,12/31/21,MR Ben  Pitts,bpitts@gbc.la,(318) 855-6892,(318) 397-6618,8,504
Intermediate Care Facility/Developmentally Delayed,G B Cooley Moore-Weatherford Group Home,612 Moore Road ,MONROE,LA,71202,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,11/19/90,11/30/21,MR Ben  Pitts,choward@gbc.la,(318) 323-3205,(318) 397-6618,8,657
Intermediate Care Facility/Developmentally Delayed,G B Cooley Prairie Road Group Home,2043 Prairie Road ,MONROE,LA,71202,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,2/1/91,2/28/22,MR Ben  Pitts,benpitts@gbcooley.org,(318) 387-7301,(318) 397-6618,8,671
Intermediate Care Facility/Developmentally Delayed,G B Cooley Sue Dr Group Home,214 Sue Drive ,MONROE,LA,71202,OUACHITA,211 NORTH 3RD STREET,MONROE,LA,71201,9/28/88,8/31/21,Ben  Pitts,benpitts@gbcooley.org,(318) 325-2884,(318) 397-6618,8,539
Intermediate Care Facility/Developmentally Delayed,G B Cooley Sunshine Group Home,102 Sunshine Avenue ,WEST MONROE,LA,71291,OUACHITA,211 NORTH 3RD STREET,MONROE,LA,71201,1/19/88,4/30/22,MR Ben  Pitts,benpitts@gbcooley.org,(318) 325-2283,(318) 397-6618,8,2203783293
Intermediate Care Facility/Developmentally Delayed,G B Cooley Tennessee Group Home,210 Tennessee Street ,MONROE,LA,71201,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,2/26/96,1/31/22,MR Ben  Pitts,bpitts@gbc.la,(318) 345-4942,(318) 397-6618,8,813
Intermediate Care Facility/Developmentally Delayed,G B Cooley Willow Group Home,731 Cooley Circle ,WEST MONROE,LA,71291,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,2/3/09,2/28/22,MR Ben  Pitts,bpitts@gbc.la,(318) 855-3107,(318) 397-6618,8,1049
Intermediate Care Facility/Developmentally Delayed,G. B. Cooley - Shannon Group Home,1591 Shannon Avenue,MONROE,LA,71202,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,8/8/84,3/31/22,MR Ben  Pitts,bpitts@gbc.la,(318) 325-7495,(318) 397-6618,8,379
Intermediate Care Facility/Developmentally Delayed,G. B. Cooley - South Grand Group Home,2103 South Grand Street ,MONROE,LA,71202,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,6/14/84,3/31/22,MR Ben  Pitts,bpitts@gbc.la,(318) 325-1101,(318) 397-6618,8,373
Intermediate Care Facility/Developmentally Delayed,G. B. Cooley - Spurgeon Group Home,4201 Spurgeon Drive,MONROE,LA,71203,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,8/17/84,3/31/22,MR Ben  Pitts,bpitts@gbc.la,(318) 343-2275,(318) 397-6618,8,383
Intermediate Care Facility/Developmentally Delayed,G. B. Cooley - Walnut Group Home,113 Arkansas Street ,MONROE,LA,71201,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,6/10/84,3/31/22,MR Ben  Pitts,bpitts@gbc.la,(318) 325-9704,(318) 397-6618,8,377
Intermediate Care Facility/Developmentally Delayed,G. B. Cooley Franciscan Group Home,101 South 4th Street,MONROE,LA,71202,OUACHITA,211 N. 3RD STREET,MONROE,LA,71201,1/29/85,9/30/21,Ben  Pitts,bpitts@gbc.la,(318) 355-6753,(318) 397-6618,8,2203782474
Intermediate Care Facility/Developmentally Delayed,G.B. Cooley - Stubbs Vinson Home,2163 Stubbs Vinson Road ,MONROE,LA,71203,OUACHITA,211 NORTH 3RD STREET ,MONROE,LA,71201,9/1/99,3/31/22,MR Ben  Pitts,bpitts@gbc.la,(318) 855-6513,(318) 397-6618,8,808
Intermediate Care Facility/Developmentally Delayed,Gabe White Group Home,128 College Road ,DELHI,LA,71232,RICHLAND,PO BOX 607,DELHI,LA,71232,1/27/09,2/28/22,Laura  Nickelson,lauranickelson@yahoo.com,(318) 878-5005,(318) 878-8671,8,1044
Intermediate Care Facility/Developmentally Delayed,Gabriel House,1911 Huie-Dellmon Avenue,BOYCE,LA,71409,RAPIDES,P.O. DRAWER 7768,ALEXANDRIA,LA,71306,12/22/20,11/30/21,Christi  Guillot,audrey.hopkins@stmarys-rts.org,(318) 445-6443,(318) 449-8520,6,2203784819
Intermediate Care Facility/Developmentally Delayed,Gadsden Community Home,2612-2614 Gadsden Street ,KENNER,LA,70065,JEFFERSON,2121 38TH STREET,KENNER,LA,70065,11/27/90,12/31/21,Roukayatou  Ousseyni,rouky@ddmsla.com,(504) 513-3159,(504) 405-5487,1,2203782257
Intermediate Care Facility/Developmentally Delayed,Garden Street Community Home,1607 Garden Street ,KENNER,LA,70065,JEFFERSON,2121 38TH STREET,BATON ROUGE,LA,70816,11/27/90,12/31/21,Roukayatou  Ousseyni,rouky@ddmsla.com,(504) 513-3159,(504) 405-5487,1,2203782245
Intermediate Care Facility/Developmentally Delayed,Garfield Group Home,1263 Enterprise Road ,ALEXANDRIA,LA,71303,RAPIDES,P.O. BOX 7917,ALEXANDRIA,LA,71306,2/11/09,2/28/22,Isabel  Elliott,isabel.elliott@westsidehabcenter.com,(318) 487-0250,(318) 427-1828,6,1050
Intermediate Care Facility/Developmentally Delayed,Garland Group Home,1315 Garland Avenue ,OPELOUSAS,LA,70570,ST. LANDRY,"103 EXCHANGE PLACE, SUITE 100",LAFAYETTE,LA,70503,11/19/86,2/28/22,Jennifer  Simon,jennifer.simon@rescare.com,(337) 233-2731,(337) 235-5273,4,349
Intermediate Care Facility/Developmentally Delayed,Gatlin Community Home,10599 Gatlin Road,HAMMOND,LA,70403,TANGIPAHOA,40052 N. HOOVER ROAD,PONCHATOULA,LA,70454,9/13/16,9/30/21,Charmaine  Jones,brandon.dufreche@evergreenls.org,(225) 567-6600,(225) 567-2800,9,2203782916
Intermediate Care Facility/Developmentally Delayed,Gayoso Group Home,209-211 South Gayoso Street ,NEW ORLEANS,LA,70119,ORLEANS,4152 CANAL STREET,NEW ORLEANS,LA,70119,7/31/90,7/31/21,James  LeBlanc,olee@voasela.org,(504) 836-8717,(504) 617-6491,1,637
Intermediate Care Facility/Developmentally Delayed,Gibbs Street Community Home,416 Gibbs Street ,MANSFIELD,LA,71052,DESOTO,1111 MAIN STREET ,PINEVILLE,LA,71360,1/16/91,11/30/21,MR James B Colwell,mtcolwell1114@yahoo.com,(318) 872-0206,(318) 872-5394,7,1061
Intermediate Care Facility/Developmentally Delayed,Gibsland Community Home,1682 Pearl Street ,GIBSLAND,LA,71028,BIENVILLE,P. O. BOX 548,RUSTON,LA,71273,7/20/95,6/30/21,David W Woods,dwoods4686@gmail.com,(318) 843-9007,(318) 777-3585,7,798
Intermediate Care Facility/Developmentally Delayed,Goudchaux Community Home,1536 Goudchaux Street ,BATON ROUGE,LA,70807,EAST BATON ROUGE,2736 FLORIDA BLVD. ,BATON ROUGE,LA,70802,8/30/87,12/31/21,MR Collis  Temple,ctemple@harmonycenter.org,(225) 355-1999,(225) 336-5409,2,488
Intermediate Care Facility/Developmentally Delayed,Grace Anne Home,1620 Overton Brooks Road,SHREVEPORT,LA,71106,CADDO,10450 ELLERBE ROAD,SHREVEPORT,LA,71106,7/1/03,6/30/22,Laurie  Boswell,tkennedy@laholyangels.org,(318) 797-8500,(318) 797-0801,7,914
Intermediate Care Facility/Developmentally Delayed,Grace Home,115 Sherwood Drive ,BENTON,LA,71006,BOSSIER,P.O. BOX 715 ,RUSTON,LA,71273,10/27/89,9/30/21,MR Michael L Reynolds,planksr@comcast.net,(318) 965-9001,(318) 965-9001,7,897
Intermediate Care Facility/Developmentally Delayed,Graham Home,8825 Graham Drive ,BATON ROUGE,LA,70814,EAST BATON ROUGE,"800 NORTH CAUSEWAY BLVD, SUITE 1C",MANDEVILLE,LA,70448,8/17/83,1/31/22,Jennifer  Vath,jennifer.vath@rescare.com,(225) 778-5240,(225) 778-5240,2,2909
Intermediate Care Facility/Developmentally Delayed,Grant Community Home,1212 Wilshire Drive ,ALEXANDRIA,LA,71303,RAPIDES,P.O. BOX 7917,ALEXANDRIA,LA,71306,4/19/08,4/30/22,Isabel  Elliott,isabel.elliott@westsidehabcenter.com,(318) 767-5865,(318) 767-5940,6,1030
Intermediate Care Facility/Developmentally Delayed,Greco Community Home,444 Browns Bend Road ,ALEXANDRIA,LA,71303,RAPIDES,347 BROWNS BEND ROAD ,ALEXANDRIA,LA,71303,5/26/93,4/30/22,Karen J Coor,karenjcoor@yahoo.com,(318) 487-8897,(318) 487-9987,6,728
Intermediate Care Facility/Developmentally Delayed,Greenbriar Community Home,111 Greenbriar Drive,BOSSIER CITY,LA,71111,BOSSIER,351 JORDAN STREET,SHREVEPORT,LA,71101,5/5/87,3/31/22,Kristen  Powers,crobinson@thearccaddobossier.org,(318) 741-9795,(318) 459-2914,7,478
Intermediate Care Facility/Developmentally Delayed,Groom Rd. Community Home,3622 Groom Road,BAKER,LA,70714,EAST BATON ROUGE,40052 N. HOOVER ROAD,PONCHATOULA,LA,70454,1/3/17,1/31/22,Charmaine  Jones,brandon.dufreche@evergreenls.org,(225) 778-1433,(225) 778-1432,2,2203783020
Intermediate Care Facility/Developmentally Delayed,Hamilton Group Home,2017 Hamilton Street,FRANKLINTON,LA,70438,WASHINGTON,"805 N. WHITTINGTON, SUITE 400",LOUISVILLE,KY,40222,5/21/87,5/31/22,Jennifer  Vath,jennifer.vath@rescare.com,(985) 839-5133,(985) 839-5133,9,482
Intermediate Care Facility/Developmentally Delayed,Hannie Group Home,325 West Broussard Road,LAFAYETTE,LA,70506,LAFAYETTE,6400 HIGHWAY 90 WEST,NEW IBERIA,LA,70560,4/4/89,6/30/21,Brandi  Stutes,brandi.stutes@arcofacadiana.org,(337) 703-4360,(337) 492-1010,4,2203783382
Intermediate Care Facility/Developmentally Delayed,Happy Haven Circle,42630 Hinson Road,HAMMOND,LA,70403,TANGIPAHOA,P. O. BOX 3092,HAMMOND,LA,70404,1/9/89,8/31/21,Cassandra  Smith,cassandra@happyhaven.net,(985) 543-0574,(985) 542-2832,9,680
Intermediate Care Facility/Developmentally Delayed,Happy Haven Perret,11365 Perret Lane ,HAMMOND,LA,70403,TANGIPAHOA,P. O. BOX 3092,HAMMOND,LA,70404,9/6/88,8/31/21,Cassandra  Smith,cassandra@happyhaven.net,(985) 543-0574,(225) 542-2832,9,534
Intermediate Care Facility/Developmentally Delayed,Happy Haven Stein,44041 Stein Road ,HAMMOND,LA,70401,TANGIPAHOA,P. O. BOX 3092,HAMMOND,LA,70404,7/11/90,6/30/21,Cassandra  Smith,cassandra@happyhaven.net,(985) 543-0574,(985) 542-2832,9,628
Intermediate Care Facility/Developmentally Delayed,Harding Community Home,520 Westwind Drive,ALEXANDRIA,LA,71303,RAPIDES,P.O. BOX 7917,ALEXANDRIA,LA,71306,2/24/09,2/28/22,Isabel  Elliott,isabel.elliott@westsidehabcenter.com,(318) 487-1328,(318) 487-1329,6,1051
Intermediate Care Facility/Developmentally Delayed,Harmony Center #2,2241 Elissalde Street ,BATON ROUGE,LA,70808,EAST BATON ROUGE,2736 FLORIDA BLVD. ,BATON ROUGE,LA,70802,8/1/84,12/31/21,MR Collis  Temple,ctemple@harmonycenter.org,(225) 336-5412,(225) 336-5409,2,2203781687
Intermediate Care Facility/Developmentally Delayed,Harrison Group Home,5708 North Drive ,ALEXANDRIA,LA,71303,RAPIDES,P.O. BOX 7917,ALEXANDRIA,LA,71306,3/3/08,3/31/22,Isabel  Elliott,isabel.elliott@westsidehabcenter.com,(318) 442-6540,(318) 442-6541,6,1026
Intermediate Care Facility/Developmentally Delayed,Harvey Lavigne Community Home,24345 Harvey Lavigne Rd.,PONCHATOULA,LA,70454,TANGIPAHOA,40052 N. HOOVER ROAD,PONCHATOULA,LA,70454,1/19/17,1/31/22,Charmaine  Jones,brandon.dufreche@evergreenls.org,(985) 542-2148,(985) 542-2147,9,2203783039
Intermediate Care Facility/Developmentally Delayed,Hayes Community Home,3811 Lisa Street ,ALEXANDRIA,LA,71302,RAPIDES,P. O. BOX 7917,ALEXANDRIA,LA,71306,8/25/08,8/31/21,Isabel  Elliott,administrator@westsidehabcenter.com,(318) 767-6563,(318) 767-6564,6,1040
Intermediate Care Facility/Developmentally Delayed,Hazel St. Group Home,1144 North Hazel St. ,SULPHUR,LA,70663,CALCASIEU,3220 2ND AVE.,LAKE CHARLES,LA,70601,11/18/94,10/31/21,Jennifer  Vath,rhonda.allen@rescare.com,(337) 478-2299,(337) 474-0802,5,455
Intermediate Care Facility/Developmentally Delayed,Helen''''s House,44333 Easy Street ,HAMMOND,LA,70401,TANGIPAHOA,219 EAST THOMAS STREET,HAMMOND,LA,70401,9/29/88,8/31/21,LATWANDA  WHEAT,latwanda-mccoy1@att.net,(985) 542-5022,(985) 662-3662,9,538
Intermediate Care Facility/Developmentally Delayed,Helena Group Home,2644 Helena Street ,KENNER,LA,70062,JEFFERSON,2121 38TH STREET,KENNER,LA,70065,5/27/86,8/31/21,Roukayatou  Ousseyni,rouky@ddmsla.com,(504) 513-3159,(504) 405-5487,1,2203784089
Intermediate Care Facility/Developmentally Delayed,Heyman Lane Community Home,307 Heyman Lane ,ALEXANDRIA,LA,71301,RAPIDES,920 MAIN STREET ,PINEVILLE,LA,71360,5/11/88,1/31/22,Doug  Ryland,devans@evergreenls.org,(318) 445-7878,(318) 445-6503,6,518
Intermediate Care Facility/Developmentally Delayed,Holy Angels Residential Facility,10450 Ellerbe Road ,SHREVEPORT,LA,71106,CADDO,10450 ELLERBE ROAD ,SHREVEPORT,LA,71106,9/16/82,1/31/22,MS Laurie  Boswell,tkennedy@laholyangels.org,(318) 797-8500,(318) 797-0801,7,124
Intermediate Care Facility/Developmentally Delayed,Hooper Road Community Home,11257 Hooper Road ,BATON ROUGE,LA,70818,EAST BATON ROUGE,40052 N HOOVER ROAD,PONCHATOULA,LA,70454,5/14/99,4/30/22,Charmaine  Jones,brandon.dufreche@evergreenls.org,(225) 262-7979,(225) 262-7979,2,866
Intermediate Care Facility/Developmentally Delayed,Howell House,24646 Walker South Road ,DENHAM SPRINGS,LA,70726,LIVINGSTON,P.O. BOX 970 ,DENHAM SPRINGS,LA,70727,3/30/87,11/30/21,LaResa  Teekel,howellhouse@live.com,(225) 665-3406,(225) 667-2199,9,194
Intermediate Care Facility/Developmentally Delayed,Hoyte Drive Community Home,2709 Hoyte Drive ,SHREVEPORT,LA,71101,CADDO,351 JORDAN STREET ,SHREVEPORT,LA,71101,10/8/87,3/31/22,Kristen  Powers,crobinson@thearccaddobossier.org,(318) 688-6769,(318) 459-2914,7,493
Intermediate Care Facility/Developmentally Delayed,Humphries House Community Home,4607 Wendover,ALEXANDRIA,LA,71301,RAPIDES,P.O. BOX 3477,PINEVILLE,LA,71361,3/31/16,3/31/22,Kara  Bertrand,kara@pecangrovetrainingcenter.net,(318) 448-0291,(318) 448-8099,6,2203782701
Intermediate Care Facility/Developmentally Delayed,HWY 22 - West Group Home,20098 Hwy 22,PONCHATOULA,LA,70454,TANGIPAHOA,40052 N. HOOVER ROAD,PONCHATOULA,LA,70454,6/3/17,6/30/21,charmaine  jones,brandon.dufreche@evergreenls.org,(985) 386-2360,(985) 386-2360,9,2203782811
Intermediate Care Facility/Developmentally Delayed,Hwy 22-East Community Home,21147 Hwy 22,PONCHATOULA,LA,70454,TANGIPAHOA,40052 N. HOOVER ROAD,PONCHATOULA,LA,70454,1/12/17,1/31/22,Charmaine  Jones,brandon.dufreche@evergreenls.org,(985) 386-2257,(985) 386-2258,9,2203783035
Intermediate Care Facility/Developmentally Delayed,Iberian Group Home,2618 Old Jeanerette Road ,NEW IBERIA,LA,70560,IBERIA,"103 EXCHANGE PLACE, SUITE 100",LAFAYETTE,LA,70503,9/4/84,2/28/22,Jennifer  Simon,jennifer.simon@rescare.com,(337) 233-2731,(337) 235-5273,4,395
Intermediate Care Facility/Developmentally Delayed,Iberville Community Home,3228 Iberville Street ,NEW ORLEANS,LA,70119,ORLEANS,P. O. BOX 640009,KENNER,LA,70064,1/11/89,8/31/21,"Ifeanyi  Okpalobi, Jr.",anioma1@bellsouth.net,(504) 245-7991,(504) 324-0409,1,2203783859
Intermediate Care Facility/Developmentally Delayed,Iberville Group Home,4174 Iberville Street ,NEW ORLEANS,LA,70119,ORLEANS,4152 CANAL STREET,NEW ORLEANS,LA,70119,10/1/99,2/28/22,Omegia  Lee,olee@voasela.org,(504) 836-8717,(504) 836-8717,1,2203780106
Intermediate Care Facility/Developmentally Delayed,Idaho Community Home,4312 Idaho Avenue ,KENNER,LA,70065,JEFFERSON,2121 38TH STREET,KENNER,LA,70065,1/30/84,8/31/21,Roukayatou  Ousseyni,rouky@ddmsla.com,(504) 513-3159,(504) 405-5487,1,2203784090
