Facility Address,Facility ID,Facility Name,Administrator,Telephone,Type,County Name,Facility has Secured Bed?,address,fac_city,fac_st,fac_zip,Facility Email,Open Date,Owner Address,Owner Category,Owner Company,Owner Phone,Cert Beds,Licensed Beds,securebeds
"378 S PEARL ST ELIZABETH, CO 80107",23D458,PINE RIDGE TERRACE MANOR LLC,Mr ALEXANDER LAGASCA,7203989787,ASSISTED LIVING RESIDENCE,ELBERT,No,378 S PEARL ST,ELIZABETH,CO,80107,altris1001@gmail.com,10/30/17,"378 S. PEARL ST. ELIZABETH, CO 80107", LIMITED LIABIL,PINE RIDGE TERRACE MANOR,720-673-6172,4,8,0
"1425 DEBBI CIRCLE PARKER, CO 80138",23040Q,COUNTRY HOME,Ms LINDA MELBARDIS,3038401986,ASSISTED LIVING RESIDENCE,ELBERT,No,1425 DEBBI CIRCLE,PARKER,CO,80138,lmelbardis@yahoo.com,3/24/97,"1425 DEBBI CIRCLE PARKER, CO 80138", LIMITED LIABIL,COUNTRY HOME ASSISTED LIVING LLC,303-840-1986,8,8,0
"375 W 24TH ST RIFLE, CO 81650",2308EI,CHATEAU AT RIFLE,Ms STACEY HUNT,9706254343,ASSISTED LIVING RESIDENCE,GARFIELD,No,375 W 24TH ST,RIFLE,CO,81650,,7/8/99,"2720 SUNNYSIDE ROAD MONTROSE, CO 81401", LIMITED LIABIL,"TCO RIFLE,LLC",719-373-0185,30,32,0
"6952 S LAMAR STREET LITTLETON, CO 80128",23M595,COLORADO ASSISTED LIVING HOMES LLC-LAMAR,Mr JAMES PALIN,3039042506,ASSISTED LIVING RESIDENCE,JEFFERSON,No,6952 S LAMAR STREET,LITTLETON,CO,80128,twkinrade@msn.com,9/3/02,"6638 W. OTTAWA AVE. LITTLETON, CO 80128", LIMITED LIABIL,"COLORADO ASSISTED LIVING HOMES, LLC",,6,6,0
"5984 W ROWLAND PL LITTLETON, CO 80128",23U705,COLORADO ASSISTED LIVING HOMES LLC HOUSE 7,Ms TAMMY LITTLEFIELD,3039481628,ASSISTED LIVING RESIDENCE,JEFFERSON,No,5984 W ROWLAND PL,LITTLETON,CO,80128,twkinrade@msn.com,10/11/05,"6638 W. OTTAWA AVE. LITTLETON, CO 80128", LIMITED LIABIL,"COLORADO ASSISTED LIVING HOMES, LLC",,7,7,0
"1169 JOHNSON STREET LAKEWOOD, CO 80215",23Z833,OUR FAMILY CARE HOME ASSISTED LIVING LLC,Ms SHERI FERNANDEZ,3035873909,ASSISTED LIVING RESIDENCE,JEFFERSON,No,1169 JOHNSON STREET,LAKEWOOD,CO,80215,,10/7/03,"1169 JOHNSON ST LAKEWOOD, CO 80215", LIMITED LIABIL,OUR FAMILY CARE HOME ASSISTED LIVING LLC,303-587-3909,8,8,0
"11503 W BERRY PLACE LITTLETON, CO 80127",2.30E+06,HELPING HANDS HOMECARE LTD LIABILITY CO,Mr ADEBAYO AKISANYA,3039726466,ASSISTED LIVING RESIDENCE,JEFFERSON,No,11503 W BERRY PLACE,LITTLETON,CO,80127,omoobabeyu53@yahoo.com,4/23/90,"11503 W. BERRY PL. LITTLETON, CO 80127", LIMITED LIABIL,HELPING HANDS HOMECARE LTD LIABILITY CO.,303-972-6466,8,8,0
"11541 W TEMPLE AVE LITTLETON, CO 80127",2304I7,BRIGHT SUN ASSISTED LIVING LLC,Ms SYENNY JENE,3039334807,ASSISTED LIVING RESIDENCE,JEFFERSON,No,11541 W TEMPLE AVE,LITTLETON,CO,80127,,11/6/91,"11541 W TEMPLE AVE LITTLETON, CO 80127", LIMITED LIABIL,BRIGHT SUN ASSISTED LIVING LLC,720-936-5399,8,8,0
"11965 W BRANDT PL LITTLETON, CO 80127",23Q272,COLORADO ASSISTED LIVING HOMES - BRANDT,Ms TAMMY LITTLEFIELD,3039484873,ASSISTED LIVING RESIDENCE,JEFFERSON,No,11965 W BRANDT PL,LITTLETON,CO,80127,,12/16/06,"6638 W. OTTAWA AVE. LITTLETON, CO 80128", LIMITED LIABIL,CALHOMES-BRANDT LLC,,8,8,0
"3113 TELLER STREET WHEAT RIDGE, CO 80033",230414,TENDER CARE ASSISTED LIVING LLC,Mr JUSTIN WILEY,3032332808,ASSISTED LIVING RESIDENCE,JEFFERSON,No,3113 TELLER STREET,WHEAT RIDGE,CO,80033,,2/10/89,"3113 TELLER STREET WHEAT RIDGE, CO 80033", LIMITED LIABIL,TENDER CARE ASSISTED LIVING LLC,303-233-2808,8,8,0
"3880 DOVER ST WHEAT RIDGE, CO 80033",2304A9,YOUR SECOND HOME LLC,Ms KAYLA RIVERA,3034241266,ASSISTED LIVING RESIDENCE,JEFFERSON,No,3880 DOVER ST,WHEAT RIDGE,CO,80033,julieannwolfe01@gmail.com,10/26/88,"385 S CHEROKEE ST STE N216 DENVER, CO 80223", LIMITED LIABIL,YOUR SECOND HOME LLC,518-882-8383,8,8,0
"3225 S REED COURT LAKEWOOD, CO 80227",2304KB,FLOURISH SUPPORTIVE LIVING AT REED, MARISA DURAN (OLSON),3038036977,ASSISTED LIVING RESIDENCE,JEFFERSON,No,3225 S REED COURT,LAKEWOOD,CO,80227,tdeshano@cqlhomes.com,9/1/98,"2437 W 36TH AVE DENVER, CO 80211", LIMITED LIABIL,DESHANO CARE CENTERS LLC,720-601-1404,9,9,0
"1975 OWENS COURT LAKEWOOD, CO 80215",23C879,FLOURISH SUPPORTIVE LIVING AT OWENS, MARISA DURAN (OLSON),3038036977,ASSISTED LIVING RESIDENCE,JEFFERSON,No,1975 OWENS COURT,LAKEWOOD,CO,80215,tdeshano@cqlhomes.com,7/5/05,"2437 W 36TH AVE DENVER, CO 80211", LIMITED LIABIL,DESHANO CARE CENTERS LLC,720-601-1404,9,9,0
"1069 S TELLER ST LAKEWOOD, CO 80226",23Q702,TCAL 2 LLC,Mr JUSTIN WILEY,3036676890,ASSISTED LIVING RESIDENCE,JEFFERSON,No,1069 S TELLER ST,LAKEWOOD,CO,80226,,6/9/15,"3408 S PATTON WAY DENVER, CO 80236", LIMITED LIABIL,TCAL 2 LLC,303-667-6890,10,10,0
"6419 W MEXICO AVENUE LAKEWOOD, CO 80232",23S685,TCAL 2 LLC,Mr JUSTIN WILEY,3036676890,ASSISTED LIVING RESIDENCE,JEFFERSON,No,6419 W MEXICO AVENUE,LAKEWOOD,CO,80232,,5/11/12,"3408 S PATTON WAY DENVER, CO 80236", LIMITED LIABIL,TCAL 2 LLC,303-667-6890,10,10,0
"1030 JAY STREET LAKEWOOD, CO 80214",23F112,ASPEN CARES ASSISTED LIVING LLC,Ms LEEANNE FAULKNER,3033599990,ASSISTED LIVING RESIDENCE,JEFFERSON,No,1030 JAY STREET,LAKEWOOD,CO,80214,leeannefaulkner17@gmail.com,1/11/11,"6937 SOUTH POPLAR WAY CENTENNIAL, CO 80112", LIMITED LIABIL,ASPEN CARES ASSISTED LIVING LLC,303-359-9990,10,12,0
"7465 W 69TH PL ARVADA, CO 80003",23043K,MANTO HOMES LLC,Ms BREE JACKSON,3034316575,ASSISTED LIVING RESIDENCE,JEFFERSON,No,7465 W 69TH PL,ARVADA,CO,80003,,7/17/95,"3166 FRONTIER AVE BROOMFIELD, CO 80020", LIMITED LIABIL,MANTO HOMES LLC,303-489-3225,12,12,0
"2121 WADSWORTH BLVD LAKEWOOD, CO 80214",230406,GARDENS CARE HOMESTEAD,Ms JENNIFER CONRAD,3034216539,ASSISTED LIVING RESIDENCE,JEFFERSON,No,2121 WADSWORTH BLVD,LAKEWOOD,CO,80214,,4/30/99,"12650 W 64TH AVE E172 ARVADA, CO 80004", LIMITED LIABIL,"GARDENS CARE HOMES LLC, THE",303-566-1085,16,49,0
"9160 W 64TH AVENUE ARVADA, CO 80004",2304C7,"OBERON HOUSE, THE",Mr GREGG DIRKS,3034207258,ASSISTED LIVING RESIDENCE,JEFFERSON,No,9160 W 64TH AVENUE,ARVADA,CO,80004,g.dirks@comcast.net,6/19/89,"9160 W 64TH AVE ARVADA, CO 80004", LIMITED LIABIL,WESTCARE LLC,303-420-7258,25,66,0
"9495 W 49TH AVE WHEAT RIDGE, CO 80033",2304RB,VERANDAS ASSISTED LVG AT WHEAT RIDGE,Ms VERLA WRIGHT,3034256328,ASSISTED LIVING RESIDENCE,JEFFERSON,No,9495 W 49TH AVE,WHEAT RIDGE,CO,80033,,11/2/99,"PO BOX 3492 LOGAN, UT 84323", LIMITED LIABIL,VERANDA'S COLORADO SENIOR LIVING LEASING LLC,435-753-7297,32,32,0
"3315 SHERIDAN BLVD WHEAT RIDGE, CO 80212",23O618,RETREAT AT HIGHLANDS THE,Ms PRISCILLA SANCHEZ,3034620934,ASSISTED LIVING RESIDENCE,JEFFERSON,No,3315 SHERIDAN BLVD,WHEAT RIDGE,CO,80212,cparenteau@scoptions.com; psanchezrn@outlook.com,12/6/04,"13759 MADISON ST THORNON, CO 80602", LIMITED LIABIL,WHEAT RIDGE ASSISTED LIVING CORP,720-732-3297,38,46,0
"31383 FROST WAY EVERGREEN, CO 80439",23R962,AUGUSTANA ELK RUN ASSISTED LIVING,Mr DANIEL KIPP,3036798777,ASSISTED LIVING RESIDENCE,JEFFERSON,No,31383 FROST WAY,EVERGREEN,CO,80439,,8/16/02,"7171 OLMS LANE EDINA, MN 55439", LIMITED LIABIL,"AUGUSTANA ELK RUN, LLC",952-955-5000,68,68,0
"233 S 9TH ST BURLINGTON, CO 80807",2301PN,"LEGACY AT BURLINGTON, THE",Ms KRISTY FRIHAUF,7193467403,ASSISTED LIVING RESIDENCE,KIT CARSON,No,233 S 9TH ST,BURLINGTON,CO,80807,assisted@plains.net,7/17/97,"PO BOX 3598 CLEVELAND, TN 37320", LIMITED LIABIL,"BURLINGTON ASSISTED LIVING, LLC",423-336-6744,10,24,0
"25 SUNSHINE COURT DURANGO, CO 81301",2312W2,SUNSHINE GARDENS WEST ASSISTED LIVING, SRILANKA COTONUTS,9703854090,ASSISTED LIVING RESIDENCE,LA PLATA,No,25 SUNSHINE COURT,DURANGO,CO,81301,,6/29/98,"206 S BROADWAY SUITE 460 ROCHESTER, MN 55904", LIMITED LIABIL,SUNSHINE GARDENS WEST LLC,507-361-3490,13,70,0
"2115 EAGLE DR LOVELAND, CO 80537",230344,LOVELAND HOUSE ASSISTED LIVING,Ms PATRICIA STROZZI,9706632223,ASSISTED LIVING RESIDENCE,LARIMER,No,2115 EAGLE DR,LOVELAND,CO,80537,pstrozzi59@peoplepc.com 970-667-7511,1/30/90,"2115 EAGLE DRIVE LOVELAND, CO 80537", LIMITED LIABIL,LOVELAND HOUSE,970-663-2223,8,8,0
"1422 W 29TH ST LOVELAND, CO 80538",2303BK,LAKEVIEW COMMONS LLC,Ms JANEL BAILY,9702784000,ASSISTED LIVING RESIDENCE,LARIMER,No,1422 W 29TH ST,LOVELAND,CO,80538,janel.baily@columbinehealth.com,6/13/00,"802 W DRAKE RD, SUITE 101 FORT COLLINS, CO 80526", LIMITED LIABIL,"LAKEVIEW COMMONS, LLC",970-482-0198,15,54,0
"605 CALIFORNIA AVE LOVELAND, CO 80537",230369,"COURTYARD OF LOVELAND, THE",Ms JEAN MENDEZ,9706673342,ASSISTED LIVING RESIDENCE,LARIMER,No,605 CALIFORNIA AVE,LOVELAND,CO,80537,Jean.Mendez@courtyardofloveland.com,1/1/89,"5975 W TWAIN AVE LAS VEGAS, NV 89103", LIMITED LIABIL,THE COURTYARD OF LOVELAND LEASING LLC,909-241-0964,40,44,0
"1000 E STUART ST FORT COLLINS, CO 80525",230320,GARDEN SQUARE AT SPRING CREEK,Ms TANYA ORR,9704943253,ASSISTED LIVING RESIDENCE,LARIMER,No,1000 E STUART ST,FORT COLLINS,CO,80525,,7/28/86,"8601 DUNWOODY PLACE, SUITE 775 SANDY SPRINGS, GA 30350", LIMITED LIABIL,SSC FORT COLLINS SPRING CREEK OPERATING CO LLC,770-829-5100,62,62,0
"33 LEGACY LANE TRINIDAD, CO 81082",23Z790,"LEGACY AT TRINIDAD, THE",Ms GEORGETTE SANTISTEVAN,7198468662,ASSISTED LIVING RESIDENCE,LAS ANIMAS,No,33 LEGACY LANE,TRINIDAD,CO,81082,trinidad@hhmsi.com,7/30/08,"2415 MULLINS AVENUE SUITE 8 ALAMOSA, CO 81101", LIMITED LIABIL,TRINIDAD ASSISTED LIVING LLC,719-846-8662,14,28,0
"323 SEVENTH STREET HUGO, CO 80821",2301FB,LINCOLN PARK LIVING CENTER,Ms JESSICA BORNS,7197432421,ASSISTED LIVING RESIDENCE,LINCOLN,No,323 SEVENTH STREET,HUGO,CO,80821,jweeks@lchnh.com,12/21/98,, LIMITED LIABIL,LINCOLN COMMUNITY HOSPITAL LINCOLN PARK LIVING CTR,,10,12,0
"604 JAY DR STERLING, CO 80751",2301FP,"HARMONY HOMES LLC, THE",Ms PATRICIA RUHAAK,9705227335,ASSISTED LIVING RESIDENCE,LOGAN,No,604 JAY DR,STERLING,CO,80751,,7/30/99,"P.O. BOX 1794 STERLING, CO 80751", LIMITED LIABIL,"HARMONY HOME, LLC, THE",970-554-1484,10,10,0
"1330 N SIDNEY AVE STERLING, CO 80751",230106,DEVONSHIRE ACRES,Ms ELICIA LAMBERT,9705224888,ASSISTED LIVING RESIDENCE,LOGAN,No,1330 N SIDNEY AVE,STERLING,CO,80751,,2/6/87,"1330 NORTH SIDNEY AVENUE STERLING, CO 80751", LIMITED LIABIL,CHANCELLOR HEALTH CARE OF COLORADO LLC,970-522-4888,15,24,0
"476 GUNNISON WAY GRAND JUNCTION, CO 81504",2311A0,ASPEN MEADOWS ASSISTED LIVING LLC,Mr BRENDON RAVENS,9704337385,ASSISTED LIVING RESIDENCE,MESA,No,476 GUNNISON WAY,GRAND JUNCTION,CO,81504,,9/28/98,"476 GUNNISON WAY GRAND JUNCTION, CO 81504", LIMITED LIABIL,ASPEN MEADOWS ASSISTED LIVING LLC,970-433-7385,8,8,0
"2194 MCKINLEY DRIVE GRAND JUNCTION, CO 81507",230238,MONUMENT ASSISTED LIVING CARE CENTER LLC,Ms CERA SWEET,9702416562,ASSISTED LIVING RESIDENCE,MESA,No,2194 MCKINLEY DRIVE,GRAND JUNCTION,CO,81507,,3/21/03,"216 DENVER AVE DEBEQUE, CO 81630", LIMITED LIABIL,MONUMENT ASSISTED LIVING CARE CENTER LLC,970-216-9872,8,8,0
"405 W MAYFIELD DR GRAND JUNCTION, CO 81507",23118Q,PILGRIM HOUSE ASSISTED LIVING LLC,Mr BLAKE WOODMAN,9702558345,ASSISTED LIVING RESIDENCE,MESA,No,405 W MAYFIELD DR,GRAND JUNCTION,CO,81507,,8/29/97,"405 WEST MAYFIELD DRIVE GRAND JUNCTION, CO 81521", LIMITED LIABIL,PILGRIM HOUSE ASSISTED LIVING LLC,970-255-8345,9,9,0
"174 EDLUN RD GRAND JUNCTION, CO 81503",23111U,FAMILY CARE ASSISTED LIVING LLC,Mr SAM LEM HEAN,9702416379,ASSISTED LIVING RESIDENCE,MESA,No,174 EDLUN RD,GRAND JUNCTION,CO,81503,samhan@msn.com,2/3/00,"476 GUNNISON WAY GRAND JUNCTION, CO 81504", LIMITED LIABIL,FAMILY CARE ASSISTED LIVING LLC,970-434-8240,10,10,0
"3452 F ROAD CLIFTON, CO 81520",231123,PEACHTREE ASSISTED LIVING LLC #2,Ms ROBERTA ORIBELLO,9704347062,ASSISTED LIVING RESIDENCE,MESA,No,3452 F ROAD,CLIFTON,CO,81520,ptacc1@aol.com,,"P.O. BOX 118 GRAND JUNCTION, CO 81502", LIMITED LIABIL,PEACHTREE ASSISTED LIVING LLC,970-434-7062,15,15,0
"3450 F ROAD CLIFTON, CO 81520",231117,PEACHTREE ASSISTED LIVING LLC #1,Mr RONNIE ORIBELLO,9704347062,ASSISTED LIVING RESIDENCE,MESA,No,3450 F ROAD,CLIFTON,CO,81520,ptacc1@aol.com,10/17/95,"P.O. BOX 118 GRAND JUNCTION, CO 81502", LIMITED LIABIL,PEACHTREE ASSISTED LIVING LLC,970-434-7062,15,16,0
"3291 LOMBARDY LANE CLIFTON, CO 81520",23G929,HIGH DESERT ASSISTED LIVING-HOUSE 2 LLC,Mr ROGER IRVIN,9704343888,ASSISTED LIVING RESIDENCE,MESA,No,3291 LOMBARDY LANE,CLIFTON,CO,81520,highdesertal@gmail.com,3/25/11,"3291 LOMBARDY LANE CLIFTON, CO 81520", LIMITED LIABIL,HIGH DESERT ASSISTED LIVING - HOUSE 2 LLC,970-640-7371,16,16,0
"3293 LOMBARDY LANE CLIFTON, CO 81520",23U321,HIGH DESERT ASSISTED LIVING-HOUSE 1 LLC,Mrs TAMMY IRVIN,9704347036,ASSISTED LIVING RESIDENCE,MESA,No,3293 LOMBARDY LANE,CLIFTON,CO,81520,,10/18/10,"3293 LOMBARDY LANE CLIFTON, CO 81520", LIMITED LIABIL,HIGH DESERT ASSISTED LIVING LLC,970-640-7371,16,16,0
"2897 ORCHARD AVENUE GRAND JUNCTION, CO 81501",231118,BOOKCLIFF MANOR ASSISTED LIVING,Mr BRUCE BURROUGHS,9702450788,ASSISTED LIVING RESIDENCE,MESA,No,2897 ORCHARD AVENUE,GRAND JUNCTION,CO,81501,baburrough@aol.com,11/28/86,"433 NORTH 25TH STREET GRAND JUNCTION, CO 81501", LIMITED LIABIL,L.L.B. -- L.L.C.,970-243-1503,25,25,0
"2680 N 15TH STREET GRAND JUNCTION, CO 81506",231132,GRAND VILLA,Ms VALEREE SEIFERD,9702618739,ASSISTED LIVING RESIDENCE,MESA,No,2680 N 15TH STREET,GRAND JUNCTION,CO,81506,vseiferd@ba.org,3/26/91,"15475 GLENEAGLE DRIVE COLORADO SPRINGS, CO 80921", LIMITED LIABIL,"BETHESDA GARDENS GRAND JUNCTION, LLC",719-481-0100,55,64,0
"103 N 18TH STREET DOLORES, CO 81323",231214,GOLDEN YEARS RETIREMENT HOME II,Ms JESSICA HEACOCK,9708827438,ASSISTED LIVING RESIDENCE,MONTEZUMA,No,103 N 18TH STREET,DOLORES,CO,81323,goldenyearsreturementhomeII@gmail.com,12/27/88,"103 N 18TH ST DOLORES, CO 81323", LIMITED LIABIL,T&H LLC,970-882-7438,16,16,0
"2720 SUNNYSIDE RD MONTROSE, CO 81401",2311S4,HEIDI'S CHATEAU,Ms CECELIA CHAVEZ,9702528228,ASSISTED LIVING RESIDENCE,MONTROSE,No,2720 SUNNYSIDE RD,MONTROSE,CO,81401,,11/24/99,"2720 SUNNYSIDE RD MONTROSE, CO 81401", LIMITED LIABIL,"TCO MONTROSE,LLC",719-373-0185,30,30,0
"428 WESTERN AVE BRUSH, CO 80723",2301IS,ALADDIN AT BRUSH THE,Ms COURTNEY CONNER,9708425463,ASSISTED LIVING RESIDENCE,MORGAN,No,428 WESTERN AVE,BRUSH,CO,80723,garnold@drivemgmt.com,11/16/99,"5975 W TWAIN AVE LAS VEGAS, NV 89103", LIMITED LIABIL,MADISON SENIOR LIVING MANAGEMENT LLC,909-241-0964,6,15,0
"1640 E RIVERVIEW AVENUE FORT MORGAN, CO 80701",2301SC,"HARMONY HOME LLC, THE",Ms KENDALL RUBOTTOM,9708675336,ASSISTED LIVING RESIDENCE,MORGAN,No,1640 E RIVERVIEW AVENUE,FORT MORGAN,CO,80701,,3/31/00,"P.O. BOX 1794 STERLING, CO 80751", LIMITED LIABIL,"HARMONY HOME, LLC, THE",970-554-1484,11,11,0
"1620 E RIVERVIEW AVENUE FORT MORGAN, CO 80701",2301CF,"HARMONY HOME LLC, THE",Ms KENDALL RUBOTTOM,9708675336,ASSISTED LIVING RESIDENCE,MORGAN,No,1620 E RIVERVIEW AVENUE,FORT MORGAN,CO,80701,,3/4/00,"P.O. BOX 1794 STERLING, CO 80751", LIMITED LIABIL,"HARMONY HOME, LLC, THE",970-554-1484,12,12,0
"909 W 10TH STREET LA JUNTA, CO 81050",23028D,EVERGREEN GARDENS AT LA JUNTA,Ms JESSICA AXTELL,7193849333,ASSISTED LIVING RESIDENCE,OTERO,No,909 W 10TH STREET,LA JUNTA,CO,81050,burlington@hhmsi.com,8/10/98,"2415 MULLINS AVENUE SUITE 8 ALAMOSA, CO 81101", LIMITED LIABIL,"LA JUNTA LTC INVESTORS, LLC",719-589-2063,35,49,0
"816 S INTEROCEAN AVE HOLYOKE, CO 80734",23R455,CARRIAGE HOUSE ASSISTED LIVING,Ms JULIE KOTCH,9708545180,ASSISTED LIVING RESIDENCE,PHILLIPS,No,816 S INTEROCEAN AVE,HOLYOKE,CO,80734,,10/13/00,"12136 W BAYAUD AVE, #200 LAKEWOOD, CO 80228", LIMITED LIABIL,RED OAK REHABILITATION AND CARE COMMUNITY LLC,303-238-3838,32,32,0
"650 KENDALL DR LAMAR, CO 81052",23029P,"LEGACY AT LAMAR, THE",Ms BARBARA LONG,7193367004,ASSISTED LIVING RESIDENCE,PROWERS,No,650 KENDALL DR,LAMAR,CO,81052,,9/18/97,"PO BOX 3598 CLEVELAND, TN 37320", LIMITED LIABIL,"LAMAR ASSISTED LIVING, LLC.",719-336-7004,15,24,0
"523 WEST COKEDALE DRIVE PUEBLO WEST, CO 81007",23D457,"TAMMY AND MARTYS COZY ADULT CARE HOME II, LLC",Mr JOHN REDMOND,7195661189,ASSISTED LIVING RESIDENCE,PUEBLO,No,523 WEST COKEDALE DRIVE,PUEBLO WEST,CO,81007,rmtammy1006@msn.com,7/27/05,"1820 BRIMMER PUEBLO, CO 81005", LIMITED LIABIL,TAMMY AND MARTY'S COZY ADULT CARE HOME,719-566-1189,8,15,0
"972 S PURCELL BLVD PUEBLO, CO 81001",23E471,OASIS HOUSE,Ms LINDA DRAAYERS,7192178850,ASSISTED LIVING RESIDENCE,PUEBLO,No,972 S PURCELL BLVD,PUEBLO,CO,81001,,8/1/13,"6243 SOARING DR COLORADO SPRINGS, CO 80918", LIMITED LIABIL,BRAINCARE LLC,719-272-4246,10,10,0
"134 LAMAR AVENUE PUEBLO, CO 81004",230659,SHALOM HOME CARE LLC,Ms MELANY WONG,7195422715,ASSISTED LIVING RESIDENCE,PUEBLO,No,134 LAMAR AVENUE,PUEBLO,CO,81004,shalomhomecare@comcast.net,12/28/90,"134 LAMAR AVENUE PUEBLO, CO 81004", LIMITED LIABIL,SHALOM HOME CARE,720-635-4734,12,12,0
"1724 SPRUCE STREET PUEBLO, CO 81004",230662,EDDIE'S HOUSE LLC,Ms ROZELLE CAWTHORN,7203011369,ASSISTED LIVING RESIDENCE,PUEBLO,No,1724 SPRUCE STREET,PUEBLO,CO,81004,,,"1580 S SALIDAY WAY AURORA, CO 80017", LIMITED LIABIL,TRIPLE RRR,720-301-1369,14,14,0
"3777 PARKER BLVD PUEBLO, CO 81008",23M203,NORTH POINTE GARDENS,Ms DEBBIE ADAME,7195456222,ASSISTED LIVING RESIDENCE,PUEBLO,No,3777 PARKER BLVD,PUEBLO,CO,81008,krisprado1@gmail.com,2/10/03,"3777 PARKER BLVD PUEBLO, CO 81008", LIMITED LIABIL,"ACCOLADE LIVING CENTERS, LLC",719-671-6691,64,64,0
"960 E SAXONY DRIVE PUEBLO WEST, CO 81007",23Z781,PUEBLO WEST GARDENS ASSISTED LIVING,Mr JOSEPH GRADY,7199248624,ASSISTED LIVING RESIDENCE,PUEBLO,No,960 E SAXONY DRIVE,PUEBLO WEST,CO,81007,,3/2/10,"960 E SAXONY DRIVE PUEBLO, CO 81007", LIMITED LIABIL,PUEBLO WEST GARDENS LLC,719-924-8624,65,65,0
"100 CHICO CAMINO MONTE VISTA, CO 81144",2310NW,"LEGACY AT MONTE VISTA, THE",Ms CAROLYN DAVID,7198525179,ASSISTED LIVING RESIDENCE,RIO GRANDE,No,100 CHICO CAMINO,MONTE VISTA,CO,81144,rcdavid@bresnan.net,4/23/97,"490 BOB RIDGE ROAD ROACH, MO 65787", LIMITED LIABIL,"MONTE VISTA INVESTORS, LLC",423-596-0169,18,36,0
"15 SOUTH ASH KEENESBURG, CO 80643",2303VE,ALADDIN AT KEENESBURG THE,Ms SANDRA CONNER,3037324856,ASSISTED LIVING RESIDENCE,WELD,No,15 SOUTH ASH,KEENESBURG,CO,80643,thealaddinalfals@msn.com,11/13/97,"5975 W TWAIN AVE LAS VEGAS, NV 89103", LIMITED LIABIL,MADISON SENIOR LIVING MANAGEMENT LLC,909-241-0964,14,16,0
"218 1/2 10TH STREET GREELEY, CO 80631",23Z395,"ASSISTED LIVING AT GREELEY, LLC",Ms MELANY WONG,9705156952,ASSISTED LIVING RESIDENCE,WELD,No,218 1/2 10TH STREET,GREELEY,CO,80631,,11/21/14,"218 1/2 10TH STREET GREELEY, CO 80631", LIMITED LIABIL,ASSISTED LIVING AT GREELEY LLC,720-635-4734,16,16,0
"600 W 10TH AVE YUMA, CO 80759",2301MN,"HARMONY HOME LLC, THE",Ms KENDALL RUBOTTOM,9708488444,ASSISTED LIVING RESIDENCE,YUMA,No,600 W 10TH AVE,YUMA,CO,80759,thh703@gmail.com,1/27/98,"P.O. BOX 1794 STERLING, CO 80751", LIMITED LIABIL,"HARMONY HOME, LLC, THE",970-554-1484,5,28,0
"225 N MARSHALL ST LAKEWOOD, CO 80226",2304A5,A CHANGE OF SEASONS ASSISTED LIVING LLC,Ms ADELE VIGIL,3032382588,ASSISTED LIVING RESIDENCE,JEFFERSON,Yes,225 N MARSHALL ST,LAKEWOOD,CO,80226,,4/1/92,"225 MARSHALL ST LAKEWOOD, CO 80226", LIMITED LIABIL,A CHANGE OF SEASONS ASSISTED LIVING LLC,303-238-2588,2,10,10
"610 JAY DR STERLING, CO 80751",2.30E+12,"HARMONY HOME LLC, THE",Ms PATRICIA RUHAAK,9705227335,ASSISTED LIVING RESIDENCE,LOGAN,Yes,610 JAY DR,STERLING,CO,80751,,11/1/97,"P.O. BOX 1794 STERLING, CO 80751", LIMITED LIABIL,"HARMONY HOME, LLC, THE",970-554-1484,10,10,10
"7120 S BROADWAY LITTLETON, CO 80122",23I151,ASSISTED LIVING ON BROADWAY,Ms IREN KASPIN,7203838083,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,7120 S BROADWAY,LITTLETON,CO,80122,info@aspenhillliving.com,10/21/14,"4076 S CARSON WAY AURORA, CO 80014", LIMITED LIABIL,KASKO LLC,303-748-7015,12,12,12
"11475 PEARL STREET NORTHGLENN, CO 80233",230430,NORTHGLENN HEIGHTS ASSISTED LIVING COMMUNITY,Ms SIMONE TURNER,3034520501,ASSISTED LIVING RESIDENCE,ADAMS,Yes,11475 PEARL STREET,NORTHGLENN,CO,80233,GINGER@MILESTONERETIREMENT.COM,8/27/86,"201 NE PARK PLAZA DRIVE SUITE 105 VANCOUVER, WA 98684", LIMITED LIABIL,LSREF GOLDEN OPS 26 (CO) LLC,360-882-4500,75,172,42
"2850 N ACADEMY BLVD COLORADO SPRINGS, CO 80917",2305S9,LARK SPRINGS,Mr MARK GREINER,7196370877,ASSISTED LIVING RESIDENCE,EL PASO,Yes,2850 N ACADEMY BLVD,COLORADO SPRINGS,CO,80917,,1/12/99,"3819 HAWK CREST ROAD ANN ARBOR, MI 48103", LIMITED LIABIL,AMERICAN EAGLE PALMER PARK LLC,734-418-9027,76,76,76
"1325 VANCE ST LAKEWOOD, CO 80214",23045K,"GRANVILLE ASSISTED LIVING CENTER, THE",Ms SARA JANE TAYLOR,3032744400,ASSISTED LIVING RESIDENCE,JEFFERSON,No,1325 VANCE ST,LAKEWOOD,CO,80214,,2/18/98,"521 MADISON STREET DENVER, CO 80206", PARTNERSHIP,"GRANVILLE LTD, THE",303-748-0717,120,120,0
