Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal,Date Accessed
Independence Village Of Avon Lake,OHL40041,2361R,4409307100,alepp@independencevillages.com,345 LEAR ROAD,Avon Lake,OH,44012,Lorain,128,"SENIOR LIVING AVON LAKE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Apple Ridge The,OHL42142,2835R,2344000555,kim@innatappleridge.com,3308 BRECKSVILE ROAD,Richfield,OH,44286,Summit,111,"THE INN AT APPLE RIDGE MANAGEMENT CO., LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Ashland Woods The,OHL42266,2892R,4192894700,michelle@innatappleridge.com,1050 DAUCH DRIVE,Ashland,OH,44805,Ashland,81,"THE INN AT ASHLAND WOODS MANAGEMENT CO., LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Bear Trail The,OHL41960,2745R,7408793181,carriem@olentangytrail.com,8199 MONROE DRIVE,Lewis Center,OH,43035,Delaware,132,"THE INN AT BEAR TRAIL MANAGEMENT CO., LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Belden Village The,OHL02951,2317R,3304930096,ngammill@theinnatbeldenvillage.com,3927 38TH STREET NW,Canton,OH,44718,Stark,116,"CATHEDRAL ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Christine Valley The,OHL00435,2281R,3307992275,adickinson@briarfield.net,3150 SOUTH SCHENLEY,Youngstown,OH,44511,Mahoning,55,SCHENLEY MANAGEMENT INC.,RESIDENTIAL CARE FACILITY,6/29/21
Inn At Coal Ridge The,OHL41633,2609R,3303341546,tammi@innatcoalridge.com,1300 COAL RIDGE PARKWAY,Wadsworth,OH,44281,Medina,133,"THE INN AT COAL RIDGE MANAGEMENT CO., LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Fountain Park The,OHL40172,2410R,4196339191,kgreear@pslgroupllc.com,1433 NORTH MAIN STREET,Bryan,OH,43506,Williams,66,PREMIER OPERATING OHIO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Inn At Glenellen The,OHL00421,2254R,3305499661,njablonski@briarfield.net,9661 MARKET STREET,North Lima,OH,44452,Mahoning,136,"MARKET STREET ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Ironwood The,OHL41641,2611R,3307265790,mwatkins@briarfield.net,6699 IRONWOOD BOULEVARD,Canfield,OH,44406,Mahoning,75,"IRONWOOD ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Northwood Village The,OHL41768,2661R,2348014041,amy@innatnorthwoodvillage.com,5799 NORTH WOOSTER AVENUE,Dover,OH,44622,Tuscarawas,124,"THE INN AT NORTHWOOD VILLAGE MANAGEMENT CO., LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Olentangy Trail The,OHL41519,2584R,7404179287,carriem@olentangytrail.com,36 CORDUROY ROAD,Delaware,OH,43015,Delaware,120,"THE INN AT OLENTANGY TRAIL MANAGEMENT COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Orchard Park The,OHL40320,2430R,4195626080,vhale@pslgroupllc.com,500 WEDGEWOOD COURT,Bucyrus,OH,44820,Crawford,50,PREMIER OPERATING OHIO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Inn At Poland Way The,OHL41974,2751R,3307573600,lkelty@briarfield.net,6501 POLAND WAY,Poland,OH,44514,Mahoning,120,"POLAND WAY ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Summit Trail The,OHL42029,2777R,7409194977,tiffany@innatsummittrail.com,8115 SUMMIT ROAD,Reynoldsburg,OH,43068,Licking,146,"THE INN AT SUMMIT TRAIL MANAGEMENT CO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At The Pines The,OHL40962,2500R,4408340260,director@pinesalf.com,18122 CLARIDON TROY ROAD,Hiram,OH,44234,Geauga,42,"THE PINES ALF, INC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At The Pines The,OHL42165,2848R,4408340260,director@pinesalf.com,18144 CLAIRDON TROY ROAD,Hiram,OH,44234,Geauga,16,"THE PINES ALF, INC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At University Village The,OHL41227,2545R,3308373000,amyj@innatuniversityvillage.com,2650 OHIO STATE DRIVE,Massillon,OH,44646,Stark,128,"INN AT UNIVERSITY VILLAGE MANAGEMENT CO, LLC THE",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Walker Mill The,OHL00358,1978R,3307588855,ereesejr@edmmgt.com,8060 SOUTH AVENUE,Boardman,OH,44512,Mahoning,65,"SOUTH AVENUE ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Inn At Walnut Trail, The",OHL42207,2869R,7409130132,ahowerton@innatwalnuttrail.com,100 N MILLER DRIVE,Sunbury,OH,43074,Delaware,137,"INN AT WALNUT TRAIL MANAGEMENT CO., LLC THE",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Westbrook The,OHL40098,2400R,4192091100,broush@pslgroupllc.com,101 WESTBROOK BLVD,Upper Sandusky,OH,43351,Wyandot,59,PREMIER OPERATING OHIO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Inn At Whitewood Village The,OHL41703,2633R,3304991399,chad@innatwhitewood.com,3146 WHITEWOOD STREET,North Canton,OH,44720,Stark,126,"THE INN AT WHITEWOOD VILLAGE MANAGEMENT CO., LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn At Winchester Trail The,OHL41875,2704R,6148296388,tiffany@winchestertrail.com,6401 WINCHESTER BLVD,Canal Winchester,OH,43110,Franklin,145,"THE INN AT WINCHESTER TRAIL MANAGEMENT CO., LLC",RESIDENTIAL CARE FACILITY,6/29/21
Inn Of Bel Air,OHL41996,2764R,3308213939,operations@brewsterparke.com,2380 CHERRY AVENUE,Alliance,OH,44601,Stark,16,"DAVID E. CHILDS, JR",RESIDENTIAL CARE FACILITY,6/29/21
Inniswood Village,OHL42110,2816R,6148396300,lroehrenbeck@nationalchurchresidences.org,1195 NORTH STREET,Westerville,OH,43081,Franklin,100,TRADITIONS AT WESTERVILLE,RESIDENTIAL CARE FACILITY,6/29/21
Ivy House Assisted Living,OHL00016,0080R,4403542131,amybileci@att.net,308 SOUTH STATE STREET,Painesville,OH,44077,Lake,35,"UNITED REST HOMES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Jenkins Care Community,OHL500130,1479R,7403842119,dnichols@jenkinscare.org,142 JENKINS MEMORIAL ROAD,Wellston,OH,45692,Jackson,50,"JACKSON COUNTY HEALTH FACILITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Jennings Assisted Living,OHL500002,0512R,2165812900,stephanie.morley@jenningsohio.org,10204 GRANGER ROAD,Garfield Heights,OH,44125,Cuyahoga,107,"JENNINGS OPERATING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Jennings At Brecksville,OHL42047,2785R,2165812900,sarah.barger@jenningsohio.org,8736 BRECKSVILLE ROAD,Brecksville,OH,44141,Cuyahoga,146,JENNINGS CENTER FOR OLDER ADULTS,RESIDENTIAL CARE FACILITY,6/29/21
Jennings At Notre Dame Village,OHL42136,2832R,4402799400,vivian.springer@jenningsohio.org,10910 PINE GROVE TRAIL,Chardon,OH,44024,Geauga,72,JENNINGS AT NOTRE DAME VILLAGE LLC,RESIDENTIAL CARE FACILITY,6/29/21
Judson Care Center,OHL500092,0339R,5136625880,shamilton@continuinghc.com,2373 HARRISON AVENUE,Cincinnati,OH,45211,Hamilton,40,"JUDSON CARE CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Judson Manor,OHL00071,2007R,2167912387,jjones@judsonsmartliving.org,1890 EAST 107TH STREET,Cleveland,OH,44106,Cuyahoga,30,JUDSON RETIREMENT COMMUNITY,RESIDENTIAL CARE FACILITY,6/29/21
Judson Palmer Home,OHL00671,0674R,4194229656,judsonpalmerhome@midohio.twcbc.com,2911 NORTH MAIN STREET,Findlay,OH,45840,Hancock,16,JUDSON PALMER HOME,RESIDENTIAL CARE FACILITY,6/29/21
Judson Retirement Community,OHL00030,0715R,2167912387,mkennedy@judsonsmartliving.org,2181 AMBLESIDE ROAD,Cleveland,OH,44106,Cuyahoga,132,JUDSON RETIREMENT COMMUNITY,RESIDENTIAL CARE FACILITY,6/29/21
Kemper House Highland Heights,OHL41780,2665R,4404610600,johnkemper@kempercompany.com,407 GOLFVIEW LANE,Cleveland,OH,44143,Cuyahoga,108,"KEMPER HOUSE HIGHLAND HEIGHTS OPERATING COMPANY, L",RESIDENTIAL CARE FACILITY,6/29/21
Kemper House Strongsville,OHL00409,2235R,4408461100,kmirolli@kemperhouse.com,10890 PROSPECT ROAD,Strongsville,OH,44136,Cuyahoga,104,KEMPER HOUSE - STRONGSVILLE,RESIDENTIAL CARE FACILITY,6/29/21
"Kemper House Worthington, Llc",OHL42192,2861R,6146818330,info@kemperhouseworthington.com,800 PROPRIETORS ROAD,Worthington,OH,43085,Franklin,94,"KEMPER HOUSE WORTHINGTON, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Kendal At Granville,OHL40278,2424R,7403210400,dhelman@kag.kendal.org,2158 COLUMBUS ROAD,Granville,OH,43023,Licking,31,KENDAL AT GRANVILLE,RESIDENTIAL CARE FACILITY,6/29/21
Kendal At Oberlin,OHL00073,2012R,4407759811,sterrell@kao.kendal.org,600 KENDAL DRIVE,Oberlin,OH,44074,Lorain,67,KENDAL AT OBERLIN,RESIDENTIAL CARE FACILITY,6/29/21
Kensington Place,OHL41784,2667R,6142525276,nstewart@lssnetworkofhope.org,1001 PARKVIEW BLVD,Columbus,OH,43219,Franklin,187,"KENSINGTON PLACE OPERATIONS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Kentridge Senior Living The,OHL40357,2435R,3306774040,bdriscoll@kentridgeseniorliving.com,5241 SUNNYBROOK ROAD,Kent,OH,44240,Portage,112,"GABLES OF KENTRIDGE TRS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Kenwood By Senior Star The,OHL41383,2567R,5135619300,sgibson@seniorstar.com,5445 KENWOOD ROAD,Cincinnati,OH,45227,Hamilton,100,"SENIOR STAR TENANT KENWOOD, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Kingsbury Place,OHL00843,2111R,4197826324,bellis@enlivant.com,245 WEST ROSEWOOD AVENUE,Defiance,OH,43512,Defiance,81,KINGSBURY AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Kingston Residence Of Marion,OHL01159,2077R,7403892311,kpetrock@kingstonhealthcare.com,464 JAMES WAY,Marion,OH,43302,Marion,146,"KINGSTON RESIDENCE OF MARION, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Kingston Residence Of Perrysburg,OHL00840,2102R,4198726200,kburnard@kingstonhealthcare.com,333 EAST BOUNDARY,Perrysburg,OH,43551,Wood,100,"KINGSTON RESIDENCE OF PERRYSBURG, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Kingston Residence Of Sylvania,OHL39950,2345R,4198244200,dferguson@kingstonhealthcare.com,4125 KING ROAD,Sylvania,OH,43560,Lucas,162,"KINGSTON RESIDENCE OF SYLVANIA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Kingston Residence Of Vermilion,OHL00877,2239R,4409672424,cjoseph@kingstonhealthcare.com,6010 WEST LAKE ROAD,Vermilion,OH,44089,Erie,86,"KINGSTON RESIDENCE OF VERMILION, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Knolls Of Oxford The,OHL32965,2394R,5135247980,tmcgowan@mkcommunities.org,6727 CONTRERAS RD,Oxford,OH,45056,Butler,56,LIFESPHERE,RESIDENTIAL CARE FACILITY,6/29/21
Lake View At Brookhaven,OHL01621,1701R,9378332133, tnick@brookhavenoh.org,ONE COUNTRY LANE,Brookville,OH,45309,Montgomery,100,"BROOKVILLE ENTERPRISES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Lakes Of Monclova The,OHL41684,2623R,4198663030,billie.gerding@lakesofmonclova.com,6935 MONCLOVA ROAD,Maumee,OH,43537,Lucas,78,TRILOGY HEALTHCARE OF LUCAS LLC,RESIDENTIAL CARE FACILITY,6/29/21
Lakes Of Sylvania The,OHL41994,2762R,4198246699,tyler.wehring@lakesofsylvania.com,5351 MITCHAW ROAD,Sylvania,OH,43560,Lucas,40,"TRILOGY HEALTHCARE OF SYLVANIA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Lakeside Assisted Living,OHL42154,2842R,4403335401,kelly@thenormandy.com,22441 LAKE ROAD,Rocky River,OH,44116,Cuyahoga,80,ORLEAN NORMANDY II LLC,RESIDENTIAL CARE FACILITY,6/29/21
"Lakewood Health Care Center, I",OHL00430,0506R,2162263858,caring@enniscourt.com,13315 DETROIT AVE,Lakewood,OH,44107,Cuyahoga,36,"LAKEWOOD HEALTH CARE CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Landing Of Canton The,OHL02949,2309R,3304775727,aschiller@northstarsl.com,4550 HILLS AND DALES ROAD NW,Canton,OH,44708,Stark,150,"HILLS SENIOR CARE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Landings Of Huber Heights,OHL41738,2647R,9372361800,lahh.adm@meridiansenior.com,6200 BELLEFONTAINE ROAD,Huber Heights,OH,45424,Montgomery,100,"ALCORE HUBER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Landings Of Oregon,OHL41837,2683R,4199732772,laor.adm@meridiansenior.com,3450 SEAMAN ROAD,Oregon,OH,43616,Lucas,100,"MH OREGON OPERATING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Landings Of Sidney,OHL41756,2655R,9374981818,lasy.adm@meridiansenior.com,1150 WEST RUSSELL ROAD,Sidney,OH,45365,Shelby,100,ALCORE SIDNEY LLC,RESIDENTIAL CARE FACILITY,6/29/21
Lantern Of Chagrin Valley,OHL41965,2747R,4405571186,kimsemple@lanternofchagrinvalley.com,5277 CHILLICOTHE ROAD,Chagrin Falls,OH,44022,Cuyahoga,66,"LANTERN OF CHAGRIN VALLEY, INC",RESIDENTIAL CARE FACILITY,6/29/21
Lantern Of Madison,OHL40115,2404R,4404282664,chostetler@lanternofsaybrook.com,2041 HUBBARD ROAD,Madison,OH,44057,Lake,97,"ORCUS SYSTEMS AND SOLUTIONS, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Lantern Of Saybrook,OHL41959,2744R,4402613100,kstepp@lanternofsaybrook.com,3720 NORTH RIDGE ROAD WEST,Ashtabula,OH,44004,Ashtabula,67,"LANTERN OF SAYBROOK, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Laurels Of Massillon The,OHL01472,2082R,3308309988,ssonego@laurelhealth.com,"2000 SHERMAN CIRCLE, N.E.",Massillon,OH,44646,Stark,10,"FAIRPORT ENTERPRISES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Laurelwood Senior Living,OHL01649,2032R,9374366155,jackie.coles@laurelwoodalf.com,3797 SUMMIT GLEN DRIVE,Dayton,OH,45449,Montgomery,135,"NIC 14 DAYTON LEASING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Legacy Assisted Living,OHL40355,2433R,9373720359, sthroop@nationalchurchresidences.org,695 WYCLIFFE DRIVE,Xenia,OH,45385,Greene,83,LEGACY VILLAGE,RESIDENTIAL CARE FACILITY,6/29/21
Legacy Assisted Living Community The,OHL42309,2914R,3303557000,hpolonus@thelegacyalc.com,8785 YOUNGSTOWN-KINGSVILLE ROAD,Farmdale,OH,44417,Trumbull,24,GUSTAVUS SENIOR CARE,RESIDENTIAL CARE FACILITY,6/29/21
Legacy At Forest Glen The,OHL41329,2556R,9373909913,michael.lacey@forestglenhc.com,2165 MONTEGO DRIVE,Springfield,OH,45503,Clark,30,"TRILOGY HEALTHCARE OPERATIONS OF SPRINGFIELD, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Legacy At Heritage Estates The,OHL41184,2541R,4194241808,katie.brown@theheritagehc.com,2801 GREENACRE DRIVE,Findlay,OH,45840,Hancock,30,"TRILOGY HEALTHCARE OF HANCOCK, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Legacy At Liberty Ridge, The",OHL42030,2778R,5133428889,john.dombrowski@legacyatlibertyridge.com,7200 HERITAGE SPRING DRIVE,West Chester,OH,45069,Butler,60,"LIBERTY RIDGE OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Legacy Place - Parma,OHL03229,1232R,4408297027,k.frankeberger@lhshealth.com,7377 RIDGE ROAD,Parma,OH,44129,Cuyahoga,100,"RIDGE-PLEASANT VALLEY, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Legacy Place - Twinsburg,OHL00412,2240R,3304056040,mlackey@chcccompanies.com,9928 VAIL DRIVE,Twinsburg,OH,44087,Summit,56,"TWINSBURG HEALTHCARE CENTER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Levy Gardens,OHL00382,2153R,3307463570,nhargate@jewishyoungstown.org,584 GRANADA AVENUE,Youngstown,OH,44505,Mahoning,30,"HERITAGE MANOR, JEWISH HOME FOR AGED",RESIDENTIAL CARE FACILITY,6/29/21
"Lexington Place Assisted Living, Llc",OHL42318,2917R,3303371730,ejfabian@gracewoodshc.com,2343 - 2345 LEXINGTON AVENUE,Salem,OH,44460,Columbiana,32,"LEXINGTON PLACE ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Liberty Arms Assisted Living Facility,OHL00414,2113R,3307592893,pahlswede@windsorhouseinc.com,1353 CHURCHILL - HUBBARD RD.,Youngstown,OH,44505,Mahoning,87,JOHN MASTERNICK,RESIDENTIAL CARE FACILITY,6/29/21
Liberty Residence Holdings Llc,OHL03216,2299R,3303363616,bevl@libertyresidence.com,1054 FREEDOM DRIVE,Wadsworth,OH,44281,Medina,70,"SENQUEST MANAGEMENT, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Liberty Village Senior Communities,OHL00990,2020R,7407734630,mike@abbingtononline.com,1839 WESTERN AVENUE,Chillicothe,OH,45601,Ross,43,"LIBERTY VILLAGE SENIOR COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
"Liberty Villas Of Lima, Inc",OHL00869,2203R,4193312273,lnickles@libertynursingcenters.com,2440 BATON ROUGE AVENUE,Lima,OH,45805,Allen,34,"LIBERTY VILLAS OF LIMA, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Light Of Hearts Villa,OHL00056,1917R,4402321991,breanne.cavileer@lightofheartsvilla.org,283 UNION STREET,Bedford,OH,44146,Cuyahoga,109,"LIGHT OF HEARTS VILLA, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Lincoln Park Manor,OHL01637,1915R,9372974300,smeyer@laurelhealth.com,694 ISAAC PRUGH WAY,Kettering,OH,45429,Montgomery,34,LINCOLN PARK ASSOCIATES II L.P.,RESIDENTIAL CARE FACILITY,6/29/21
Lindley Inn The,OHL01499,2237R,7407979701,jcash@chancellorhealth.com,9000 HOCKING HILLS DRIVE,The Plains,OH,45780,Athens,86,"ATHENS HEALTH PARTNERS, LTD.",RESIDENTIAL CARE FACILITY,6/29/21
Living Center At 10 Wilmington,OHL01642,1952R,9372531010,mbrooke@10wilmingtonplace.com,10 WILMINGTON AVENUE,Dayton,OH,45420,Montgomery,100,WILMINGTON MANAGEMENT COMPANY,RESIDENTIAL CARE FACILITY,6/29/21
Lochhaven,OHL00836,0314R,4192275450,admin@limach.com,1640 ALLENTOWN ROAD,Lima,OH,45805,Allen,100,"LIMA CONVALESCENT HOME FOUNDATION, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Lodge Retirement Community The,OHL01957,2231R,5135833291,tawnya@lodgeretirementcommunity.com,12050 MONTGOMERY ROAD,Cincinnati,OH,45249,Hamilton,70,"LOM MANAGEMENT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Loudonville Rest Home,OHL00017,0211R,4199944250,pattyt7@frontier.com,205 NORTH WATER STREET,Loudonville,OH,44842,Ashland,25,"LOUDONVILLE NURSING HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Luther House,OHL42249,2884R,4408710090,mnieberding@concordplace.org,2154 DOVER CENTER ROAD,Westlake,OH,44145,Cuyahoga,141,LUTHER HOUSE,RESIDENTIAL CARE FACILITY,6/29/21
Lutheran Home At Toledo Assisted Living,OHL03214,2285R,4197241414,cvoyles-baden@genacross.org,2519 SEAMAN STREET,Toledo,OH,43605,Lucas,66,"LUTHERAN HOMES SOCIETY, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Lutheran Village At Wolf Creek,OHL500088,2148R,4198612233,jkirkendall@genacross.org,2015 PERRYSBURG-HOLLAND ROAD,Holland,OH,43528,Lucas,100,"LUTHERAN HOMES SOCIETY, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Lutheran Village Of Ashland,OHL32943,2291R,4192818403,sbenner@lssnetworkofhope.org,330 DAVIS ROAD,Ashland,OH,44805,Ashland,60,"ASHLAND ASSISTED LIVING OPERATIONS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Madison House The,OHL01169,2134R,7408450145,krussell@chancellorhealth.com,351 KENY BOULEVARD,London,OH,43140,Madison,88,"MADISON HEALTH PARTNERS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Magnolia Springs Loveland,OHL42056,2789R,5137749000,huffkatie@lcsnet.com,767 LOVELAND MIAMIVILLE ROAD,Loveland,OH,45140,Clermont,135,"GRANDVIEW CARE, INC",RESIDENTIAL CARE FACILITY,6/29/21
Magnolia Terrace,OHL40014,2356R,4194623900,dkosikowski@alcoresenior.com,1110 NORTH MARKET STREET,Galion,OH,44833,Crawford,65,"GALION ASSISTED LIVING, LTD.",RESIDENTIAL CARE FACILITY,6/29/21
Majestic Care Fairfield Assisted Living,OHL40071,2366R,5136994600,ed.fnh@mcareohio.com,5251 DIXIE HIGHWAY,Fairfield,OH,45014,Butler,230,"FAIRFIELD PAVILION, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Majestic Care Middletown Assisted Living,OHL01606,0987R,5134245321,gm.mal@mcareohio.com,6898 HAMILTON-MIDDLETOWN ROAD,Middletown,OH,45042,Butler,140,"GARDEN MANOR EXTENDED CARE CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Mallard Cove,OHL01647,2008R,5137726655,jbrace@mallardcoveseniorliving.com,1410 MALLARD COVE DRIVE,Cincinnati,OH,45246,Hamilton,168,"MALLARD COVE SENIOR DEVELOPMENT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Mansfield Place,OHL00863,2177R,4197565599,lgrindle@enlivant.com,1841 MIDDLE BELLVILLE ROAD,Mansfield,OH,44904,Richland,60,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Maple Crest Of Mennonite Memorial Home,OHL00882,2255R,4193587654,dlee@mhcoliving.org,700 MAPLE CREST COURT,Bluffton,OH,45817,Allen,30,MENNONITE MEMORIAL HOME,RESIDENTIAL CARE FACILITY,6/29/21
Maple Knoll Village - Beecher Place,OHL01618,1623R,5137822787,lwestermeyer@mkcommuniites.org,11100 SPRINGFIELD PIKE,Cincinnati,OH,45246,Hamilton,508,LIFESPHERE,RESIDENTIAL CARE FACILITY,6/29/21
Maple Ridge Senior Living,OHL00427,2262R,4402698600,charris@mapleridgeseniorliving.com,35300 KAISER COURT,Willoughby,OH,44094,Lake,110,EIGHT PACK MANAGEMENT CORP.,RESIDENTIAL CARE FACILITY,6/29/21
Maplecrest Assisted Living,OHL00673,1158R,4195624988,maplecrestkds@yahoo.com,717 ROGERS STREET,Bucyrus,OH,44820,Crawford,24,"KING'S DAUGHTERS & SONS, OHIO BRANCH",RESIDENTIAL CARE FACILITY,6/29/21
Maplewood At Chardon,OHL00428,2264R,4402853300,chardoned@maplewoodsl.com,12350 BASS LAKE ROAD,Chardon,OH,44024,Geauga,140,"MAPLEWOOD AT HEATHER HILL, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Maplewood At Cuyahoga Falls,OHL41912,2722R,2342089871,cuyahogaed@maplewoodsl.com,190 WEST BATH ROAD,Cuyahoga Falls,OH,44223,Summit,84,"MAPLEWOOD AT BATH CREEK, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Maplewood At Twinsburg,OHL41956,2741R,3308407404,twinsburged@maplewoodsl.com,2463 SUSSEX BOULEVARD,Twinsburg,OH,44087,Summit,84,"MAPLEWOOD AT TWINSBURG, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Maplewood Of Shane'S Village,OHL01919,1492R,4193632620,imarkovits@divine-hc.com,10701 STATE ROUTE 118,Rockford,OH,45882,Mercer,30,"SHANE HILL REHABILITATION AND NURSING CENTER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Marian Living Center,OHL00393,2060R,3305492434,melessa_scattino@mercy.com,9800 MARKET STREET,North Lima,OH,44452,Mahoning,60,HUMILITY OF MARY HEALTH PARTNERS,RESIDENTIAL CARE FACILITY,6/29/21
Marjorie P Lee Retirement,OHL500091,0034R,5135335002,estambaugh@erslife.org,3550 SHAW AVENUE,Cincinnati,OH,45208,Hamilton,191,"EPISCOPAL RETIREMENT HOMES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Martha Manor Home,OHL01330,0083R,7402825623,marthamanor@sbcglobal.net,408 NORTH FIFTH STREET,Steubenville,OH,43952,Jefferson,22,MARTHA COCHRAN MCCONVILLE MEMORIAL,RESIDENTIAL CARE FACILITY,6/29/21
Marymount Place,OHL00397,2207R,2163321100,not available,5100 MARYMOUNT VILLAGE DR,Garfield Heights,OH,44125,Cuyahoga,104,VILLAGE AT MARYMOUNT,RESIDENTIAL CARE FACILITY,6/29/21
Mason Assisted Living & Memory Care,OHL42199,2864R,3038878656,edinnesen@spectrumretirement.com,5225 COX SMITH ROAD,Mason,OH,45040,Warren,174,"MASON OPERATOR, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Mason Health Care Center,OHL01913,0009R,5133982881,cdaasch@masonhcc.org,5640 COX-SMITH ROAD,Mason,OH,45040,Warren,10,MASON HEALTH CARE CENTER,RESIDENTIAL CARE FACILITY,6/29/21
Mayfair Village Retirement Community,OHL00970,1685R,6148896202,dmseltzer@centurypa.com,3011 HAYDEN ROAD,Columbus,OH,43235,Franklin,172,CONSOLIDATED RESOURCES HEALTH CARE FUND II – MAYFA,RESIDENTIAL CARE FACILITY,6/29/21
Mccrea Manor Nursing & Rehab Center,OHL01479,1804R,3308239005,troy.maldoven@hgohio.com,2040 MCCREA STREET,Alliance,OH,44601,Stark,16,THI OF COLUMBUS INC,RESIDENTIAL CARE FACILITY,6/29/21
Mcgregor Assisted Living,OHL42240,2879R,2168518112,magan.frame@mcgregoramasa.org,14850 PRIVATE DRIVE,East Cleveland,OH,44112,Cuyahoga,90,THE MCGREGOR FOUNDATION,RESIDENTIAL CARE FACILITY,6/29/21
Mcmullen Assisted Care,OHL41025,2513R,4199945405,john@mcmullencare.com,201 SCHOOL DRIVE,Loudonville,OH,44842,Ashland,16,"MCMULLEN ASSISTED CARE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
"Mcv - Health Care Facilities, Inc",OHL01644,1962R,5133981486,bob.slade@christianbenevolent.org,411 WESTERN ROW ROAD,Mason,OH,45040,Warren,214,"MCV-HEALTH CARE FACILITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
