Entity Name,Entity Type,Status,City,Address,Email,Renewal Cycle,Entity Type Renewal Cycle(months),Initial License Date,Expiration Date,Current License Date,Entity Type Survey Cycle(months),Medicaid #,CNN #,Classification #,Occupancy Type,Max Occupancy,County,State,Zip,Administrator / License,Phone,Fax,Url,Closed Date,Months since last survey,Accreditation,Accredited / Deemed,LSC Waiver,Licensure Rule Variance
Meadows Of Shell Rock,Assisted Living Programs,Active,Shell Rock,528 N Kelly St,,730,24,6/30/00,6/29/22,6/29/20,24,,,S0084,Units,60,Butler,Iowa,50670-1006,Christina Hubka / Administrator,(319) 885-4341,(319) 885-6595,,,34,FALSE,FALSE,FALSE,FALSE
Mediapolis Care Facility,Residential Care Facilities,Active,Mediapolis,142 North Orchard,cdschwartz22@hotmail.com,365,12,6/1/89,7/1/21,7/1/20,30,894931,,290360,Beds,30,Des Moines,Iowa,52637-0129,CONNIE SCHWARTZ /,(319) 394-3432,(319) 394-3732,,,18,FALSE,FALSE,FALSE,FALSE
Melrose Meadows Retirement Community,Assisted Living Programs,Active,Iowa City,350 Dublin Drive,,730,24,10/23/02,10/22/22,10/22/20,24,,,S0159,Beds,52,Johnson,Iowa,52246-6013,Jody Thomas / Administrator,(319) 341-7893,(319) 248-1183,,,30,FALSE,FALSE,FALSE,FALSE
Methodist Manor Retirement Community,Residential Care Facilities,Closed,Storm Lake,1206 West Fourth,manor@mmrcsl.org,365,12,2/10/61,2/10/05,2/11/04,30,890251,,110001,Beds,12,Buena Vista,Iowa,50588-0000,TERRY  PENNIMAN / 1229,(712) 732-1120,(712) 732-3406,,1/19/05,209,FALSE,FALSE,FALSE,FALSE
Mica Hill Estates,Assisted Living Programs,Active,Hawarden,2121 Ave L,,730,24,10/4/00,10/3/22,10/3/20,24,,,S0097,Units,28,Sioux,Iowa,51023-1361,Katrina  Bruner /,(712) 551-1074,(712) 551-2393,,,2,FALSE,FALSE,FALSE,FALSE
Mill Pond AL,Assisted Living Programs,Active,Ankeny,1201 SE Mill Pond Court,,730,24,1/31/19,1/30/23,1/30/21,24,,,S0399,Units,80,Polk,Iowa,50021,Alyson Garton /,(515) 965-3107,(515) 964-2758,,,2,FALSE,FALSE,FALSE,FALSE
Mills Harbour Independent & Assisted Living,Assisted Living Programs,Active,Lake Mills,311 South 10th Avenue E,,730,24,8/16/07,8/15/21,8/16/19,24,,,S0262,Units,70,Winnebago,Iowa,50450-1870,Krystal Thoe / Provisional Administrator,(641) 592-4900,(641) 592-3052,,,19,FALSE,FALSE,FALSE,FALSE
Milvern Guest Home #1,Residential Care Facilities,Closed,Waterloo,413 East First Street,,365,12,8/21/99,,,30,890194,,70606,Beds,6,Black Hawk,Iowa,50703-3501,MURIEL  STEVA / 746,(319) 234-1323,() -,,7/26/99,,FALSE,FALSE,FALSE,FALSE
Milvern Guest Home #2,Residential Care Facilities,Closed,Waterloo,407 East First Street,,365,12,11/12/01,,,30,890186,,70645,Beds,12,Black Hawk,Iowa,50703-3501,MURIEL  STEVA / 746,(319) 234-1323,() -,,9/25/01,249,FALSE,FALSE,FALSE,FALSE
Mitchell County Care Facility,Residential Care Facilities,Closed,Osage,3834 March Avenue,mtaets@countysocialservices.org,365,12,,3/23/18,3/23/17,30,896233,,660549,Beds,15,Mitchell,Iowa,50461-8372,MEGAN TAETS /,(641) 732-3145,(641) 732-3145,,7/1/17,54,FALSE,FALSE,FALSE,FALSE
MJ Estates,Assisted Living Programs,Active,Exira,411 S. Carthage Street,,730,24,4/13/17,4/12/23,4/12/21,24,,,S0364,Units,32,Audubon,Iowa,50076,Steve Fister /,(712) 268-5393,(712) 268-2614,,,17,FALSE,FALSE,FALSE,FALSE
Morningstar at Jordan Creek,Assisted Living Programs,Active,West Des Moines,525 S. 60th Street,,730,24,9/6/18,9/5/22,9/5/20,24,,,S0387,Units,93,Dallas,Iowa,50266,Paula Spidell /,(515) 505-7155,(515) 505-7929,,,8,FALSE,FALSE,FALSE,FALSE
Mosaic,Residential Care Facilities,Closed,Council Bluffs,600 Ninth Avenue,"mary.arndt@mosaicinfo.org; 
 jim.poehlman@mosaicinfo.org",365,12,8/1/02,8/1/16,8/2/15,30,893437,,780204,Beds,12,Pottawattamie,Iowa,51501-6469,MARY ARNDT /,(712) 328-3957,(712) 644-3501,http://www.mosaicinfo.org/,10/31/15,76,FALSE,FALSE,FALSE,FALSE
Mount Carmel Bluffs,Residential Care Facilities,Closed,Dubuque,1170 Carmel Drive,srentz@preshomes.org,365,12,3/1/21,3/1/22,3/1/21,30,,,310979,Beds,67,Dubuque,Iowa,52003,Sarah Rentz /,(563) 556-5474,(563) 588-1975,,3/30/21,,FALSE,FALSE,FALSE,FALSE
Mount Carmel Bluffs,Residential Care Facilities,Closed,Dubuque,1170 Carmel Drive,SRENTZ@PRESHOMES.ORG,365,12,3/1/21,3/1/22,3/1/21,30,,,310979,Units,67,Dubuque,Iowa,52003,SARAH RENTZ /,(563) 556-5474,(563) 588-1975,,3/31/21,,FALSE,FALSE,FALSE,FALSE
Mount Carmel Bluffs,Residential Care Facilities,Active,Dubuque,1170 Carmel Drive,sara.rentt@preshome.org,365,12,3/1/21,3/1/22,3/1/21,30,,,310979,Beds,67,Dubuque,Iowa,52003,Sarah Rentz /,(563) 556-5474,() -,,,,FALSE,FALSE,FALSE,FALSE
Mulberry Place,Assisted Living Programs,Active,Bloomfield,11 Deborah Drive,,730,24,9/18/01,9/17/21,9/18/19,24,,,S0123,Units,28,Davis,Iowa,52537-1174,Nancy Newman /,(641) 664-2523,(641) 664-2929,,,18,FALSE,FALSE,FALSE,FALSE
Murphy Place Assisted Living,Assisted Living Programs,Active,Corydon,620 East Monroe,,730,24,5/21/04,5/20/22,5/20/20,24,,,S0190,Units,20,Wayne,Iowa,50060-1620,Terry Thrasher /,(641) 872-3993,(641) 872-3116,,,29,FALSE,FALSE,FALSE,FALSE
New Hampton Group Home,Residential Care Facilities,Active,New Hampton,841 West Main Street,melissabollman@comprehensivesystems.org; lherman@comprehensivesystems.org,365,12,3/1/87,3/1/22,3/1/21,30,893966,,190367,Beds,12,Chickasaw,Iowa,50659-0000,LINDA HERMAN /,(641) 394-2670,() -,,,39,FALSE,FALSE,FALSE,FALSE
New Horizon Residential,Residential Care Facilities,Closed,Tipton,1033 Logan Avenue,NHR@IOWATELECOM.NET,365,12,,1/26/07,1/26/06,30,892133,,160012,Beds,15,Cedar,Iowa,52772-9410,LISA  VAN KLAVERN /,(563) 886-6675,(319) 886-1261,,6/28/06,185,FALSE,FALSE,FALSE,FALSE
Newton Village Inc.,Assisted Living Programs,Active,Newton,122 North 5th Avenue West,,730,24,10/1/19,9/30/21,10/1/19,24,,,S0416,Units,70,Jasper,Iowa,50208,Angela Adam /,(641) 792-0115,(641) 792-0226,,,18,FALSE,FALSE,FALSE,FALSE
Ninth Street Group Home,Residential Care Facilities,Active,Charles City,310 9th Street,"judyrust@comprehensivesystems.org; 
 melissabollman@comprehensivesystems.org",365,12,7/15/88,8/6/21,8/6/20,30,892844,,340957,Beds,12,Floyd,Iowa,50616-0457,JUDY RUST /,(641) 228-5785,() -,,,3,FALSE,FALSE,FALSE,FALSE
Noelridge Manor,Residential Care Facilities,Closed,Cedar Rapids,1010 Regent Street Ne,,365,12,6/1/87,,,30,894170,,570395,Beds,28,Linn,Iowa,52402-5730,SHERRI  HUNT / 1602,(319) 395-9502,() -,,9/1/98,,FALSE,FALSE,FALSE,FALSE
Northridge Village,Assisted Living Programs,Active,Ames,3300 George Washington Carver Avenue,,730,24,9/1/15,8/31/21,9/1/19,24,,,S0353,Units,68,Story,Iowa,50010,Gary  Darr /,(515) 232-1000,(855) 745-4846,,,16,FALSE,FALSE,FALSE,FALSE
Northside Court,Residential Care Facilities,Active,Hull,1111 Seventh Street,avanroek@hopehaven.org; kpatters@hopehaven.org; leanblau@hopehaven.org,365,12,3/1/83,3/1/22,3/1/21,30,893065,,840980,Beds,12,Sioux,Iowa,51239-0499,AMY VAN ROEKEL /,(712) 439-2261,(712) 476-5346,,,20,FALSE,FALSE,FALSE,FALSE
Northwood Pines,Assisted Living Programs,Active,Northwood,"700 10th Street, North",,730,24,3/31/08,3/30/22,3/30/20,24,,,S0271,Units,32,Worth,Iowa,50459-1004,Susan Nelson /,(641) 324-0061,(641) 324-0062,,,35,FALSE,FALSE,FALSE,FALSE
Oak Estates,Assisted Living Programs,Active,Conrad,110 Alice Street,,730,24,1/17/01,1/16/23,1/16/21,24,,,S0105,Units,32,Grundy,Iowa,50621-2019,Kara Butler /,(641) 366-3115,(641) 366-3100,,,25,FALSE,FALSE,FALSE,FALSE
Oak Park Place,Assisted Living Programs,Active,Dubuque,1381 Oak Park Place,,730,24,10/23/19,10/22/21,10/23/19,24,,,S0418,Units,84,Dubuque,Iowa,52002,Elizabeth Greene /,(563) 585-4900,(563) 582-6431,,,19,FALSE,FALSE,FALSE,FALSE
Oak Street Group Home,Residential Care Facilities,Active,Red Oak,100 Oak Street,wdavies@nishna.org,365,12,1/1/89,1/1/22,1/1/21,30,894790,,690223,Beds,8,Montgomery,Iowa,51566-1431,WENDY DAVIES /,(712) 623-9767,(712) 623-4780,,,22,FALSE,FALSE,FALSE,FALSE
Oakhill Assisted Living,Assisted Living Programs,Active,Hawarden,1126 Oak Hill Drive,,730,24,12/8/00,12/7/22,12/7/20,24,,,S0102,Units,18,Sioux,Iowa,51023-1368,Jan Cain /,(712) 551-4284,(712) 551-4283,,,23,FALSE,FALSE,FALSE,FALSE
Oakland Heights,Assisted Living Programs,Active,Oakland,904 N Scenic Dr,,730,24,3/10/00,3/9/22,3/9/20,24,,,S0070,Units,24,Pottawattamie,Iowa,51560-4070,Doug Williams /,(712) 482-3566,(712) 482-3609,,,39,FALSE,FALSE,FALSE,FALSE
Oaks at Parkview Care Center,Assisted Living Programs,Active,Fairfield,2235 Hwy 34,,730,24,6/13/08,6/12/22,6/12/20,24,,,S0276,Units,32,Jefferson,Iowa,52556,Sarah Flattery / Director,(641) 472-5022,(641) 472-6483,,,33,FALSE,FALSE,FALSE,FALSE
Oakview Home,Residential Care Facilities,Closed,Conrad,511 East Center Street,shughes@mchsi.com,365,12,,3/16/13,3/16/12,30,,,380345,Beds,8,Grundy,Iowa,50621-0785,SHERRY   HUGHES / PROVISIONAL,(641) 366-2212,(641) 366-2063,,3/16/12,150,FALSE,FALSE,FALSE,FALSE
Oakwood Place at Ridgecrest Village,Assisted Living Programs,Active,Davenport,4130 Northwest Blvd.,,730,24,2/27/20,2/26/22,2/27/20,24,,,S0430,Units,90,Scott,Iowa,52806,Libby Dykema /,(563) 391-3430,(563) 823-3672,,,9,FALSE,FALSE,FALSE,FALSE
Odebolt Assisted Living,Assisted Living Programs,Active,Odebolt,799 South Des Moines,,730,24,2/7/07,2/6/23,2/6/21,24,,,S0250,Beds,12,Sac,Iowa,51458-1032,Marissa Edgar-Schwebach /,(712) 668-2224,(712) 668-2624,,,22,FALSE,FALSE,FALSE,FALSE
Odessa Residential Care Facility,Residential Care Facilities,Closed,Wapello,12635 County Road G56,odessaadmin@iowatelecom.net,365,12,1/1/97,1/1/07,1/1/06,30,896381,,580626,Beds,15,Louisa,Iowa,52653-9427,LINDA  BROCKERT /,(319) 523-8365,(319) 729-2040,,7/1/06,188,FALSE,FALSE,FALSE,FALSE
Oneota Village,Assisted Living Programs,Active,Decorah,5 Ohio Street,,730,24,2/7/05,2/6/23,2/6/21,24,,,S0206,Units,32,Winneshiek,Iowa,52101-1563,Lou Ann Wikan /,(563) 382-1869,(563) 382-1866,,,3,FALSE,FALSE,FALSE,FALSE
Orchard Hill Rescare,Residential Care Facilities,Closed,Washington,2175 Lexington Boulevard,dlueck@iowarescare.com,365,12,7/1/88,7/1/07,7/1/06,30,894618,,920517,Beds,30,Washington,Iowa,52353-0000,DEBRA  LUECK / QMRP,(319) 653-6571,(319) 653-6476,,2/7/07,178,FALSE,FALSE,FALSE,FALSE
Osage Group Home,Residential Care Facilities,Active,Osage,818 North Seventh Street,"melissabollman@comprehensivesystems.org; 
 michelewagner@comprehensivesystems.org",365,12,5/18/76,9/24/21,9/24/20,30,8906043,,660487,Beds,15,Mitchell,Iowa,50461-0000,MICHELE WAGNER /,(641) 732-5507,(641) 732-5106,,,35,FALSE,FALSE,FALSE,FALSE
Oskaloosa Care Center,Residential Care Facilities,Closed,Oskaloosa,412 North A,,365,12,,,,30,892653,,620170,Beds,0,Mahaska,Iowa,52577-2152,BERNADINE  PADGETT /,(641) 673-7572,() -,,9/1/98,,FALSE,FALSE,FALSE,FALSE
Otsego Place,Assisted Living Programs,Active,Storm Lake,520 Otsego Street,,730,24,12/4/03,12/3/21,12/4/19,24,,,S0184,Units,84,Buena Vista,Iowa,50588-1760,Debbie  Klatt /,(712) 299-4750,(712) 213-1147,,,18,FALSE,FALSE,FALSE,FALSE
Ottumwa Residential Home,Residential Care Facilities,Closed,Ottumwa,1021 Hackberry,,365,12,,,,30,892810,,900954,Beds,0,Wapello,Iowa,52501-0000,BETTY  HOWDESHELL /,(641) 682-2608,() -,,9/2/98,,FALSE,FALSE,FALSE,FALSE
Palmer House,Residential Care Facilities,Active,Emmetsburg,1501 Palmer Street,"katesimonson@horizons-unlimited.net; 
 ronaskland@horizons-unlimited.net",365,12,4/1/91,4/1/22,4/1/21,30,,,740209,Beds,8,Palo Alto,Iowa,50536-1852,KATIE SIMONSON /,(712) 852-4722,(712) 852-4800,,,16,FALSE,FALSE,FALSE,FALSE
Panora AL,Assisted Living Programs,Active,Panora,807 East Main Street,,730,24,4/5/07,4/14/21,4/15/19,24,,,S0255,Units,13,Guthrie,Iowa,50216-1017,Jana Cates /,(641) 755-2700,(641) 755-3547,,,25,FALSE,FALSE,FALSE,FALSE
Park Centre,Assisted Living Programs,Closed,Newton,500 1st Street North,,365,24,11/22/04,11/21/12,11/22/11,24,,,S0201,Units,32,Jasper,Iowa,50208-3119,Kelsey Terpstra /,(641) 791-5000,(641) 791-4522,,11/8/12,151,FALSE,FALSE,FALSE,FALSE
Park Centre,Residential Care Facilities,Closed,Newton,500 First Street North,jrau@wesleyservices.org,365,12,9/21/92,9/21/08,9/22/07,30,896423,,S0201,Beds,20,Jasper,Iowa,50208-3112,MARK TEIGLAND / 01505,(641) 791-5000,(641) 791-4522,,6/30/09,162,FALSE,FALSE,FALSE,FALSE
Park Centre,Assisted Living Programs,Active,Newton,500 1st Street North,,730,24,11/22/04,11/21/22,11/21/20,24,,,S0201,Beds,32,Jasper,Iowa,50208-3119,Kelsey Terpstra / 080435,(641) 791-5000,(641) 791-4522,,,1,FALSE,FALSE,FALSE,FALSE
Park Place Estates,Assisted Living Programs,Active,Lemars,900 Lincoln St Ne,,730,24,9/1/98,11/30/21,12/1/19,24,,,S0021,Units,60,Plymouth,Iowa,51031-3345,Sandra Reuter /,(712) 546-6793,(712) 546-8085,,,19,FALSE,FALSE,FALSE,FALSE
Park Place Independent & Assisted Living,Assisted Living Programs,Active,Sac City,551 Park Avenue,,730,24,8/26/08,8/25/22,8/25/20,24,,,S0281,Units,20,Sac,Iowa,50583,Kaylea  Killian /,(712) 662-6260,(712) 662-3393,,,3,FALSE,FALSE,FALSE,FALSE
Parkview Assisted Living,Assisted Living Programs,Active,Fairbank,114 Forest Street,,730,24,5/7/04,5/6/22,5/6/20,24,,,S0189,Units,36,Buchanan,Iowa,50629-7713,Tiffanie Michels / Administrator,(319) 635-2585,(319) 635-2177,,,34,FALSE,FALSE,FALSE,FALSE
Parkview Assisted Living,Assisted Living Programs,Active,Coon Rapids,210 Park Street,,730,24,6/5/08,6/5/22,6/5/20,24,,,S0274,Units,24,Carroll,Iowa,50058,Michael Ewalt /,(712) 999-0120,(712) 999-5669,,,31,FALSE,FALSE,FALSE,FALSE
Parkview Home,Residential Care Facilities,Active,Wayland,102 North Jackson Street,,365,12,,5/18/22,5/18/21,30,890640,,440318,Beds,18,Henry,Iowa,52654-0038,RON SEMLER /,(319) 256-3525,(319) 256-4022,,,2,FALSE,FALSE,FALSE,FALSE
Penn Center,Residential Care Facilities,Active,Delhi,2237 245th Street,,365,12,7/1/94,7/1/21,7/1/20,30,896209,,280422,Beds,60,Delaware,Iowa,52223-0273,ANGIE GUDENKAUF /,(563) 922-2881,(563) 922-2003,,,4,FALSE,FALSE,FALSE,FALSE
Pennington Square,Assisted Living Programs,Active,Monticello,502 Pinehaven Dr,,730,24,2/26/01,2/25/23,2/25/21,24,,,S0110,Units,48,Jones,Iowa,52310-2062,Leah Kremer /,(319) 465-2013,,,,25,FALSE,FALSE,FALSE,FALSE
Pennsylvania Place,Assisted Living Programs,Active,Ottumwa,One Pennsylvania Place,,730,24,11/18/19,11/17/21,11/18/19,24,,,S0421,Units,102,Wapello,Iowa,52501,Brenda Hostetler /,(641) 684-4000,(641) 684-4079,,,16,FALSE,FALSE,FALSE,FALSE
Perry Lutheran Home Al,Assisted Living Programs,Closed,Perry,2323 E Willis Ave,acregeen@perrylutheranhomes.org,365,24,3/7/00,3/14/20,3/15/19,24,,,S0068,Units,9,Dallas,Iowa,50220-2148,Amanda Creegen /,(515) 465-5342,(515) 465-5344,,9/30/19,39,FALSE,FALSE,FALSE,FALSE
Perry Lutheran Homes Eden Acres Campus,Assisted Living Programs,Active,Perry,1300 28th Street; Po Box 578,,730,24,1/20/15,1/20/23,1/20/21,24,,,S0346,Units,16,Dallas,Iowa,50220,MELISSA GANNON /,(515) 465-5316,(515) 465-4869,,,24,FALSE,FALSE,FALSE,FALSE
Perry Lutheran Homes Spring Valley Campus,Assisted Living Programs,Active,Perry,501 12th Street,,730,24,11/20/01,11/19/21,11/20/19,24,,,S0129,Units,77,Dallas,Iowa,50220-1913,Amanda Creegen /,(515) 465-7500,(515) 465-7509,,,20,FALSE,FALSE,FALSE,FALSE
Petersen Commons,Assisted Living Programs,Active,Davenport,1607 West 12th Street,,730,24,7/8/05,7/6/21,7/7/19,24,,,S0214,Units,102,Scott,Iowa,52804-4086,Kathleen Patrick /,(563) 323-3888,(563) 324-1373,,,23,FALSE,FALSE,FALSE,FALSE
Pheasant Ridge,Residential Care Facilities,Closed,Toledo,2840 K Avenue,brenda@genesisdevelopment.com,365,12,9/1/87,7/1/16,7/2/15,30,894188,,860419,Beds,15,Tama,Iowa,52342-9405,BRENDA LARKIN / ADMIN,(641) 484-3561,(641) 484-2225,,9/30/15,86,FALSE,FALSE,FALSE,FALSE
Pine Acres Assisted Living,Assisted Living Programs,Active,West Des Moines,1499 Office Park Rd,,730,24,8/10/99,1/6/22,1/7/20,24,,,S0056,Units,56,Polk,Iowa,50265-6500,Chris Anderson /,(515) 223-1224,(515) 223-8152,,,17,FALSE,FALSE,FALSE,FALSE
Pinicon Place,Residential Care Facilities,Active,Anamosa,1615 Breca Ridge Drive,rhinz@enlivant.com; legalhelp@enlivant.com,365,12,,7/31/21,7/31/20,30,,,530956,Beds,51,Jones,Iowa,52205-0000,ROBBIE HINZ /,(319) 462-3070,(319) 462-2103,,,20,FALSE,FALSE,FALSE,FALSE
Pinnacle Group Home Llc,Residential Care Facilities,Active,Muscatine,3500 Diana Queen Drive,Barbara@pinnaclegrouphomes.com,365,12,11/15/18,11/15/21,11/15/20,30,,,705289,Beds,6,Muscatine,Iowa,52761,Barbara Stalkfleet /,(563) 554-3250,(563) 265-0108,,,28,FALSE,FALSE,FALSE,FALSE
Pleasant Hill Residential,Residential Care Facilities,Active,Pleasant Hill,4755 Parkridge Avenue,"rlhemness@qwestoffice.net; 
 jmoorecare@mediacombb.net",365,12,12/1/12,1/1/22,1/1/21,30,,,772231,Beds,35,Polk,Iowa,50327,JILL MOORE /,(515) 777-3631,(515) 777-3633,,,27,FALSE,FALSE,FALSE,FALSE
Pleasant House,Residential Care Facilities,Active,Emmetsburg,1901 Pleasant Street,audreyhansen@horizons-unlimited.net; carlafirkins@horizons-unlimited.net,365,12,4/1/91,4/1/22,4/1/21,30,,,740273,Beds,8,Palo Alto,Iowa,50536-2261,AUDREY HANSEN /,(712) 852-4404,(712) 852-4800,,,16,FALSE,FALSE,FALSE,FALSE
Pleasant Place,Residential Care Facilities,Closed,Ottumwa,1419 East Second Street,,365,12,4/1/91,4/1/08,4/2/07,30,895532,,900166,Beds,6,Wapello,Iowa,52501-0000,SUE HELLER /,(641) 683-1158,() -,,8/13/07,167,FALSE,FALSE,FALSE,FALSE
Pleasant View Assisted Living,Assisted Living Programs,Active,Whiting,200 Shannon Dr,,730,24,7/19/02,7/18/22,7/18/20,24,,,S0149,Units,26,Monona,Iowa,51063-1021,Maureen Sharp / Administrator,(712) 458-2417,(712) 458-2179,,,3,FALSE,FALSE,FALSE,FALSE
Pleasantview Home Rcf,Residential Care Facilities,Closed,Kalona,811 Third Street,njedlicka@pvhome.org,365,12,,6/21/18,6/21/17,30,891515,,920280,Beds,20,Washington,Iowa,52247-0309,NICK JEDLICKA /,(319) 656-2421,(319) 656-2439,,10/23/17,67,FALSE,FALSE,FALSE,FALSE
Prairie Creek Assisted Living,Assisted Living Programs,Active,West Bend,301 4th Street NW,,730,24,5/30/03,5/29/23,5/29/21,24,,,S0173,Units,32,Palo Alto,Iowa,50597-5113,Peter Kleinsteuber /,(515) 887-4071,(515) 887-3973,,,21,FALSE,FALSE,FALSE,FALSE
Prairie Gate Assisted Living,Assisted Living Programs,Active,Council Bluffs,16 Valley View Drive,nurinko@preshomes.org,720,24,3/19/20,3/18/22,3/28/20,24,,,S0431,Units,48,Pottawattamie,Iowa,51503,Natasha Urinko /,(712) 352-6600,(712) 352-6666,,,5,FALSE,FALSE,FALSE,FALSE
Prairie Hills at Des Moines,Assisted Living Programs,Closed,Des Moines,5815 Se 27th Street,,720,24,10/1/19,9/30/20,10/11/18,24,,,S0417,Units,94,Polk,Iowa,50320,Kristine Toms /,(515) 256-9143,(515) 287-2945,,10/1/19,,FALSE,FALSE,FALSE,FALSE
Prairie Hills at Des Moines,Assisted Living Programs,Active,Des Moines,5815 SE 27th Street,,730,24,10/1/19,9/30/21,10/1/19,24,,,S0417,Units,94,Polk,Iowa,50320,Robin Bartalos /,(515) 256-9143,(515) 287-2945,,,18,FALSE,FALSE,FALSE,FALSE
Prairie Hills Senior Living,Assisted Living Programs,Active,Cedar Rapids,2903 F Avenue Nw,,730,24,6/20/08,6/19/22,6/19/20,24,,,S0277,Units,86,Linn,Iowa,52405,Cheri Schultz / Director,(319) 390-7700,(319) 390-3347,,,4,FALSE,FALSE,FALSE,FALSE
Prairie Park,Residential Care Facilities,Closed,Muscatine,1810 Houser Street,nnauman@iowarescare.com,365,12,5/1/01,5/1/06,5/1/05,30,896571,,700148,Beds,30,Muscatine,Iowa,52761-2297,NANCY  NAUMAN /,(563) 263-5585,(563) 263-8610,,4/26/06,194,FALSE,FALSE,FALSE,FALSE
Prairie View,Residential Care Facilities,Active,Fayette,18569 Lane Road,,365,12,7/30/86,7/30/21,7/30/20,30,893800,,330278,Beds,10,Fayette,Iowa,52142-9525,Laura Peyton /,(563) 422-5606,(563) 422-5607,,,1,FALSE,FALSE,FALSE,FALSE
Prairie View Inn,Assisted Living Programs,Active,Sanborn,610 N. Eastern Street,,730,24,4/1/99,3/31/22,3/31/20,24,,,S0039,Units,26,O'Brien,Iowa,51248-1089,Wendy Nelson /,(712) 930-3228,(712) 729-5152,,,38,FALSE,FALSE,FALSE,FALSE
Prairie Vista Village,Assisted Living Programs,Active,Altoona,2785 1st Avenue South,,730,24,6/18/14,6/17/22,6/17/20,24,,,S0342,Units,68,Polk,Iowa,50009,Timothy Jordison /,(515) 967-8700,(515) 967-6824,,,28,FALSE,FALSE,FALSE,FALSE
Premier Suites,Assisted Living Programs,Closed,Mt Pleasant,701 E Mapleleaf Dr,,365,24,4/10/00,,,24,,,S0073,Beds,12,Henry,Iowa,52641-0000,N  N /,(319) 385-1400,(319) 385-2385,,7/27/05,,FALSE,FALSE,FALSE,FALSE
Pride Group @ 12th Street,Residential Care Facilities,Active,Lemars,200 12th Street Se,jennifer@thepridegroup.org,365,12,2/29/88,2/28/22,2/28/21,30,894485,,750040,Beds,8,Plymouth,Iowa,51031-2503,JENNIFER ROWHER /,(712) 546-6570,(712) 546-6589,,,30,FALSE,FALSE,FALSE,FALSE
Pride Group @ 6th Avenue,Residential Care Facilities,Active,Lemars,115 6th Avenue S.w.,jennifer@thepridegroup.org,365,12,10/3/16,10/3/21,10/3/20,30,,,750560,Beds,7,Plymouth,Iowa,51031,JENNIFER ROWHER /,(712) 541-6028,() -,,,6,FALSE,FALSE,FALSE,FALSE
Pride Group @ Division Street,Residential Care Facilities,Closed,Sioux City,4038 Division Street,terry@thepridegroup.org,365,12,9/9/12,9/9/15,9/9/14,30,,,970163,Beds,10,Woodbury,Iowa,51104,TERRY STECKER / PROVISIONAL,(712) 239-7214,(712) 239-7231,,10/1/15,85,FALSE,FALSE,FALSE,FALSE
Pride Group @ Lincoln Street,Residential Care Facilities,Active,LeMars,1240 Lincoln Street NE,,365,12,,6/27/22,6/27/21,30,893735,,750562,Beds,43,Plymouth,Iowa,51031-3319,BARBARA LANGE /,(712) 546-6529,(712) 546-6574,,,25,FALSE,FALSE,FALSE,FALSE
Pride Group @ Okoboji,Residential Care Facilities,Closed,Okoboji,2273 170th Street,"tresak@thepridegroup.org; 
 reneek@thepridegroup.org",365,12,10/1/88,10/1/17,10/1/16,30,894733,,300271,Beds,38,Dickinson,Iowa,51355-0000,TRESA KNOFF /,(712) 332-2134,(712) 332-2783,,6/1/17,68,FALSE,FALSE,FALSE,FALSE
Pride Group @ Primghar,Residential Care Facilities,Active,Primghar,6059 390th Street,jennifer@thepridegroup.org,365,12,12/24/01,12/24/21,12/24/20,30,893701,,710257,Beds,34,O'Brien,Iowa,51245-0000,JENNIFER ROWHER /,(712) 757-6375,(712) 757-8201,,,15,FALSE,FALSE,FALSE,FALSE
Prime Assisted Living,Assisted Living Programs,Active,Lemars,108 1st Avenue NW,,730,24,9/30/04,9/30/22,9/30/20,24,,,S0197,Units,54,Plymouth,Iowa,51031-3542,Jean Stevens / Director,(712) 548-5488,(712) 546-6299,,,25,FALSE,FALSE,FALSE,FALSE
Prime Assisted Living,Assisted Living Programs,Active,Sioux City,725 Pearl Street,,730,24,10/27/06,10/26/22,10/26/20,24,,,S0245,Units,120,Woodbury,Iowa,51101-1014,Jean Stevens /,(712) 226-6300,(712) 226-6361,,,31,FALSE,FALSE,FALSE,FALSE
Primrose Retirement Community,Assisted Living Programs,Active,Council Bluffs,1801 East Kanesville Blvd.,,730,24,6/4/08,6/3/22,6/3/20,24,,,S0273,Units,64,Pottawattamie,Iowa,51503,Tiffany Eggett /,(712) 352-1111,(712) 352-0145,,,7,FALSE,FALSE,FALSE,FALSE
Proffitts Residential Care Facility,Residential Care Facilities,Closed,Centerville,615 West Washington Street,cdproffitt@iowatelecom.net,365,12,6/9/76,6/9/18,6/9/17,30,890145,,40542,Beds,10,Appanoose,Iowa,52544-1623,MARY (CATHY) PROFFITT /,(641) 856-8344,(641) 437-4161,,6/9/18,59,FALSE,FALSE,FALSE,FALSE
Ramsey Village,Residential Care Facilities,Active,Des Moines,1611 27th Street,laura.coco@ramseyvillage.org,365,12,,1/1/22,1/1/21,30,891218,,770308,Beds,41,Polk,Iowa,50310-5499,LAURA COCO /,(515) 274-3612,(515) 274-8004,,,18,FALSE,FALSE,FALSE,FALSE
Redwood Court,Residential Care Facilities,Active,Rock Valley,1705 19th Street,avanroek@hopehaven.org; kpatters@hopehaven.org; leanblau@hopehaven.org,365,12,3/1/83,3/1/22,3/1/21,30,893073,,840979,Beds,12,Sioux,Iowa,51247-1017,AMY VAN ROEKEL /,(712) 476-2629,(712) 476-5346,,,20,FALSE,FALSE,FALSE,FALSE
