Facility Name,State Facility Type 1 Literal,License Number,State Facility Type 2 Literal,Address,State,County,Phone Number,Capacity,Date Accessed
"Shiny Stars Home Care Ii, Llc",RESIDENTIAL FACILITY FOR GROUPS,8602-AGC-4,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1032 SILVER CREEK LAS VEGAS NV 89183,NV,Clark,725-777-3812,4,6/29/21
Sierra Manor Care Home,RESIDENTIAL FACILITY FOR GROUPS,7414-AGC-11,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",327 RIVER FLOW DRIVE RENO NV 89523,NV,Washoe,775-787-7960,8,6/29/21
Sierra Place Retirement Community,RESIDENTIAL FACILITY FOR GROUPS,370-AGC-39,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS",1111 W COLLEGE PARKWAY CARSON CITY NV 89703,NV,Carson City,425-408-9141,76,6/29/21
Silver Horizon Llc,RESIDENTIAL FACILITY FOR GROUPS,7381-AGC-12,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1900 ELIMINATOR DRIVE LAS VEGAS NV 89146,NV,Clark,702-463-3585,10,6/29/21
Silver Horizon-Hickam,RESIDENTIAL FACILITY FOR GROUPS,8243-AGC-7,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8280 HICKAM AVENUE LAS VEGAS NV 89129,NV,Clark,702-489-8352,10,6/29/21
Silver Sky Assisted Living,RESIDENTIAL FACILITY FOR GROUPS,4251-AGC-24,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8220 SILVER SKY DRIVE LAS VEGAS NV 89145,NV,Clark,702-835-9040,96,6/29/21
Silver Sky At Deer Springs Assisted Living,RESIDENTIAL FACILITY FOR GROUPS,6013-AGC-14,ASSISTED LIVING SERVICES,6741 N DECATUR BLVD BLDG #3 LAS VEGAS NV 89130,NV,Clark,702-462-7700,96,6/29/21
Silverado Ranch Memory Care,RESIDENTIAL FACILITY FOR GROUPS,9598-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",248 BARLETTA AVENUE LAS VEGAS NV 89123,NV,Clark,702-235-2584,10,6/29/21
Skyline Estates,RESIDENTIAL FACILITY FOR GROUPS,9346-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2907 N. MOUNTAIN ST. CARSON CITY NV 89703,NV,Carson City,775-885-9223,67,6/29/21
Skyline Estates,RESIDENTIAL FACILITY FOR GROUPS,9423-AGC-3,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2765 MOUNTAIN ST. CARSON CITY NV 89703,NV,Carson City,775-885-9223,30,6/29/21
Sofia'S Home,RESIDENTIAL FACILITY FOR GROUPS,8989-AGC-3,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2612 WABASH CIRCLE SPARKS NV 89434,NV,Washoe,775-200-3552,5,6/29/21
South Meadows Residential Care Home,RESIDENTIAL FACILITY FOR GROUPS,9975-AGC-1,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,13495 STONEY BROOK DR RENO NV 89511,NV,Washoe,775-685-3875,10,6/29/21
Spencer Luxury Care Lp,RESIDENTIAL FACILITY FOR GROUPS,4490-AGC-17,ALZHEIMER DISEASE,1951 PAPAGO LANE LAS VEGAS NV 89169,NV,Clark,702-433-3735,10,6/29/21
Spring Valley Alz Care Center,RESIDENTIAL FACILITY FOR GROUPS,3363-AGC-26,"ALZHEIMER DISEASE, CHRONIC ILLNESS",6428 CRYSTAL DEW DRIVE LAS VEGAS NV 89118,NV,Clark,702-277-8837,10,6/29/21
Spring Valley Alzheimers Care,RESIDENTIAL FACILITY FOR GROUPS,3729-AGC-18,ALZHEIMER DISEASE,5310 SHARON MARIE COURT LAS VEGAS NV 89118,NV,Clark,702-251-1978,8,6/29/21
Spruce Oak Residential Care Facility,RESIDENTIAL FACILITY FOR GROUPS,5954-AGC-17,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4618 SPRUCE OAK DR NORTH LAS VEGAS NV 89031,NV,Clark,702-462-2031,6,6/29/21
Src Southwest,RESIDENTIAL FACILITY FOR GROUPS,9733-AGC-1,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7864 APACHE CLIFF LAS VEGAS NV 89113,NV,Clark,702-325-5355,10,6/29/21
Star Horizons Group Home,RESIDENTIAL FACILITY FOR GROUPS,290-AGC-29,"CHRONIC ILLNESS, MENTAL ILLNESS",2122 WEBSTER ST NORTH LAS VEGAS NV 89030,NV,Clark,702-209-6627,7,6/29/21
Starlight Group Home,RESIDENTIAL FACILITY FOR GROUPS,9326-AGC-2,"ALZHEIMER DISEASE, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2301 EAST 9TH ST. RENO NV 89512,NV,Washoe,775-762-2162,9,6/29/21
Stepping Stone Apartments,RESIDENTIAL FACILITY FOR GROUPS,10017-AGC-1,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1405 SOUTH MOJAVE ROAD LAS VEGAS NV 89104,NV,Clark,702-259-1903,20,6/29/21
Sterling Ridge,RESIDENTIAL FACILITY FOR GROUPS,9768-AGC-1,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4255 SPENCER STREET LAS VEGAS NV 89119,NV,Clark,702-732-0652,95,6/29/21
Stone Valley Alzheimers Special Care Center,RESIDENTIAL FACILITY FOR GROUPS,7616-AGC-10,ALZHEIMER DISEASE,6155 STONE VALLEY DRIVE RENO NV 89523,NV,Washoe,775-746-2200,66,6/29/21
Summer Breeze Residential,RESIDENTIAL FACILITY FOR GROUPS,10192-AGC-0,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",185 EAST WINDMILL LANE LAS VEGAS NV 89123,NV,Clark,714-363-2060,10,6/29/21
Summerlin Retirement Home,RESIDENTIAL FACILITY FOR GROUPS,4140-AGC-18,ALZHEIMER DISEASE,309 LA RUE COURT LAS VEGAS NV 89145,NV,Clark,702-860-5118,10,6/29/21
"Summerlin Retirement Living, Llc",RESIDENTIAL FACILITY FOR GROUPS,8592-AGC-4,ALZHEIMER DISEASE,10128 SNOW CREST PLACE LAS VEGAS NV 89134,NV,Clark,702-984-0206,7,6/29/21
Summerlin Senior Living Llc,RESIDENTIAL FACILITY FOR GROUPS,9394-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",10376 STANBERRY AVE LAS VEGAS NV 89135,NV,Clark,702-417-9757,9,6/29/21
Summit Estates,RESIDENTIAL FACILITY FOR GROUPS,8476-AGC-4,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",222 EAST PATRIOT BLVD RENO NV 89511,NV,Washoe,775-434-1880,134,6/29/21
Summit Group Home,RESIDENTIAL FACILITY FOR GROUPS,9555-AGC-2,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1620 BYRD DR SPARKS NV 89431,NV,Washoe,775-247-4000,8,6/29/21
Summit Group Home,RESIDENTIAL FACILITY FOR GROUPS,10275-AGC-0,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9570 COMANCHE MOON DR RENO NV 89521,NV,Washoe,775-247-4000,8,6/29/21
Sunlit Terrace Group Home Ii,RESIDENTIAL FACILITY FOR GROUPS,10421-AGC-0,,2875 IRIDIUM COURT SPARKS NV 89436,NV,Washoe,775-560-3178,5,6/29/21
Sunrise Of Henderson,RESIDENTIAL FACILITY FOR GROUPS,4880-AGC-21,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES",1555 WEST HORIZON RIDGE PARKWAY HENDERSON NV 89012,NV,Clark,702-837-6582,105,6/29/21
Sunshine Care Home,RESIDENTIAL FACILITY FOR GROUPS,430-AGC-34,"CHRONIC ILLNESS, MENTAL ILLNESS",3970 MARYLAND AVE LAS VEGAS NV 89121,NV,Clark,702-914-9858,8,6/29/21
Sunshine Care Home Ii,RESIDENTIAL FACILITY FOR GROUPS,4787-AGC-20,"ALZHEIMER DISEASE, CHRONIC ILLNESS",3045 SOUTH TIOGA WAY LAS VEGAS NV 89117,NV,Clark,702-631-1551,10,6/29/21
Sunshine Valley Elder Care,RESIDENTIAL FACILITY FOR GROUPS,403-AGC-31,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,465 RIDGEWAY RD HENDERSON NV 89015,NV,Clark,702-558-7662,10,6/29/21
Sweet Home Belmont Llc,RESIDENTIAL FACILITY FOR GROUPS,5462-AGC-17,"ALZHEIMER DISEASE, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2908 BELMONT DR HENDERSON NV 89074,NV,Clark,702-473-9752,10,6/29/21
Tender Loving Care Senior Residence,RESIDENTIAL FACILITY FOR GROUPS,5743-AGC-12,ALZHEIMER DISEASE,1401 CASA DEL REY CRT LAS VEGAS NV 89117,NV,Clark,702-228-2994,10,6/29/21
Tender Loving Memory Care & Assisted Living Home Llc,RESIDENTIAL FACILITY FOR GROUPS,10202-AGC-0,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3429 WEST LONE MOUNTAIN ROAD NORTH LAS VEGAS NV 89031,NV,Clark,626-231-1353,10,6/29/21
"Terracina Home Care Ii, Llc",RESIDENTIAL FACILITY FOR GROUPS,9896-AGC-1,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1721 GLEN COVE CT RENO NV 89521,NV,Washoe,775-420-5489,6,6/29/21
The Americana Assisted Living,RESIDENTIAL FACILITY FOR GROUPS,9945-AGC-1,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",100 SOUTH 14TH STREET LAS VEGAS NV 89101,NV,Clark,702-333-4100,88,6/29/21
The Best Choice Group Home Llc,RESIDENTIAL FACILITY FOR GROUPS,10093-AGC-0,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2101 MARIPOSA AVE LAS VEGAS NV 89104,NV,Clark,702-721-3829,8,6/29/21
The Bridge At Paradise Valley Assisted Living,RESIDENTIAL FACILITY FOR GROUPS,3091-AGC-40,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS",2205 EAST HARMON AVE LAS VEGAS NV 89119,NV,Clark,702-369-6964,91,6/29/21
"The Chateau At Gardnerville, Assisted Living And Memory Care",RESIDENTIAL FACILITY FOR GROUPS,9538-AGC-2,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1565 VIRGINIA RANCH ROAD GARDNERVILLE NV 89410-5704,NV,Douglas,775-782-3100,150,6/29/21
The Elderly Aristocrat,RESIDENTIAL FACILITY FOR GROUPS,407-AGC-25,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2380 MOHIGAN WAY LAS VEGAS NV 89169,NV,Clark,702-796-9952,6,6/29/21
The Elderly Aristocrat Iii,RESIDENTIAL FACILITY FOR GROUPS,1954-AGC-25,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,3700 TIOGA WAY LAS VEGAS NV 89169,NV,Clark,702-768-2304,10,6/29/21
The Homestead,RESIDENTIAL FACILITY FOR GROUPS,4193-AGC-29,"ALZHEIMER DISEASE, MENTAL ILLNESS",365 WEST A STREET FALLON NV 89406,NV,Churchill,775-428-2428,75,6/29/21
"The Homestead At Boulder City, Inc.",RESIDENTIAL FACILITY FOR GROUPS,2606-AGC-32,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1401 MEDICAL PARK DR BOULDER CITY NV 89005,NV,Clark,702-294-8720,84,6/29/21
The Lakes Senior Living Llc,RESIDENTIAL FACILITY FOR GROUPS,9672-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9209 SANDY SHORES DR LAS VEGAS NV 89117,NV,Clark,702-586-7717,9,6/29/21
The Lodge Assisted Living & Memory Care Community,RESIDENTIAL FACILITY FOR GROUPS,5165-AGC-21,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2200 E LONG ST CARSON CITY NV 89706,NV,Carson City,775-283-9888,90,6/29/21
The Meadows Home,RESIDENTIAL FACILITY FOR GROUPS,417-AGC-29,ALZHEIMER DISEASE,4300 DEL MONTE AVENUE LAS VEGAS NV 89102,NV,Clark,702-258-1212,10,6/29/21
The Quail House,RESIDENTIAL FACILITY FOR GROUPS,9911-AGC-1,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3695 E QUAIL AVE LAS VEGAS NV 89120,NV,Clark,702-757-8140,10,6/29/21
The Rose Of Sharon,RESIDENTIAL FACILITY FOR GROUPS,176-AGC-34,"CHRONIC ILLNESS, MENTAL ILLNESS",355 EVAN PICONE HENDERSON NV 89014,NV,Clark,702-450-2082,8,6/29/21
The Royal Place Inc,RESIDENTIAL FACILITY FOR GROUPS,7273-AGC-10,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3644 MOUNTCREST DRIVE LAS VEGAS NV 89121,NV,Clark,702-476-1533,10,6/29/21
"The Seasons Of Reno, Assisted Living And Memory Care",RESIDENTIAL FACILITY FOR GROUPS,9541-AGC-2,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5165 SUMMIT RIDGE COURT RENO NV 89523-9092,NV,Washoe,775-787-8200,120,6/29/21
The Sienna Arbour Llc,RESIDENTIAL FACILITY FOR GROUPS,10232-AGC-0,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,945 SIENNA PARK DRIVE RENO NV 89512,NV,Washoe,707-515-9135,8,6/29/21
The Victorian Center Llc I,RESIDENTIAL FACILITY FOR GROUPS,2275-AGC-27,ALZHEIMER DISEASE,11 WHITEWIND LANE LAS VEGAS NV 89110,NV,Clark,702-459-2561,10,6/29/21
The Victorian Center Llc Ii,RESIDENTIAL FACILITY FOR GROUPS,2850-AGC-26,ALZHEIMER DISEASE,1895 PRISCILLA ST LAS VEGAS NV 89115,NV,Clark,702-453-2565,6,6/29/21
Theresiane Adult Group Care Home,RESIDENTIAL FACILITY FOR GROUPS,423-AGC-33,"CHRONIC ILLNESS, MENTAL ILLNESS",6620 ELLERHURST DRIVE LAS VEGAS NV 89103,NV,Clark,702-251-7886,10,6/29/21
Tlc Costa Brava Llc,RESIDENTIAL FACILITY FOR GROUPS,7889-AGC-9,"ALZHEIMER DISEASE, CHRONIC ILLNESS, MENTAL ILLNESS",6737 COSTA BRAVA ROAD LAS VEGAS NV 89146,NV,Clark,702-556-1639,10,6/29/21
Touch Of Class Care Home,RESIDENTIAL FACILITY FOR GROUPS,9798-AGC-1,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,935 MANZANITA LANE RENO NV 89509,NV,Washoe,775-354-6486,9,6/29/21
"Tranquil Breezes Care Home, Llc",RESIDENTIAL FACILITY FOR GROUPS,8548-AGC-4,CHRONIC ILLNESS,237 PALMETTO POINTE DRIVE HENDERSON NV 89012,NV,Clark,702-292-4764,10,6/29/21
Tranquillium-Haleh Senior Care,RESIDENTIAL FACILITY FOR GROUPS,10031-AGC-1,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3460 W HALEH AVE LAS VEGAS NV 89141,NV,Clark,415-608-1938,9,6/29/21
True Loving Care Ii Llc,RESIDENTIAL FACILITY FOR GROUPS,7520-AGC-13,CHRONIC ILLNESS,8020 FAIRFIELD AVE LAS VEGAS NV 89123,NV,Clark,702-480-5339,10,6/29/21
V N Senior Care Inc At Winery Rd,RESIDENTIAL FACILITY FOR GROUPS,5679-AGC-15,ALZHEIMER DISEASE,3281 WINERY RD PAHRUMP NV 89048,NV,Nye,775-727-1261,10,6/29/21
V N Senior Care Inc Of Seven Hills,RESIDENTIAL FACILITY FOR GROUPS,4100-AGC-20,ALZHEIMER DISEASE,993 GOLD BEAR DRIVE HENDERSON NV 89052,NV,Clark,702-361-1164,9,6/29/21
V N Senior Care Of The Vineyards,RESIDENTIAL FACILITY FOR GROUPS,4406-AGC-16,ALZHEIMER DISEASE,1931 W VINEYARD DRIVE SOUTH PAHRUMP NV 89048,NV,Nye,702-501-5144,10,6/29/21
V Nicholas Adult Care Home #2,RESIDENTIAL FACILITY FOR GROUPS,432-AGC-26,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,4304 EL CAMINO AVENUE LAS VEGAS NV 89102,NV,Clark,702-220-8089,6,6/29/21
Valley Of Golden Ages,RESIDENTIAL FACILITY FOR GROUPS,9907-AGC-1,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2680 MARGARET DR. RENO NV 89506,NV,Washoe,775-762-2162,6,6/29/21
Vegas Valley Senior Care Residence,RESIDENTIAL FACILITY FOR GROUPS,8184-AGC-9,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,6085 S LAMB BLVD LAS VEGAS NV 89120,NV,Clark,702-724-0218,10,6/29/21
Viewcrest Adult Living,RESIDENTIAL FACILITY FOR GROUPS,437-AGC-26,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3921 KINGS ROW RENO NV 89503,NV,Washoe,775-747-3416,7,6/29/21
Villa Court Assisted Living And Memory Care,RESIDENTIAL FACILITY FOR GROUPS,9444-AGC-2,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3985 SOUTH PEARL STREET LAS VEGAS NV 89121-7205,NV,Clark,702-706-0036,64,6/29/21
Villa Court Assisted Living And Memory Care,RESIDENTIAL FACILITY FOR GROUPS,9454-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4025 SOUTH PEARL STREET LAS VEGAS NV 89121,NV,Clark,702-706-0036,40,6/29/21
Vineyard Mainstreet Henderson,RESIDENTIAL FACILITY FOR GROUPS,9308-AGC-0,ALZHEIMER DISEASE,2895 WEST HORIZON RIDGE PARKWAY HENDERSON NV 89052,NV,Clark,919-909-7663,64,6/29/21
Vista Adult Care,RESIDENTIAL FACILITY FOR GROUPS,4501-AGC-18,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1079 RICCO DRIVE SPARKS NV 89434,NV,Washoe,775-359-3768,7,6/29/21
Vista Adult Care At Waterfield,RESIDENTIAL FACILITY FOR GROUPS,10342-AGC-0,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3056 WATERFIELD DRIVE SPARKS NV 89434-1627,NV,Washoe,775-338-3886,7,6/29/21
Vn Senior Care Facility Inc,RESIDENTIAL FACILITY FOR GROUPS,9685-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2621 HOMESTEAD RD PAHRUMP NV 89048,NV,Nye,702-501-5144,10,6/29/21
Washington Senior Guest Home,RESIDENTIAL FACILITY FOR GROUPS,439-AGC-27,"CHRONIC ILLNESS, MENTAL ILLNESS",3709 W WASHINGTON AVE LAS VEGAS NV 89107,NV,Clark,702-870-7157,8,6/29/21
Washoe Senior Living I,RESIDENTIAL FACILITY FOR GROUPS,9071-AGC-2,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,4190 BISMARCK DRIVE RENO NV 89502,NV,Washoe,775-688-9670,5,6/29/21
Washoe Senior Living Ii,RESIDENTIAL FACILITY FOR GROUPS,8866-AGC-4,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,425 SONDRIO COURT RENO NV 89521,NV,Washoe,775-688-9670,10,6/29/21
"We Care Residential Home, Llc",RESIDENTIAL FACILITY FOR GROUPS,9026-AGC-3,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3858 MOONGATE CIRCLE LAS VEGAS NV 89103,NV,Clark,702-945-6682,10,6/29/21
Welbrook Grand Montecito Llc,RESIDENTIAL FACILITY FOR GROUPS,9216-AGC-1,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",6660 GRAND MONTECITO PARKWAY LAS VEGAS NV 89149,NV,Clark,801-683-6565,46,6/29/21
Wentworth Of Las Vegas,RESIDENTIAL FACILITY FOR GROUPS,2489-AGC-42,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS",2620 LAKE SAHARA DR LAS VEGAS NV 89117,NV,Clark,702-233-9800,150,6/29/21
West Morning Star Care Home,RESIDENTIAL FACILITY FOR GROUPS,4486-AGC-16,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7375 MOUNTAIN ASH DRIVE LAS VEGAS NV 89147,NV,Clark,702-222-0858,8,6/29/21
Whispering Heights,RESIDENTIAL FACILITY FOR GROUPS,444-AGC-29,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2397 EMPIRE RANCH ROAD CARSON CITY NV 89701,NV,Carson City,775-885-8242,8,6/29/21
Wicker Basket,RESIDENTIAL FACILITY FOR GROUPS,9723-AGC-0,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3020 BEAUFORT COURT NORTH LAS VEGAS NV 89032,NV,Clark,702-731-5941,10,6/29/21
Windsong Care Home L.L.C.,RESIDENTIAL FACILITY FOR GROUPS,8988-AGC-3,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",209 WINDSONG ST LAS VEGAS NV 89145,NV,Clark,702-815-9998,10,6/29/21
Winwood Home Care Llc,RESIDENTIAL FACILITY FOR GROUPS,10076-AGC-0,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2516 WINWOOD STREET LAS VEGAS NV 89108,NV,Clark,702-506-1415,16,6/29/21
